Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
15327,-0.23,2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15363,-0.20,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,-0.18,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15435,-0.19,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15471,-0.17,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15507,-0.21,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543,-0.18,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15579,-0.17,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,-0.29,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15651,-0.19,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15687,-0.20,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15723,-0.17,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15759,-0.13,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15795,-0.10,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15831,-0.15,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15867,-0.22,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15903,-0.16,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15939,-0.16,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15975,-0.16,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16011,-0.24,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16047,-0.25,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16083,-0.17,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16119,-0.13,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16155,-0.16,3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16191,-0.19,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16227,-0.05,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16263,-0.21,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16299,-0.18,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16335,-0.19,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371,-0.23,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16407,-0.16,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16443,-0.16,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16479,-0.13,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16515,-0.12,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16551,-0.11,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
