Time,Pressure,PPGSignal,rawPPGSignal
8682,-0.20,2351,152,1
8710,-0.00,2323,613,1
8737,-0.34,2557,1200,1
8764,0.52,2643,1661,1
8791,0.33,2625,1921,1
8818,0.63,2588,1977,1
8845,0.64,2511,1868,1
8872,1.28,2509,1661,1
8899,1.13,2512,1423,1
8926,1.16,2479,1194,1
8953,1.33,2448,988,1
8980,1.35,2371,802,1
9007,1.42,2277,627,1
9034,1.41,2399,467,1
9061,1.63,3012,380,1
9088,1.69,4095,478,1
9115,1.72,4095,770,1
9142,1.78,4095,1084,1
9169,1.91,4095,1265,1
9196,2.04,4095,1292,1
9223,2.08,4095,1198,1
9250,2.35,4095,1034,1
9277,2.37,1877,699,1
9304,2.37,1059,17,1
9331,2.75,1230,-857,1
9358,2.48,1815,-1538,1
9385,2.93,2480,-1796,1
9412,2.69,2919,-1644,1
9439,2.68,2993,-1260,1
9466,2.88,2805,-869,1
9493,2.97,2475,-634,1
9520,3.08,2224,-597,1
9547,2.76,2093,-705,1
9574,3.04,2122,-868,1
9601,3.32,2112,-1006,1
9628,3.42,2176,-1074,1
9655,3.59,2272,-1064,1
9682,3.78,2368,-991,1
9709,4.16,2449,-876,1
9736,3.94,2445,-750,1
9763,3.64,2410,-643,1
9790,3.94,2322,-579,1
9817,3.45,2275,-562,1
9844,3.74,2224,-578,1
9871,4.35,2206,-605,1
9898,4.19,2234,-622,1
9925,4.50,2519,-597,1
9952,4.28,3612,-444,1
9979,4.57,4095,-94,1
10006,4.62,4095,359,1
10033,4.58,4095,738,1
10060,4.54,4095,954,1
10087,4.81,4095,1014,1
10114,4.87,4095,967,1
10141,4.53,2591,769,1
10168,4.80,1202,265,1
10195,4.72,883,-521,1
10222,5.15,1344,-1281,1
10249,5.17,2079,-1692,1
10276,5.17,2686,-1651,1
10303,5.06,3056,-1266,1
10330,5.40,3056,-752,1
10357,5.21,2828,-318,1
10384,5.31,2499,-86,1
10411,5.56,2251,-72,1
10438,5.49,2118,-203,1
10465,5.24,2093,-381,1
10492,5.53,2102,-527,1
10519,5.28,2224,-593,1
10546,5.41,2311,-573,1
10573,5.53,2361,-494,1
10600,5.62,2457,-387,1
10627,5.74,2418,-276,1
10654,5.89,2431,-182,1
10681,6.19,2403,-118,1
10708,6.03,2297,-90,1
10735,6.09,2491,-79,1
10762,6.39,3328,0,1
10789,6.20,4095,257,1
10816,6.53,4095,654,1
10843,6.30,4095,1022,1
10870,6.42,4095,1245,1
10897,6.47,4095,1316,1
10924,6.69,4095,1276,1
10951,6.62,2117,1042,1
10978,6.54,961,443,1
11005,6.85,914,-408,1
11032,6.71,1507,-1137,1
11059,6.87,2228,-1457,1
11086,7.09,2828,-1325,1
11113,6.98,3153,-884,1
11140,6.96,3121,-352,1
11167,7.13,2832,66,1
11194,7.20,2505,252,1
11221,7.04,2227,208,1
11248,7.41,2070,17,1
11275,7.41,2032,-213,1
11302,7.31,2065,-400,1
11329,7.27,2133,-493,1
11356,7.25,2228,-493,1
11383,7.44,2270,-425,1
11410,7.46,2320,-319,1
11437,7.42,2331,-209,1
11464,7.88,2306,-121,1
11491,7.69,2294,-63,1
11518,7.74,2331,-29,1
11545,7.79,2454,-1,1
11572,8.00,3071,75,1
11599,8.05,4095,306,1
11626,7.99,4095,697,1
11653,8.26,4095,1083,1
11680,8.22,4095,1327,1
11707,8.51,4095,1413,1
11734,8.35,4095,1378,1
11761,8.32,3032,1202,1
11788,8.50,1327,742,1
11815,8.40,880,-28,1
11842,8.68,1247,-833,1
11869,8.63,1913,-1334,1
11896,9.00,2494,-1394,1
11923,8.89,2880,-1092,1
11950,8.95,2916,-626,1
11977,8.73,2837,-197,1
12004,8.97,2559,66,1
12031,9.18,2294,129,1
12058,9.15,2128,34,1
12085,9.19,2005,-140,1
12112,9.23,1974,-317,1
12139,9.36,2000,-440,1
12166,9.33,2191,-482,1
12193,9.41,2235,-444,1
12220,9.66,2304,-349,1
12247,9.58,2336,-233,1
12274,9.58,2328,-124,1
12301,9.68,2397,-41,1
12328,9.64,2386,15,1
12355,10.00,2815,79,1
12382,9.98,4095,268,1
12409,9.88,4095,638,1
12436,10.08,4095,1036,1
12463,10.15,4095,1302,1
12490,10.16,4095,1408,1
12517,10.26,4095,1385,1
12544,10.18,3232,1227,1
12571,10.26,1297,792,1
12598,10.60,746,19,1
12625,10.32,1062,-830,1
12652,10.46,1792,-1386,1
12679,10.44,2519,-1475,1
12706,10.58,3045,-1152,1
12733,10.68,3223,-613,1
12760,10.68,3086,-88,1
12787,10.75,2704,239,1
12814,10.97,2349,304,1
12841,10.93,2095,160,1
12868,11.07,2000,-78,1
12895,11.10,2032,-308,1
12922,11.30,2117,-462,1
12949,11.17,2245,-511,1
12976,11.46,2322,-466,1
13003,11.32,2393,-359,1
13030,11.65,2445,-234,1
13057,11.44,2424,-124,1
13084,11.57,2805,-18,1
13111,11.54,4095,192,1
13138,11.88,4095,569,1
13165,11.62,4095,968,1
13192,11.96,4095,1233,1
13219,11.64,4095,1338,1
13246,11.82,4095,1317,1
13273,12.12,4095,1220,1
13300,11.93,2559,988,1
13327,11.94,1175,456,1
13354,11.79,923,-342,1
13381,11.92,1424,-1092,1
13408,12.24,2167,-1483,1
13435,12.13,2782,-1420,1
13462,12.03,3143,-1019,1
13489,12.21,3127,-500,1
13516,12.37,2796,-83,1
13543,12.09,2471,106,1
13570,12.34,2160,68,1
13597,12.45,1962,-115,1
13624,12.48,1953,-351,1
13651,12.38,2029,-552,1
13678,12.70,2170,-635,1
13705,12.61,2298,-588,1
13732,12.64,2402,-462,1
13759,12.72,2415,-310,1
13786,12.58,2401,-174,1
13813,12.90,2358,-78,1
13840,13.03,2407,-24,1
13867,12.96,3023,44,1
13894,13.31,4095,255,1
13921,13.43,4095,633,1
13948,13.21,4095,1018,1
13975,13.22,4095,1267,1
14002,13.24,4095,1360,1
14029,13.28,4095,1332,1
14056,13.40,4095,1232,1
14083,13.20,3568,1064,1
14110,13.64,1749,702,1
14137,13.41,1210,46,1
14164,13.54,1446,-704,1
14191,13.78,2000,-1223,1
14218,13.75,2559,-1347,1
14245,13.85,2885,-1125,1
14272,13.73,2877,-736,1
14299,13.80,2654,-380,1
14326,13.90,2342,-187,1
14353,13.97,2086,-177,1
14380,13.91,1971,-293,1
14407,13.92,1889,-450,1
14434,14.01,1982,-573,1
14461,14.19,2032,-624,1
14488,14.11,2112,-596,1
14515,14.19,2241,-509,1
14542,14.21,2223,-389,1
14569,14.59,2258,-274,1
14596,14.44,2239,-183,1
14623,14.52,2194,-121,1
14650,14.63,2397,-70,1
14677,14.73,3397,52,1
14704,14.70,4095,355,1
14731,14.71,4095,786,1
14758,14.70,4095,1166,1
14785,14.87,4095,1387,1
14812,15.01,4095,1448,1
14839,14.94,4095,1396,1
14866,15.14,3702,1254,1
14893,14.98,1648,903,1
14920,15.39,998,214,1
14947,15.18,1230,-607,1
14974,15.58,1872,-1193,1
15001,15.46,2523,-1350,1
15028,15.49,2960,-1113,1
15055,15.51,3013,-669,1
15082,15.47,2785,-244,1
15109,15.67,2475,6,1
15136,15.95,2158,41,1
15163,15.60,1968,-85,1
15190,15.75,1875,-286,1
15217,15.82,1924,-472,1
15244,16.02,2012,-579,1
15271,15.82,2070,-587,1
15298,15.86,2215,-515,1
15325,16.02,2273,-396,1
15352,16.07,2329,-261,1
15379,16.15,2330,-137,1
15406,16.31,2301,-42,1
15433,16.39,2270,10,1
15460,16.59,2247,24,1
15487,16.41,2704,48,1
15514,16.51,4095,221,1
15541,16.73,4095,607,1
15568,16.73,4095,1036,1
15595,16.69,4095,1330,1
15622,16.84,4095,1454,1
15649,16.73,4095,1440,1
15676,16.85,3599,1306,1
15703,16.88,1535,929,1
15730,17.22,898,211,1
15757,16.87,1171,-625,1
15784,17.05,1881,-1209,1
15811,17.38,2559,-1345,1
15838,17.23,3029,-1076,1
15865,17.42,3068,-605,1
15892,17.18,2893,-159,1
15919,17.18,2519,104,1
15946,17.24,2231,140,1
15973,17.19,2000,-2,1
16000,17.10,1955,-229,1
16027,17.62,1976,-432,1
16054,17.28,2045,-544,1
16081,17.53,2152,-557,1
16108,17.55,2239,-491,1
16135,17.60,2287,-378,1
16162,17.84,2322,-251,1
16189,17.61,2304,-137,1
16216,17.89,2277,-60,1
16243,17.68,2237,-24,1
16270,17.86,2224,-22,1
16297,18.16,2409,-24,1
16324,18.10,3322,61,1
16351,18.04,4095,338,1
16378,18.04,4095,758,1
16405,18.24,4095,1140,1
16432,18.04,4095,1366,1
16459,18.25,4095,1432,1
16486,18.27,4095,1382,1
16513,18.31,3161,1202,1
16540,18.29,1612,767,1
16567,18.46,1211,55,1
16594,18.57,1506,-685,1
16621,18.55,2083,-1153,1
16648,18.57,2606,-1225,1
16675,18.72,2935,-972,1
16702,18.47,2942,-573,1
16729,18.53,2725,-218,1
16756,18.60,2393,-29,1
16783,18.76,2176,-29,1
16810,18.52,2034,-160,1
16837,18.86,2005,-335,1
16864,18.78,2032,-478,1
16891,18.87,2095,-547,1
16918,18.72,2164,-540,1
16945,18.78,2233,-474,1
16972,18.97,2266,-377,1
16999,18.91,2302,-275,1
17026,19.10,2333,-185,1
17053,18.97,2311,-113,1
17080,19.06,2249,-67,1
17107,19.13,2179,-49,1
17134,19.30,2179,-52,1
17161,19.14,2186,-66,1
17188,19.28,2374,-67,1
17215,19.23,3232,26,1
17242,19.53,4095,319,1
17269,19.38,4095,756,1
17296,19.56,4095,1151,1
17323,19.51,4095,1385,1
17350,19.49,4095,1455,1
17377,19.84,4095,1405,1
17404,19.70,4095,1287,1
17431,19.79,2102,1012,1
17458,19.86,1264,415,1
17485,19.72,1309,-375,1
17512,19.99,1876,-1011,1
17539,20.05,2487,-1272,1
17566,19.99,2852,-1151,1
17593,20.07,2960,-794,1
17620,20.00,2778,-405,1
17647,20.40,2502,-147,1
17674,20.30,2210,-80,1
17701,20.33,2013,-174,1
17728,20.47,1972,-342,1
17755,20.37,2014,-494,1
17782,20.39,2080,-578,1
17809,20.58,2116,-580,1
17836,20.56,2181,-521,1
17863,20.74,2208,-428,1
17890,20.89,2209,-330,1
17917,20.80,2211,-252,1
17944,20.80,2234,-193,1
17971,20.79,2174,-150,1
17998,21.09,2212,-121,1
18025,21.25,2212,-97,1
18052,21.04,2209,-74,1
18079,21.37,2274,-55,1
18106,21.48,2512,-13,1
18133,21.54,4023,171,1
18160,21.28,4095,566,1
18187,21.73,4095,1014,1
18214,21.57,4095,1332,1
18241,21.60,4095,1475,1
18268,21.79,4095,1472,1
18295,21.63,4095,1377,1
18322,21.92,3192,1178,1
18349,21.97,1403,730,1
18376,21.90,937,-20,1
18403,22.01,1387,-813,1
18430,22.00,2180,-1290,1
18457,22.18,2897,-1302,1
18484,22.22,3264,-939,1
18511,22.26,3174,-431,1
18538,22.33,2851,-17,1
18565,22.36,2407,162,1
18592,22.25,2156,101,1
