Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W10_T2.50_D5_C2,BL_W20_T1.00_D5_C2,BL_W20_T1.50_D5_C1,BL_W10_T1.00_D5_C1,BL_W20_T2.50_D5_C1
14828,-0.20,267,0,0,0,0,0,0,0,0
14863,-0.26,963,0,0,0,0,0,0,0,0
14899,-0.17,1582,0,0,0,0,0,0,0,0
14935,-0.19,1801,0,0,0,0,0,0,0,0
14971,-0.16,1843,0,0,0,0,0,0,0,0
15007,-0.17,1900,0,0,0,0,0,0,0,0
15043,-0.19,1965,0,0,0,0,0,0,0,0
15079,-0.07,1925,0,0,0,0,0,0,0,0
15115,-0.17,1720,0,0,0,0,0,0,0,0
15151,-0.09,1404,0,0,0,0,0,0,0,0
15187,-0.22,1100,0,0,0,0,0,0,0,0
15223,-0.16,899,0,0,0,0,0,0,0,0
15259,-0.19,817,0,0,0,0,0,0,0,0
15295,-0.05,812,0,0,0,0,0,0,0,0
15331,-0.20,836,0,0,0,0,0,0,0,0
15367,-0.13,874,0,0,0,0,0,0,0,0
15403,-0.18,1034,0,0,0,0,0,0,0,0
15439,-0.15,1405,0,0,0,0,0,0,0,0
15475,-0.23,1834,0,0,0,0,0,0,0,0
15511,-0.26,2130,0,0,0,0,0,0,0,0
15547,-0.16,2255,0,0,0,0,0,0,0,0
15583,-0.17,2191,0,0,0,0,0,0,0,0
15619,-0.17,1837,0,0,0,0,0,0,0,0
15655,-0.12,1177,0,0,0,0,0,0,0,0
15691,-0.11,487,0,0,0,0,0,0,0,0
15727,-0.13,77,0,0,0,0,0,0,0,0
15763,-0.19,14,0,0,0,0,0,0,0,0
15799,-0.19,149,0,0,0,0,0,0,0,0
15835,-0.19,298,0,0,0,0,0,0,0,0
15871,-0.22,373,0,0,0,0,0,0,0,0
15907,-0.19,383,0,0,0,0,0,0,0,0
15943,-0.16,354,0,0,0,0,0,0,0,0
15979,-0.15,311,0,0,0,0,0,0,0,0
16015,-0.29,280,0,0,0,0,0,0,0,0
16051,-0.21,274,0,0,0,0,0,0,0,0
16087,-0.15,273,0,0,0,0,0,0,0,0
16123,-0.17,236,0,0,0,0,0,0,0,0
16159,-0.15,191,0,0,0,0,0,0,0,0
16195,-0.17,291,0,0,0,0,0,0,0,0
16231,-0.14,605,0,0,0,0,0,0,0,0
16267,-0.32,980,0,0,0,0,0,0,0,0
16303,-0.12,1253,0,0,0,0,0,0,0,0
16339,-0.21,1388,0,0,0,0,0,0,0,0
16375,-0.18,1311,0,0,0,0,0,0,0,0
16411,-0.17,900,0,0,0,0,0,0,0,0
16447,-0.15,259,0,0,0,0,0,0,0,0
16483,-0.24,-275,0,0,0,0,0,0,0,0
16519,-0.13,-468,0,0,0,0,0,0,0,0
16555,-0.15,-354,0,0,0,0,0,0,0,0
