Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
14828,-0.26,196,0,0,0,0,0,0,0,0
14863,-0.19,806,0,0,0,0,0,0,0,0
14899,-0.16,1590,0,0,0,0,0,0,0,0
14935,-0.20,2193,0,0,0,0,0,0,0,0
14971,-0.05,2513,0,0,0,0,0,0,0,0
15007,-0.11,2586,0,0,0,0,0,0,0,0
15043,-0.12,2499,0,0,0,0,0,0,0,0
15079,-0.07,2333,0,0,0,0,0,0,0,0
15115,-0.23,2146,0,0,0,0,0,0,0,0
15151,-0.21,1968,0,0,0,0,0,0,0,0
15187,-0.14,1812,0,0,0,0,0,0,0,0
15223,-0.14,1682,0,0,0,0,0,0,0,0
15259,-0.08,1575,0,0,0,0,0,0,0,0
15295,-0.15,1481,0,0,0,0,0,0,0,0
15331,-0.19,1392,0,0,0,0,0,0,0,0
15367,-0.24,1308,0,0,0,0,0,0,0,0
15403,-0.16,1227,0,0,0,0,0,0,0,0
15439,-0.18,1150,0,0,0,0,0,0,0,0
15475,-0.16,1078,0,0,0,0,0,0,0,0
15511,-0.15,1017,0,0,0,0,0,0,0,0
15547,-0.18,972,0,0,0,0,0,0,0,0
15583,-0.20,938,0,0,0,0,0,0,0,0
15619,-0.16,900,0,0,0,0,0,0,0,0
15655,-0.17,848,0,0,0,0,0,0,0,0
15691,-0.09,785,0,0,0,0,0,0,0,0
15727,-0.13,723,0,0,0,0,0,0,0,0
15763,-0.11,668,0,0,0,0,0,0,0,0
15799,-0.07,621,0,0,0,0,0,0,0,0
15835,-0.03,578,0,0,0,0,0,0,0,0
15871,-0.13,537,0,0,0,0,0,0,0,0
15907,-0.17,500,0,0,0,0,0,0,0,0
15943,-0.15,468,0,0,0,0,0,0,0,0
15979,-0.14,440,0,0,0,0,0,0,0,0
16015,-0.14,413,0,0,0,0,0,0,0,0
