Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.23,193,2974,0,0,0,0,0,0,0,0
14863,-0.25,794,3024,0,0,0,0,0,0,0,0
14899,-0.21,1569,3025,0,0,0,0,0,0,0,0
14935,-0.20,2167,3056,0,0,0,0,0,0,0,0
14971,-0.16,2502,3203,0,0,0,0,0,0,0,0
15007,-0.18,2624,3273,0,0,0,0,0,0,0,0
15043,-0.20,2598,3200,0,0,0,0,0,0,0,0
15079,-0.25,2468,3097,0,0,0,0,0,0,0,0
15115,-0.25,2272,3035,0,0,0,0,0,0,0,0
15151,-0.19,2053,3013,0,0,0,0,0,0,0,0
15187,-0.16,1849,3015,0,0,0,0,0,0,0,0
15223,-0.18,1679,3030,0,0,0,0,0,0,0,0
15259,-0.22,1545,3031,0,0,0,0,0,0,0,0
15295,-0.24,1439,3027,0,0,0,0,0,0,0,0
15331,-0.27,1351,3023,0,0,0,0,0,0,0,0
15367,-0.22,1271,3008,0,0,0,0,0,0,0,0
15403,-0.20,1193,2995,0,0,0,0,0,0,0,0
15439,-0.23,1117,2990,0,0,0,0,0,0,0,0
15475,-0.21,1043,2988,0,0,0,0,0,0,0,0
15511,-0.16,974,2990,0,0,0,0,0,0,0,0
15547,-0.22,912,3006,0,0,0,0,0,0,0,0
15583,-0.23,858,3009,0,0,0,0,0,0,0,0
15619,-0.15,810,3007,0,0,0,0,0,0,0,0
15655,-0.24,764,3004,0,0,0,0,0,0,0,0
15691,-0.24,720,3005,0,0,0,0,0,0,0,0
15727,-0.20,677,3007,0,0,0,0,0,0,0,0
15763,-0.18,639,3056,0,0,0,0,0,0,0,0
15799,-0.20,621,3209,0,0,0,0,0,0,0,0
15835,-0.16,633,3273,0,0,0,0,0,0,0,0
15871,-0.13,655,3195,0,0,0,0,0,0,0,0
15907,-0.28,653,3090,0,0,0,0,0,0,0,0
15943,-0.19,607,3027,0,0,0,0,0,0,0,0
15979,-0.21,533,3022,0,0,0,0,0,0,0,0
16015,-0.29,454,3017,0,0,0,0,0,0,0,0
16051,-0.18,388,3012,0,0,0,0,0,0,0,0
16087,-0.19,339,3031,0,0,0,0,0,0,0,0
16123,-0.20,309,3046,0,0,0,0,0,0,0,0
16159,-0.11,292,3035,0,0,0,0,0,0,0,0
16195,-0.11,278,3009,0,0,0,0,0,0,0,0
16231,-0.10,260,2999,0,0,0,0,0,0,0,0
16267,-0.20,238,2982,0,0,0,0,0,0,0,0
16303,-0.14,214,2983,0,0,0,0,0,0,0,0
16339,-0.18,191,2992,0,0,0,0,0,0,0,0
16375,-0.16,174,3000,0,0,0,0,0,0,0,0
16411,-0.19,164,3010,0,0,0,0,0,0,0,0
16447,-0.21,158,3011,0,0,0,0,0,0,0,0
