Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.19,200,3091,0,0,0,0,0,0,0,0
14863,-0.25,833,3282,0,0,0,0,0,0,0,0
14899,-0.32,1665,3270,0,0,0,0,0,0,0,0
14935,-0.17,2310,3132,0,0,0,0,0,0,0,0
14971,-0.23,2630,3004,0,0,0,0,0,0,0,0
15007,-0.16,2660,2960,0,0,0,0,0,0,0,0
15043,-0.20,2511,2963,0,0,0,0,0,0,0,0
15079,-0.26,2293,2992,0,0,0,0,0,0,0,0
15115,-0.15,2081,3021,0,0,0,0,0,0,0,0
15151,-0.22,1905,3045,0,0,0,0,0,0,0,0
15187,-0.21,1767,3053,0,0,0,0,0,0,0,0
15223,-0.21,1659,3056,0,0,0,0,0,0,0,0
15259,-0.19,1565,3042,0,0,0,0,0,0,0,0
15295,-0.18,1478,3037,0,0,0,0,0,0,0,0
15331,-0.24,1391,3027,0,0,0,0,0,0,0,0
15367,-0.23,1305,3031,0,0,0,0,0,0,0,0
15403,-0.30,1224,3037,0,0,0,0,0,0,0,0
15439,-0.23,1148,3043,0,0,0,0,0,0,0,0
15475,-0.16,1080,3047,0,0,0,0,0,0,0,0
15511,-0.23,1017,3044,0,0,0,0,0,0,0,0
15547,-0.21,957,3043,0,0,0,0,0,0,0,0
15583,-0.23,900,3043,0,0,0,0,0,0,0,0
15619,-0.19,845,3033,0,0,0,0,0,0,0,0
15655,-0.29,792,3040,0,0,0,0,0,0,0,0
15691,-0.25,743,3046,0,0,0,0,0,0,0,0
15727,-0.24,699,3043,0,0,0,0,0,0,0,0
15763,-0.21,662,3127,0,0,0,0,0,0,0,0
15799,-0.23,648,3261,0,0,0,0,0,0,0,0
15835,-0.22,658,3246,0,0,0,0,0,0,0,0
15871,-0.19,661,3110,0,0,0,0,0,0,0,0
15907,-0.17,624,2995,0,0,0,0,0,0,0,0
15943,-0.13,545,2957,0,0,0,0,0,0,0,0
15979,-0.23,452,2960,0,0,0,0,0,0,0,0
16015,-0.22,372,2992,0,0,0,0,0,0,0,0
16051,-0.17,321,3026,0,0,0,0,0,0,0,0
16087,-0.26,300,3054,0,0,0,0,0,0,0,0
16123,-0.16,297,3054,0,0,0,0,0,0,0,0
16159,-0.24,298,3039,0,0,0,0,0,0,0,0
16195,-0.31,293,3031,0,0,0,0,0,0,0,0
16231,-0.21,280,3029,0,0,0,0,0,0,0,0
16267,-0.17,262,3025,0,0,0,0,0,0,0,0
16303,-0.18,244,3039,0,0,0,0,0,0,0,0
16339,-0.21,228,3041,0,0,0,0,0,0,0,0
16375,-0.19,217,3044,0,0,0,0,0,0,0,0
16411,-0.17,207,3045,0,0,0,0,0,0,0,0
16447,-0.15,197,3040,0,0,0,0,0,0,0,0
16483,-0.25,185,3042,0,0,0,0,0,0,0,0
16519,-0.22,174,3046,0,0,0,0,0,0,0,0
16555,-0.29,163,3036,0,0,0,0,0,0,0,0
16591,-0.32,153,3043,0,0,0,0,0,0,0,0
16627,-0.24,143,3039,0,0,0,0,0,0,0,0
16663,-0.25,133,3051,0,0,0,0,0,0,0,0
16699,-0.17,134,3177,0,0,0,0,0,0,0,0
16735,-0.12,163,3297,0,0,0,0,0,0,0,0
16771,-0.28,209,3216,0,0,0,0,0,0,0,0
16807,-0.19,233,3071,0,0,0,0,0,0,0,0
16843,-0.22,206,2970,0,0,0,0,0,0,0,0
16879,-0.23,141,2954,0,0,0,0,0,0,0,0
16915,-0.20,69,2969,0,0,0,0,0,0,0,0
16951,-0.19,18,3007,0,0,0,0,0,0,0,0
16987,-0.19,-2,3035,0,0,0,0,0,0,0,0
17023,-0.17,1,3053,0,0,0,0,0,0,0,0
17059,-0.23,17,3047,0,0,0,0,0,0,0,0
17095,-0.31,34,3038,0,0,0,0,0,0,0,0
17131,-0.14,43,3027,0,0,0,0,0,0,0,0
17167,-0.23,44,3030,0,0,0,0,0,0,0,0
17203,-0.26,41,3037,0,0,0,0,0,0,0,0
17239,-0.20,38,3037,0,0,0,0,0,0,0,0
17275,-0.21,35,3038,0,0,0,0,0,0,0,0
17311,-0.15,34,3039,0,0,0,0,0,0,0,0
17347,-0.09,33,3047,0,0,0,0,0,0,0,0
17383,-0.18,34,3047,0,0,0,0,0,0,0,0
17419,-0.19,35,3050,0,0,0,0,0,0,0,0
17455,-0.19,34,3044,0,0,0,0,0,0,0,0
17491,-0.19,31,3039,0,0,0,0,0,0,0,0
17527,-0.24,26,3040,0,0,0,0,0,0,0,0
17563,-0.29,22,3040,0,0,0,0,0,0,0,0
17599,-0.24,20,3055,0,0,0,0,0,0,0,0
17635,-0.26,31,3197,0,0,0,0,0,0,0,0
17671,-0.24,68,3295,0,0,0,0,0,0,0,0
17707,-0.19,122,3216,0,0,0,0,0,0,0,0
17743,-0.15,150,3061,0,0,0,0,0,0,0,0
17779,-0.20,126,2969,0,0,0,0,0,0,0,0
17815,-0.14,62,2947,0,0,0,0,0,0,0,0
17851,-0.24,-5,2975,0,0,0,0,0,0,0,0
17887,-0.14,-50,3013,0,0,0,0,0,0,0,0
17923,-0.18,-64,3041,0,0,0,0,0,0,0,0
17959,-0.27,-54,3051,0,0,0,0,0,0,0,0
17995,-0.22,-34,3045,0,0,0,0,0,0,0,0
18031,-0.14,-17,3034,0,0,0,0,0,0,0,0
18067,-0.21,-6,3026,0,0,0,0,0,0,0,0
18103,-0.21,-3,3027,0,0,0,0,0,0,0,0
18139,-0.22,-4,3036,0,0,0,0,0,0,0,0
18175,-0.22,-5,3035,0,0,0,0,0,0,0,0
18211,-0.27,-4,3039,0,0,0,0,0,0,0,0
18247,-0.17,-1,3043,0,0,0,0,0,0,0,0
18283,-0.23,0,3043,0,0,0,0,0,0,0,0
18319,-0.27,3,3042,0,0,0,0,0,0,0,0
18355,-0.19,4,3045,0,0,0,0,0,0,0,0
18391,-0.19,5,3049,0,0,0,0,0,0,0,0
18427,-0.22,6,3039,0,0,0,0,0,0,0,0
18463,-0.20,6,3037,0,0,0,0,0,0,0,0
18499,-0.21,4,3033,0,0,0,0,0,0,0,0
18535,-0.25,0,3041,0,0,0,0,0,0,0,0
18571,-0.22,0,3056,0,0,0,0,0,0,0,0
18607,-0.14,10,3194,0,0,0,0,0,0,0,0
18643,-0.22,46,3267,0,0,0,0,0,0,0,0
18679,-0.20,93,3166,0,0,0,0,0,0,0,0
18715,-0.20,111,3013,0,0,0,0,0,0,0,0
18751,-0.20,80,2948,0,0,0,0,0,0,0,0
18787,-0.24,20,2954,0,0,0,0,0,0,0,0
18823,-0.18,-36,2994,0,0,0,0,0,0,0,0
18859,-0.16,-65,3039,0,0,0,0,0,0,0,0
18895,-0.21,-64,3056,0,0,0,0,0,0,0,0
18931,-0.18,-45,3065,0,0,0,0,0,0,0,0
18967,-0.13,-23,3050,0,0,0,0,0,0,0,0
19003,-0.18,-8,3030,0,0,0,0,0,0,0,0
19039,-0.27,-3,3030,0,0,0,0,0,0,0,0
19075,-0.18,-5,3035,0,0,0,0,0,0,0,0
19111,-0.20,-6,3047,0,0,0,0,0,0,0,0
19147,-0.16,-7,3037,0,0,0,0,0,0,0,0
19183,-0.24,-7,3040,0,0,0,0,0,0,0,0
19219,-0.27,-6,3040,0,0,0,0,0,0,0,0
19255,-0.22,-6,3042,0,0,0,0,0,0,0,0
19291,-0.23,-5,3051,0,0,0,0,0,0,0,0
19327,-0.23,-2,3059,0,0,0,0,0,0,0,0
19363,-0.20,2,3057,0,0,0,0,0,0,0,0
19399,-0.20,6,3046,0,0,0,0,0,0,0,0
