Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.19,210,3233,0,0,0,0,0,0,0,0
14863,-0.17,865,3325,0,0,0,0,0,0,0,0
14899,-0.07,1707,3218,0,0,0,0,0,0,0,0
14935,-0.22,2346,3264,0,0,0,0,0,0,0,0
14971,-0.09,2688,3341,0,0,0,0,0,0,0,0
15007,-0.19,2784,3343,0,0,0,0,0,0,0,0
15043,-0.19,2708,3216,0,0,0,0,0,0,0,0
15079,-0.13,2521,3127,0,0,0,0,0,0,0,0
15115,-0.09,2287,3178,0,0,0,0,0,0,0,0
15151,-0.08,2075,3318,0,0,0,0,0,0,0,0
15187,-0.16,1931,3473,0,0,0,0,0,0,0,0
15223,-0.13,1851,3422,0,0,0,0,0,0,0,0
15259,-0.00,1768,3063,0,0,0,0,0,0,0,0
15295,-0.10,1623,2987,0,0,0,0,0,0,0,0
15331,-0.08,1462,3395,0,0,0,0,0,0,0,0
15367,-0.10,1369,3429,0,0,0,0,0,0,0,0
15403,-0.13,1320,3171,0,0,0,0,0,0,0,0
15439,-0.17,1261,3344,0,0,0,0,0,0,0,0
15475,-0.13,1206,3440,0,0,0,0,0,0,0,0
15511,-0.12,1132,2827,0,0,0,0,0,0,0,0
15547,-0.04,961,2559,0,0,0,0,0,0,0,0
15583,-0.08,757,3248,0,0,0,0,0,0,0,0
15619,-0.05,702,3919,0,0,0,0,0,0,0,0
15655,-0.11,813,3479,0,0,0,0,0,0,0,0
15691,-0.20,905,3088,0,0,0,0,0,0,0,0
15727,-0.07,860,2977,0,0,0,0,0,0,0,0
15763,-0.15,724,3028,0,0,0,0,0,0,0,0
15799,-0.07,583,3093,0,0,0,0,0,0,0,0
15835,-0.03,480,3021,0,0,0,0,0,0,0,0
15871,-0.09,399,2875,0,0,0,0,0,0,0,0
15907,-0.08,320,2905,0,0,0,0,0,0,0,0
15943,-0.09,265,3042,0,0,0,0,0,0,0,0
15979,-0.14,256,3147,0,0,0,0,0,0,0,0
16015,-0.08,285,3128,0,0,0,0,0,0,0,0
16051,-0.06,318,3091,0,0,0,0,0,0,0,0
16087,-0.12,332,3099,0,0,0,0,0,0,0,0
16123,-0.04,323,3063,0,0,0,0,0,0,0,0
16159,-0.11,299,3055,0,0,0,0,0,0,0,0
16195,-0.07,265,3020,0,0,0,0,0,0,0,0
16231,-0.15,232,3059,0,0,0,0,0,0,0,0
16267,-0.10,207,3071,0,0,0,0,0,0,0,0
16303,-0.06,191,3025,0,0,0,0,0,0,0,0
16339,-0.03,170,2951,0,0,0,0,0,0,0,0
16375,-0.16,138,2942,0,0,0,0,0,0,0,0
16411,-0.09,108,3024,0,0,0,0,0,0,0,0
16447,-0.14,100,3091,0,0,0,0,0,0,0,0
16483,-0.04,117,3137,0,0,0,0,0,0,0,0
16519,-0.07,152,3200,0,0,0,0,0,0,0,0
16555,-0.04,194,3225,0,0,0,0,0,0,0,0
16591,-0.07,229,3187,0,0,0,0,0,0,0,0
16627,-0.10,237,3095,0,0,0,0,0,0,0,0
16663,-0.04,214,3086,0,0,0,0,0,0,0,0
16699,-0.09,173,3071,0,0,0,0,0,0,0,0
16735,-0.09,125,2979,0,0,0,0,0,0,0,0
16771,-0.13,74,2979,0,0,0,0,0,0,0,0
16807,-0.14,33,3037,0,0,0,0,0,0,0,0
16843,-0.14,21,3107,0,0,0,0,0,0,0,0
16879,-0.08,38,3145,0,0,0,0,0,0,0,0
16915,-0.06,66,3101,0,0,0,0,0,0,0,0
16951,-0.13,84,3067,0,0,0,0,0,0,0,0
16987,-0.09,84,3058,0,0,0,0,0,0,0,0
17023,-0.18,70,3026,0,0,0,0,0,0,0,0
17059,-0.05,49,3031,0,0,0,0,0,0,0,0
17095,-0.01,30,3045,0,0,0,0,0,0,0,0
17131,-0.04,18,3036,0,0,0,0,0,0,0,0
17167,-0.01,10,3002,0,0,0,0,0,0,0,0
17203,-0.05,0,2987,0,0,0,0,0,0,0,0
17239,-0.09,-12,2970,0,0,0,0,0,0,0,0
17275,-0.06,-26,2978,0,0,0,0,0,0,0,0
17311,-0.05,-35,2997,0,0,0,0,0,0,0,0
17347,-0.11,-37,2965,0,0,0,0,0,0,0,0
17383,-0.12,-41,2928,0,0,0,0,0,0,0,0
17419,-0.07,-56,2839,0,0,0,0,0,0,0,0
17455,-0.10,-94,2682,0,0,0,0,0,0,0,0
17491,-0.11,-153,2720,0,0,0,0,0,0,0,0
17527,-0.14,-190,2960,0,0,0,0,0,0,0,0
17563,-0.15,-153,3235,0,0,0,0,0,0,0,0
17599,-0.16,-29,3457,0,0,0,0,0,0,0,0
17635,-0.13,140,3469,0,0,0,0,0,0,0,0
17671,-0.17,286,3367,0,0,0,0,0,0,0,0
17707,-0.12,352,3200,0,0,0,0,0,0,0,0
17743,-0.14,328,3108,0,0,0,0,0,0,0,0
17779,-0.11,243,3031,0,0,0,0,0,0,0,0
17815,-0.13,136,2985,0,0,0,0,0,0,0,0
17851,-0.08,38,2998,0,0,0,0,0,0,0,0
17887,-0.08,-25,3056,0,0,0,0,0,0,0,0
17923,-0.13,-49,3067,0,0,0,0,0,0,0,0
17959,-0.17,-48,2992,0,0,0,0,0,0,0,0
17995,-0.06,-52,2928,0,0,0,0,0,0,0,0
18031,-0.10,-65,2973,0,0,0,0,0,0,0,0
18067,-0.08,-71,3041,0,0,0,0,0,0,0,0
18103,-0.06,-54,3117,0,0,0,0,0,0,0,0
18139,-0.05,-12,3210,0,0,0,0,0,0,0,0
18175,0.00,43,3200,0,0,0,0,0,0,0,0
18211,-0.10,89,3131,0,0,0,0,0,0,0,0
18247,-0.17,103,3088,0,0,0,0,0,0,0,0
18283,-0.04,89,3058,0,0,0,0,0,0,0,0
18319,-0.12,54,2980,0,0,0,0,0,0,0,0
18355,-0.11,6,2960,0,0,0,0,0,0,0,0
18391,-0.09,-35,3028,0,0,0,0,0,0,0,0
