Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
14828,-0.28,267,0,0,0,0,0,0,0,0
14863,-0.16,1092,0,0,0,0,0,0,0,0
14899,-0.13,2060,0,0,0,0,0,0,0,0
14935,-0.14,2553,0,0,0,0,0,0,0,0
14971,-0.07,2471,0,0,0,0,0,0,0,0
15007,-0.11,2072,0,0,0,0,0,0,0,0
15043,-0.13,1664,0,0,0,0,0,0,0,0
15079,-0.18,1425,0,0,0,0,0,0,0,0
15115,-0.01,1360,0,0,0,0,0,0,0,0
15151,-0.18,1378,0,0,0,0,0,0,0,0
15187,-0.18,1442,0,0,0,0,0,0,0,0
15223,-0.16,1626,0,0,0,0,0,0,0,0
15259,-0.08,1929,0,0,0,0,0,0,0,0
15295,-0.13,2209,0,0,0,0,0,0,0,0
15331,-0.04,2363,0,0,0,0,0,0,0,0
15367,-0.16,2385,0,0,0,0,0,0,0,0
15403,-0.05,2146,0,0,0,0,0,0,0,0
15439,-0.16,1456,0,0,0,0,0,0,0,0
15475,-0.10,585,0,0,0,0,0,0,0,0
15511,-0.21,103,0,0,0,0,0,0,0,0
15547,-0.12,181,0,0,0,0,0,0,0,0
15583,-0.19,493,0,0,0,0,0,0,0,0
15619,-0.16,645,0,0,0,0,0,0,0,0
15655,-0.17,521,0,0,0,0,0,0,0,0
15691,-0.09,250,0,0,0,0,0,0,0,0
15727,-0.17,17,0,0,0,0,0,0,0,0
15763,-0.14,-70,0,0,0,0,0,0,0,0
15799,-0.07,-24,0,0,0,0,0,0,0,0
15835,-0.09,74,0,0,0,0,0,0,0,0
15871,-0.12,182,0,0,0,0,0,0,0,0
15907,-0.07,387,0,0,0,0,0,0,0,0
15943,-0.15,762,0,0,0,0,0,0,0,0
15979,-0.16,1166,0,0,0,0,0,0,0,0
16015,-0.10,1446,0,0,0,0,0,0,0,0
16051,-0.11,1573,0,0,0,0,0,0,0,0
16087,-0.12,1433,0,0,0,0,0,0,0,0
16123,-0.07,827,0,0,0,0,0,0,0,0
16159,-0.06,-46,0,0,0,0,0,0,0,0
16195,-0.12,-631,0,0,0,0,0,0,0,0
16231,-0.14,-662,0,0,0,0,0,0,0,0
16267,-0.12,-371,0,0,0,0,0,0,0,0
16303,-0.21,-135,0,0,0,0,0,0,0,0
16339,-0.11,-137,0,0,0,0,0,0,0,0
16375,-0.10,-310,0,0,0,0,0,0,0,0
16411,-0.16,-483,0,0,0,0,0,0,0,0
16447,-0.08,-530,0,0,0,0,0,0,0,0
16483,-0.13,-433,0,0,0,0,0,0,0,0
16519,-0.13,-262,0,0,0,0,0,0,0,0
16555,-0.01,-108,0,0,0,0,0,0,0,0
16591,-0.10,-11,0,0,0,0,0,0,0,0
16627,-0.05,151,0,0,0,0,0,0,0,0
16663,-0.07,506,0,0,0,0,0,0,0,0
16699,-0.11,928,0,0,0,0,0,0,0,0
16735,-0.14,1239,0,0,0,0,0,0,0,0
16771,-0.09,1396,0,0,0,0,0,0,0,0
16807,-0.14,1285,0,0,0,0,0,0,0,0
16843,-0.12,701,0,0,0,0,0,0,0,0
16879,-0.10,-165,0,0,0,0,0,0,0,0
16915,-0.05,-732,0,0,0,0,0,0,0,0
16951,-0.06,-712,0,0,0,0,0,0,0,0
16987,-0.09,-361,0,0,0,0,0,0,0,0
17023,-0.10,-95,0,0,0,0,0,0,0,0
17059,-0.04,-100,0,0,0,0,0,0,0,0
17095,-0.08,-298,0,0,0,0,0,0,0,0
17131,-0.07,-507,0,0,0,0,0,0,0,0
17167,-0.15,-595,0,0,0,0,0,0,0,0
17203,-0.13,-539,0,0,0,0,0,0,0,0
17239,-0.14,-396,0,0,0,0,0,0,0,0
17275,-0.07,-248,0,0,0,0,0,0,0,0
17311,-0.14,-157,0,0,0,0,0,0,0,0
17347,-0.08,-95,0,0,0,0,0,0,0,0
17383,-0.09,96,0,0,0,0,0,0,0,0
17419,-0.02,483,0,0,0,0,0,0,0,0
17455,-0.13,905,0,0,0,0,0,0,0,0
17491,-0.04,1204,0,0,0,0,0,0,0,0
17527,-0.08,1263,0,0,0,0,0,0,0,0
17563,-0.11,835,0,0,0,0,0,0,0,0
17599,-0.17,-95,0,0,0,0,0,0,0,0
17635,-0.11,-959,0,0,0,0,0,0,0,0
17671,-0.05,-1170,0,0,0,0,0,0,0,0
17707,-0.03,-768,0,0,0,0,0,0,0,0
17743,-0.18,-246,0,0,0,0,0,0,0,0
17779,-0.06,-14,0,0,0,0,0,0,0,0
17815,-0.12,-131,0,0,0,0,0,0,0,0
17851,-0.07,-404,0,0,0,0,0,0,0,0
17887,-0.11,-611,0,0,0,0,0,0,0,0
17923,-0.08,-647,0,0,0,0,0,0,0,0
17959,-0.15,-533,0,0,0,0,0,0,0,0
17995,-0.14,-359,0,0,0,0,0,0,0,0
18031,-0.20,-215,0,0,0,0,0,0,0,0
18067,-0.00,-150,0,0,0,0,0,0,0,0
18103,-0.20,-126,0,0,0,0,0,0,0,0
18139,-0.08,34,0,0,0,0,0,0,0,0
18175,-0.18,434,0,0,0,0,0,0,0,0
18211,-0.15,905,0,0,0,0,0,0,0,0
18247,-0.17,1252,0,0,0,0,0,0,0,0
18283,-0.17,1255,0,0,0,0,0,0,0,0
18319,-0.15,662,0,0,0,0,0,0,0,0
18355,-0.08,-346,0,0,0,0,0,0,0,0
18391,-0.15,-1142,0,0,0,0,0,0,0,0
18427,-0.14,-1231,0,0,0,0,0,0,0,0
18463,-0.10,-707,0,0,0,0,0,0,0,0
18499,-0.14,-104,0,0,0,0,0,0,0,0
18535,-0.15,158,0,0,0,0,0,0,0,0
18571,-0.07,41,0,0,0,0,0,0,0,0
18607,-0.18,-251,0,0,0,0,0,0,0,0
18643,-0.07,-484,0,0,0,0,0,0,0,0
18679,-0.18,-538,0,0,0,0,0,0,0,0
18715,-0.07,-428,0,0,0,0,0,0,0,0
18751,-0.12,-250,0,0,0,0,0,0,0,0
18787,-0.17,-106,0,0,0,0,0,0,0,0
18823,-0.20,-5,0,0,0,0,0,0,0,0
18859,-0.19,199,0,0,0,0,0,0,0,0
18895,-0.12,593,0,0,0,0,0,0,0,0
18931,-0.15,1024,0,0,0,0,0,0,0,0
18967,-0.14,1328,0,0,0,0,0,0,0,0
19003,-0.07,1304,0,0,0,0,0,0,0,0
19039,-0.15,704,0,0,0,0,0,0,0,0
19075,-0.17,-282,0,0,0,0,0,0,0,0
19111,-0.19,-1008,0,0,0,0,0,0,0,0
19147,-0.13,-1006,0,0,0,0,0,0,0,0
19183,-0.17,-423,0,0,0,0,0,0,0,0
19219,-0.11,179,0,0,0,0,0,0,0,0
19255,-0.11,407,0,0,0,0,0,0,0,0
19291,-0.12,263,0,0,0,0,0,0,0,0
19327,-0.21,-31,0,0,0,0,0,0,0,0
19363,-0.16,-256,0,0,0,0,0,0,0,0
19399,-0.13,-314,0,0,0,0,0,0,0,0
19435,-0.16,-238,0,0,0,0,0,0,0,0
19471,-0.17,-122,0,0,0,0,0,0,0,0
19507,-0.04,-30,0,0,0,0,0,0,0,0
19543,-0.11,128,0,0,0,0,0,0,0,0
19579,-0.07,473,0,0,0,0,0,0,0,0
19615,-0.15,885,0,0,0,0,0,0,0,0
19651,-0.15,1189,0,0,0,0,0,0,0,0
19687,-0.10,1345,0,0,0,0,0,0,0,0
19723,-0.11,1261,0,0,0,0,0,0,0,0
19759,-0.07,735,0,0,0,0,0,0,0,0
19795,-0.01,-115,0,0,0,0,0,0,0,0
19831,-0.16,-714,0,0,0,0,0,0,0,0
19867,-0.09,-679,0,0,0,0,0,0,0,0
19903,-0.17,-197,0,0,0,0,0,0,0,0
19939,-0.04,266,0,0,0,0,0,0,0,0
19975,-0.18,409,0,0,0,0,0,0,0,0
20011,-0.09,251,0,0,0,0,0,0,0,0
20047,-0.17,-5,0,0,0,0,0,0,0,0
20083,-0.13,-183,0,0,0,0,0,0,0,0
20119,-0.16,-214,0,0,0,0,0,0,0,0
20155,-0.08,-133,0,0,0,0,0,0,0,0
20191,-0.12,-28,0,0,0,0,0,0,0,0
20227,-0.03,63,0,0,0,0,0,0,0,0
20263,-0.15,226,0,0,0,0,0,0,0,0
20299,-0.21,509,0,0,0,0,0,0,0,0
20335,-0.15,807,0,0,0,0,0,0,0,0
20371,-0.16,1011,0,0,0,0,0,0,0,0
20407,-0.14,1103,0,0,0,0,0,0,0,0
20443,-0.18,1045,0,0,0,0,0,0,0,0
20479,-0.11,667,0,0,0,0,0,0,0,0
20515,-0.14,-17,0,0,0,0,0,0,0,0
20551,-0.17,-566,0,0,0,0,0,0,0,0
20587,-0.11,-622,0,0,0,0,0,0,0,0
20623,-0.20,-332,0,0,0,0,0,0,0,0
20659,-0.16,-80,0,0,0,0,0,0,0,0
20695,-0.15,-66,0,0,0,0,0,0,0,0
20731,-0.09,-226,0,0,0,0,0,0,0,0
20767,-0.21,-403,0,0,0,0,0,0,0,0
20803,-0.16,-478,0,0,0,0,0,0,0,0
20839,-0.15,-428,0,0,0,0,0,0,0,0
20875,-0.17,-310,0,0,0,0,0,0,0,0
20911,-0.07,-207,0,0,0,0,0,0,0,0
20947,-0.10,-139,0,0,0,0,0,0,0,0
20983,-0.13,4,0,0,0,0,0,0,0,0
21019,-0.08,306,0,0,0,0,0,0,0,0
21055,-0.16,652,0,0,0,0,0,0,0,0
21091,-0.14,905,0,0,0,0,0,0,0,0
21127,-0.05,1033,0,0,0,0,0,0,0,0
21163,-0.06,922,0,0,0,0,0,0,0,0
21199,-0.10,372,0,0,0,0,0,0,0,0
21235,-0.18,-428,0,0,0,0,0,0,0,0
21271,-0.15,-921,0,0,0,0,0,0,0,0
21307,-0.14,-848,0,0,0,0,0,0,0,0
21343,-0.18,-477,0,0,0,0,0,0,0,0
21379,-0.10,-221,0,0,0,0,0,0,0,0
21415,-0.20,-246,0,0,0,0,0,0,0,0
21451,-0.05,-451,0,0,0,0,0,0,0,0
21487,-0.15,-643,0,0,0,0,0,0,0,0
21523,-0.16,-697,0,0,0,0,0,0,0,0
21559,-0.11,-606,0,0,0,0,0,0,0,0
21595,-0.10,-441,0,0,0,0,0,0,0,0
21631,-0.12,-291,0,0,0,0,0,0,0,0
21667,-0.12,-167,0,0,0,0,0,0,0,0
21703,-0.19,50,0,0,0,0,0,0,0,0
21739,-0.07,413,0,0,0,0,0,0,0,0
21775,-0.16,787,0,0,0,0,0,0,0,0
21811,-0.17,1043,0,0,0,0,0,0,0,0
21847,-0.12,1083,0,0,0,0,0,0,0,0
21883,-0.15,672,0,0,0,0,0,0,0,0
21919,-0.17,-213,0,0,0,0,0,0,0,0
21955,-0.19,-1024,0,0,0,0,0,0,0,0
21991,-0.12,-1206,0,0,0,0,0,0,0,0
22027,-0.20,-812,0,0,0,0,0,0,0,0
