Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.25,170,2613,0,0,0,0,0,0,0,0
14863,-0.15,700,2671,0,0,0,0,0,0,0,0
14899,-0.14,1383,2671,0,0,0,0,0,0,0,0
14935,-0.15,1908,2650,0,0,0,0,0,0,0,0
14971,-0.24,2185,2646,0,0,0,0,0,0,0,0
15007,-0.17,2265,2903,0,0,0,0,0,0,0,0
15043,-0.18,2319,4095,0,0,0,0,0,0,0,0
15079,-0.14,2483,4095,0,0,0,0,0,0,0,0
15115,-0.07,2680,4095,0,0,0,0,0,0,0,0
15151,-0.20,2788,4095,0,0,0,0,0,0,0,0
15187,-0.13,2785,4095,0,0,0,0,0,0,0,0
15223,-0.11,2694,4095,0,0,0,0,0,0,0,0
15259,-0.16,2331,735,0,0,0,0,0,0,0,0
15295,-0.17,1472,455,0,0,0,0,0,0,0,0
15331,-0.19,467,1675,0,0,0,0,0,0,0,0
15367,-0.22,-91,2869,0,0,0,0,0,0,0,0
15403,-0.22,-42,3430,0,0,0,0,0,0,0,0
15439,-0.11,368,3216,0,0,0,0,0,0,0,0
15475,-0.15,771,2749,0,0,0,0,0,0,0,0
15511,-0.18,947,2423,0,0,0,0,0,0,0,0
15547,-0.09,886,2309,0,0,0,0,0,0,0,0
15583,-0.17,703,2343,0,0,0,0,0,0,0,0
15619,-0.24,519,2470,0,0,0,0,0,0,0,0
15655,-0.13,407,2590,0,0,0,0,0,0,0,0
15691,-0.17,374,2643,0,0,0,0,0,0,0,0
15727,-0.09,391,2625,0,0,0,0,0,0,0,0
15763,-0.20,414,2602,0,0,0,0,0,0,0,0
15799,-0.17,423,2608,0,0,0,0,0,0,0,0
15835,-0.17,418,2646,0,0,0,0,0,0,0,0
15871,-0.24,409,2657,0,0,0,0,0,0,0,0
15907,-0.13,397,2651,0,0,0,0,0,0,0,0
15943,-0.16,383,2671,0,0,0,0,0,0,0,0
15979,-0.18,367,2666,0,0,0,0,0,0,0,0
16015,-0.21,358,2791,0,0,0,0,0,0,0,0
16051,-0.28,449,4095,0,0,0,0,0,0,0,0
16087,-0.20,724,4095,0,0,0,0,0,0,0,0
16123,-0.19,1065,4095,0,0,0,0,0,0,0,0
16159,-0.08,1315,4095,0,0,0,0,0,0,0,0
16195,-0.18,1436,4095,0,0,0,0,0,0,0,0
16231,-0.16,1448,4095,0,0,0,0,0,0,0,0
16267,-0.21,1202,1187,0,0,0,0,0,0,0,0
16303,-0.14,474,394,0,0,0,0,0,0,0,0
16339,-0.17,-466,1392,0,0,0,0,0,0,0,0
16375,-0.17,-1052,2624,0,0,0,0,0,0,0,0
16411,-0.17,-1041,3312,0,0,0,0,0,0,0,0
16447,-0.14,-619,3243,0,0,0,0,0,0,0,0
16483,-0.18,-138,2849,0,0,0,0,0,0,0,0
16519,-0.18,149,2509,0,0,0,0,0,0,0,0
16555,-0.13,196,2361,0,0,0,0,0,0,0,0
16591,-0.13,94,2384,0,0,0,0,0,0,0,0
16627,-0.05,-41,2453,0,0,0,0,0,0,0,0
16663,-0.16,-132,2559,0,0,0,0,0,0,0,0
16699,-0.18,-153,2635,0,0,0,0,0,0,0,0
16735,-0.15,-121,2645,0,0,0,0,0,0,0,0
16771,-0.15,-70,2631,0,0,0,0,0,0,0,0
16807,-0.16,-28,2624,0,0,0,0,0,0,0,0
16843,-0.20,-2,2627,0,0,0,0,0,0,0,0
16879,-0.16,10,2636,0,0,0,0,0,0,0,0
16915,-0.13,15,2643,0,0,0,0,0,0,0,0
16951,-0.22,18,2660,0,0,0,0,0,0,0,0
16987,-0.10,22,2665,0,0,0,0,0,0,0,0
17023,-0.13,29,2705,0,0,0,0,0,0,0,0
