Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.26,172,2659,0,0,0,0,0,0,0,0
14863,-0.18,703,2659,0,0,0,0,0,0,0,0
14899,-0.20,1384,2635,0,0,0,0,0,0,0,0
14935,-0.18,1908,2726,0,0,0,0,0,0,0,0
14971,-0.15,2268,3781,0,0,0,0,0,0,0,0
15007,-0.14,2587,4095,0,0,0,0,0,0,0,0
15043,-0.19,2865,4095,0,0,0,0,0,0,0,0
15079,-0.19,3021,4095,0,0,0,0,0,0,0,0
15115,-0.14,3034,4095,0,0,0,0,0,0,0,0
15151,-0.21,2938,4095,0,0,0,0,0,0,0,0
15187,-0.21,2706,2953,0,0,0,0,0,0,0,0
15223,-0.24,2121,276,0,0,0,0,0,0,0,0
15259,-0.14,1127,585,0,0,0,0,0,0,0,0
15295,-0.19,201,2037,0,0,0,0,0,0,0,0
15331,-0.19,-148,3177,0,0,0,0,0,0,0,0
15367,-0.17,94,3507,0,0,0,0,0,0,0,0
15403,-0.27,587,3102,0,0,0,0,0,0,0,0
15439,-0.22,966,2674,0,0,0,0,0,0,0,0
15475,-0.23,1077,2437,0,0,0,0,0,0,0,0
15511,-0.18,973,2403,0,0,0,0,0,0,0,0
15547,-0.26,787,2495,0,0,0,0,0,0,0,0
15583,-0.19,626,2609,0,0,0,0,0,0,0,0
15619,-0.16,537,2682,0,0,0,0,0,0,0,0
15655,-0.15,510,2688,0,0,0,0,0,0,0,0
15691,-0.09,510,2667,0,0,0,0,0,0,0,0
15727,-0.18,509,2662,0,0,0,0,0,0,0,0
15763,-0.17,500,2682,0,0,0,0,0,0,0,0
15799,-0.20,485,2688,0,0,0,0,0,0,0,0
15835,-0.10,463,2645,0,0,0,0,0,0,0,0
15871,-0.14,432,2622,0,0,0,0,0,0,0,0
15907,-0.22,391,2615,0,0,0,0,0,0,0,0
15943,-0.20,357,2730,0,0,0,0,0,0,0,0
15979,-0.18,420,3920,0,0,0,0,0,0,0,0
16015,-0.16,669,4095,0,0,0,0,0,0,0,0
16051,-0.23,1010,4095,0,0,0,0,0,0,0,0
16087,-0.16,1284,4095,0,0,0,0,0,0,0,0
16123,-0.33,1431,4095,0,0,0,0,0,0,0,0
16159,-0.26,1464,4095,0,0,0,0,0,0,0,0
16195,-0.18,1343,2938,0,0,0,0,0,0,0,0
16231,-0.16,849,225,0,0,0,0,0,0,0,0
16267,-0.19,-68,614,0,0,0,0,0,0,0,0
16303,-0.14,-909,2163,0,0,0,0,0,0,0,0
16339,-0.30,-1158,3344,0,0,0,0,0,0,0,0
16375,-0.24,-812,3622,0,0,0,0,0,0,0,0
16411,-0.14,-244,3081,0,0,0,0,0,0,0,0
16447,-0.17,168,2619,0,0,0,0,0,0,0,0
16483,-0.12,288,2384,0,0,0,0,0,0,0,0
16519,-0.11,194,2385,0,0,0,0,0,0,0,0
16555,-0.13,32,2493,0,0,0,0,0,0,0,0
16591,-0.10,-87,2611,0,0,0,0,0,0,0,0
16627,-0.12,-129,2667,0,0,0,0,0,0,0,0
16663,-0.28,-111,2658,0,0,0,0,0,0,0,0
16699,-0.22,-73,2615,0,0,0,0,0,0,0,0
16735,-0.20,-43,2623,0,0,0,0,0,0,0,0
16771,-0.26,-24,2659,0,0,0,0,0,0,0,0
16807,-0.21,-11,2649,0,0,0,0,0,0,0,0
16843,-0.10,-5,2608,0,0,0,0,0,0,0,0
16879,-0.15,-12,2559,0,0,0,0,0,0,0,0
16915,-0.15,-31,2559,0,0,0,0,0,0,0,0
16951,-0.25,-37,2800,0,0,0,0,0,0,0,0
16987,-0.17,81,4095,0,0,0,0,0,0,0,0
17023,-0.15,397,4095,0,0,0,0,0,0,0,0
17059,-0.22,777,4095,0,0,0,0,0,0,0,0
17095,-0.21,1058,4095,0,0,0,0,0,0,0,0
17131,-0.24,1203,4095,0,0,0,0,0,0,0,0
17167,-0.20,1233,4095,0,0,0,0,0,0,0,0
17203,-0.18,1107,2815,0,0,0,0,0,0,0,0
17239,-0.22,604,231,0,0,0,0,0,0,0,0
17275,-0.21,-308,598,0,0,0,0,0,0,0,0
17311,-0.17,-1135,2081,0,0,0,0,0,0,0,0
17347,-0.19,-1386,3140,0,0,0,0,0,0,0,0
17383,-0.14,-1069,3346,0,0,0,0,0,0,0,0
17419,-0.24,-533,2972,0,0,0,0,0,0,0,0
17455,-0.18,-118,2589,0,0,0,0,0,0,0,0
17491,-0.28,42,2383,0,0,0,0,0,0,0,0
17527,-0.14,7,2400,0,0,0,0,0,0,0,0
17563,-0.18,-99,2489,0,0,0,0,0,0,0,0
17599,-0.20,-181,2600,0,0,0,0,0,0,0,0
17635,-0.26,-202,2671,0,0,0,0,0,0,0,0
17671,-0.20,-171,2704,0,0,0,0,0,0,0,0
17707,-0.07,-117,2717,0,0,0,0,0,0,0,0
17743,-0.18,-63,2706,0,0,0,0,0,0,0,0
17779,-0.20,-26,2670,0,0,0,0,0,0,0,0
17815,-0.23,-18,2559,0,0,0,0,0,0,0,0
17851,-0.24,-43,2512,0,0,0,0,0,0,0,0
17887,-0.22,-85,2542,0,0,0,0,0,0,0,0
17923,-0.15,-111,2694,0,0,0,0,0,0,0,0
17959,-0.12,-8,4083,0,0,0,0,0,0,0,0
17995,-0.18,306,4095,0,0,0,0,0,0,0,0
18031,-0.19,699,4095,0,0,0,0,0,0,0,0
18067,-0.20,999,4095,0,0,0,0,0,0,0,0
18103,-0.24,1160,4095,0,0,0,0,0,0,0,0
18139,-0.20,1200,4095,0,0,0,0,0,0,0,0
18175,-0.21,1055,2427,0,0,0,0,0,0,0,0
18211,-0.17,505,295,0,0,0,0,0,0,0,0
18247,-0.18,-405,815,0,0,0,0,0,0,0,0
18283,-0.17,-1168,2203,0,0,0,0,0,0,0,0
18319,-0.14,-1358,3120,0,0,0,0,0,0,0,0
18355,-0.16,-1031,3231,0,0,0,0,0,0,0,0
18391,-0.14,-530,2845,0,0,0,0,0,0,0,0
18427,-0.18,-166,2463,0,0,0,0,0,0,0,0
18463,-0.20,-43,2316,0,0,0,0,0,0,0,0
18499,-0.13,-90,2352,0,0,0,0,0,0,0,0
18535,-0.19,-185,2476,0,0,0,0,0,0,0,0
18571,-0.08,-242,2591,0,0,0,0,0,0,0,0
18607,-0.20,-238,2630,0,0,0,0,0,0,0,0
18643,-0.14,-193,2643,0,0,0,0,0,0,0,0
18679,-0.19,-138,2640,0,0,0,0,0,0,0,0
18715,-0.22,-93,2640,0,0,0,0,0,0,0,0
18751,-0.23,-67,2593,0,0,0,0,0,0,0,0
18787,-0.21,-65,2531,0,0,0,0,0,0,0,0
18823,-0.23,-83,2501,0,0,0,0,0,0,0,0
18859,-0.18,-110,2535,0,0,0,0,0,0,0,0
18895,-0.20,-95,3044,0,0,0,0,0,0,0,0
18931,-0.25,69,4095,0,0,0,0,0,0,0,0
18967,-0.19,415,4095,0,0,0,0,0,0,0,0
19003,-0.11,794,4095,0,0,0,0,0,0,0,0
19039,-0.22,1062,4095,0,0,0,0,0,0,0,0
19075,-0.20,1193,4095,0,0,0,0,0,0,0,0
19111,-0.21,1083,2096,0,0,0,0,0,0,0,0
19147,-0.31,498,47,0,0,0,0,0,0,0,0
19183,-0.24,-472,592,0,0,0,0,0,0,0,0
19219,-0.24,-1271,2069,0,0,0,0,0,0,0,0
19255,-0.21,-1451,3184,0,0,0,0,0,0,0,0
19291,-0.18,-1054,3469,0,0,0,0,0,0,0,0
19327,-0.14,-445,3071,0,0,0,0,0,0,0,0
19363,-0.17,19,2697,0,0,0,0,0,0,0,0
19399,-0.22,203,2487,0,0,0,0,0,0,0,0
19435,-0.33,168,2434,0,0,0,0,0,0,0,0
19471,-0.16,35,2448,0,0,0,0,0,0,0,0
19507,-0.23,-97,2480,0,0,0,0,0,0,0,0
19543,-0.11,-181,2541,0,0,0,0,0,0,0,0
19579,-0.15,-204,2606,0,0,0,0,0,0,0,0
19615,-0.17,-178,2672,0,0,0,0,0,0,0,0
19651,-0.20,-120,2733,0,0,0,0,0,0,0,0
19687,-0.22,-52,2720,0,0,0,0,0,0,0,0
19723,-0.19,-4,2623,0,0,0,0,0,0,0,0
19759,-0.21,4,2553,0,0,0,0,0,0,0,0
19795,-0.16,-19,2583,0,0,0,0,0,0,0,0
19831,-0.20,-13,3162,0,0,0,0,0,0,0,0
19867,-0.22,141,4095,0,0,0,0,0,0,0,0
19903,-0.13,470,4095,0,0,0,0,0,0,0,0
19939,-0.21,824,4095,0,0,0,0,0,0,0,0
19975,-0.21,1072,4095,0,0,0,0,0,0,0,0
20011,-0.23,1189,4095,0,0,0,0,0,0,0,0
20047,-0.17,1166,3511,0,0,0,0,0,0,0,0
20083,-0.21,796,400,0,0,0,0,0,0,0,0
20119,-0.18,-57,422,0,0,0,0,0,0,0,0
20155,-0.26,-963,1815,0,0,0,0,0,0,0,0
20191,-0.19,-1350,3008,0,0,0,0,0,0,0,0
20227,-0.13,-1126,3442,0,0,0,0,0,0,0,0
20263,-0.22,-597,3093,0,0,0,0,0,0,0,0
20299,-0.21,-143,2608,0,0,0,0,0,0,0,0
20335,-0.18,47,2317,0,0,0,0,0,0,0,0
20371,-0.22,6,2286,0,0,0,0,0,0,0,0
20407,-0.21,-125,2422,0,0,0,0,0,0,0,0
20443,-0.17,-227,2559,0,0,0,0,0,0,0,0
20479,-0.20,-251,2663,0,0,0,0,0,0,0,0
20515,-0.15,-209,2687,0,0,0,0,0,0,0,0
20551,-0.23,-141,2672,0,0,0,0,0,0,0,0
20587,-0.15,-83,2639,0,0,0,0,0,0,0,0
20623,-0.15,-51,2627,0,0,0,0,0,0,0,0
20659,-0.16,-38,2669,0,0,0,0,0,0,0,0
20695,-0.22,-23,2784,0,0,0,0,0,0,0,0
20731,-0.25,62,3663,0,0,0,0,0,0,0,0
20767,-0.18,302,4095,0,0,0,0,0,0,0,0
20803,-0.10,640,4095,0,0,0,0,0,0,0,0
20839,-0.23,937,4095,0,0,0,0,0,0,0,0
20875,-0.21,1116,4095,0,0,0,0,0,0,0,0
20911,-0.23,1180,4095,0,0,0,0,0,0,0,0
20947,-0.28,1161,4095,0,0,0,0,0,0,0,0
20983,-0.18,965,2078,0,0,0,0,0,0,0,0
21019,-0.21,368,401,0,0,0,0,0,0,0,0
21055,-0.20,-539,863,0,0,0,0,0,0,0,0
21091,-0.17,-1263,2142,0,0,0,0,0,0,0,0
21127,-0.15,-1410,3312,0,0,0,0,0,0,0,0
21163,-0.26,-981,4082,0,0,0,0,0,0,0,0
21199,-0.21,-300,3411,0,0,0,0,0,0,0,0
21235,-0.15,189,2521,0,0,0,0,0,0,0,0
21271,-0.18,261,1947,0,0,0,0,0,0,0,0
21307,-0.20,15,1978,0,0,0,0,0,0,0,0
21343,-0.19,-278,2559,0,0,0,0,0,0,0,0
21379,-0.15,-387,3129,0,0,0,0,0,0,0,0
21415,-0.24,-281,3013,0,0,0,0,0,0,0,0
21451,-0.11,-131,2466,0,0,0,0,0,0,0,0
21487,-0.19,-106,2125,0,0,0,0,0,0,0,0
21523,-0.24,-209,2239,0,0,0,0,0,0,0,0
21559,-0.21,-312,2609,0,0,0,0,0,0,0,0
21595,-0.13,-311,2799,0,0,0,0,0,0,0,0
21631,-0.15,-187,3238,0,0,0,0,0,0,0,0
21667,-0.19,77,4095,0,0,0,0,0,0,0,0
21703,-0.14,460,4095,0,0,0,0,0,0,0,0
21739,-0.19,825,4095,0,0,0,0,0,0,0,0
21775,-0.23,1045,3794,0,0,0,0,0,0,0,0
21811,-0.30,1101,3967,0,0,0,0,0,0,0,0
21847,-0.23,1071,4081,0,0,0,0,0,0,0,0
21883,-0.22,982,3415,0,0,0,0,0,0,0,0
21919,-0.25,757,2779,0,0,0,0,0,0,0,0
21955,-0.16,389,2559,0,0,0,0,0,0,0,0
21991,-0.20,15,2857,0,0,0,0,0,0,0,0
22027,-0.27,-212,3120,0,0,0,0,0,0,0,0
22063,-0.15,-277,2842,0,0,0,0,0,0,0,0
22099,-0.20,-309,2313,0,0,0,0,0,0,0,0
22135,-0.20,-421,2004,0,0,0,0,0,0,0,0
22171,-0.14,-597,2058,0,0,0,0,0,0,0,0
22207,-0.21,-733,2326,0,0,0,0,0,0,0,0
22243,-0.22,-745,2621,0,0,0,0,0,0,0,0
22279,-0.11,-626,2783,0,0,0,0,0,0,0,0
22315,-0.21,-440,2766,0,0,0,0,0,0,0,0
22351,-0.22,-271,2689,0,0,0,0,0,0,0,0
22387,-0.21,-167,2654,0,0,0,0,0,0,0,0
22423,-0.16,-126,2661,0,0,0,0,0,0,0,0
22459,-0.25,-89,3143,0,0,0,0,0,0,0,0
22495,-0.19,63,4095,0,0,0,0,0,0,0,0
22531,-0.21,371,4095,0,0,0,0,0,0,0,0
22567,-0.17,707,4095,0,0,0,0,0,0,0,0
22603,-0.18,945,4095,0,0,0,0,0,0,0,0
22639,-0.19,1061,4095,0,0,0,0,0,0,0,0
22675,-0.25,855,688,0,0,0,0,0,0,0,0
22711,-0.16,96,231,0,0,0,0,0,0,0,0
22747,-0.21,-868,1382,0,0,0,0,0,0,0,0
22783,-0.27,-1422,2559,0,0,0,0,0,0,0,0
22819,-0.24,-1374,2991,0,0,0,0,0,0,0,0
22855,-0.14,-969,2730,0,0,0,0,0,0,0,0
22891,-0.19,-560,2286,0,0,0,0,0,0,0,0
22927,-0.20,-349,2070,0,0,0,0,0,0,0,0
22963,-0.21,-318,2207,0,0,0,0,0,0,0,0
22999,-0.18,-332,2602,0,0,0,0,0,0,0,0
23035,-0.19,-258,3131,0,0,0,0,0,0,0,0
23071,-0.14,-28,3783,0,0,0,0,0,0,0,0
23107,-0.25,314,3745,0,0,0,0,0,0,0,0
23143,-0.20,576,2864,0,0,0,0,0,0,0,0
23179,-0.18,548,2039,0,0,0,0,0,0,0,0
23215,-0.14,217,1659,0,0,0,0,0,0,0,0
23251,-0.24,-232,1846,0,0,0,0,0,0,0,0
23287,-0.27,-554,2444,0,0,0,0,0,0,0,0
