Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.20,167,2587,0,0,0,0,0,0,0,0
14863,-0.16,693,2713,0,0,0,0,0,0,0,0
14899,-0.18,1382,2720,0,0,0,0,0,0,0,0
14935,-0.14,1921,2675,0,0,0,0,0,0,0,0
14971,-0.13,2205,2614,0,0,0,0,0,0,0,0
15007,-0.14,2257,2559,0,0,0,0,0,0,0,0
15043,-0.11,2156,2559,0,0,0,0,0,0,0,0
15079,-0.17,1988,2602,0,0,0,0,0,0,0,0
15115,-0.18,1821,2683,0,0,0,0,0,0,0,0
15151,-0.20,1688,2702,0,0,0,0,0,0,0,0
15187,-0.18,1585,2673,0,0,0,0,0,0,0,0
15223,-0.16,1494,2656,0,0,0,0,0,0,0,0
15259,-0.17,1403,2624,0,0,0,0,0,0,0,0
15295,-0.18,1314,2688,0,0,0,0,0,0,0,0
15331,-0.10,1290,3507,0,0,0,0,0,0,0,0
15367,-0.15,1425,4095,0,0,0,0,0,0,0,0
15403,-0.15,1691,4095,0,0,0,0,0,0,0,0
15439,-0.19,1941,4095,0,0,0,0,0,0,0,0
15475,-0.12,2081,4095,0,0,0,0,0,0,0,0
15511,-0.16,2104,4095,0,0,0,0,0,0,0,0
15547,-0.13,1886,1739,0,0,0,0,0,0,0,0
15583,-0.26,1251,999,0,0,0,0,0,0,0,0
15619,-0.12,410,1695,0,0,0,0,0,0,0,0
15655,-0.21,-164,2714,0,0,0,0,0,0,0,0
15691,-0.25,-243,3405,0,0,0,0,0,0,0,0
15727,-0.11,52,3379,0,0,0,0,0,0,0,0
15763,-0.13,419,2925,0,0,0,0,0,0,0,0
15799,-0.15,617,2559,0,0,0,0,0,0,0,0
15835,-0.12,593,2406,0,0,0,0,0,0,0,0
15871,-0.15,438,2435,0,0,0,0,0,0,0,0
15907,-0.17,271,2543,0,0,0,0,0,0,0,0
15943,-0.14,167,2661,0,0,0,0,0,0,0,0
15979,-0.10,140,2698,0,0,0,0,0,0,0,0
16015,-0.13,160,2690,0,0,0,0,0,0,0,0
16051,-0.17,191,2667,0,0,0,0,0,0,0,0
16087,-0.12,207,2640,0,0,0,0,0,0,0,0
16123,-0.12,204,2615,0,0,0,0,0,0,0,0
16159,-0.23,187,2628,0,0,0,0,0,0,0,0
16195,-0.17,168,2656,0,0,0,0,0,0,0,0
16231,-0.17,156,2663,0,0,0,0,0,0,0,0
16267,-0.22,150,2672,0,0,0,0,0,0,0,0
16303,-0.26,145,2630,0,0,0,0,0,0,0,0
16339,-0.17,133,2595,0,0,0,0,0,0,0,0
16375,-0.17,113,2618,0,0,0,0,0,0,0,0
16411,-0.19,125,3071,0,0,0,0,0,0,0,0
16447,-0.10,270,4095,0,0,0,0,0,0,0,0
16483,-0.18,585,4095,0,0,0,0,0,0,0,0
16519,-0.12,931,4095,0,0,0,0,0,0,0,0
16555,-0.19,1174,4095,0,0,0,0,0,0,0,0
16591,-0.05,1288,4095,0,0,0,0,0,0,0,0
16627,-0.18,1193,2491,0,0,0,0,0,0,0,0
16663,-0.11,720,1022,0,0,0,0,0,0,0,0
16699,-0.14,-48,1357,0,0,0,0,0,0,0,0
16735,-0.11,-697,2378,0,0,0,0,0,0,0,0
16771,-0.23,-890,3233,0,0,0,0,0,0,0,0
16807,-0.10,-641,3455,0,0,0,0,0,0,0,0
16843,-0.23,-221,3102,0,0,0,0,0,0,0,0
16879,-0.10,89,2694,0,0,0,0,0,0,0,0
16915,-0.15,173,2432,0,0,0,0,0,0,0,0
16951,-0.28,79,2399,0,0,0,0,0,0,0,0
16987,-0.15,-73,2474,0,0,0,0,0,0,0,0
17023,-0.19,-191,2559,0,0,0,0,0,0,0,0
17059,-0.13,-236,2654,0,0,0,0,0,0,0,0
17095,-0.16,-216,2686,0,0,0,0,0,0,0,0
17131,-0.14,-163,2675,0,0,0,0,0,0,0,0
17167,-0.15,-112,2659,0,0,0,0,0,0,0,0
17203,-0.17,-79,2618,0,0,0,0,0,0,0,0
17239,-0.18,-69,2607,0,0,0,0,0,0,0,0
17275,-0.19,-71,2640,0,0,0,0,0,0,0,0
17311,-0.22,-70,2677,0,0,0,0,0,0,0,0
17347,-0.24,-59,2668,0,0,0,0,0,0,0,0
17383,-0.20,-50,2608,0,0,0,0,0,0,0,0
17419,-0.21,-54,2546,0,0,0,0,0,0,0,0
17455,-0.17,-74,2551,0,0,0,0,0,0,0,0
17491,-0.22,-74,2902,0,0,0,0,0,0,0,0
17527,-0.19,58,4095,0,0,0,0,0,0,0,0
17563,-0.12,382,4095,0,0,0,0,0,0,0,0
17599,-0.21,758,4095,0,0,0,0,0,0,0,0
17635,-0.25,1033,4095,0,0,0,0,0,0,0,0
17671,-0.23,1172,4095,0,0,0,0,0,0,0,0
17707,-0.16,1141,3200,0,0,0,0,0,0,0,0
17743,-0.22,784,1131,0,0,0,0,0,0,0,0
17779,-0.17,60,1115,0,0,0,0,0,0,0,0
17815,-0.27,-673,2089,0,0,0,0,0,0,0,0
17851,-0.37,-1000,3026,0,0,0,0,0,0,0,0
17887,-0.35,-846,3419,0,0,0,0,0,0,0,0
17923,-0.21,-440,3141,0,0,0,0,0,0,0,0
17959,-0.30,-85,2722,0,0,0,0,0,0,0,0
17995,-0.27,58,2476,0,0,0,0,0,0,0,0
18031,-0.17,14,2406,0,0,0,0,0,0,0,0
18067,-0.27,-113,2448,0,0,0,0,0,0,0,0
