Time,Pressure,PPGSignal,rawPPGSignal
25599,149.27,110,1730
25607,145.22,449,1728
25614,148.42,874,1722
25621,146.40,1182,1719
25628,147.25,1322,1718
25635,147.03,1321,1714
25642,146.77,1230,1713
25648,146.99,1095,1719
25655,146.59,948,1713
25662,146.66,808,1712
25669,146.45,683,1711
25676,146.45,573,1692
25683,146.38,476,1699
25690,146.32,389,1694
25697,146.28,308,1695
25703,146.05,235,1690
25710,146.12,169,1691
25717,146.00,108,1687
25724,145.97,52,1694
25731,145.85,2,1686
25738,145.88,-44,1691
25745,145.73,-87,1692
25752,145.84,-128,1687
25759,145.66,-165,1687
25766,145.67,-199,1683
25773,145.67,-229,1680
25779,145.56,-254,1678
25786,145.52,-275,1677
25793,145.52,-294,1673
25800,145.48,-311,1665
25807,145.44,-325,1666
25814,145.32,-337,1671
25821,145.29,-348,1667
25828,145.29,-355,1666
25835,145.21,-359,1673
25842,145.17,-361,1677
25849,145.08,-362,1664
25856,144.99,-362,1665
25863,144.95,-361,1665
25870,145.05,-359,1655
25877,144.87,-355,1661
25883,144.89,-349,1663
25890,144.92,-341,1663
25897,144.80,-334,1666
25904,144.80,-325,1659
25911,144.74,-316,1667
25918,144.67,-306,1674
25925,144.61,-295,1678
25932,144.57,-285,1677
25939,144.59,-274,1670
25946,144.48,-263,1671
25953,144.42,-253,1679
25960,144.41,-243,1680
25967,144.32,-232,1685
25974,144.31,-221,1679
25981,144.26,-210,1680
25987,144.21,-201,1670
25994,144.22,-193,1667
26001,144.20,-187,1664
26008,144.08,-180,1665
26015,144.05,-172,1663
26022,144.06,-163,1666
26029,144.10,-153,1664
26036,144.01,-143,1662
26043,143.93,-134,1662
26050,143.94,-125,1667
26057,143.78,-117,1670
26064,143.73,-107,1678
26071,143.85,-98,1674
26078,143.69,-90,1675
26085,143.74,-81,1668
26091,143.71,-73,1673
26098,143.75,-65,1676
26105,143.65,-57,1679
26112,143.69,-50,1680
26119,143.63,-45,1683
26126,143.60,-40,1680
26133,143.65,-36,1676
26140,143.65,-32,1674
26147,143.53,-29,1668
26154,143.56,-27,1664
26161,143.43,-26,1658
26168,143.40,-25,1654
26175,143.42,-25,1653
26182,143.42,-23,1651
26188,143.39,-22,1658
26195,143.38,-20,1652
26202,143.39,-18,1655
26209,143.25,-16,1651
26216,143.30,-13,1650
26223,143.22,-10,1653
26230,143.21,-8,1648
26237,143.20,-6,1650
26244,143.16,-3,1659
26251,143.24,0,1658
26258,143.17,4,1659
26265,143.27,9,1659
26272,143.35,14,1667
26278,143.45,18,1676
26285,143.59,21,1665
26292,143.64,22,1651
26299,143.57,23,1674
26306,143.72,23,1666
26313,143.70,23,1666
26320,143.77,24,1666
26327,143.71,24,1660
26334,143.61,22,1670
26340,143.71,21,1665
26347,143.59,21,1670
26354,143.45,21,1675
26361,143.38,21,1665
26368,143.34,20,1666
26375,143.35,20,1677
26382,143.24,20,1675
26389,143.26,22,1670
26396,143.08,22,1669
26402,143.10,22,1670
26409,142.96,18,1663
26416,142.95,15,1667
26423,142.93,11,1666
26430,142.88,9,1663
26437,142.75,7,1673
26444,142.76,7,1680
26451,142.71,9,1675
26457,142.76,11,1675
26464,142.65,13,1677
26471,142.67,14,1680
26478,142.66,15,1683
26485,142.51,15,1680
26492,142.46,15,1687
26499,142.39,15,1680
26506,142.32,15,1679
26513,142.51,13,1677
26519,142.45,11,1678
26526,142.34,10,1674
26533,142.35,7,1676
26540,142.32,5,1677
26547,142.33,4,1678
26554,142.31,3,1680
26561,142.28,2,1683
26568,142.31,0,1673
26575,142.30,-1,1679
26581,142.24,-1,1680
26588,142.35,0,1683
26595,142.29,2,1683
26602,142.30,5,1698
26609,142.27,8,1696
26616,142.23,11,1699
26623,142.18,14,1703
26630,142.15,17,1705
26637,142.27,19,1707
26643,142.19,18,1705
26650,142.23,17,1703
26657,142.13,14,1703
26664,142.07,11,1702
26671,142.08,7,1696
26678,142.10,3,1697
26685,141.95,0,1690
26692,142.00,-4,1687
26699,141.95,-7,1707
26706,141.90,-10,1690
26712,141.89,-12,1683
26719,141.90,-11,1690
26726,141.82,-8,1691
26733,141.93,-6,1690
26740,141.85,-5,1693
26747,141.83,-3,1698
26754,141.71,0,1703
26761,141.75,4,1711
26768,141.80,6,1712
26775,141.71,7,1710
26782,141.71,6,1711
26789,141.71,6,1713
26795,141.68,5,1712
26802,141.64,5,1715
26809,141.76,5,1713
26816,141.63,4,1714
26823,141.61,3,1711
26830,141.67,2,1711
26837,141.56,0,1712
26844,141.62,-1,1699
26851,141.46,-4,1705
26857,141.45,-6,1705
26864,141.51,-6,1713
26871,141.45,-4,1715
26878,141.44,-1,1716
26885,141.43,0,1725
26892,141.46,2,1718
26899,141.45,3,1714
26906,141.45,3,1719
26913,141.46,1,1714
26920,141.40,-1,1707
26927,141.30,-5,1712
26933,141.27,-8,1712
26940,141.28,-8,1713
26947,141.38,-8,1711
26954,141.25,-8,1714
26961,141.32,-7,1714
26968,141.29,-6,1718
26975,141.32,-6,1717
26982,141.38,-5,1718
26989,141.26,-4,1724
26996,141.19,-3,1715
27003,141.33,-3,1730
27010,141.22,-4,1711
27017,141.18,-6,1700
27024,141.26,-6,1711
27031,141.26,-6,1712
27037,141.19,-6,1728
27044,141.25,-6,1722
27051,141.24,-6,1715
27058,141.26,-7,1705
27065,141.17,-9,1712
27072,141.18,-10,1706
27079,141.15,-12,1712
27086,141.24,-13,1713
27093,141.13,-11,1714
27100,141.16,-6,1731
27107,141.26,0,1737
27114,141.37,7,1744
27121,141.58,12,1749
27127,141.66,17,1757
27134,141.72,21,1749
27141,141.80,24,1751
27148,141.85,25,1748
27155,141.87,23,1754
27162,141.87,20,1755
27169,141.80,17,1761
27176,141.70,14,1751
27183,141.79,13,1754
27190,141.74,12,1754
27196,141.65,11,1754
27203,141.64,11,1745
27210,141.56,10,1755
27217,141.45,9,1757
27224,141.41,8,1751
27231,141.44,6,1751
27238,141.24,4,1756
27245,141.34,0,1743
27251,141.32,-3,1750
27258,141.19,-7,1737
27265,141.17,-10,1735
27272,141.06,-14,1735
27279,140.99,-18,1731
27286,141.08,-22,1723
27293,140.97,-26,1732
27300,140.93,-28,1728
27307,140.91,-27,1728
27314,141.00,-24,1727
27321,140.83,-21,1723
27328,140.78,-18,1727
27335,140.77,-15,1730
27342,140.75,-12,1731
27348,140.75,-10,1741
27355,140.73,-6,1739
27362,140.70,-3,1750
27369,140.73,0,1750
27376,140.73,1,1745
27383,140.62,4,1751
27390,140.73,6,1754
27397,140.74,6,1760
27404,140.75,5,1758
27411,140.84,6,1759
27418,140.73,8,1763
27424,140.76,10,1759
27431,140.77,11,1759
27438,140.72,12,1750
27445,140.74,10,1744
27452,140.71,7,1743
27459,140.69,2,1734
27466,140.58,-3,1728
27473,140.55,-10,1728
27480,140.63,-17,1727
27487,140.55,-22,1718
27493,140.58,-25,1726
27500,140.68,-25,1723
27507,140.67,-24,1728
27514,140.66,-21,1730
27521,140.52,-18,1728
27528,140.57,-14,1734
27535,140.55,-9,1744
27542,140.59,-5,1735
27549,140.57,-2,1738
27556,140.59,1,1743
27563,140.46,3,1743
27570,140.51,4,1741
27576,140.57,5,1741
27583,140.47,5,1744
27590,140.40,6,1744
27597,140.43,7,1749
27604,140.41,8,1742
27611,140.43,10,1758
27618,140.39,13,1751
27625,140.34,14,1747
27632,140.47,15,1753
27638,140.31,13,1750
