Time,Pressure,PPGSignal,rawPPGSignal
8438,-0.12,4095,264,1
8465,-0.16,4095,1071,1
8492,-0.14,4095,2079,1
8519,-0.13,4095,2809,1
8546,-0.18,4095,3141,1
8573,-0.17,4095,3139,1
8600,-0.07,4095,2923,1
8627,-0.20,4095,2604,1
8654,-0.07,1890,2117,1
8681,-0.11,654,1275,1
8708,-0.10,304,174,1
8735,-0.14,511,-833,1
8762,-0.06,857,-1479,1
8789,-0.17,1088,-1706,1
8816,-0.12,1106,-1632,1
8843,-0.09,954,-1434,1
8870,-0.09,787,-1258,1
8897,-0.20,670,-1166,1
8924,-0.15,629,-1145,1
8951,-0.13,650,-1152,1
8978,-0.15,705,-1145,1
9005,-0.12,785,-1104,1
9032,-0.13,863,-1025,1
9059,-0.13,913,-918,1
9086,-0.07,944,-802,1
9113,-0.18,1040,-690,1
9140,-0.12,1799,-536,1
9167,-0.10,4073,-151,1
9194,-0.08,4095,550,1
9221,-0.18,4095,1293,1
9248,-0.09,4095,1794,1
9275,-0.16,4095,2004,1
9302,-0.09,4095,1983,1
9329,-0.12,4095,1822,1
9356,-0.15,4095,1600,1
9383,-0.12,4095,1367,1
9410,-0.04,2206,1028,1
9437,-0.11,809,373,1
9464,-0.07,355,-563,1
9491,-0.14,546,-1466,1
9518,-0.08,931,-2045,1
9545,-0.09,1182,-2215,1
9572,-0.07,1197,-2079,1
9599,-0.13,1054,-1818,1
9626,-0.16,861,-1582,1
9653,-0.15,693,-1437,1
9680,-0.10,595,-1379,1
9707,-0.13,578,-1366,1
9734,-0.07,634,-1347,1
9761,-0.14,709,-1289,1
9788,-0.08,819,-1181,1
9815,-0.16,909,-1029,1
9842,-0.13,951,-856,1
9869,-0.21,966,-689,1
9896,-0.12,1062,-541,1
9923,-0.13,1822,-364,1
9950,-0.08,4095,37,1
9977,-0.18,4095,752,1
10004,-0.04,4095,1504,1
10031,-0.19,4095,2013,1
10058,-0.09,4095,2232,1
10085,-0.11,4095,2222,1
10112,-0.12,4095,2071,1
10139,-0.17,4095,1858,1
10166,-0.13,4095,1633,1
10193,-0.16,2022,1288,1
10220,-0.10,742,610,1
10247,-0.19,402,-336,1
10274,-0.15,687,-1213,1
10301,-0.14,1115,-1738,1
10328,-0.09,1367,-1848,1
10355,-0.14,1372,-1669,1
10382,-0.10,1187,-1393,1
10409,-0.09,943,-1171,1
10436,-0.01,745,-1063,1
10463,-0.04,638,-1054,1
10490,-0.14,642,-1083,1
10517,-0.10,722,-1091,1
10544,-0.10,811,-1043,1
10571,-0.03,892,-937,1
10598,-0.08,949,-792,1
10625,-0.15,983,-635,1
10652,-0.11,1097,-482,1
10679,-0.10,1813,-293,1
10706,-0.09,3967,105,1
10733,-0.08,4095,804,1
10760,-0.09,4095,1548,1
10787,-0.13,4095,2063,1
10814,-0.10,4095,2292,1
10841,-0.20,4095,2289,1
10868,-0.12,4095,2143,1
10895,-0.06,4095,1931,1
10922,-0.14,2448,1598,1
10949,-0.17,831,955,1
10976,-0.04,234,2,1
11003,-0.20,476,-955,1
11030,-0.09,1079,-1582,1
11057,-0.09,1555,-1740,1
11084,-0.12,1695,-1529,1
11111,-0.13,1514,-1169,1
11138,-0.11,1186,-867,1
11165,-0.14,861,-731,1
11192,-0.12,657,-757,1
11219,-0.14,581,-868,1
11246,-0.10,614,-976,1
11273,-0.15,705,-1019,1
11300,-0.20,789,-976,1
11327,-0.09,868,-863,1
11354,-0.16,924,-711,1
11381,-0.12,1178,-538,1
11408,-0.13,2319,-277,1
11435,-0.19,4095,230,1
