Time,Pressure,PPGSignal,rawPPGSignal
8432,-0.19,2366,152,1
8459,-0.15,1970,592,1
8486,-0.21,1667,1076,1
8513,-0.16,1521,1330,1
8540,-0.11,1530,1349,1
8567,-0.12,1580,1231,1
8594,-0.15,1706,1078,1
8621,-0.14,1819,950,1
8648,-0.13,1856,864,1
8675,-0.22,1883,806,1
8702,-0.19,1819,748,1
8729,-0.15,1759,666,1
8756,-0.11,1699,556,1
8783,-0.10,1648,429,1
8810,-0.04,1617,300,1
8837,-0.12,1595,180,1
8864,-0.17,1584,76,1
8891,-0.18,1627,-4,1
8918,-0.18,1769,-49,1
8945,-0.12,2194,-30,1
8972,-0.21,2688,93,1
8999,-0.13,3050,322,1
9026,-0.14,3029,573,1
9053,-0.17,2677,726,1
9080,-0.03,2247,690,1
9107,-0.04,1865,459,1
9134,-0.14,1567,99,1
9161,-0.15,1456,-287,1
9188,-0.07,1455,-611,1
9215,-0.21,1555,-815,1
9242,-0.09,1725,-884,1
9269,-0.15,1831,-837,1
9296,-0.11,1893,-725,1
9323,-0.14,1887,-600,1
9350,-0.05,1808,-505,1
9377,-0.14,1728,-465,1
9404,-0.22,1655,-475,1
9431,-0.14,1602,-518,1
9458,-0.15,1585,-567,1
9485,-0.18,1535,-605,1
9512,-0.09,1575,-625,1
9539,-0.20,1623,-621,1
9566,-0.19,1808,-581,1
9593,-0.11,2203,-479,1
9620,-0.09,2677,-284,1
9647,-0.15,2999,-3,1
9674,-0.12,2943,288,1
9701,-0.17,2559,475,1
9728,-0.13,2136,469,1
9755,-0.13,1751,270,1
9782,-0.16,1481,-48,1
9809,-0.18,1414,-386,1
9836,-0.19,1428,-654,1
9863,-0.15,1571,-798,1
9890,-0.07,1744,-806,1
9917,-0.13,1871,-705,1
9944,-0.12,1955,-546,1
9971,-0.18,1914,-384,1
9998,-0.16,1823,-267,1
10025,-0.13,1733,-220,1
10052,-0.17,1634,-232,1
10079,-0.21,1600,-280,1
10106,-0.14,1595,-335,1
10133,-0.16,1583,-370,1
10160,-0.11,1621,-377,1
10187,-0.25,1759,-350,1
10214,-0.10,2128,-264,1
10241,-0.17,2651,-84,1
10268,-0.18,2992,193,1
10295,-0.16,3034,502,1
10322,-0.03,2736,729,1
10349,-0.08,2297,772,1
10376,-0.14,1925,613,1
10403,-0.14,1630,314,1
10430,-0.12,1491,-29,1
10457,-0.06,1488,-327,1
10484,-0.17,1531,-520,1
10511,-0.09,1666,-590,1
10538,-0.15,1809,-550,1
10565,-0.19,1859,-435,1
10592,-0.13,1869,-300,1
10619,-0.17,1783,-189,1
10646,-0.18,1725,-130,1
10673,-0.10,1662,-122,1
10700,-0.09,1609,-148,1
10727,-0.09,1623,-186,1
10754,-0.12,1610,-213,1
10781,-0.14,1599,-223,1
10808,-0.18,1615,-217,1
10835,-0.17,1714,-190,1
10862,-0.15,2128,-116,1
10889,-0.14,2672,51,1
10916,-0.15,3139,332,1
10943,-0.21,3243,670,1
10970,-0.10,2881,932,1
10997,-0.14,2433,997,1
11024,-0.05,2021,832,1
11051,-0.13,1699,507,1
11078,-0.06,1535,126,1
11105,-0.18,1520,-210,1
11132,-0.12,1585,-437,1
11159,-0.13,1712,-529,1
11186,-0.07,1789,-506,1
11213,-0.17,1857,-411,1
11240,-0.18,1877,-293,1
