Time,Pressure,PPGSignal,rawPPGSignal
8889,-0.19,1919,123,1
8916,-0.23,2815,560,1
8943,-0.16,3727,1269,1
8970,-0.17,4095,2035,1
8997,-0.10,3516,2609,1
9024,-0.18,2839,2775,1
9051,-0.18,2295,2502,1
9078,-0.11,1901,1932,1
9105,-0.05,1630,1255,1
9132,-0.15,1513,626,1
9159,-0.15,1569,143,1
9186,-0.15,1744,-147,1
9213,-0.13,1912,-254,1
9240,-0.07,1997,-231,1
9267,-0.16,1947,-156,1
9294,-0.13,1811,-106,1
9321,-0.12,1665,-123,1
9348,-0.07,1531,-209,1
9375,-0.11,1449,-338,1
9402,-0.11,1424,-471,1
9429,-0.12,1427,-577,1
9456,-0.10,1454,-640,1
9483,-0.04,1488,-660,1
9510,-0.18,1517,-647,1
9537,-0.14,1533,-615,1
9564,-0.10,1521,-577,1
9591,-0.15,1504,-546,1
9618,-0.13,1488,-527,1
9645,-0.14,1472,-519,1
9672,-0.11,1456,-518,1
9699,0.02,1454,-518,1
9726,-0.06,1439,-516,1
9753,-0.08,1459,-508,1
9780,-0.14,1689,-480,1
9807,-0.16,2352,-372,1
9834,-0.06,3266,-104,1
9861,-0.13,4095,354,1
9888,-0.11,4095,901,1
9915,-0.11,3607,1310,1
9942,-0.21,2896,1397,1
9969,-0.15,2414,1138,1
9996,-0.16,2055,656,1
10023,-0.04,1813,114,1
10050,-0.10,1707,-364,1
10077,-0.15,1752,-704,1
10104,-0.14,1904,-876,1
10131,-0.06,2031,-891,1
10158,-0.01,2039,-801,1
10185,-0.07,1963,-683,1
10212,-0.11,1804,-599,1
10239,-0.05,1643,-583,1
10266,-0.17,1519,-627,1
10293,-0.12,1434,-703,1
10320,-0.19,1431,-775,1
10347,-0.09,1452,-813,1
10374,-0.19,1472,-808,1
10401,-0.17,1511,-763,1
10428,-0.11,1535,-691,1
10455,-0.19,1556,-608,1
10482,-0.16,1557,-526,1
10509,-0.17,1535,-457,1
10536,-0.22,1535,-403,1
10563,-0.16,1499,-364,1
10590,-0.17,1457,-338,1
10617,-0.08,1431,-325,1
10644,-0.14,1404,-319,1
10671,-0.18,1410,-311,1
10698,-0.19,1412,-294,1
10725,-0.21,1413,-268,1
10752,-0.16,1441,-235,1
10779,-0.12,1725,-177,1
10806,-0.20,2477,-31,1
10833,-0.20,3613,297,1
10860,-0.15,4095,820,1
10887,-0.16,4095,1378,1
10914,-0.21,4095,1783,1
10941,-0.11,3831,1947,1
10968,-0.21,3005,1835,1
10995,-0.16,2497,1448,1
11022,-0.16,2160,891,1
11049,-0.14,1959,319,1
11076,-0.10,1909,-153,1
11103,-0.10,1990,-463,1
11130,-0.09,2096,-601,1
11157,-0.16,2139,-603,1
11184,-0.12,2114,-532,1
11211,-0.15,1986,-455,1
11238,-0.13,1841,-419,1
11265,-0.27,1698,-438,1
11292,-0.22,1586,-500,1
11319,-0.12,1516,-579,1
11346,-0.16,1478,-648,1
11373,-0.19,1485,-687,1
11400,-0.19,1492,-688,1
11427,-0.05,1486,-656,1
11454,-0.08,1491,-605,1
