Time,Pressure,PPGSignal,rawPPGSignal
8759,-0.02,1535,99,1
8786,-0.17,1219,380,1
8813,-0.13,1302,700,1
8840,-0.14,1616,931,1
8867,-0.07,1794,1093,1
8894,-0.14,1775,1194,1
8921,-0.14,1643,1210,1
8948,-0.15,1386,1115,1
8975,-0.08,1239,920,1
9002,-0.08,1166,677,1
9029,-0.10,1154,445,1
9056,-0.11,1251,267,1
9083,-0.10,1280,158,1
9110,-0.12,1329,109,1
9137,-0.08,1414,99,1
9164,-0.12,1423,112,1
9191,-0.09,1446,127,1
9218,-0.18,1406,124,1
9245,-0.05,1367,94,1
9272,-0.10,1363,41,1
9299,-0.17,1600,-2,1
9326,-0.09,2726,64,1
9353,-0.09,4095,391,1
9380,-0.17,4095,948,1
9407,-0.10,4095,1480,1
9434,-0.17,4095,1795,1
9461,-0.14,4095,1876,1
9488,-0.10,4095,1783,1
9515,-0.13,3197,1530,1
9542,-0.10,2044,1044,1
9569,-0.10,1488,327,1
9596,-0.14,1437,-440,1
9623,-0.06,1666,-1040,1
9650,-0.19,1782,-1356,1
9677,-0.06,1791,-1424,1
9704,-0.14,1665,-1359,1
9731,-0.20,1465,-1274,1
9758,-0.08,1335,-1234,1
9785,-0.09,1243,-1245,1
9812,-0.14,1209,-1275,1
9839,-0.07,1274,-1289,1
9866,-0.17,1295,-1263,1
9893,0.01,1331,-1199,1
9920,-0.10,1375,-1106,1
9947,-0.06,1408,-999,1
9974,-0.16,1424,-894,1
10001,-0.06,1405,-801,1
10028,-0.12,1378,-725,1
10055,-0.08,1364,-667,1
10082,-0.16,1296,-627,1
10109,-0.09,1299,-602,1
10136,-0.07,1715,-554,1
10163,-0.11,3009,-360,1
10190,-0.19,4095,105,1
10217,-0.09,4095,754,1
10244,-0.17,4095,1330,1
10271,-0.11,4095,1673,1
10298,-0.17,4095,1782,1
10325,-0.13,4095,1722,1
10352,-0.04,3708,1541,1
10379,-0.11,2273,1180,1
10406,-0.15,1676,572,1
10433,-0.04,1535,-148,1
10460,-0.17,1686,-751,1
10487,-0.10,1825,-1104,1
10514,-0.11,1750,-1215,1
10541,-0.09,1603,-1187,1
10568,-0.16,1392,-1128,1
10595,-0.16,1232,-1098,1
10622,-0.19,1168,-1104,1
10649,-0.09,1122,-1120,1
10676,-0.13,1165,-1116,1
10703,-0.06,1247,-1070,1
10730,-0.13,1279,-983,1
10757,-0.10,1354,-870,1
10784,-0.15,1371,-742,1
10811,-0.15,1379,-618,1
10838,-0.16,1363,-511,1
10865,-0.05,1295,-431,1
10892,-0.14,1265,-379,1
10919,-0.09,1366,-341,1
10946,-0.15,2129,-243,1
10973,-0.09,4095,91,1
11000,-0.12,4095,722,1
11027,-0.01,4095,1390,1
11054,-0.09,4095,1843,1
11081,-0.02,4095,2038,1
