Time,Pressure,PPGSignal,rawPPGSignal
8925,-0.05,1726,111,1
8952,-0.22,1753,453,1
8979,0.06,1834,890,1
9006,0.04,1856,1221,1
9033,0.53,1860,1390,1
9060,0.19,1897,1413,1
9087,0.88,1898,1339,1
9114,0.87,1931,1217,1
9141,0.59,1936,1080,1
9168,0.86,1889,943,1
9195,1.37,1882,808,1
9222,1.12,1850,678,1
9249,0.85,1831,554,1
9276,1.01,1863,440,1
9303,1.53,1857,343,1
9330,1.56,1878,263,1
9357,1.13,1906,198,1
9384,1.29,1891,144,1
9411,1.79,1929,95,1
9438,1.79,1915,49,1
9465,1.41,1905,3,1
9492,1.48,1929,-43,1
9519,2.03,1903,-89,1
9546,2.08,1925,-133,1
9573,1.73,1925,-172,1
9600,1.63,1917,-207,1
9627,2.10,2027,-232,1
9654,2.38,2241,-225,1
9681,2.12,2409,-169,1
9708,1.81,2353,-86,1
9735,2.32,2103,-42,1
9762,2.69,1895,-85,1
9789,2.44,1739,-213,1
9816,2.16,1667,-381,1
9843,2.53,1707,-532,1
9870,2.95,1742,-628,1
9897,2.91,1801,-660,1
9924,2.55,1881,-636,1
9951,2.79,1909,-577,1
9978,3.25,1963,-505,1
10005,3.28,1955,-436,1
10032,2.89,1927,-385,1
10059,2.93,1915,-360,1
10086,3.50,1869,-357,1
10113,3.68,1858,-370,1
10140,3.34,1857,-386,1
10167,3.12,1850,-394,1
10194,3.67,1895,-390,1
10221,4.04,1886,-375,1
10248,3.85,1905,-353,1
10275,3.47,1929,-327,1
10302,3.82,1903,-302,1
10329,4.28,1920,-281,1
10356,4.17,1928,-263,1
10383,3.86,1908,-248,1
10410,4.00,1931,-237,1
10437,4.53,1917,-226,1
10464,4.75,1915,-217,1
10491,4.36,1933,-208,1
10518,4.23,1918,-198,1
10545,4.81,1984,-183,1
10572,5.07,2195,-147,1
10599,4.89,2384,-67,1
10626,4.49,2380,43,1
10653,4.85,2160,129,1
10680,5.20,1931,132,1
10707,5.28,1776,44,1
10734,4.84,1669,-97,1
10761,4.99,1719,-235,1
10788,5.44,1754,-326,1
10815,5.62,1794,-353,1
10842,5.30,1871,-328,1
10869,5.15,1879,-272,1
10896,5.64,1922,-206,1
10923,5.93,1937,-143,1
10950,5.69,1911,-92,1
10977,5.43,1922,-61,1
11004,5.71,1878,-47,1
11031,6.24,1859,-50,1
11058,6.21,1872,-61,1
11085,5.91,1858,-69,1
11112,6.03,1887,-69,1
11139,6.68,1905,-59,1
11166,6.66,1903,-43,1
11193,6.44,1925,-25,1
11220,6.43,1906,-8,1
11247,6.99,1915,4,1
11274,7.15,1927,13,1
11301,6.92,1915,19,1
11328,6.74,1933,21,1
11355,7.26,1922,22,1
11382,7.57,1905,22,1
11409,7.46,1927,21,1
11436,7.14,1910,20,1
11463,7.63,1958,21,1
11490,7.97,2124,39,1
11517,8.08,2326,97,1
11544,7.64,2385,191,1
11571,8.00,2220,276,1
11598,8.34,1978,292,1
11625,8.57,1803,216,1
11652,8.17,1680,77,1
11679,8.36,1701,-71,1
11706,8.85,1755,-180,1
11733,9.02,1786,-227,1
11760,8.79,1860,-216,1
11787,8.83,1885,-169,1
11814,9.25,1913,-108,1
11841,9.55,1948,-50,1
11868,9.38,1917,-5,1
11895,9.36,1911,19,1
11922,9.75,1898,28,1
11949,10.11,1862,23,1
11976,9.88,1878,8,1
12003,9.81,1869,-5,1
12030,10.06,1885,-14,1
12057,10.59,1919,-14,1
12084,10.46,1907,-4,1
12111,10.32,1926,8,1
12138,10.63,1920,21,1
12165,11.10,1909,30,1
12192,11.09,1926,33,1
12219,10.86,1913,32,1
12246,11.18,1927,29,1
12273,11.67,1935,27,1
12300,11.60,1904,27,1
12327,11.50,1935,27,1
12354,11.62,1929,27,1
12381,12.21,2036,37,1
12408,12.08,2282,75,1
12435,11.99,2339,152,1
12462,12.26,2247,235,1
12489,12.78,2013,267,1
12516,12.73,1808,215,1
