Time,Pressure,PPGSignal,rawPPGSignal
8432,-0.17,1899,122,1
8460,-0.15,1859,494,1
8488,-0.01,1813,951,1
8516,0.02,1777,1269,1
8544,-0.04,1763,1397,1
8572,-0.10,1783,1373,1
8600,-0.06,1801,1263,1
8628,0.02,1792,1119,1
8656,0.02,1780,971,1
8684,-0.04,1783,831,1
8712,-0.06,1791,704,1
8740,-0.07,1767,591,1
8768,-0.05,1744,489,1
8796,-0.07,1735,392,1
8824,-0.03,1731,303,1
8852,0.04,1798,225,1
8880,-0.06,1969,176,1
8908,-0.06,2192,178,1
8936,-0.07,2321,228,1
8964,-0.06,2321,294,1
8992,-0.01,2227,327,1
9020,0.03,2101,296,1
9048,-0.01,1991,199,1
9076,-0.00,1923,58,1
9104,-0.02,1872,-90,1
9132,-0.06,1870,-220,1
9160,0.00,1904,-315,1
9188,-0.02,1934,-369,1
9216,-0.00,1949,-388,1
9244,-0.05,1936,-389,1
9272,0.08,1904,-389,1
9300,-0.05,1865,-399,1
9328,0.05,1814,-424,1
9356,-0.07,1776,-461,1
9384,-0.08,1744,-500,1
9412,0.03,1729,-534,1
9440,0.01,1737,-557,1
9468,-0.10,1744,-564,1
9496,-0.08,1743,-557,1
9524,0.00,1744,-541,1
9552,-0.03,1728,-521,1
9580,0.05,1733,-502,1
9608,-0.07,1738,-483,1
9636,0.03,1702,-466,1
9664,0.01,1687,-455,1
9692,-0.05,1680,-447,1
9720,0.03,1712,-437,1
9748,-0.09,1848,-411,1
9776,0.05,2037,-348,1
9804,-0.01,2178,-244,1
9832,-0.14,2191,-121,1
9860,-0.09,2123,-22,1
9888,-0.05,2033,21,1
9916,0.01,1970,8,1
9944,-0.03,1925,-41,1
9972,-0.05,1868,-107,1
10000,-0.05,1841,-172,1
10028,-0.01,1823,-223,1
10056,-0.04,1811,-257,1
10084,0.01,1811,-273,1
10112,0.07,1814,-274,1
10140,0.03,1808,-264,1
10168,0.01,1809,-248,1
10196,0.03,1793,-230,1
10224,-0.02,1759,-218,1
10252,-0.05,1725,-215,1
10280,0.03,1691,-220,1
10308,-0.00,1686,-229,1
10336,-0.04,1711,-232,1
10364,-0.06,1712,-224,1
10392,-0.06,1711,-207,1
10420,0.05,1696,-186,1
10448,-0.04,1687,-168,1
10476,0.00,1682,-153,1
10504,0.09,1685,-140,1
10532,-0.02,1692,-127,1
10560,-0.02,1683,-113,1
10588,-0.03,1677,-100,1
10616,-0.02,1691,-88,1
10644,-0.03,1738,-72,1
10672,-0.08,1853,-40,1
10700,-0.01,1986,17,1
10728,0.01,2067,98,1
10756,0.01,2064,181,1
10784,-0.02,2003,238,1
10812,-0.05,1935,251,1
10840,0.03,1865,221,1
10868,-0.03,1824,163,1
10896,-0.04,1808,97,1
10924,-0.03,1809,42,1
10952,-0.02,1818,6,1
10980,-0.08,1825,-9,1
11008,-0.01,1840,-10,1
11036,-0.04,1830,-2,1
11064,0.00,1807,4,1
11092,0.02,1797,6,1
11120,0.06,1795,2,1
11148,-0.01,1775,-4,1
11176,0.04,1755,-13,1
11204,0.02,1753,-23,1
11232,0.03,1747,-32,1
11260,-0.01,1737,-38,1
11288,-0.00,1728,-42,1
11316,0.04,1727,-43,1
11344,0.05,1733,-41,1
11372,0.02,1727,-38,1
11400,0.00,1717,-34,1
11428,-0.05,1731,-30,1
11456,-0.07,1743,-23,1
11484,0.06,1730,-15,1
11512,-0.03,1722,-10,1
11540,0.02,1738,-7,1
11568,0.03,1805,0,1
11596,0.02,1925,26,1
11624,-0.06,2016,77,1
11652,0.03,2037,141,1
11680,0.09,1990,194,1
11708,-0.03,1920,214,1
11736,-0.03,1842,193,1
11764,-0.00,1797,140,1
11792,-0.03,1773,75,1
11820,-0.01,1766,17,1
11848,-0.02,1792,-21,1
11876,0.00,1805,-38,1
11904,0.02,1823,-37,1
11932,0.01,1831,-24,1
11960,-0.01,1819,-9,1
11988,0.00,1805,0,1
12016,-0.03,1791,1,1
12044,0.01,1786,-4,1
12072,-0.02,1776,-12,1
12100,-0.04,1757,-23,1
12128,-0.07,1749,-34,1
12156,-0.01,1749,-44,1
12184,-0.05,1776,-47,1
12212,0.00,1775,-43,1
12240,0.02,1766,-35,1
12268,-0.01,1775,-28,1
12296,0.08,1751,-23,1
12324,-0.01,1738,-22,1
12352,-0.03,1762,-25,1
12380,0.03,1843,-20,1
12408,0.04,1957,4,1
12436,0.03,2036,56,1
12464,-0.00,2054,120,1
12492,-0.02,1991,170,1
12520,-0.04,1918,183,1
12548,-0.09,1853,156,1
12576,0.02,1813,103,1
