Time,Pressure,PPGSignal,rawPPGSignal
25473,98.95,264,4095
25481,97.51,1071,4095
25488,97.83,2079,4095
25495,98.33,2809,4095
25502,98.84,3141,4095
25509,99.42,3139,4095
25516,99.84,2923,4095
25522,100.35,2604,4095
25529,100.89,2260,4095
25536,101.36,1934,4095
25543,101.74,1595,3362
25550,102.42,1161,2865
25557,102.87,630,2457
25564,103.15,72,2092
25571,103.71,-452,1765
25578,104.14,-907,1461
25584,104.51,-1279,1216
25591,104.72,-1565,1006
25598,105.31,-1771,840
25605,105.62,-1907,720
25612,105.61,-1980,633
25619,106.26,-1997,581
25626,106.32,-1968,565
25633,106.27,-1898,572
25640,106.69,-1798,602
25647,106.69,-1674,640
25654,106.46,-1534,699
25661,106.60,-1382,762
25668,106.75,-1224,830
25675,106.44,-1065,907
25682,106.74,-910,983
25688,106.76,-761,1076
25695,106.19,-620,1147
25702,106.50,-487,1223
25709,106.17,-365,1295
25716,105.68,-254,1349
25723,105.57,-156,1421
25730,105.20,-70,1471
25737,104.92,3,1523
25744,104.72,67,1570
25751,104.45,120,1615
25758,104.31,163,1651
25764,103.81,196,1674
25771,103.30,221,1707
25778,103.78,239,1731
25785,103.59,248,1744
25792,104.03,252,1763
25799,104.79,253,1769
25806,105.47,249,1788
25813,106.04,243,1794
25820,106.65,235,1808
25826,107.45,225,1819
25833,107.89,213,1821
25840,108.45,201,1835
25847,109.12,189,1840
25854,109.80,177,1844
25861,110.25,165,1846
25868,110.90,152,1857
25875,111.57,139,1864
25882,112.04,127,1863
25888,112.30,114,1875
25895,113.02,102,1881
25902,113.36,91,1891
25909,113.10,80,1895
25916,113.43,71,1898
25923,113.35,62,1904
25930,113.06,54,1899
25937,113.32,45,1904
25944,113.37,35,1913
25950,112.77,26,1915
25957,112.90,18,1918
25964,112.61,11,1911
25971,112.24,3,1923
25978,111.79,-3,1922
25985,111.77,-10,1923
25992,111.74,-15,1939
25999,111.49,-19,1943
26006,111.27,-20,1958
26013,111.64,-20,1962
26020,111.17,-18,1978
26027,111.17,-15,1989
26033,111.90,-13,1995
26040,112.09,-10,2014
26047,112.59,-7,2019
26054,113.43,-3,2038
26061,113.90,3,2082
26068,114.41,18,2149
26075,115.09,46,2255
26082,115.73,93,2370
26089,116.27,162,2542
26096,116.97,252,2717
26103,117.63,359,2907
26109,118.29,479,3113
26116,118.82,604,3317
26123,119.43,728,3547
26130,120.13,848,3749
26137,120.63,959,3937
26144,120.69,1051,4067
26151,121.23,1105,4095
26158,121.10,1103,4095
26164,120.80,1044,4082
26171,120.94,937,3984
26178,120.78,784,3831
26185,120.30,590,3659
26192,120.37,369,3503
26199,119.96,139,3335
26206,119.24,-83,3200
26213,118.70,-286,3056
26220,118.35,-463,2940
26227,118.10,-613,2829
26234,117.63,-736,2709
26240,117.44,-834,2608
26247,117.30,-912,2491
26254,116.62,-974,2413
26261,116.40,-1019,2332
26268,117.06,-1049,2267
26275,116.95,-1065,2209
26282,117.66,-1065,2158
26289,118.32,-1050,2131
26296,118.96,-1021,2096
26303,119.48,-981,2090
26310,120.16,-931,2079
26317,120.82,-873,2067
26324,121.35,-810,2064
26331,121.94,-744,2061
26338,122.64,-677,2077
26345,123.29,-610,2075
26351,123.81,-543,2085
26358,124.47,-477,2095
26365,125.17,-413,2107
26372,125.77,-352,2123
26379,125.91,-292,2134
26386,126.72,-237,2150
26393,126.81,-185,2160
26400,126.55,-137,2171
26407,126.82,-95,2178
26414,126.67,-57,2178
26421,126.23,-25,2186
26428,126.50,2,2187
26435,126.23,28,2179
26441,125.30,50,2186
26448,124.74,67,2176
26455,124.19,81,2178
26462,123.67,91,2170
26469,122.89,100,2172
26476,122.21,108,2160
26483,122.46,114,2156
26490,122.11,117,2149
26497,122.93,119,2144
26503,123.91,120,2134
26510,124.79,120,2128
26517,125.55,121,2122
26524,126.23,121,2113
26531,127.17,120,2107
26538,128.00,118,2096
26545,128.60,114,2081
26552,129.34,109,2067
26559,130.26,105,2065
26565,130.90,100,2055
26572,131.05,96,2052
26579,131.61,94,2032
26586,131.45,92,2032
26593,131.09,88,2020
26600,131.18,84,2010
26607,130.94,79,2000
26614,130.17,73,1987
26620,129.45,68,1978
26627,128.73,62,1961
26634,128.19,58,1951
26641,127.48,52,1946
26648,126.72,46,1913
26655,126.85,37,1914
26662,126.67,30,1893
26669,127.50,23,1882
26676,128.58,17,1872
26683,129.51,12,1844
26689,130.22,7,1838
26696,130.96,3,1818
26703,131.89,0,1813
26710,132.69,-1,1808
26717,133.33,-1,1799
26724,134.00,0,1793
26731,135.06,2,1779
26738,135.59,4,1776
26745,135.88,6,1765
26751,136.52,7,1753
26758,136.37,8,1743
26765,136.28,8,1730
26772,136.54,7,1726
26779,136.26,7,1713
26786,135.44,7,1710
26793,134.79,7,1699
26800,134.20,6,1689
26807,133.66,5,1680
26813,132.82,5,1665
26820,132.13,5,1662
26827,132.31,5,1649
26834,132.13,6,1648
26841,132.98,7,1635
26848,133.99,8,1619
26855,134.80,8,1628
26862,135.40,8,1614
26869,136.13,9,1609
26875,136.96,10,1603
26882,137.78,12,1586
26889,138.47,14,1589
26896,139.15,16,1579
26903,140.17,19,1579
26910,140.60,21,1567
26917,140.59,22,1562
26924,140.90,21,1535
26931,140.81,16,1533
26937,140.37,12,1529
26944,140.44,10,1525
26951,139.78,11,1515
26958,138.70,13,1514
26965,137.84,15,1493
26972,137.18,16,1497
26979,136.57,17,1487
26986,135.53,18,1487
26992,135.44,17,1479
26999,136.50,16,1467
27006,137.28,16,1463
27013,138.17,16,1456
27020,139.12,17,1457
27027,140.10,19,1450
27034,140.80,21,1447
27041,141.82,22,1443
27048,142.54,23,1435
27054,143.62,24,1441
27061,144.24,25,1426
27068,144.57,26,1424
27075,145.09,27,1423
27082,144.87,29,1411
27089,144.56,30,1418
27096,144.58,32,1405
27103,143.97,32,1403
27110,142.83,32,1403
27116,141.81,32,1389
27123,141.13,31,1389
27130,140.53,29,1380
27137,139.41,28,1385
27144,139.50,27,1371
27151,140.69,26,1362
27158,141.52,23,1359
27165,142.53,20,1342
27172,143.40,18,1353
27178,144.44,17,1342
27185,145.31,17,1346
27192,146.26,18,1340
27199,147.15,19,1333
27206,148.23,20,1339
27213,148.77,21,1328
27220,148.85,21,1334
27227,149.00,23,1331
27234,148.76,26,1330
27240,148.08,29,1331
27247,147.71,31,1327
27254,146.55,32,1337
27261,145.71,34,1332
27268,144.58,35,1328
27275,143.44,36,1337
27282,143.51,36,1329
27289,143.76,37,1328
27295,144.85,37,1328
27302,145.97,37,1328
27309,147.03,36,1328
27316,147.95,34,1321
27323,148.89,33,1317
27330,149.82,31,1310
27337,151.04,28,1307
27344,151.79,24,1297
27351,152.10,20,1296
27357,152.59,16,1291
27364,152.31,13,1282
27371,151.92,9,1280
27378,151.75,6,1271
27385,150.75,2,1264
27392,149.67,0,1266
27399,148.55,-1,1257
27406,148.05,-2,1262
27413,147.52,-3,1258
27420,146.74,-3,1264
27426,147.13,-1,1264
27433,148.18,2,1263
27440,149.25,6,1264
27447,150.22,9,1260
