Time,Pressure,PPGSignal,rawPPGSignal
8441,-0.04,1714,110,1
8469,-0.11,2768,517,1
8497,0.55,4095,1233,1
8525,0.56,4095,2059,1
8553,0.81,4095,2712,1
8581,1.52,4095,3033,1
8609,1.23,3009,2979,1
8637,1.90,1756,2493,1
8665,1.70,880,1624,1
8693,2.26,507,596,1
8721,2.44,571,-317,1
8749,2.38,937,-915,1
8777,2.95,1404,-1127,1
8805,2.83,1787,-1008,1
8833,2.88,1953,-702,1
8861,3.49,1898,-371,1
8889,3.13,1711,-143,1
8917,3.65,1499,-72,1
8945,3.89,1335,-144,1
8973,3.57,1217,-299,1
9001,4.24,1175,-473,1
9029,4.08,1306,-607,1
9057,4.16,1939,-626,1
9085,4.66,3015,-431,1
9113,4.28,4095,34,1
9141,4.68,4095,659,1
9169,4.95,4095,1201,1
9197,4.61,3120,1444,1
9225,5.22,2024,1256,1
9253,4.98,1147,654,1
9281,5.08,663,-169,1
9309,5.53,607,-965,1
9337,5.15,869,-1525,1
9365,5.63,1296,-1746,1
9393,5.80,1707,-1643,1
9421,5.64,1923,-1324,1
9449,6.21,1917,-941,1
9477,5.95,1782,-630,1
9505,6.08,1584,-461,1
9533,6.35,1394,-436,1
9561,5.99,1274,-513,1
9589,6.48,1242,-629,1
9617,6.26,1462,-713,1
9645,6.30,2235,-669,1
9673,6.91,3440,-383,1
9701,6.55,4095,162,1
9729,6.98,4095,798,1
9757,7.08,4095,1298,1
9785,6.88,2815,1477,1
9813,7.54,1792,1208,1
9841,7.29,1020,548,1
9869,7.51,682,-270,1
9897,7.73,725,-996,1
9925,7.44,1047,-1449,1
9953,8.01,1459,-1562,1
9981,7.73,1789,-1384,1
10009,7.93,1939,-1039,1
10037,8.18,1907,-673,1
10065,7.84,1762,-397,1
10093,8.20,1575,-261,1
10121,7.95,1409,-257,1
10149,7.98,1282,-338,1
10177,8.28,1218,-448,1
10205,7.83,1299,-533,1
10233,8.28,1943,-521,1
10261,8.06,3106,-298,1
10289,8.10,4095,201,1
10317,8.42,4095,854,1
10345,8.08,4095,1415,1
10373,8.57,4095,1738,1
10401,8.53,2609,1736,1
10429,8.45,1583,1306,1
10457,8.91,947,534,1
10485,8.41,727,-317,1
10513,8.96,897,-999,1
10541,9.04,1295,-1357,1
10569,8.89,1700,-1367,1
10597,9.44,1938,-1119,1
10625,9.08,1968,-762,1
10653,9.55,1834,-440,1
10681,9.62,1633,-246,1
10709,9.45,1436,-199,1
10737,9.93,1310,-261,1
10765,9.64,1250,-370,1
10793,10.12,1217,-471,1
10821,10.08,1277,-527,1
10849,10.00,1611,-508,1
10877,10.55,2507,-345,1
10905,10.12,4095,74,1
10933,10.65,4095,731,1
10961,10.64,4095,1369,1
10989,10.56,4095,1778,1
11017,10.96,4095,1935,1
11045,10.48,2480,1797,1
11073,11.03,1440,1265,1
11101,10.91,850,431,1
11129,11.03,751,-432,1
11157,11.37,1014,-1077,1
11185,10.96,1426,-1371,1
11213,11.58,1793,-1320,1
11241,11.26,1967,-1040,1
11269,11.50,1931,-688,1
11297,11.74,1751,-401,1
11325,11.48,1513,-254,1
11353,12.04,1310,-254,1
11381,11.65,1200,-353,1
11409,12.11,1158,-478,1
11437,12.00,1174,-573,1
11465,11.93,1216,-609,1
11493,12.55,1255,-586,1
11521,12.07,1341,-515,1
11549,12.68,1731,-392,1
11577,12.29,2695,-153,1
11605,12.71,4095,307,1
11633,12.75,4095,954,1
11661,12.66,4095,1549,1
11689,13.13,4095,1911,1
11717,12.68,4063,2029,1
11745,13.28,2410,1856,1
11773,13.08,1361,1294,1
11801,13.27,803,439,1
11829,13.44,726,-431,1
11857,13.26,1047,-1068,1
11885,13.74,1520,-1337,1
11913,13.34,1891,-1250,1
11941,13.81,2036,-938,1
11969,13.64,1969,-575,1
11997,13.84,1767,-300,1
12025,14.11,1535,-177,1
12053,13.88,1346,-198,1
12081,14.52,1231,-310,1
12109,14.04,1183,-444,1
12137,14.57,1201,-546,1
12165,14.36,1251,-587,1
12193,14.52,1267,-568,1
12221,14.84,1296,-506,1
12249,14.52,1327,-422,1
12277,15.18,1401,-331,1
12305,14.74,1705,-220,1
12333,15.32,2480,-31,1
12361,15.11,3837,344,1
12389,15.47,4095,916,1
12417,15.49,4095,1493,1
12445,15.39,4095,1882,1
12473,15.92,3254,1984,1
12501,15.55,2112,1714,1
12529,16.20,1259,1082,1
12557,15.89,802,259,1
12585,16.30,759,-517,1
12613,16.39,1008,-1054,1
12641,16.23,1424,-1262,1
12669,16.80,1782,-1163,1
12697,16.34,1939,-868,1
12725,16.97,1921,-524,1
12753,16.52,1785,-250,1
12781,17.02,1605,-108,1
12809,16.91,1435,-99,1
12837,17.18,1295,-183,1
12865,17.40,1216,-305,1
12893,17.16,1203,-415,1
12921,17.76,1231,-479,1
12949,17.26,1287,-488,1
12977,17.98,1338,-447,1
13005,17.62,1363,-373,1
13033,18.16,1392,-286,1
13061,18.07,1535,-196,1
13089,18.25,2084,-66,1
13117,18.50,3063,189,1
13145,18.32,4095,643,1
13173,18.80,4095,1221,1
13201,18.36,4095,1712,1
13229,19.11,3060,1917,1
13257,18.59,2075,1706,1
13285,19.39,1291,1113,1
13313,18.99,855,327,1
13341,19.41,786,-419,1
13369,19.26,979,-946,1
13397,19.50,1328,-1168,1
13425,19.75,1690,-1102,1
13453,19.59,1915,-839,1
13481,19.92,1946,-506,1
13509,19.74,1831,-222,1
13537,20.27,1649,-60,1
13565,19.92,1472,-34,1
13593,20.60,1350,-108,1
13621,20.07,1289,-226,1
13649,20.65,1267,-334,1
13677,20.32,1290,-400,1
13705,20.83,1328,-416,1
13733,20.73,1334,-390,1
13761,21.12,1365,-337,1
13789,21.02,1535,-263,1
13817,21.14,2077,-136,1
13845,21.30,2942,117,1
13873,21.28,4061,564,1
13901,21.64,4095,1142,1
13929,21.43,3761,1623,1
13957,21.89,2749,1775,1
13985,21.61,1904,1507,1
14013,22.27,1273,908,1
14041,21.78,945,179,1
14069,22.49,901,-475,1
14097,22.10,1072,-916,1
14125,22.75,1371,-1086,1
14153,22.26,1669,-1010,1
14181,23.02,1851,-772,1
14209,22.43,1890,-479,1
14237,23.21,1808,-228,1
14265,22.79,1658,-81,1
14293,23.30,1500,-49,1
14321,23.06,1387,-106,1
14349,23.56,1315,-207,1
14377,23.40,1289,-306,1
14405,23.80,1296,-372,1
14433,23.69,1329,-394,1
14461,24.09,1360,-375,1
14489,24.02,1392,-326,1
14517,24.36,1425,-262,1
14545,24.23,1594,-185,1
14573,24.67,2161,-57,1
14601,24.46,3087,200,1
14629,24.87,4095,650,1
14657,24.76,4095,1213,1
14685,25.11,4095,1688,1
14713,25.02,3024,1877,1
14741,25.44,2123,1657,1
14769,25.35,1421,1072,1
14797,25.67,1044,321,1
14825,25.60,958,-380,1
14853,25.93,1107,-875,1
14881,25.83,1391,-1097,1
14909,26.37,1718,-1058,1
14937,26.04,1937,-835,1
14965,26.57,1995,-537,1
14993,26.37,1921,-269,1
15021,26.85,1782,-102,1
15049,26.57,1614,-55,1
15077,27.27,1463,-107,1
15105,26.91,1361,-214,1
15133,27.62,1321,-329,1
15161,27.16,1314,-417,1
15189,27.87,1325,-461,1
15217,27.52,1342,-461,1
15245,28.24,1404,-423,1
15273,27.94,1449,-357,1
15301,28.57,1497,-277,1
15329,28.19,1712,-183,1
15357,28.91,2354,-32,1
15385,28.43,3367,261,1
15413,29.11,4095,738,1
15441,28.87,4095,1284,1
15469,29.27,4095,1709,1
15497,29.15,3147,1858,1
15525,29.48,2173,1625,1
15553,29.52,1441,1038,1
15581,29.72,1050,279,1
15609,30.08,976,-431,1
15637,29.84,1146,-931,1
15665,30.47,1449,-1146,1
15693,30.09,1790,-1093,1
15721,30.85,2000,-853,1
15749,30.38,2078,-540,1
15777,31.13,1986,-265,1
15805,30.70,1823,-99,1
15833,31.28,1646,-59,1
15861,31.06,1497,-118,1
15889,31.51,1393,-232,1
15917,31.43,1354,-353,1
15945,31.51,1359,-444,1
15973,31.75,1360,-486,1
16001,31.56,1389,-481,1
16029,32.39,1438,-440,1
16057,32.04,1471,-374,1
16085,32.85,1473,-297,1
16113,32.37,1732,-205,1
16141,33.15,2368,-54,1
16169,32.90,3473,246,1
16197,33.28,4095,733,1
16225,33.48,4095,1280,1
16253,33.63,4095,1696,1
16281,34.09,3707,1871,1
16309,33.82,2476,1723,1
16337,34.61,1611,1213,1
16365,34.18,1090,459,1
16393,34.86,926,-312,1
16421,34.50,1063,-905,1
16449,34.89,1374,-1208,1
16477,35.08,1743,-1212,1
16505,35.08,2015,-992,1
16533,35.76,2133,-663,1
16561,35.40,2077,-348,1
16589,36.14,1899,-134,1
16617,35.84,1685,-60,1
16645,36.37,1505,-110,1
16673,36.46,1398,-234,1
16701,36.56,1336,-373,1
16729,36.99,1319,-481,1
16757,36.66,1333,-539,1
16785,37.37,1370,-542,1
16813,37.27,1394,-502,1
16841,37.87,1427,-433,1
16869,37.99,1535,-348,1
16897,37.91,2017,-224,1
16925,38.68,2979,17,1
16953,38.22,4095,462,1
16981,38.85,4095,1049,1
17009,38.85,4095,1563,1
17037,38.96,4095,1858,1
17065,39.52,3184,1877,1
17093,39.20,2080,1547,1
17121,40.01,1271,888,1
17149,39.93,857,72,1
17177,40.19,831,-672,1
17205,40.70,1106,-1169,1
17233,40.45,1522,-1338,1
17261,41.19,1895,-1209,1
17289,41.02,2096,-891,1
17317,41.23,2114,-524,1
17345,41.88,1980,-228,1
17373,41.59,1783,-71,1
17401,42.28,1581,-59,1
17429,42.28,1406,-154,1
17457,42.25,1296,-298,1
17485,42.99,1263,-437,1
17513,42.79,1270,-532,1
17541,43.56,1310,-566,1
17569,43.83,1369,-542,1
17597,43.65,1563,-463,1
17625,44.42,2182,-303,1
17653,44.27,3251,12,1
17681,44.46,4095,527,1
17709,45.05,4095,1132,1
17737,44.69,4095,1619,1
17765,45.24,3531,1841,1
17793,45.69,2331,1699,1
17821,45.54,1452,1170,1
17849,46.29,933,397,1
17877,46.40,779,-386,1
17905,46.44,935,-977,1
17933,47.22,1307,-1263,1
17961,46.90,1693,-1237,1
17989,47.19,1981,-980,1
18017,47.89,2085,-621,1
18045,47.74,1995,-289,1
18073,47.99,1804,-75,1
18101,48.45,1602,-10,1
18129,48.26,1456,-67,1
18157,49.07,1363,-188,1
18185,49.52,1301,-317,1
18213,49.39,1310,-412,1
18241,50.17,1510,-445,1
18269,50.25,2203,-361,1
18297,50.08,3345,-69,1
18325,50.79,4095,458,1
18353,50.90,4095,1080,1
18381,50.73,4095,1575,1
18409,51.62,3411,1791,1
18437,51.45,2250,1628,1
18465,51.51,1359,1077,1
18493,52.37,835,289,1
18521,52.44,718,-496,1
18549,52.44,903,-1077,1
18577,53.14,1264,-1343,1
18605,53.24,1663,-1297,1
18633,53.18,1923,-1024,1
18661,54.03,2003,-658,1
18689,54.04,1917,-328,1
18717,53.85,1747,-117,1
18745,54.58,1556,-52,1
18773,54.97,1395,-105,1
18801,54.92,1297,-221,1
18829,55.63,1335,-337,1
18857,56.04,1795,-380,1
18885,55.75,2885,-238,1
18913,56.22,4095,187,1
18941,56.68,4095,817,1
18969,56.30,4095,1396,1
18997,56.64,4095,1750,1
19025,57.37,4095,1869,1
19053,57.26,2626,1721,1
19081,57.42,1469,1204,1
19109,58.15,767,376,1
19137,58.41,597,-512,1
19165,58.20,834,-1202,1
19193,58.92,1279,-1540,1
19221,59.32,1692,-1510,1
19249,59.16,1927,-1219,1
19277,59.51,1948,-829,1
19305,60.32,1805,-490,1
19333,60.14,1590,-290,1
19361,60.20,1392,-243,1
19389,61.13,1271,-308,1
