Time,Pressure,PPGSignal,rawPPGSignal
8925,-0.15,422,27,1
8952,-0.28,576,120,1
8979,-0.15,710,263,1
9006,-0.15,661,400,1
9033,0.26,507,477,1
9060,0.02,357,461,1
9087,0.19,273,367,1
9114,0.44,283,240,1
9141,0.49,380,133,1
9168,0.13,875,105,1
9195,0.15,2869,310,1
9222,0.38,4095,901,1
9249,0.71,4095,1721,1
9276,0.52,4095,2414,1
9303,0.24,4095,2785,1
9330,0.35,4095,2846,1
9357,0.70,4095,2690,1
9384,0.81,4095,2416,1
9411,0.68,4095,2102,1
9438,0.55,2759,1708,1
9465,0.68,1199,1063,1
9492,0.99,617,140,1
9519,1.14,599,-814,1
9546,0.93,691,-1534,1
9573,0.79,652,-1926,1
9600,1.07,511,-2060,1
9627,1.39,340,-2056,1
9654,1.43,262,-2002,1
9681,1.25,280,-1931,1
9708,1.09,337,-1838,1
9735,1.32,526,-1710,1
9762,1.62,1627,-1474,1
9789,1.67,4095,-924,1
9816,1.46,4095,-14,1
9843,1.38,4095,913,1
9870,1.62,4095,1542,1
9897,1.92,4095,1826,1
9924,1.90,4095,1841,1
9951,1.72,4095,1693,1
9978,1.73,4095,1474,1
10005,2.01,3281,1189,1
10032,2.21,1376,691,1
10059,2.16,594,-121,1
10086,1.92,569,-1048,1
10113,2.09,750,-1774,1
10140,2.31,812,-2152,1
10167,2.65,720,-2233,1
10194,2.40,547,-2152,1
10221,2.31,374,-2028,1
10248,2.40,303,-1920,1
10275,2.76,305,-1827,1
10302,2.82,414,-1721,1
10329,2.69,1002,-1548,1
10356,2.59,3110,-1141,1
10383,2.73,4095,-364,1
10410,3.00,4095,596,1
10437,3.05,4095,1390,1
10464,3.00,4095,1853,1
10491,2.88,4095,2007,1
10518,2.96,4095,1947,1
10545,3.40,4095,1774,1
10572,3.43,3201,1501,1
10599,3.27,1204,984,1
10626,3.19,417,130,1
10653,3.54,484,-832,1
10680,3.75,798,-1559,1
10707,3.81,947,-1894,1
10734,3.57,872,-1906,1
10761,3.70,667,-1762,1
10788,3.92,459,-1605,1
10815,4.28,335,-1498,1
10842,4.20,313,-1434,1
10869,4.02,407,-1372,1
10896,4.11,1075,-1236,1
10923,4.45,3345,-838,1
10950,4.56,4095,-45,1
10977,4.59,4095,909,1
11004,4.44,4095,1672,1
11031,4.66,4095,2099,1
11058,4.89,4095,2224,1
11085,5.01,4095,2145,1
11112,4.82,4095,1958,1
11139,4.85,3505,1696,1
11166,5.12,1447,1228,1
11193,5.46,571,425,1
11220,5.36,511,-530,1
11247,5.20,739,-1301,1
11274,5.35,881,-1711,1
11301,5.66,830,-1795,1
11328,5.88,653,-1698,1
11355,5.82,464,-1560,1
11382,5.70,366,-1451,1
11409,5.95,355,-1372,1
11436,6.24,460,-1291,1
11463,6.31,1201,-1137,1
11490,6.01,3869,-690,1
11517,6.04,4095,165,1
11544,6.40,4095,1124,1
11571,6.73,4095,1827,1
11598,6.63,4095,2184,1
11625,6.56,4095,2254,1
11652,6.68,4095,2139,1
11679,7.07,4095,1935,1
11706,7.19,4095,1708,1
11733,6.99,3158,1431,1
11760,7.02,1511,948,1
11787,7.40,724,178,1
11814,7.67,486,-704,1
11841,7.64,437,-1442,1
11868,7.47,402,-1902,1
11895,7.75,315,-2093,1
11922,7.98,244,-2094,1
11949,8.27,246,-1988,1
11976,8.02,302,-1824,1
12003,8.07,413,-1624,1
12030,8.31,996,-1371,1
12057,8.68,3247,-904,1
12084,8.57,4095,-83,1
12111,8.43,4095,889,1
12138,8.62,4095,1668,1
12165,9.10,4095,2107,1
12192,9.06,4095,2238,1
12219,9.10,4095,2160,1
12246,9.04,4095,1973,1
12273,9.38,4095,1750,1
12300,9.70,4095,1531,1
12327,9.69,2371,1225,1
12354,9.41,1113,635,1
12381,9.77,525,-222,1
12408,10.17,293,-1101,1
12435,10.13,193,-1779,1
12462,9.93,144,-2172,1
12489,10.27,133,-2304,1
12516,10.59,194,-2244,1
12543,10.74,314,-2060,1
12570,10.57,429,-1805,1
12597,10.74,703,-1509,1
12624,11.01,2082,-1110,1
12651,11.28,4095,-430,1
12678,11.07,4095,518,1
12705,11.08,4095,1411,1
12732,11.48,4095,1988,1
12759,11.77,4095,2230,1
12786,11.59,4095,2221,1
12813,11.57,4095,2067,1
12840,11.95,4095,1851,1
12867,12.34,4095,1627,1
12894,12.18,3152,1361,1
12921,12.08,1493,890,1
12948,12.44,613,120,1
12975,12.79,240,-788,1
13002,12.77,124,-1579,1
13029,12.66,54,-2101,1
13056,12.87,18,-2337,1
13083,13.21,28,-2347,1
13110,13.17,118,-2206,1
13137,13.13,254,-1973,1
13164,13.35,384,-1691,1
13191,13.73,560,-1390,1
13218,13.68,1459,-1039,1
13245,13.63,4095,-442,1
13272,13.90,4095,487,1
13299,14.43,4095,1433,1
13326,14.44,4095,2075,1
13353,14.31,4095,2368,1
13380,14.58,4095,2386,1
13407,15.01,4095,2240,1
13434,14.97,4095,2019,1
13461,14.88,4095,1784,1
13488,15.27,2973,1493,1
13515,15.60,1357,973,1
13542,15.52,559,159,1
13569,15.44,336,-754,1
13596,15.73,322,-1502,1
13623,16.25,289,-1953,1
13650,16.03,237,-2121,1
13677,16.09,194,-2094,1
13704,16.46,226,-1958,1
13731,16.90,304,-1765,1
13758,16.75,399,-1541,1
13785,16.72,500,-1306,1
13812,17.20,1089,-1041,1
13839,17.57,3165,-590,1
13866,17.26,4095,184,1
13893,17.42,4095,1108,1
13920,17.82,4095,1852,1
13947,18.14,4095,2268,1
13974,17.89,4095,2384,1
14001,18.19,4095,2296,1
14028,18.64,4095,2101,1
14055,18.79,4095,1869,1
14082,18.43,2689,1551,1
14109,18.83,1149,970,1
14136,19.32,459,96,1
14163,19.22,318,-834,1
14190,19.13,320,-1557,1
14217,19.70,273,-1964,1
14244,19.95,192,-2098,1
14271,19.68,123,-2056,1
14298,20.00,129,-1925,1
14325,20.57,192,-1749,1
14352,20.44,281,-1549,1
14379,20.49,389,-1334,1
14406,21.01,976,-1078,1
14433,21.22,3022,-634,1
14460,20.92,4095,144,1
14487,21.23,4095,1092,1
14514,21.73,4095,1872,1
14541,21.63,4095,2316,1
14568,21.58,4095,2449,1
14595,22.23,4095,2367,1
14622,22.40,4095,2169,1
14649,22.16,4095,1931,1
14676,22.65,4095,1697,1
14703,23.15,2297,1369,1
14730,22.92,901,739,1
14757,22.92,268,-179,1
14784,23.61,82,-1122,1
14811,23.74,51,-1839,1
14838,23.41,27,-2237,1
14865,24.01,3,-2352,1
14892,24.41,22,-2273,1
14919,24.12,108,-2082,1
14946,24.44,225,-1832,1
14973,25.11,333,-1558,1
15000,25.04,533,-1279,1
15027,24.98,1610,-940,1
15054,25.58,4095,-335,1
15081,25.84,4095,595,1
15108,25.47,4095,1527,1
15135,26.22,4095,2150,1
15162,26.48,4095,2425,1
15189,26.30,4095,2428,1
15216,26.60,4095,2270,1
15243,27.26,4095,2041,1
15270,26.91,4095,1799,1
15297,27.11,4095,1575,1
15324,27.88,2301,1262,1
15351,27.82,827,640,1
15378,27.71,117,-288,1
15405,28.49,0,-1252,1
15432,28.53,0,-1980,1
15459,28.37,0,-2368,1
15486,29.17,0,-2458,1
15513,29.23,0,-2351,1
15540,29.05,0,-2144,1
15567,29.90,151,-1896,1
15594,30.01,304,-1625,1
15621,29.89,500,-1340,1
15648,30.56,1520,-993,1
15675,30.86,4095,-381,1
15702,30.48,4095,563,1
15729,31.44,4095,1513,1
15756,31.58,4095,2152,1
15783,31.48,4095,2437,1
15810,32.04,4095,2446,1
15837,32.48,4095,2290,1
15864,32.17,4095,2060,1
