Time,Pressure,PPGSignal,rawPPGSignal
8925,-0.17,1342,86,1
8952,-0.26,1358,352,1
8979,-0.12,1382,686,1
9006,0.13,1392,935,1
9033,0.36,1379,1055,1
9060,0.46,1371,1060,1
9087,1.18,1425,992,1
9114,0.89,1978,930,1
9141,1.40,3387,1026,1
9168,1.16,4095,1384,1
9195,1.68,4095,1874,1
9222,1.20,4095,2257,1
9249,2.00,4095,2417,1
9276,1.53,4095,2372,1
9303,1.99,2914,2112,1
9330,1.92,1686,1544,1
9357,2.02,1038,694,1
9384,2.36,942,-214,1
9411,2.13,1206,-928,1
9438,2.62,1494,-1308,1
9465,2.25,1629,-1374,1
9492,2.70,1601,-1251,1
9519,2.48,1465,-1083,1
9546,2.73,1307,-969,1
9573,2.80,1170,-940,1
9600,2.73,1117,-974,1
9627,3.18,1136,-1026,1
9654,2.69,1194,-1053,1
9681,3.46,1271,-1034,1
9708,2.99,1328,-970,1
9735,3.57,1366,-880,1
9762,3.42,1398,-783,1
9789,3.50,1398,-695,1
9816,3.79,1373,-624,1
9843,3.67,1361,-576,1
9870,4.16,1529,-534,1
9897,3.85,2291,-427,1
9924,4.28,3792,-115,1
9951,4.13,4095,442,1
9978,4.36,4095,1045,1
10005,4.52,4095,1473,1
10032,4.28,3826,1648,1
10059,4.87,2333,1496,1
10086,4.42,1330,944,1
10113,5.10,879,114,1
10140,4.76,935,-705,1
10167,5.19,1298,-1267,1
10194,5.16,1701,-1467,1
10221,5.21,1893,-1355,1
10248,5.54,1853,-1085,1
10275,5.30,1652,-820,1
10302,5.76,1429,-664,1
10329,5.32,1287,-634,1
10356,5.88,1222,-684,1
10383,5.72,1247,-753,1
10410,6.10,1295,-790,1
10437,6.12,1344,-775,1
10464,6.06,1391,-714,1
10491,6.63,1423,-624,1
10518,6.16,1433,-526,1
10545,6.99,1442,-436,1
10572,6.51,1535,-355,1
10599,7.16,2124,-241,1
10626,6.88,3311,21,1
10653,6.95,4095,505,1
10680,7.30,4095,1096,1
10707,7.19,4095,1575,1
10734,7.69,3760,1808,1
10761,7.36,2351,1697,1
10788,8.00,1363,1177,1
10815,7.62,857,374,1
10842,8.22,890,-436,1
10869,8.04,1264,-1007,1
10896,8.37,1686,-1220,1
10923,8.60,1904,-1115,1
10950,8.39,1889,-841,1
10977,9.07,1718,-564,1
11004,8.68,1501,-392,1
11031,9.34,1297,-355,1
11058,8.98,1180,-419,1
11085,9.58,1173,-519,1
11112,9.33,1232,-593,1
11139,9.68,1314,-607,1
11166,9.76,1402,-557,1
11193,9.92,1447,-462,1
11220,10.29,1475,-350,1
11247,10.06,1488,-245,1
11274,10.83,1503,-158,1
11301,10.44,1535,-92,1
11328,11.11,1968,-13,1
11355,10.73,3105,182,1
11382,11.25,4095,602,1
11409,11.15,4095,1172,1
11436,11.57,4095,1666,1
11463,11.66,4095,1945,1
11490,11.71,4095,2010,1
11517,12.11,2803,1841,1
11544,12.00,1699,1345,1
11571,12.44,1118,572,1
11598,12.25,1074,-245,1
11625,12.96,1329,-862,1
11652,12.61,1607,-1156,1
11679,13.29,1743,-1157,1
11706,12.98,1722,-988,1
11733,13.59,1585,-786,1
11760,13.47,1430,-644,1
11787,13.95,1305,-590,1
11814,13.81,1264,-600,1
11841,14.19,1274,-629,1
11868,14.28,1297,-642,1
11895,14.47,1357,-619,1
11922,14.67,1391,-562,1
11949,14.71,1424,-481,1
11976,15.07,1467,-392,1
12003,15.06,1495,-305,1
12030,15.58,1502,-226,1
12057,15.53,1492,-163,1
12084,15.99,1584,-109,1
12111,15.80,2226,-16,1
12138,16.45,3763,257,1
12165,16.17,4095,776,1
12192,16.87,4095,1359,1
12219,16.50,4095,1782,1
12246,17.23,4095,1976,1
12273,16.89,4095,1975,1
12300,17.60,2500,1747,1
12327,17.23,1511,1182,1
12354,18.03,1062,362,1
12381,17.68,1116,-441,1
12408,18.25,1407,-998,1
12435,18.03,1705,-1216,1
12462,18.72,1821,-1151,1
12489,18.43,1772,-944,1
12516,19.03,1609,-734,1
12543,18.73,1443,-603,1
12570,19.45,1328,-568,1
12597,19.11,1286,-596,1
12624,19.81,1303,-636,1
12651,19.48,1354,-651,1
12678,20.17,1435,-620,1
12705,20.00,1486,-547,1
12732,20.62,1505,-451,1
12759,20.36,1506,-356,1
12786,21.17,1503,-275,1
12813,20.78,1512,-214,1
12840,21.61,1493,-171,1
12867,21.35,1472,-142,1
12894,22.10,1505,-121,1
12921,21.86,1963,-68,1
12948,22.50,3195,126,1
12975,22.16,4095,565,1
13002,22.84,4095,1151,1
13029,22.76,4095,1649,1
13056,23.26,4095,1927,1
13083,23.11,4095,1991,1
13110,23.79,4036,1900,1
13137,23.84,2293,1607,1
13164,24.46,1451,999,1
13191,24.70,1231,186,1
13218,25.01,1426,-546,1
13245,25.42,1732,-993,1
13272,25.52,1902,-1119,1
13299,26.05,1888,-1023,1
13326,25.70,1764,-850,1
13353,26.56,1584,-709,1
13380,26.14,1437,-650,1
13407,26.92,1370,-661,1
13434,26.58,1373,-699,1
13461,27.40,1402,-722,1
13488,27.07,1418,-710,1
13515,27.71,1472,-662,1
13542,27.58,1522,-584,1
13569,27.73,1560,-490,1
13596,28.16,1568,-395,1
13623,28.27,1535,-314,1
13650,28.80,1581,-253,1
13677,28.52,2047,-171,1
13704,29.38,3230,40,1
13731,29.06,4095,479,1
13758,29.71,4095,1051,1
13785,29.66,4095,1536,1
13812,30.03,4095,1807,1
13839,30.41,3609,1839,1
13866,30.41,2141,1567,1
13893,31.15,1219,937,1
13920,30.85,885,98,1
13947,31.87,1066,-668,1
13974,31.54,1472,-1138,1
14001,32.12,1789,-1248,1
14028,32.40,1886,-1088,1
14055,32.24,1776,-825,1
14082,33.26,1585,-603,1
14109,32.96,1376,-492,1
14136,33.66,1237,-492,1
14163,33.77,1196,-553,1
14190,34.03,1216,-618,1
14217,34.74,1271,-645,1
14244,34.43,1340,-619,1
14271,35.45,1393,-544,1
14298,35.35,1425,-444,1
14325,35.87,1453,-339,1
14352,36.69,1467,-244,1
14379,36.62,1473,-165,1
14406,37.43,2031,-65,1
14433,37.56,3279,168,1
14460,37.77,4095,633,1
14487,38.68,4095,1221,1
14514,38.41,4095,1707,1
14541,39.12,4095,1969,1
14568,39.55,4095,2021,1
14595,39.55,2509,1823,1
14622,40.53,1439,1268,1
14649,40.38,937,436,1
14676,40.86,978,-400,1
14703,41.67,1290,-992,1
14730,41.46,1607,-1232,1
14757,42.22,1788,-1169,1
14784,42.75,1775,-940,1
14811,42.67,1614,-697,1
14838,43.63,1450,-537,1
14865,43.82,1314,-484,1
14892,43.73,1243,-508,1
14919,44.95,1236,-558,1
14946,45.05,1284,-590,1
14973,45.22,1331,-581,1
15000,46.39,1373,-531,1
15027,46.77,1401,-454,1
15054,46.89,1521,-361,1
15081,47.92,2140,-217,1
15108,48.07,3414,81,1
15135,48.16,4095,601,1
15162,49.17,4095,1206,1
15189,49.43,4095,1680,1
15216,49.39,4095,1923,1
15243,50.41,3053,1897,1
15270,50.94,1900,1523,1
15297,50.90,1078,814,1
15324,51.71,797,-37,1
15351,52.40,951,-773,1
15378,52.28,1311,-1207,1
15405,53.00,1606,-1296,1
15432,53.82,1730,-1128,1
15459,53.86,1685,-856,1
15486,54.04,1565,-612,1
15513,55.08,1425,-465,1
15540,55.45,1335,-416,1
15567,55.31,1306,-430,1
15594,56.22,1307,-461,1
15621,56.93,1319,-476,1
15648,56.77,1356,-464,1
15675,57.49,1389,-422,1
15702,58.96,1418,-360,1
15729,59.38,1481,-284,1
15756,59.48,1926,-176,1
15783,60.14,3058,55,1
15810,60.93,4095,508,1
15837,61.05,4095,1109,1
15864,61.09,4095,1627,1
15891,62.19,4095,1923,1
15918,62.92,3716,1973,1
15945,62.83,2294,1723,1
15972,63.23,1360,1121,1
15999,64.05,941,294,1
16026,64.77,962,-496,1
16053,65.01,1253,-1035,1
16080,64.92,1579,-1238,1
16107,65.89,1755,-1157,1
16134,66.65,1762,-923,1
16161,66.96,1657,-673,1
16188,66.85,1519,-497,1
16215,67.54,1419,-421,1
16242,68.43,1355,-420,1
16269,68.74,1327,-454,1
16296,68.69,1334,-486,1
16323,69.19,1335,-495,1
16350,70.01,1351,-476,1
16377,70.84,1382,-433,1
16404,70.93,1422,-373,1
16431,71.92,1453,-304,1
16458,73.02,1477,-232,1
16485,73.99,1554,-162,1
16512,74.57,2045,-62,1
16539,74.58,3279,176,1
16566,74.65,4095,639,1
16593,74.97,4095,1221,1
16620,75.64,4095,1700,1
16647,76.54,4095,1957,1
16674,76.78,3114,1941,1
16701,76.91,1995,1577,1
16728,77.40,1264,892,1
16755,78.20,979,78,1
16782,79.01,1038,-629,1
16809,79.75,1273,-1070,1
16836,79.94,1522,-1205,1
16863,80.08,1697,-1099,1
16890,80.20,1733,-869,1
16917,80.90,1680,-630,1
16944,81.58,1600,-453,1
16971,82.29,1535,-360,1
16998,82.82,1477,-333,1
17025,83.10,1439,-344,1
17052,83.17,1433,-366,1
17079,83.59,1456,-377,1
17106,84.94,1489,-365,1
17133,86.61,1535,-328,1
17160,87.69,1603,-269,1
17187,88.32,1822,-183,1
17214,88.48,2559,-24,1
17241,88.60,3879,311,1
17268,88.65,4095,842,1
17295,88.90,4095,1381,1
17322,89.39,3890,1731,1
17349,90.15,2730,1759,1
17376,90.92,1918,1397,1
17403,91.54,1359,740,1
17430,91.92,1104,6,1
17457,92.19,1085,-613,1
17484,92.42,1205,-1005,1
17511,92.69,1355,-1150,1
17538,93.11,1489,-1096,1
17565,93.69,1565,-927,1
17592,94.40,1593,-722,1
17619,95.16,1616,-536,1
17646,95.87,1645,-392,1
17673,96.35,1661,-290,1
17700,96.62,1680,-221,1
17727,96.97,1691,-174,1
17754,97.33,1678,-141,1
17781,98.48,1650,-120,1
17808,99.90,1646,-108,1
17835,100.89,1659,-100,1
17862,101.57,1760,-83,1
17889,102.26,2230,-20,1
17916,102.86,3165,172,1
17943,103.48,4095,567,1
17970,103.72,4095,1088,1
17997,104.04,4095,1536,1
18024,104.17,3533,1749,1
18051,104.51,2589,1630,1
18078,104.85,1900,1173,1
18105,105.24,1456,514,1
18132,105.66,1280,-154,1
18159,106.07,1284,-679,1
18186,106.38,1391,-986,1
18213,106.88,1518,-1076,1
18240,107.40,1594,-1007,1
18267,108.04,1631,-856,1
18294,108.54,1648,-688,1
18321,109.11,1631,-544,1
18348,109.66,1601,-441,1
18375,110.17,1575,-379,1
18402,110.71,1581,-346,1
18429,111.34,1583,-325,1
18456,112.02,1570,-306,1
18483,112.54,1529,-288,1
18510,113.52,1520,-273,1
18537,115.07,1511,-260,1
18564,116.35,1507,-244,1
18591,117.00,1530,-222,1
18618,117.38,1607,-186,1
18645,117.92,2043,-109,1
18672,118.35,2878,81,1
18699,118.63,3856,458,1
18726,118.78,4095,980,1
18753,118.94,3974,1467,1
18780,119.17,3281,1714,1
18807,119.78,2739,1623,1
18834,120.29,2333,1248,1
18861,120.71,2095,742,1
18888,121.23,1981,249,1
18915,121.70,1946,-133,1
