Time,Pressure,PPGSignal,rawPPGSignal,BL_W20_T3.50_D5_C2,BL_W40_T3.00_D5_C2,BL_W60_T3.50_D5_C2,BL_W65_T3.50_D5_C2,BL_W70_T4.00_D5_C2,BL_W60_T3.00_D5_C2,BL_W80_T3.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.23,182,2798,0,0,0,0,0,0,0,0
14863,-0.13,753,2901,0,0,0,0,0,0,0,0
14899,-0.20,1493,2884,0,0,0,0,0,0,0,0
14935,-0.09,2060,2820,0,0,0,0,0,0,0,0
14971,-0.09,2352,2814,0,0,0,0,0,0,0,0
15007,-0.08,2418,2947,0,0,0,0,0,0,0,0
15043,-0.12,2414,3841,0,0,0,0,0,0,0,0
15079,-0.17,2486,4095,0,0,0,0,0,0,0,0
15115,-0.19,2617,4095,0,0,0,0,0,0,0,0
15151,-0.13,2663,3438,0,0,0,0,0,0,0,0
15187,-0.14,2493,2804,0,0,0,0,0,0,0,0
15223,-0.18,2108,2608,0,0,0,0,0,0,0,0
15259,-0.09,1656,2709,0,0,0,0,0,0,0,0
15295,-0.09,1301,3001,0,0,0,0,0,0,0,0
15331,-0.08,1119,3152,0,0,0,0,0,0,0,0
15367,-0.11,1074,3094,0,0,0,0,0,0,0,0
15403,-0.17,1070,2944,0,0,0,0,0,0,0,0
15439,-0.19,1035,2828,0,0,0,0,0,0,0,0
15475,-0.21,953,2790,0,0,0,0,0,0,0,0
15511,-0.20,848,2800,0,0,0,0,0,0,0,0
15547,-0.21,756,2863,0,0,0,0,0,0,0,0
15583,-0.19,691,2867,0,0,0,0,0,0,0,0
15619,-0.13,648,2844,0,0,0,0,0,0,0,0
15655,-0.11,615,2903,0,0,0,0,0,0,0,0
15691,-0.15,630,3491,0,0,0,0,0,0,0,0
15727,-0.18,768,4095,0,0,0,0,0,0,0,0
15763,-0.23,1020,4095,0,0,0,0,0,0,0,0
15799,-0.22,1266,4095,0,0,0,0,0,0,0,0
15835,-0.22,1347,3006,0,0,0,0,0,0,0,0
15871,-0.17,1155,2678,0,0,0,0,0,0,0,0
15907,-0.16,780,2693,0,0,0,0,0,0,0,0
15943,-0.31,425,2925,0,0,0,0,0,0,0,0
15979,-0.20,219,3135,0,0,0,0,0,0,0,0
16015,-0.29,171,3165,0,0,0,0,0,0,0,0
16051,-0.21,203,3031,0,0,0,0,0,0,0,0
16087,-0.28,229,2895,0,0,0,0,0,0,0,0
16123,-0.27,211,2827,0,0,0,0,0,0,0,0
16159,-0.26,159,2815,0,0,0,0,0,0,0,0
16195,-0.28,104,2853,0,0,0,0,0,0,0,0
16231,-0.34,68,2893,0,0,0,0,0,0,0,0
16267,-0.17,56,2883,0,0,0,0,0,0,0,0
16303,-0.25,56,2863,0,0,0,0,0,0,0,0
16339,-0.16,67,3043,0,0,0,0,0,0,0,0
16375,-0.25,170,4095,0,0,0,0,0,0,0,0
16411,-0.29,425,4095,0,0,0,0,0,0,0,0
16447,-0.25,727,4095,0,0,0,0,0,0,0,0
16483,-0.25,910,3515,0,0,0,0,0,0,0,0
16519,-0.20,858,2821,0,0,0,0,0,0,0,0
16555,-0.28,576,2635,0,0,0,0,0,0,0,0
16591,-0.32,218,2825,0,0,0,0,0,0,0,0
16627,-0.26,-33,3169,0,0,0,0,0,0,0,0
16663,-0.28,-106,3280,0,0,0,0,0,0,0,0
16699,-0.23,-57,3169,0,0,0,0,0,0,0,0
16735,-0.22,6,2975,0,0,0,0,0,0,0,0
16771,-0.32,15,2831,0,0,0,0,0,0,0,0
16807,-0.21,-34,2786,0,0,0,0,0,0,0,0
16843,-0.30,-104,2832,0,0,0,0,0,0,0,0
16879,-0.32,-153,2891,0,0,0,0,0,0,0,0
16915,-0.28,-167,2875,0,0,0,0,0,0,0,0
16951,-0.27,-158,2882,0,0,0,0,0,0,0,0
16987,-0.16,-133,2992,0,0,0,0,0,0,0,0
17023,-0.25,-35,3888,0,0,0,0,0,0,0,0
17059,-0.28,201,4095,0,0,0,0,0,0,0,0
17095,-0.19,506,4095,0,0,0,0,0,0,0,0
17131,-0.25,754,4087,0,0,0,0,0,0,0,0
17167,-0.20,824,2997,0,0,0,0,0,0,0,0
17203,-0.26,625,2669,0,0,0,0,0,0,0,0
17239,-0.25,263,2786,0,0,0,0,0,0,0,0
17275,-0.20,-45,3117,0,0,0,0,0,0,0,0
17311,-0.25,-177,3344,0,0,0,0,0,0,0,0
17347,-0.28,-153,3283,0,0,0,0,0,0,0,0
17383,-0.24,-81,3041,0,0,0,0,0,0,0,0
17419,-0.19,-57,2860,0,0,0,0,0,0,0,0
17455,-0.22,-105,2752,0,0,0,0,0,0,0,0
17491,-0.22,-190,2769,0,0,0,0,0,0,0,0
17527,-0.23,-261,2851,0,0,0,0,0,0,0,0
17563,-0.22,-288,2893,0,0,0,0,0,0,0,0
17599,-0.18,-274,2871,0,0,0,0,0,0,0,0
17635,-0.14,-245,2854,0,0,0,0,0,0,0,0
17671,-0.15,-208,2999,0,0,0,0,0,0,0,0
17707,-0.12,-87,4095,0,0,0,0,0,0,0,0
17743,-0.19,185,4095,0,0,0,0,0,0,0,0
17779,-0.18,505,4095,0,0,0,0,0,0,0,0
17815,-0.16,733,3909,0,0,0,0,0,0,0,0
17851,-0.18,751,2813,0,0,0,0,0,0,0,0
17887,-0.16,497,2544,0,0,0,0,0,0,0,0
17923,-0.16,110,2783,0,0,0,0,0,0,0,0
17959,-0.10,-172,3264,0,0,0,0,0,0,0,0
17995,-0.14,-234,3539,0,0,0,0,0,0,0,0
18031,-0.14,-135,3326,0,0,0,0,0,0,0,0
18067,-0.09,-33,2975,0,0,0,0,0,0,0,0
18103,-0.13,-32,2753,0,0,0,0,0,0,0,0
18139,-0.11,-126,2688,0,0,0,0,0,0,0,0
18175,-0.18,-246,2779,0,0,0,0,0,0,0,0
18211,-0.11,-323,2867,0,0,0,0,0,0,0,0
18247,-0.17,-336,2915,0,0,0,0,0,0,0,0
18283,-0.10,-306,2864,0,0,0,0,0,0,0,0
18319,-0.01,-269,2832,0,0,0,0,0,0,0,0
