Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
14828,-0.10,139,0,0,0,0,0,0,0,0
14863,-0.21,559,0,0,0,0,0,0,0,0
14899,-0.15,1086,0,0,0,0,0,0,0,0
14935,-0.17,1503,0,0,0,0,0,0,0,0
14971,-0.12,1773,0,0,0,0,0,0,0,0
15007,-0.06,1913,0,0,0,0,0,0,0,0
15043,-0.06,2015,0,0,0,0,0,0,0,0
15079,-0.09,2211,0,0,0,0,0,0,0,0
15115,-0.18,2495,0,0,0,0,0,0,0,0
15151,-0.15,2730,0,0,0,0,0,0,0,0
15187,-0.12,2833,0,0,0,0,0,0,0,0
15223,-0.13,2698,0,0,0,0,0,0,0,0
15259,-0.21,2130,0,0,0,0,0,0,0,0
15295,-0.11,1224,0,0,0,0,0,0,0,0
15331,-0.22,486,0,0,0,0,0,0,0,0
15367,-0.17,334,0,0,0,0,0,0,0,0
15403,-0.16,701,0,0,0,0,0,0,0,0
15439,-0.23,1150,0,0,0,0,0,0,0,0
15475,-0.15,1307,0,0,0,0,0,0,0,0
15511,-0.13,1123,0,0,0,0,0,0,0,0
15547,-0.13,769,0,0,0,0,0,0,0,0
15583,-0.15,442,0,0,0,0,0,0,0,0
15619,-0.17,255,0,0,0,0,0,0,0,0
15655,-0.23,212,0,0,0,0,0,0,0,0
15691,-0.11,248,0,0,0,0,0,0,0,0
15727,-0.17,350,0,0,0,0,0,0,0,0
15763,-0.16,602,0,0,0,0,0,0,0,0
15799,-0.14,994,0,0,0,0,0,0,0,0
15835,-0.20,1366,0,0,0,0,0,0,0,0
15871,-0.15,1601,0,0,0,0,0,0,0,0
15907,-0.14,1555,0,0,0,0,0,0,0,0
15943,-0.15,1020,0,0,0,0,0,0,0,0
15979,-0.16,146,0,0,0,0,0,0,0,0
16015,-0.21,-510,0,0,0,0,0,0,0,0
16051,-0.20,-553,0,0,0,0,0,0,0,0
16087,-0.21,-116,0,0,0,0,0,0,0,0
16123,-0.20,326,0,0,0,0,0,0,0,0
16159,-0.19,431,0,0,0,0,0,0,0,0
16195,-0.19,199,0,0,0,0,0,0,0,0
16231,-0.23,-161,0,0,0,0,0,0,0,0
16267,-0.26,-439,0,0,0,0,0,0,0,0
16303,-0.21,-539,0,0,0,0,0,0,0,0
16339,-0.08,-487,0,0,0,0,0,0,0,0
16375,-0.26,-361,0,0,0,0,0,0,0,0
16411,-0.14,-173,0,0,0,0,0,0,0,0
16447,-0.20,162,0,0,0,0,0,0,0,0
16483,-0.12,634,0,0,0,0,0,0,0,0
16519,-0.15,1075,0,0,0,0,0,0,0,0
16555,-0.14,1358,0,0,0,0,0,0,0,0
16591,-0.20,1315,0,0,0,0,0,0,0,0
16627,-0.12,737,0,0,0,0,0,0,0,0
16663,-0.22,-147,0,0,0,0,0,0,0,0
16699,-0.17,-733,0,0,0,0,0,0,0,0
16735,-0.18,-674,0,0,0,0,0,0,0,0
16771,-0.17,-163,0,0,0,0,0,0,0,0
