Time,Pressure,PPGSignal,rawPPGSignal
8794,-0.35,1815,116,1
8821,-0.38,1763,470,1
8848,-0.36,1751,907,1
8875,-0.26,1761,1217,1
8902,-0.19,1808,1358,1
8929,-0.31,1814,1363,1
8956,-0.27,1809,1281,1
8983,-0.24,1767,1149,1
9010,-0.13,1693,992,1
9037,-0.25,1664,824,1
9064,-0.21,1683,665,1
9091,-0.28,1710,532,1
9118,-0.13,1743,432,1
9145,-0.04,1744,359,1
9172,0.07,1702,296,1
9199,-0.02,1648,227,1
9226,0.06,1621,147,1
9253,0.00,1842,79,1
9280,-0.03,2288,78,1
9307,-0.13,2707,185,1
9334,-0.01,2925,380,1
9361,-0.13,2843,576,1
9388,-0.02,2627,677,1
9415,0.03,2415,635,1
9442,0.02,2247,467,1
9469,-0.12,2178,234,1
9496,-0.06,2187,7,1
9523,-0.14,2267,-163,1
9550,-0.12,2384,-255,1
9577,-0.13,2442,-274,1
9604,-0.10,2392,-259,1
9631,-0.10,2275,-254,1
9658,-0.03,2127,-290,1
9685,-0.12,2017,-371,1
9712,-0.14,1934,-480,1
9739,-0.17,1887,-590,1
9766,-0.09,1860,-680,1
9793,-0.20,1838,-740,1
9820,-0.20,1838,-768,1
9847,-0.16,1811,-771,1
9874,-0.17,1791,-759,1
9901,-0.18,1783,-741,1
9928,-0.13,1761,-721,1
9955,-0.15,1738,-701,1
9982,-0.16,1715,-682,1
10009,-0.18,1682,-666,1
10036,-0.15,1667,-653,1
10063,-0.25,1631,-640,1
10090,-0.12,1610,-627,1
10117,-0.13,1616,-611,1
10144,-0.15,1596,-588,1
10171,-0.23,1617,-559,1
10198,-0.10,1787,-511,1
10225,-0.18,2157,-413,1
10252,-0.11,2614,-229,1
10279,-0.18,2913,40,1
10306,-0.14,2943,330,1
10333,-0.13,2790,545,1
10360,-0.16,2559,622,1
10387,-0.17,2453,561,1
10414,-0.16,2384,415,1
10441,-0.20,2343,249,1
10468,-0.17,2319,103,1
10495,-0.24,2267,-7,1
10522,-0.21,2210,-86,1
10549,-0.31,2133,-146,1
10576,-0.10,2037,-201,1
10603,-0.17,1942,-260,1
10630,-0.07,1840,-324,1
10657,-0.22,1743,-392,1
10684,-0.15,1699,-455,1
10711,-0.08,1681,-500,1
10738,-0.22,1703,-519,1
10765,-0.17,1732,-507,1
10792,-0.13,1731,-470,1
10819,-0.15,1726,-420,1
10846,-0.11,1659,-375,1
10873,-0.22,1590,-349,1
10900,-0.16,1531,-345,1
10927,-0.19,1489,-356,1
10954,-0.23,1488,-365,1
10981,-0.17,1485,-364,1
11008,-0.16,1453,-350,1
11035,-0.14,1433,-331,1
11062,-0.10,1413,-308,1
11089,-0.19,1424,-282,1
11116,-0.17,1443,-250,1
11143,-0.18,1440,-212,1
11170,-0.17,1450,-172,1
11197,-0.11,1441,-134,1
11224,-0.20,1440,-99,1
11251,-0.25,1488,-66,1
11278,-0.21,1653,-20,1
11305,-0.27,1936,64,1
11332,-0.18,2207,207,1
11359,-0.18,2309,390,1
11386,-0.16,2260,556,1
11413,-0.21,2096,646,1
11440,-0.18,1927,632,1
11467,-0.19,1860,534,1
11494,-0.16,1793,398,1
11521,-0.18,1749,266,1
11548,-0.13,1694,156,1
11575,-0.22,1677,73,1
11602,-0.17,1728,22,1
11629,-0.28,1760,7,1
11656,-0.15,1763,19,1
11683,-0.13,1747,40,1
11710,-0.18,1718,55,1
11737,-0.27,1691,55,1
11764,-0.19,1633,41,1
11791,-0.17,1591,13,1
11818,-0.17,1583,-18,1
11845,-0.15,1584,-45,1
11872,-0.04,1599,-60,1
11899,-0.13,1612,-61,1
11926,-0.15,1596,-52,1
11953,-0.16,1596,-40,1
11980,-0.16,1558,-31,1
12007,-0.14,1535,-31,1
12034,-0.10,1563,-36,1
12061,-0.16,1614,-34,1
12088,-0.15,1641,-16,1
12115,-0.05,1650,9,1
12142,-0.06,1633,34,1
12169,-0.14,1598,47,1
12196,-0.18,1557,42,1
12223,-0.18,1517,21,1
12250,-0.14,1521,-3,1
12277,-0.16,1524,-22,1
12304,-0.17,1523,-30,1
12331,-0.07,1514,-31,1
12358,-0.12,1503,-28,1
12385,-0.16,1600,-18,1
12412,-0.19,1826,19,1
12439,-0.22,2096,109,1
12466,-0.20,2243,250,1
12493,-0.28,2218,398,1
12520,-0.17,2106,495,1
12547,-0.24,1985,507,1
12574,-0.18,1907,443,1
12601,-0.21,1873,338,1
12628,-0.17,1833,227,1
12655,-0.23,1805,132,1
12682,-0.18,1821,60,1
12709,-0.17,1825,17,1
12736,-0.19,1855,-2,1
12763,-0.25,1841,-5,1
12790,-0.18,1811,-4,1
12817,-0.21,1793,-8,1
12844,-0.19,1779,-19,1
12871,-0.05,1748,-36,1
12898,-0.12,1725,-59,1
12925,-0.20,1719,-81,1
12952,-0.12,1742,-98,1
12979,-0.16,1745,-103,1
13006,-0.09,1735,-99,1
13033,-0.16,1744,-93,1
13060,-0.19,1751,-84,1
13087,-0.21,1758,-74,1
13114,-0.07,1758,-65,1
13141,-0.16,1734,-59,1
13168,-0.09,1716,-60,1
13195,-0.07,1680,-69,1
13222,-0.13,1678,-83,1
13249,-0.15,1688,-95,1
13276,-0.05,1702,-99,1
13303,-0.13,1725,-93,1
13330,-0.13,1722,-80,1
13357,-0.08,1714,-65,1
13384,-0.10,1747,-51,1
13411,-0.14,1889,-28,1
13438,-0.15,2199,32,1
13465,-0.17,2519,158,1
13492,-0.11,2651,337,1
13519,-0.18,2608,509,1
13546,-0.05,2431,605,1
13573,-0.20,2278,591,1
13600,-0.14,2196,488,1
13627,-0.18,2121,342,1
13654,-0.14,2064,193,1
13681,-0.23,2017,64,1
13708,-0.17,2013,-33,1
13735,-0.12,2018,-96,1
13762,-0.10,2013,-128,1
13789,-0.11,2001,-138,1
13816,-0.10,1977,-140,1
13843,-0.16,1920,-147,1
13870,-0.07,1893,-163,1
13897,-0.13,1863,-186,1
13924,-0.18,1841,-208,1
13951,-0.15,1870,-225,1
13978,-0.18,1865,-229,1
14005,-0.19,1852,-224,1
14032,-0.10,1831,-215,1
14059,-0.16,1782,-209,1
14086,-0.13,1767,-211,1
14113,-0.14,1769,-215,1
14140,-0.10,1775,-216,1
14167,-0.16,1779,-208,1
14194,-0.11,1781,-192,1
14221,-0.16,1794,-173,1
14248,-0.18,1773,-154,1
14275,-0.14,1728,-142,1
14302,-0.15,1699,-142,1
14329,-0.18,1667,-150,1
14356,-0.12,1675,-159,1
14383,-0.20,1700,-161,1
14410,-0.05,1724,-150,1
14437,-0.15,1856,-119,1
14464,-0.18,2156,-46,1
14491,-0.19,2501,92,1
14518,-0.16,2754,294,1
14545,-0.18,2770,508,1
14572,-0.15,2603,659,1
14599,-0.22,2391,691,1
14626,-0.12,2243,604,1
14653,-0.22,2197,448,1
14680,-0.16,2142,279,1
14707,-0.21,2092,133,1
14734,-0.16,2066,21,1
14761,-0.13,2037,-54,1
14788,-0.19,2042,-99,1
14815,-0.15,2033,-121,1
14842,-0.07,1994,-131,1
14869,-0.22,1943,-141,1
14896,-0.16,1874,-160,1
14923,-0.16,1825,-189,1
14950,-0.10,1808,-221,1
14977,-0.15,1803,-247,1
15004,-0.14,1793,-262,1
15031,-0.20,1789,-263,1
15058,-0.21,1777,-253,1
15085,-0.13,1771,-238,1
15112,-0.23,1737,-223,1
15139,-0.14,1727,-213,1
15166,-0.14,1714,-208,1
15193,-0.20,1711,-202,1
15220,-0.12,1725,-193,1
15247,-0.20,1729,-178,1
15274,-0.16,1705,-160,1
15301,-0.22,1687,-143,1
15328,-0.22,1655,-134,1
15355,-0.18,1648,-130,1
15382,-0.20,1655,-126,1
15409,-0.19,1638,-121,1
15436,-0.09,1648,-113,1
15463,-0.23,1635,-100,1
15490,-0.14,1632,-86,1
15517,-0.12,1639,-71,1
15544,-0.13,1643,-55,1
15571,-0.18,1648,-38,1
15598,-0.11,1722,-16,1
15625,-0.22,2014,32,1
15652,-0.09,2461,150,1
15679,-0.14,2831,356,1
15706,-0.13,2919,609,1
15733,-0.14,2763,816,1
15760,-0.18,2480,893,1
15787,-0.19,2291,817,1
15814,-0.14,2208,638,1
15841,-0.22,2178,432,1
15868,-0.13,2175,255,1
15895,-0.25,2143,129,1
15922,-0.12,2128,49,1
15949,-0.18,2117,2,1
15976,-0.15,2074,-26,1
16003,-0.14,2039,-48,1
16030,-0.17,1997,-74,1
16057,-0.17,1906,-107,1
16084,-0.16,1840,-153,1
16111,-0.15,1795,-205,1
16138,-0.10,1794,-251,1
16165,-0.20,1777,-281,1
16192,-0.05,1749,-293,1
16219,-0.09,1744,-295,1
16246,-0.13,1727,-290,1
16273,-0.16,1725,-280,1
16300,-0.18,1722,-266,1
16327,-0.18,1695,-250,1
16354,-0.15,1685,-236,1
16381,-0.19,1649,-227,1
16408,-0.16,1582,-225,1
16435,-0.22,1521,-236,1
16462,-0.17,1487,-255,1
16489,-0.21,1488,-272,1
16516,-0.17,1535,-274,1
16543,-0.16,1584,-252,1
16570,-0.20,1629,-208,1
16597,-0.28,1621,-151,1
16624,-0.18,1535,-103,1
16651,-0.21,1487,-84,1
16678,-0.12,1411,-93,1
16705,-0.12,1407,-119,1
16732,-0.14,1444,-138,1
16759,-0.11,1494,-135,1
16786,-0.13,1664,-97,1
16813,-0.14,2022,-5,1
16840,-0.10,2544,175,1
16867,-0.16,3057,458,1
16894,-0.10,3262,800,1
16921,-0.16,3099,1094,1
16948,-0.09,2752,1225,1
16975,-0.20,2461,1152,1
17002,-0.05,2320,925,1
17029,-0.11,2259,643,1
17056,-0.12,2179,384,1
17083,-0.11,2095,177,1
17110,-0.05,2016,21,1
17137,-0.14,1979,-90,1
17164,-0.09,1946,-165,1
17191,-0.10,1922,-211,1
17218,-0.05,1916,-235,1
17245,-0.11,1858,-249,1
17272,-0.06,1775,-264,1
17299,-0.14,1693,-291,1
17326,-0.07,1615,-331,1
17353,-0.04,1584,-374,1
17380,-0.00,1583,-407,1
17407,-0.15,1585,-420,1
17434,-0.05,1562,-413,1
17461,-0.08,1503,-398,1
17488,-0.05,1474,-384,1
17515,-0.13,1472,-373,1
17542,-0.13,1468,-359,1
17569,-0.13,1475,-339,1
17596,-0.14,1481,-311,1
17623,-0.08,1507,-276,1
17650,-0.09,1566,-232,1
17677,-0.16,1606,-178,1
17704,-0.15,1629,-120,1
17731,-0.14,1627,-66,1
17758,-0.14,1610,-24,1
17785,-0.09,1607,0,1
17812,-0.13,1599,11,1
