Time,Pressure,PPGSignal,rawPPGSignal
28113,152.81,119,1853
28121,152.61,486,1866
28128,152.65,946,1873
28135,152.71,1282,1882
28142,152.46,1440,1903
28149,152.50,1446,1898
28156,152.48,1354,1909
28162,152.50,1214,1906
28169,152.48,1059,1909
28176,152.38,909,1915
28183,152.35,775,1908
28190,152.32,657,1910
28197,152.31,553,1907
28204,152.16,461,1917
28211,152.20,375,1906
28218,152.20,294,1903
28224,152.17,216,1911
28231,152.13,144,1895
28238,152.11,77,1904
28245,152.08,17,1899
28252,151.98,-36,1894
28259,151.94,-86,1902
28266,151.79,-132,1891
28273,151.84,-174,1889
28280,151.83,-212,1898
28287,151.78,-245,1902
28293,151.83,-273,1896
28300,151.74,-297,1886
28307,151.72,-319,1891
28314,151.64,-339,1879
28321,151.62,-357,1891
28328,151.49,-371,1879
28335,151.49,-383,1882
28342,151.38,-394,1883
28349,151.39,-401,1872
28356,151.36,-406,1879
28363,151.27,-409,1869
28370,151.30,-409,1866
28377,151.32,-408,1870
28384,151.31,-405,1867
28390,151.30,-400,1875
28397,151.37,-393,1871
28404,151.32,-386,1885
28411,151.28,-376,1879
28418,151.34,-366,1873
28425,151.44,-355,1889
28432,151.57,-342,1882
28439,151.56,-328,1903
28446,151.41,-316,1887
28453,151.47,-305,1885
28460,151.53,-296,1887
28467,151.40,-287,1886
28474,151.37,-279,1884
28481,151.37,-269,1872
28488,151.27,-260,1875
28494,151.35,-250,1869
28501,151.21,-241,1856
28508,151.22,-233,1867
28515,151.09,-225,1856
28522,150.99,-215,1872
28529,150.99,-203,1859
28536,150.89,-190,1859
28543,151.00,-178,1866
28550,150.79,-166,1861
28557,150.81,-155,1872
28564,150.77,-144,1867
28571,150.66,-133,1872
28578,150.67,-122,1872
28585,150.68,-113,1865
28592,150.60,-105,1874
28598,150.56,-97,1861
28605,150.59,-90,1869
28612,150.47,-82,1867
28619,150.49,-74,1868
28626,150.45,-68,1866
28633,150.42,-61,1858
28640,150.42,-55,1872
28647,150.29,-48,1865
28654,150.36,-40,1877
28661,150.25,-33,1871
28668,150.21,-26,1872
28675,150.20,-21,1884
28682,150.25,-16,1877
28689,150.18,-10,1886
28696,150.13,-3,1884
28702,150.14,2,1885
28709,150.19,7,1889
28716,150.27,11,1879
28723,150.20,12,1886
28730,150.18,13,1888
28737,150.16,12,1881
28744,150.07,10,1883
28751,150.10,10,1875
28758,150.05,10,1882
28764,150.00,11,1859
28771,149.96,10,1872
28778,150.02,9,1872
28785,150.01,8,1863
28792,149.94,6,1869
28799,149.96,4,1858
28806,149.79,2,1872
28813,149.87,1,1856
28820,149.77,0,1855
28826,149.81,0,1850
28833,149.78,-1,1850
28840,149.82,0,1855
28847,149.82,0,1846
28854,149.67,2,1853
28861,149.60,4,1847
28868,149.59,3,1840
28875,149.60,2,1844
28882,149.66,1,1833
28888,149.59,1,1841
28895,149.56,0,1834
28902,149.66,0,1833
28909,149.57,-1,1833
28916,149.45,-2,1821
28923,149.42,-4,1818
