Time,Pressure,PPGSignal,rawPPGSignal
8925,-0.09,2679,172,1
8952,-0.20,1254,606,1
8979,-0.16,480,934,1
9006,-0.17,427,904,1
9033,-0.13,854,695,1
9060,-0.19,1391,548,1
9087,-0.09,1691,567,1
9114,-0.20,1665,696,1
9141,-0.13,1389,804,1
9168,-0.13,1039,786,1
9195,-0.09,747,618,1
9222,-0.10,603,352,1
9249,-0.11,592,74,1
9276,-0.13,678,-139,1
9303,-0.10,811,-250,1
9330,-0.24,954,-259,1
9357,-0.15,1083,-192,1
9384,-0.18,1165,-88,1
9411,-0.18,1193,14,1
9438,-0.17,1170,85,1
9465,-0.08,1383,128,1
9492,-0.12,2550,239,1
9519,-0.11,4095,593,1
9546,-0.10,4095,1185,1
9573,-0.05,4095,1751,1
9600,-0.12,4095,2086,1
9627,-0.10,4095,2169,1
9654,-0.18,4095,2065,1
9681,-0.12,2309,1739,1
9708,-0.10,1023,1050,1
9735,-0.14,574,75,1
9762,-0.18,844,-862,1
9789,-0.17,1441,-1460,1
9816,-0.16,1930,-1607,1
9843,-0.10,2087,-1406,1
9870,-0.16,1879,-1077,1
9897,-0.11,1491,-828,1
9924,-0.14,1104,-764,1
9951,-0.07,835,-876,1
9978,-0.13,745,-1076,1
10005,-0.04,802,-1259,1
10032,-0.05,925,-1351,1
10059,-0.06,1042,-1328,1
10086,-0.09,1109,-1216,1
10113,-0.09,1171,-1059,1
10140,-0.12,1521,-874,1
10167,0.03,2850,-581,1
10194,-0.04,4095,-48,1
10221,-0.05,4095,660,1
10248,-0.17,4095,1284,1
10275,-0.13,4095,1656,1
10302,-0.19,4095,1774,1
10329,-0.14,4095,1711,1
10356,-0.13,3489,1507,1
10383,-0.09,1777,1074,1
10410,-0.23,841,325,1
10437,-0.17,743,-574,1
10464,-0.09,1182,-1306,1
10491,-0.09,1715,-1650,1
10518,-0.11,1985,-1600,1
10545,-0.16,1888,-1322,1
10572,-0.16,1566,-1031,1
10599,-0.12,1170,-875,1
10626,-0.20,880,-890,1
10653,-0.15,753,-1018,1
10680,-0.17,765,-1162,1
10707,-0.12,834,-1244,1
10734,-0.14,923,-1233,1
10761,-0.05,1181,-1126,1
10788,-0.16,2325,-871,1
10815,-0.11,4095,-334,1
10842,-0.16,4095,463,1
10869,-0.12,4095,1228,1
10896,-0.16,4095,1724,1
10923,-0.22,4095,1930,1
10950,-0.23,4095,1916,1
10977,-0.17,4095,1775,1
11004,-0.15,3523,1541,1
11031,-0.14,1811,1113,1
11058,-0.16,1023,397,1
11085,-0.18,1069,-440,1
11112,-0.18,1506,-1088,1
11139,-0.13,1871,-1369,1
11166,-0.22,1941,-1319,1
11193,-0.16,1719,-1114,1
11220,-0.15,1354,-935,1
11247,-0.06,1021,-881,1
11274,-0.14,822,-950,1
11301,-0.14,771,-1072,1
11328,-0.19,844,-1165,1
11355,-0.16,930,-1178,1
11382,-0.17,1076,-1100,1
11409,-0.11,1825,-905,1
11436,-0.20,4095,-445,1
11463,-0.21,4095,335,1
11490,-0.17,4095,1147,1
11517,-0.15,4095,1705,1
11544,-0.16,4095,1963,1
11571,-0.15,4095,1983,1
11598,-0.20,4095,1858,1
11625,-0.20,4095,1668,1
11652,-0.17,2295,1348,1
11679,-0.16,1267,737,1
11706,-0.17,1104,-84,1
11733,-0.16,1466,-810,1
11760,-0.16,1869,-1206,1
11787,-0.12,1997,-1253,1
11814,-0.17,1803,-1098,1
11841,-0.13,1401,-930,1
11868,-0.21,1010,-878,1
11895,-0.17,764,-956,1
11922,-0.22,705,-1098,1
11949,-0.14,778,-1212,1
11976,-0.18,906,-1236,1
12003,-0.11,1119,-1151,1
12030,-0.21,1984,-924,1
12057,-0.16,4095,-422,1
12084,-0.11,4095,379,1
12111,-0.11,4095,1187,1
12138,-0.17,4095,1732,1
12165,-0.15,4095,1977,1
12192,-0.14,4095,1988,1
12219,-0.09,4095,1859,1
12246,-0.20,2624,1573,1
12273,-0.09,1190,986,1
12300,-0.13,650,118,1
12327,-0.16,892,-751,1
12354,-0.05,1458,-1315,1
12381,-0.09,1858,-1453,1
12408,-0.19,1901,-1264,1
12435,-0.16,1614,-966,1
12462,-0.20,1218,-753,1
12489,-0.14,887,-706,1
12516,-0.17,720,-797,1
12543,-0.07,657,-937,1
12570,-0.07,688,-1046,1
12597,-0.17,790,-1074,1
12624,-0.17,1420,-975,1
12651,-0.18,3227,-622,1
12678,-0.16,4095,73,1
12705,-0.22,4095,924,1
12732,-0.10,4095,1619,1
12759,-0.09,4095,2013,1
12786,-0.21,4095,2130,1
12813,-0.13,4095,2057,1
12840,-0.07,2352,1769,1
12867,-0.11,940,1124,1
12894,-0.15,350,171,1
12921,-0.15,527,-776,1
12948,-0.10,1078,-1405,1
12975,-0.15,1554,-1580,1
13002,-0.03,1712,-1389,1
13029,-0.04,1535,-1041,1
13056,-0.16,1169,-749,1
13083,-0.12,797,-627,1
13110,-0.16,565,-674,1
13137,-0.20,475,-811,1
13164,-0.10,525,-941,1
13191,-0.04,621,-993,1
13218,-0.17,758,-947,1
13245,-0.18,1473,-776,1
13272,-0.17,3406,-355,1
13299,-0.15,4095,392,1
13326,-0.04,4095,1250,1
13353,-0.09,4095,1915,1
13380,-0.12,4095,2267,1
13407,-0.08,4095,2344,1
13434,-0.15,4051,2233,1
13461,-0.17,1940,1886,1
13488,-0.11,695,1148,1
13515,-0.15,268,126,1
13542,-0.11,541,-823,1
13569,-0.08,1086,-1403,1
13596,-0.14,1505,-1524,1
13623,-0.21,1591,-1306,1
13650,-0.16,1344,-972,1
13677,-0.19,957,-721,1
13704,-0.16,619,-645,1
13731,-0.12,442,-720,1
13758,-0.15,445,-854,1
13785,-0.12,564,-947,1
13812,-0.14,695,-947,1
13839,-0.06,801,-851,1
13866,-0.09,1002,-685,1
13893,-0.07,2030,-419,1
13920,-0.09,4095,102,1
13947,-0.12,4095,901,1
13974,-0.16,4095,1685,1
14001,-0.12,4095,2194,1
14028,-0.15,4095,2397,1
14055,-0.02,4095,2366,1
14082,-0.10,2155,2071,1
14109,-0.13,709,1366,1
14136,-0.08,67,325,1
14163,-0.08,225,-710,1
14190,-0.14,851,-1404,1
14217,-0.13,1517,-1598,1
14244,-0.19,1860,-1359,1
14271,-0.10,1781,-914,1
14298,-0.09,1407,-515,1
14325,-0.08,954,-322,1
14352,0.01,633,-359,1
14379,-0.22,506,-540,1
14406,-0.17,537,-741,1
14433,-0.14,653,-865,1
14460,-0.18,784,-875,1
14487,-0.13,938,-778,1
14514,-0.19,1584,-575,1
14541,-0.14,3344,-165,1
14568,-0.13,4095,527,1
14595,-0.09,4095,1323,1
14622,-0.17,4095,1941,1
14649,-0.15,4095,2262,1
14676,-0.17,4095,2320,1
14703,-0.16,2929,2128,1
14730,-0.17,1243,1582,1
14757,-0.14,266,665,1
14784,-0.21,172,-381,1
14811,-0.13,673,-1205,1
14838,-0.13,1345,-1572,1
14865,-0.15,1795,-1475,1
14892,-0.21,1859,-1092,1
14919,-0.19,1584,-672,1
14946,-0.17,1149,-406,1
14973,-0.17,792,-365,1
15000,-0.18,617,-497,1
15027,-0.13,622,-688,1
15054,-0.18,723,-831,1
15081,-0.17,840,-869,1
15108,-0.16,957,-802,1
15135,-0.11,1373,-642,1
15162,-0.20,2885,-315,1
15189,-0.14,4095,290,1
15216,-0.18,4095,1071,1
15243,-0.16,4095,1740,1
15270,-0.19,4095,2128,1
15297,-0.09,4095,2241,1
15324,-0.13,4095,2161,1
15351,-0.13,3018,1905,1
15378,-0.20,1418,1363,1
15405,-0.16,578,503,1
15432,-0.16,594,-449,1
15459,-0.14,1111,-1169,1
15486,-0.19,1651,-1462,1
15513,-0.18,1872,-1359,1
15540,-0.19,1727,-1055,1
15567,-0.09,1351,-772,1
15594,-0.20,963,-648,1
15621,-0.18,703,-697,1
15648,-0.19,619,-846,1
15675,-0.13,702,-989,1
15702,-0.19,851,-1048,1
15729,-0.07,1013,-994,1
15756,-0.15,1145,-848,1
15783,-0.16,1247,-652,1
15810,-0.12,1891,-412,1
15837,-0.12,4095,20,1
15864,-0.07,4095,726,1
15891,-0.07,4095,1453,1
15918,-0.12,4095,1940,1
15945,-0.11,4095,2144,1
15972,-0.23,4095,2127,1
15999,-0.20,4095,1978,1
16026,-0.17,4095,1769,1
16053,-0.12,2627,1455,1
16080,-0.12,1461,885,1
16107,-0.05,1135,92,1
16134,-0.13,1374,-661,1
16161,-0.09,1727,-1136,1
16188,-0.08,1842,-1275,1
16215,-0.08,1677,-1195,1
16242,-0.15,1355,-1067,1
16269,-0.12,1042,-1010,1
16296,-0.13,848,-1050,1
16323,-0.07,803,-1139,1
16350,-0.08,895,-1207,1
16377,-0.11,998,-1201,1
16404,-0.10,1066,-1116,1
16431,-0.09,1235,-970,1
16458,-0.11,2320,-720,1
16485,-0.02,4095,-220,1
16512,-0.10,4095,534,1
16539,-0.09,4095,1265,1
16566,-0.10,4095,1741,1
16593,-0.01,4095,1938,1
16620,-0.07,4095,1922,1
16647,0.02,4095,1781,1
16674,-0.05,2187,1464,1
16701,-0.08,927,805,1
16728,-0.09,592,-120,1
16755,-0.00,939,-975,1
16782,-0.06,1515,-1471,1
16809,0.04,1893,-1530,1
16836,-0.12,1899,-1287,1
16863,-0.08,1638,-965,1
16890,-0.08,1294,-741,1
16917,-0.05,1010,-685,1
16944,-0.18,864,-759,1
16971,-0.12,816,-881,1
16998,-0.10,834,-975,1
17025,-0.11,974,-994,1
17052,-0.09,1731,-884,1
17079,0.01,3760,-492,1
17106,-0.09,4095,239,1
17133,-0.11,4095,1053,1
17160,-0.07,4095,1656,1
17187,-0.06,4095,1962,1
17214,-0.05,4095,2018,1
17241,0.01,4095,1913,1
17268,-0.13,1951,1590,1
17295,-0.10,796,886,1
17322,-0.07,550,-81,1
17349,-0.12,960,-942,1
17376,-0.13,1574,-1411,1
17403,-0.13,1934,-1432,1
17430,-0.08,1915,-1161,1
17457,-0.14,1627,-831,1
17484,-0.11,1244,-620,1
17511,-0.06,925,-590,1
