Time,Pressure,PPGSignal,rawPPGSignal
8441,-0.03,1950,126,1
8469,-0.13,1955,513,1
8497,-0.05,1946,995,1
8525,-0.09,1918,1339,1
8553,-0.01,1891,1487,1
8581,-0.05,1875,1471,1
8609,0.01,1863,1350,1
8637,-0.01,1866,1184,1
8665,-0.06,1887,1013,1
8693,-0.03,1895,862,1
8721,0.09,1911,736,1
8749,0.02,1904,629,1
8777,-0.06,1883,531,1
8805,-0.06,1872,437,1
8833,-0.00,1872,347,1
8861,-0.03,1881,265,1
8889,0.03,1874,189,1
8917,0.02,1869,120,1
8945,-0.06,1872,57,1
8973,0.00,1878,0,1
9001,-0.03,1886,-49,1
9029,0.02,1873,-94,1
9057,0.03,1873,-135,1
9085,0.00,1886,-174,1
9113,-0.06,1889,-207,1
9141,0.01,1897,-235,1
9169,-0.01,1902,-259,1
9197,0.01,1895,-280,1
9225,-0.02,1893,-299,1
9253,-0.04,1904,-317,1
9281,-0.09,1916,-332,1
9309,-0.04,1929,-340,1
9337,-0.01,1937,-344,1
9365,-0.05,1934,-346,1
9393,-0.02,1904,-351,1
9421,0.01,1871,-363,1
9449,-0.05,1856,-382,1
9477,-0.10,1881,-401,1
9505,-0.03,1904,-410,1
9533,-0.05,1917,-406,1
9561,-0.06,1909,-393,1
9589,0.03,1907,-380,1
9617,-0.05,1919,-369,1
9645,-0.09,1914,-359,1
9673,-0.10,1899,-350,1
9701,0.01,1892,-344,1
9729,-0.05,1883,-342,1
9757,-0.05,1887,-341,1
9785,0.03,1875,-337,1
9813,-0.05,1879,-331,1
9841,-0.08,1892,-322,1
9869,0.01,1887,-310,1
9897,-0.04,1904,-296,1
9925,-0.01,1905,-279,1
9953,-0.02,1904,-261,1
9981,-0.14,1898,-245,1
10009,-0.04,1902,-232,1
10037,-0.08,1915,-220,1
10065,-0.05,1904,-208,1
10093,-0.09,1884,-197,1
10121,-0.05,1872,-192,1
10149,-0.09,1875,-190,1
10177,-0.06,1910,-185,1
10205,-0.04,1923,-172,1
10233,0.01,1936,-152,1
10261,-0.03,1941,-130,1
10289,-0.01,1933,-110,1
10317,-0.08,1906,-97,1
10345,0.01,1888,-94,1
10373,0.02,1879,-99,1
10401,-0.04,1875,-107,1
10429,-0.05,1908,-109,1
10457,-0.00,1921,-102,1
10485,0.07,1905,-87,1
10513,0.05,1907,-74,1
10541,-0.00,1904,-63,1
10569,-0.03,1917,-55,1
10597,-0.04,1911,-46,1
10625,0.02,1893,-41,1
10653,-0.04,1862,-43,1
10681,-0.04,1856,-50,1
10709,-0.04,1858,-58,1
10737,-0.04,1868,-60,1
10765,-0.10,1869,-57,1
10793,-0.05,1885,-48,1
10821,-0.02,1898,-35,1
10849,-0.10,1901,-21,1
10877,0.01,1921,-7,1
10905,-0.04,1930,7,1
10933,0.02,1911,20,1
10961,-0.06,1917,28,1
10989,-0.00,1928,29,1
11017,0.02,1955,31,1
11045,-0.02,1971,39,1
11073,-0.01,1965,50,1
11101,-0.06,1934,56,1
11129,-0.09,1909,51,1
11157,-0.10,1900,36,1
11185,-0.06,1892,18,1
11213,0.05,1890,3,1
11241,-0.07,1907,-5,1
11269,-0.08,1906,-6,1
11297,0.02,1904,-2,1
11325,-0.08,1908,2,1
11353,0.04,1903,5,1
11381,-0.08,1894,7,1
11409,-0.06,1904,6,1
11437,-0.05,1899,5,1
11465,-0.04,1886,4,1
11493,-0.04,1889,2,1
11521,0.00,1888,0,1
11549,0.03,1903,0,1
11577,-0.08,1927,3,1
11605,-0.02,1923,12,1
11633,0.03,1909,20,1
11661,-0.01,1901,23,1
11689,-0.04,1885,20,1
11717,-0.02,1893,13,1
11745,0.01,1904,6,1
11773,-0.08,1920,4,1
11801,-0.02,1907,8,1
11829,0.02,1934,14,1
11857,0.01,1949,22,1
11885,-0.04,1937,30,1
11913,-0.03,1922,35,1
11941,-0.05,1904,32,1
11969,-0.03,1890,22,1
11997,-0.03,1879,7,1
12025,0.03,1885,-5,1
12053,0.07,1902,-12,1
12081,-0.03,1904,-12,1
12109,0.02,1904,-8,1
12137,-0.06,1897,-5,1
12165,-0.05,1902,-1,1
12193,-0.07,1895,0,1
12221,-0.05,1886,0,1
12249,0.02,1899,-2,1
12277,-0.04,1904,-3,1
12305,-0.12,1895,-2,1
12333,-0.01,1883,-1,1
12361,-0.05,1883,-4,1
12389,-0.06,1873,-7,1
12417,-0.04,1866,-11,1
12445,-0.04,1884,-13,1
12473,-0.03,1902,-11,1
12501,0.08,1903,-5,1
12529,-0.05,1920,2,1
12557,-0.00,1908,11,1
12585,-0.05,1899,16,1
12613,0.02,1899,14,1
12641,0.02,1897,11,1
12669,-0.06,1904,8,1
12697,-0.05,1930,9,1
12725,-0.08,1942,15,1
12753,0.02,1933,23,1
12781,-0.03,1915,27,1
