Time,Pressure,PPGSignal,rawPPGSignal
8441,-0.16,1819,117,1
8469,-0.23,1799,474,1
8497,0.18,1827,920,1
8525,0.18,1813,1243,1
8553,0.32,1801,1391,1
8581,0.11,1791,1388,1
8609,0.36,1758,1286,1
8637,0.57,1732,1132,1
8665,0.32,1749,964,1
8693,0.48,1745,808,1
8721,0.75,1769,677,1
8749,0.75,1920,579,1
8777,0.52,2173,535,1
8805,0.71,2402,556,1
8833,1.01,2491,621,1
8861,0.94,2384,675,1
8889,0.75,2177,658,1
8917,1.06,2021,545,1
8945,1.34,1917,361,1
8973,1.22,1859,154,1
9001,1.03,1888,-29,1
9029,1.34,1937,-160,1
9057,1.58,1946,-236,1
9085,1.50,1946,-273,1
9113,1.42,1920,-294,1
9141,1.67,1831,-319,1
9169,1.89,1774,-360,1
9197,1.71,1763,-415,1
9225,1.64,1749,-468,1
9253,2.01,1749,-509,1
9281,2.24,1766,-532,1
9309,2.12,1751,-539,1
9337,1.98,1733,-538,1
9365,2.53,1735,-535,1
9393,2.51,1726,-530,1
9421,2.27,1714,-524,1
9449,2.35,1739,-518,1
9477,2.73,1703,-509,1
9505,2.75,1679,-501,1
9533,2.48,1744,-493,1
9561,2.59,1919,-464,1
9589,2.96,2192,-387,1
9617,3.02,2425,-250,1
9645,2.77,2443,-83,1
9673,2.90,2288,49,1
9701,3.27,2110,92,1
9729,3.23,1946,36,1
9757,3.00,1841,-86,1
9785,3.16,1846,-225,1
9813,3.56,1903,-332,1
9841,3.63,1934,-381,1
9869,3.43,1957,-381,1
9897,3.59,1940,-354,1
9925,3.98,1871,-325,1
9953,4.00,1808,-314,1
9981,3.87,1790,-323,1
10009,3.99,1743,-343,1
10037,4.28,1711,-363,1
10065,4.34,1719,-377,1
10093,4.19,1712,-379,1
10121,4.32,1713,-369,1
10149,4.71,1731,-349,1
10177,4.79,1722,-322,1
10205,4.50,1711,-295,1
10233,4.56,1706,-270,1
10261,4.96,1697,-251,1
10289,5.10,1776,-229,1
10317,4.94,2033,-178,1
10345,4.75,2317,-70,1
10373,5.22,2433,89,1
10401,5.33,2413,252,1
10429,5.17,2236,354,1
10457,4.99,2036,358,1
10485,5.37,1911,269,1
10513,5.62,1854,132,1
10541,5.53,1851,-1,1
10569,5.23,1906,-95,1
10597,5.49,1961,-135,1
10625,5.94,1953,-128,1
10653,5.82,1922,-104,1
10681,5.64,1878,-84,1
10709,5.90,1785,-85,1
10737,6.25,1734,-110,1
10765,6.32,1719,-147,1
10793,6.12,1700,-179,1
10821,6.25,1727,-197,1
10849,6.73,1779,-194,1
10877,6.73,1793,-168,1
10905,6.38,1793,-131,1
10933,6.66,1807,-96,1
10961,7.08,1777,-68,1
10989,7.15,1751,-53,1
11017,6.87,1765,-49,1
11045,7.14,1770,-47,1
11073,7.44,1872,-36,1
11101,7.50,2151,8,1
