Time,Pressure,PPGSignal,rawPPGSignal
8863,-0.13,1869,120,1
8890,-0.17,1879,489,1
8917,-0.14,1896,952,1
8944,-0.17,1905,1292,1
8971,-0.12,1936,1454,1
8998,-0.16,2015,1470,1
9025,-0.13,2190,1409,1
9052,-0.16,2361,1335,1
9079,-0.13,2451,1275,1
9106,-0.12,2437,1219,1
9133,-0.13,2351,1139,1
9160,-0.24,2247,1015,1
9187,-0.20,2180,852,1
9214,-0.20,2156,670,1
9241,-0.22,2124,494,1
9268,-0.19,2121,339,1
9295,-0.12,2128,212,1
9322,-0.18,2139,115,1
9349,-0.12,2144,41,1
9376,-0.10,2145,-15,1
9403,-0.14,2129,-67,1
9430,-0.10,2078,-121,1
9457,-0.14,2032,-184,1
9484,-0.12,1999,-254,1
9511,-0.09,1972,-324,1
9538,-0.22,1945,-388,1
9565,-0.18,1943,-442,1
9592,-0.22,1952,-480,1
9619,-0.15,1972,-499,1
9646,-0.14,1987,-503,1
9673,-0.15,1987,-499,1
9700,-0.14,1979,-493,1
9727,-0.17,1959,-490,1
9754,-0.23,1951,-491,1
9781,-0.12,1926,-497,1
9808,-0.31,1904,-507,1
9835,-0.23,1904,-519,1
9862,-0.18,1930,-524,1
9889,-0.21,2064,-508,1
9916,-0.10,2289,-451,1
9943,-0.11,2522,-340,1
9970,-0.24,2652,-189,1
9997,-0.13,2659,-38,1
10024,-0.11,2589,66,1
10051,-0.15,2528,101,1
10078,-0.16,2488,75,1
10105,-0.19,2460,12,1
10132,-0.16,2406,-63,1
10159,-0.17,2331,-140,1
10186,-0.14,2291,-214,1
10213,-0.13,2288,-275,1
10240,-0.17,2289,-317,1
10267,-0.09,2288,-339,1
10294,-0.17,2237,-347,1
10321,-0.17,2193,-355,1
10348,-0.20,2146,-369,1
10375,-0.20,2112,-390,1
10402,-0.10,2081,-412,1
10429,-0.21,2033,-431,1
10456,-0.13,2017,-445,1
10483,-0.16,2016,-450,1
10510,-0.23,2026,-443,1
10537,-0.16,2015,-425,1
10564,-0.12,2003,-401,1
10591,-0.12,1983,-376,1
10618,-0.20,1968,-355,1
10645,-0.18,1952,-339,1
10672,-0.18,1938,-326,1
10699,-0.16,1933,-313,1
10726,-0.19,1927,-298,1
10753,-0.16,1931,-279,1
10780,-0.13,1926,-257,1
10807,-0.17,1929,-234,1
10834,-0.19,2030,-205,1
10861,-0.16,2271,-147,1
10888,-0.10,2590,-31,1
10915,-0.15,2823,146,1
10942,-0.16,2903,347,1
10969,-0.10,2867,512,1
10996,-0.13,2791,598,1
11023,-0.09,2736,600,1
11050,-0.12,2703,540,1
11077,-0.12,2624,447,1
11104,-0.14,2503,336,1
11131,-0.11,2397,214,1
11158,-0.17,2322,92,1
11185,-0.18,2295,-14,1
11212,-0.16,2273,-96,1
11239,-0.08,2240,-151,1
11266,-0.12,2198,-186,1
11293,-0.21,2151,-211,1
11320,-0.19,2099,-231,1
11347,-0.16,2073,-251,1
11374,-0.19,2035,-271,1
11401,-0.14,2003,-288,1
11428,-0.13,1984,-300,1
11455,-0.12,1984,-302,1
11482,-0.14,1968,-296,1
11509,-0.14,1948,-285,1
11536,-0.18,1935,-272,1
11563,-0.07,1903,-259,1
11590,-0.21,1868,-251,1
11617,-0.12,1856,-245,1
11644,-0.13,1862,-239,1
11671,-0.12,1867,-226,1
11698,-0.06,1863,-206,1
11725,-0.13,1833,-183,1
11752,-0.21,1819,-164,1
11779,-0.18,1817,-149,1
11806,-0.18,1904,-130,1
11833,-0.11,2137,-82,1
11860,-0.14,2433,22,1
11887,-0.15,2703,190,1
11914,-0.13,2832,392,1
11941,-0.13,2817,573,1
11968,-0.19,2725,681,1
11995,-0.19,2640,695,1
12022,-0.18,2559,631,1
12049,-0.11,2497,522,1
12076,-0.16,2371,393,1
12103,-0.08,2256,257,1
12130,-0.17,2171,123,1
12157,-0.08,2153,7,1
12184,-0.22,2151,-76,1
12211,-0.09,2122,-127,1
12238,-0.18,2073,-155,1
12265,-0.14,2026,-174,1
12292,-0.17,1973,-192,1
12319,-0.13,1939,-213,1
12346,-0.14,1900,-235,1
12373,-0.18,1860,-256,1
12400,-0.17,1843,-272,1
12427,-0.12,1821,-280,1
