Time,Pressure,PPGSignal,rawPPGSignal
8438,-0.18,4095,264,1
8465,-0.20,4095,1071,1
8492,-0.15,4095,2079,1
8519,-0.20,3062,2742,1
8546,-0.16,2019,2804,1
8573,-0.18,1190,2288,1
8600,-0.12,719,1436,1
8627,-0.12,657,544,1
8654,-0.13,987,-136,1
8681,-0.22,1555,-467,1
8708,-0.13,2039,-442,1
8735,-0.21,2311,-177,1
8762,-0.19,2277,152,1
8789,-0.14,2007,389,1
8816,-0.08,1731,445,1
8843,-0.10,1482,322,1
8870,-0.13,1359,89,1
8897,-0.14,1310,-168,1
8924,-0.16,1317,-382,1
8951,-0.16,1374,-517,1
8978,-0.12,1575,-559,1
9005,-0.16,2226,-481,1
9032,-0.16,3318,-213,1
9059,-0.19,4095,273,1
9086,-0.12,4095,848,1
9113,-0.19,4095,1301,1
9140,-0.16,2886,1450,1
9167,-0.24,1811,1163,1
9194,-0.13,1008,484,1
9221,-0.20,650,-365,1
9248,-0.11,751,-1125,1
9275,-0.09,1211,-1591,1
9302,-0.13,1787,-1680,1
9329,-0.13,2219,-1440,1
9356,-0.08,2350,-1022,1
9383,-0.13,2213,-609,1
9410,-0.13,1920,-343,1
9437,-0.08,1618,-279,1
9464,-0.19,1395,-384,1
9491,-0.15,1293,-572,1
9518,-0.09,1283,-759,1
9545,-0.17,1329,-882,1
9572,-0.08,1418,-920,1
9599,-0.16,1597,-872,1
9626,-0.07,2182,-720,1
9653,-0.18,3259,-404,1
9680,-0.18,4095,115,1
9707,-0.11,4095,729,1
9734,-0.14,4095,1229,1
9761,-0.17,3167,1441,1
9788,-0.18,2000,1245,1
9815,-0.23,1122,649,1
9842,-0.12,688,-161,1
9869,-0.14,715,-928,1
9896,-0.12,1167,-1426,1
9923,-0.23,1757,-1548,1
9950,-0.15,2192,-1324,1
9977,-0.19,2353,-900,1
10004,-0.05,2231,-466,1
10031,-0.09,1941,-172,1
10058,-0.13,1612,-83,1
10085,-0.25,1362,-176,1
10112,-0.17,1239,-368,1
10139,-0.12,1246,-562,1
10166,-0.11,1328,-688,1
10193,-0.20,1386,-719,1
10220,-0.10,1456,-668,1
10247,-0.13,1581,-562,1
10274,-0.19,2006,-404,1
10301,-0.15,2907,-138,1
10328,-0.13,4095,318,1
10355,-0.16,4095,917,1
10382,-0.15,4095,1446,1
10409,-0.20,3483,1716,1
10436,-0.20,2239,1603,1
10463,-0.21,1265,1072,1
10490,-0.09,685,270,1
10517,-0.15,627,-543,1
10544,-0.17,975,-1131,1
10571,-0.21,1574,-1352,1
10598,-0.14,2096,-1203,1
10625,-0.17,2336,-807,1
10652,-0.10,2284,-355,1
10679,-0.17,1991,-16,1
10706,-0.13,1653,116,1
10733,-0.19,1389,49,1
10760,-0.11,1258,-135,1
10787,-0.16,1241,-342,1
10814,-0.18,1293,-493,1
10841,-0.18,1417,-548,1
10868,-0.10,1518,-510,1
10895,-0.17,1565,-409,1
10922,-0.11,1586,-289,1
10949,-0.20,1807,-166,1
10976,-0.03,2480,2,1
11003,-0.15,3625,319,1
11030,-0.10,4095,816,1
11057,-0.19,4095,1349,1
11084,-0.14,3655,1707,1
11111,-0.16,2411,1713,1
11138,-0.11,1425,1288,1
11165,-0.14,774,544,1
11192,-0.09,608,-273,1
11219,-0.19,879,-917,1
11246,-0.08,1465,-1221,1
11273,-0.20,2038,-1146,1
11300,-0.15,2370,-789,1
11327,-0.13,2352,-334,1
11354,-0.09,2087,31,1
11381,-0.10,1738,196,1
11408,-0.11,1431,149,1
11435,-0.20,1251,-39,1
11462,-0.07,1218,-269,1
11489,-0.23,1296,-449,1
11516,-0.06,1392,-532,1
11543,0.01,1469,-515,1
11570,-0.17,1510,-429,1
11597,-0.17,1602,-313,1
11624,-0.13,1991,-169,1
11651,-0.17,2861,62,1
11678,-0.21,4095,474,1
11705,-0.16,4095,1038,1
11732,-0.08,4095,1547,1
11759,-0.15,3154,1785,1
11786,-0.12,2042,1610,1
11813,-0.18,1171,1027,1
11840,-0.13,669,217,1
11867,-0.16,660,-565,1
11894,-0.12,1054,-1100,1
11921,-0.10,1647,-1268,1
11948,-0.09,2111,-1086,1
11975,-0.13,2314,-690,1
12002,-0.11,2219,-265,1
12029,-0.14,1925,31,1
12056,-0.15,1618,128,1
12083,-0.17,1377,43,1
12110,-0.10,1247,-145,1
12137,-0.18,1227,-344,1
12164,-0.04,1321,-483,1
12191,-0.21,1394,-531,1
12218,-0.13,1450,-497,1
