Time,Pressure,PPGSignal,rawPPGSignal
8920,-0.19,1771,114,1
8947,-0.20,1808,466,1
8974,0.04,1831,910,1
9001,0.63,1922,1246,1
9028,0.73,2183,1439,1
9055,0.99,2448,1538,1
9082,0.97,2601,1588,1
9109,0.76,2559,1593,1
9136,1.55,2361,1524,1
9163,1.27,2173,1360,1
9190,1.38,1951,1112,1
9217,1.64,1808,816,1
9244,1.36,1734,519,1
9271,1.99,1715,263,1
9298,1.59,1777,74,1
9325,2.13,1893,-35,1
9352,1.94,1936,-76,1
9379,2.14,1987,-74,1
9406,2.24,1952,-62,1
9433,2.25,1906,-67,1
9460,2.59,1840,-102,1
9487,2.31,1754,-164,1
9514,2.99,1715,-244,1
9541,2.57,1713,-326,1
9568,3.16,1713,-395,1
9595,2.91,1773,-440,1
9622,3.42,1767,-456,1
9649,3.36,1794,-453,1
9676,3.45,1807,-439,1
9703,3.97,1791,-423,1
9730,3.65,1830,-412,1
9757,4.16,1787,-409,1
9784,3.97,1763,-416,1
9811,4.42,1771,-429,1
9838,4.43,1743,-441,1
9865,4.45,1882,-439,1
9892,4.91,2185,-395,1
9919,4.63,2439,-280,1
9946,5.28,2623,-109,1
9973,4.98,2517,58,1
10000,5.49,2338,151,1
10027,5.41,2122,133,1
10054,5.57,1920,14,1
10081,5.88,1843,-158,1
10108,5.67,1766,-334,1
10135,6.35,1762,-473,1
10162,6.04,1823,-553,1
10189,6.52,1903,-566,1
10216,6.32,1945,-527,1
10243,6.55,1972,-461,1
10270,6.68,1925,-395,1
10297,6.71,1888,-350,1
10324,7.07,1809,-333,1
10351,6.76,1757,-345,1
10378,7.34,1758,-371,1
10405,7.03,1733,-394,1
10432,7.65,1792,-402,1
10459,7.35,1789,-389,1
10486,7.80,1779,-362,1
10513,7.73,1823,-332,1
10540,7.98,1781,-298,1
10567,8.14,1802,-266,1
10594,7.96,1808,-236,1
10621,8.57,1763,-210,1
10648,8.22,1786,-192,1
10675,8.77,1801,-178,1
10702,8.43,1950,-152,1
10729,8.97,2251,-86,1
10756,8.96,2427,37,1
10783,8.97,2512,194,1
10810,9.56,2428,328,1
10837,9.21,2198,382,1
10864,10.11,2019,334,1
10891,9.77,1859,204,1
10918,10.27,1769,41,1
10945,10.09,1770,-106,1
10972,10.41,1745,-210,1
10999,10.81,1831,-260,1
11026,10.45,1911,-258,1
11053,11.27,1901,-216,1
11080,11.08,1940,-158,1
11107,11.52,1891,-104,1
11134,11.40,1871,-72,1
11161,11.37,1809,-68,1
11188,11.85,1713,-89,1
11215,11.40,1709,-124,1
11242,12.03,1718,-156,1
11269,11.50,1726,-171,1
11296,11.93,1779,-163,1
11323,11.86,1763,-136,1
11350,11.87,1785,-103,1
11377,12.38,1782,-77,1
11404,11.95,1745,-62,1
11431,12.55,1791,-54,1
11458,12.31,1843,-39,1
11485,12.65,2068,0,1
11512,12.86,2320,89,1
11539,12.65,2433,224,1
11566,13.50,2414,360,1
11593,13.26,2258,445,1
11620,13.72,2047,442,1
11647,13.79,1904,351,1
11674,13.89,1771,204,1
11701,14.47,1708,40,1
11728,14.14,1712,-98,1
11755,14.84,1785,-182,1
11782,14.70,1888,-200,1
11809,14.88,1936,-160,1
11836,15.31,1936,-92,1
11863,14.99,1920,-33,1
11890,15.73,1809,-5,1
11917,15.46,1769,-13,1
11944,15.90,1739,-45,1
11971,16.30,1699,-82,1
11998,16.09,1726,-111,1
12025,16.69,1745,-122,1
12052,16.47,1779,-117,1
12079,17.04,1808,-100,1
12106,17.23,1778,-74,1
12133,17.10,1812,-47,1
12160,17.95,1806,-24,1
12187,17.70,1769,-10,1
12214,18.17,1805,-3,1
12241,18.44,1873,9,1
12268,18.38,2083,43,1
12295,19.12,2331,118,1
12322,18.81,2385,232,1
12349,19.17,2370,346,1
12376,19.57,2201,408,1
12403,19.26,1959,382,1
12430,20.11,1787,269,1
12457,19.94,1657,106,1
12484,20.22,1633,-59,1
12511,20.82,1711,-183,1
12538,20.42,1806,-235,1
12565,21.18,1986,-209,1
12592,21.36,2038,-123,1
12619,21.15,1977,-25,1
12646,21.96,1904,36,1
12673,21.75,1793,46,1
12700,22.07,1757,11,1
12727,22.73,1739,-41,1
12754,22.33,1751,-87,1
12781,23.08,1787,-115,1
12808,23.35,1776,-121,1
12835,23.12,1793,-112,1
12862,23.99,1767,-97,1
12889,24.00,1758,-83,1
12916,24.19,1801,-72,1
