Time,Pressure,rawPPGSignal,PPGSignal
178836,27.31,4095,109
178885,26.23,4095,467
178934,25.31,3181,949
178983,24.51,2614,1310
179032,23.63,2619,1452
179081,22.84,2935,1412
179130,22.11,3043,1263
179179,21.28,2930,1054
179228,20.66,2806,804
179277,19.90,2741,529
179326,19.43,2734,252
179375,18.79,3071,6
179424,18.25,4095,-155
179473,17.72,4095,-199
179522,17.11,3525,-180
179571,16.67,2719,-201
179620,16.15,2507,-314
179669,15.63,2770,-486
179718,15.19,3019,-642
179767,14.66,2975,-742
179816,14.26,2813,-792
179865,13.76,2701,-812
179914,13.19,2608,-817
179963,12.84,2559,-810
180012,12.39,3046,-777
180061,11.97,4095,-669
180110,11.56,4095,-463
180159,11.00,3184,-236
180208,10.57,2553,-102
180257,10.03,2427,-97
180305,9.69,2709,-172
180354,9.19,2953,-248
180403,8.81,2935,-287
180452,8.34,2773,-293
180501,7.92,2640,-287
180550,7.49,2598,-282
180599,7.09,2718,-272
180648,6.74,4043,-212
180697,6.39,4095,-56
180746,5.94,3633,145
180795,5.70,2768,284
180844,5.33,2458,294
180893,4.87,2639,199
180942,4.72,2928,76
180991,4.35,2981,-18
181040,3.99,2881,-73
181089,3.63,2765,-104
181138,3.33,2715,-126
181187,2.97,2707,-141
181236,2.83,3455,-127
181285,2.55,4095,-40
181334,2.31,4095,121
181383,2.29,3045,276
181432,2.04,2542,323
181481,1.88,2502,245
181530,1.68,2811,108
181579,1.44,2982,-15
181628,1.42,2941,-94
181677,1.34,2810,-137
181726,1.15,2659,-164
181775,1.07,2647,-186
181824,0.87,3171,-187
181873,0.86,4095,-120
181922,0.66,4095,34
181971,0.70,3170,202
182020,0.60,2554,275
182069,0.49,2498,223
182118,0.45,2785,103
182167,0.45,2981,-11
182216,0.38,2883,-87
182265,0.39,2719,-134
182314,0.29,2654,-168
182363,0.32,2604,-195
182412,0.31,2826,-206
182461,0.26,4095,-157
182510,0.29,4095,-9
182559,0.25,3255,171
182608,0.23,2624,269
182657,0.21,2433,241
182706,0.19,2672,132
182755,0.21,2976,16
182804,0.16,2994,-59
182853,0.17,2864,-95
182902,0.16,2743,-113
182951,0.12,2688,-128
183000,0.07,2835,-137
183049,0.06,4095,-97
183098,0.08,4095,32
183147,0.03,3603,203
183196,0.16,2829,308
183245,0.05,2536,293
183294,-0.00,2677,183
183343,-0.01,2987,49
183392,-0.04,3026,-52
183441,0.06,2928,-112
