Time,Pressure,rawPPGSignal,PPGSignal
304805,26.56,2646,42
304846,25.38,2661,193
304887,24.36,2622,442
304928,23.39,2559,731
304969,22.48,2707,1017
305010,21.66,4095,1302
305051,20.88,4095,1604
305092,19.86,4095,1908
305133,19.22,4095,2182
305174,18.48,4095,2405
305215,17.87,4095,2567
305256,17.21,1851,2631
305297,16.56,1152,2532
305338,15.99,2118,2284
305379,15.43,3004,1983
305420,14.87,3191,1711
305461,14.43,2861,1485
305502,13.95,2507,1285
305543,13.51,2357,1091
305584,12.99,2415,900
305625,12.79,2502,721
305666,12.36,2559,564
305707,11.98,2559,431
305748,11.58,2553,320
305789,11.26,2517,228
305830,10.93,2514,149
305871,10.80,2529,82
305912,10.25,2559,25
305953,10.10,2595,-22
305994,9.81,2551,-61
306035,9.56,2528,-96
306076,9.36,2502,-130
306117,9.25,2637,-162
306158,9.13,3834,-169
306199,8.87,4095,-118
306240,8.61,4095,-8
306281,8.37,4095,130
306322,8.24,4095,273
306363,7.89,2457,378
306404,7.68,1229,372
306445,7.48,1813,236
306486,7.22,2829,40
306527,7.09,3312,-132
306568,6.77,3050,-251
306609,6.58,2640,-335
306650,6.44,2415,-413
306691,6.23,2386,-496
306732,5.84,2452,-581
306773,5.75,2559,-657
306814,5.64,2635,-716
306855,5.45,2635,-755
306896,5.36,2641,-777
306937,5.09,2645,-786
306978,5.02,2631,-784
307019,5.02,2559,-778
307060,4.88,2512,-772
307101,4.89,2559,-768
307142,4.73,2743,-761
307183,4.77,4095,-723
307224,4.60,4095,-622
307265,4.61,4095,-467
307306,4.54,4095,-291
307347,4.44,4095,-115
307388,4.48,2355,15
307429,4.57,1264,32
307470,4.59,1779,-81
307511,4.59,2673,-257
307552,4.55,3064,-416
307593,4.68,2871,-528
307634,4.69,2512,-607
307675,4.73,2313,-676
307716,4.74,2342,-744
307757,4.65,2463,-804
307798,4.72,2610,-847
307839,4.77,2705,-865
307880,4.90,2813,-858
