Time,Pressure,rawPPGSignal,PPGSignal
157092,25.53,3853,77
157141,23.83,2894,327
157190,22.28,2647,675
157239,20.93,2743,1005
157288,19.62,2935,1277
157337,18.43,2871,1480
157386,17.44,2699,1601
157435,16.49,2651,1633
157484,15.62,2703,1586
157533,14.83,2763,1483
157582,14.11,2814,1345
157631,13.53,2778,1187
157680,12.86,3119,1024
157729,12.05,4095,894
157778,11.48,4095,829
157827,10.85,4095,813
157876,10.14,2234,773
157924,9.37,637,601
157973,8.59,1971,285
158022,7.68,3105,-42
158071,6.63,3123,-274
158120,5.84,2735,-412
158169,5.32,2544,-505
158218,4.81,2595,-579
158267,4.57,2689,-634
158316,4.23,2713,-668
158365,3.95,2694,-684
158414,3.75,2733,-687
158463,3.40,3612,-663
158512,2.53,4095,-580
158561,1.73,4095,-435
158610,1.78,3330,-279
158659,1.75,2058,-194
158708,1.69,2299,-225
158757,1.65,2791,-328
158806,1.67,2963,-433
158855,1.71,2810,-514
158904,1.60,2559,-579
158953,1.56,2541,-640
159002,1.53,2682,-692
159051,1.51,2715,-725
159100,1.51,2741,-734
159149,1.45,2783,-721
159198,1.46,2795,-692
159247,1.43,3148,-644
159296,1.39,4095,-552
159345,1.40,4095,-398
159394,1.36,3546,-216
159443,1.35,2845,-76
159492,1.34,2707,-19
159541,1.34,2734,-36
159590,1.25,2832,-95
159639,1.24,2816,-168
159688,1.21,2690,-241
159737,1.18,2643,-312
159786,1.14,2695,-374
159835,1.26,2752,-420
159884,1.16,2800,-443
159933,1.12,2727,-446
159982,1.09,2740,-435
160031,1.18,3327,-403
160080,1.10,4095,-319
160129,1.14,4095,-169
160178,1.01,3071,-3
160227,1.06,2704,103
160276,1.00,2659,127
160325,1.01,2783,92
160374,0.95,2865,32
160423,0.99,2789,-30
160472,1.02,2675,-91
160521,0.94,2633,-151
160570,0.90,2735,-203
160619,0.84,2821,-238
160668,0.88,2841,-250
160717,0.86,2844,-243
160766,0.87,2831,-223
160815,0.84,3580,-181
160864,0.85,4095,-88
160913,0.83,3998,58
160962,0.82,2902,202
161011,0.70,2725,276
161060,0.82,2736,271
161109,0.74,2865,218
161158,0.74,2938,148
161207,0.76,2827,79
161256,0.74,2752,13
161305,0.73,2773,-48
161354,0.66,2825,-99
161403,0.67,2855,-134
161452,0.66,2884,-151
161501,0.61,2869,-154
161550,0.64,3101,-141
161599,0.58,4095,-90
