Time,Pressure,rawPPGSignal,PPGSignal
72751,25.26,3070,80
72800,23.56,3051,345
72849,22.01,2951,718
72898,20.48,2928,1051
72947,19.08,2942,1271
72996,17.58,3015,1361
73045,15.83,3377,1344
73094,13.51,3383,1255
73142,5.80,3023,1101
73191,4.60,2839,876
73240,4.18,2927,601
73289,4.01,3071,320
73338,3.81,3049,68
73387,3.61,2939,-146
73436,3.45,2898,-328
73485,3.35,2921,-477
73534,3.20,2959,-589
73583,3.12,3088,-659
73632,2.96,3412,-679
73681,2.92,3267,-652
73730,2.82,2947,-612
73779,2.78,2832,-593
73828,2.61,2959,-594
73877,2.59,3082,-593
73926,2.52,3005,-577
73975,2.33,2911,-552
74024,2.40,2884,-528
74073,2.27,2916,-504
74122,2.24,2935,-475
74171,2.13,3029,-435
74220,2.09,3344,-376
74269,1.95,3230,-294
74318,1.89,2931,-215
74367,1.81,2829,-169
74416,1.75,2958,-153
74465,1.63,3087,-144
74514,1.42,3021,-127
74563,1.27,2926,-109
74612,1.12,2915,-97
74661,0.99,2950,-90
74710,0.85,2943,-82
74759,0.70,3056,-68
74808,0.62,3299,-39
74857,0.52,3193,6
74906,0.48,2958,47
74955,0.35,2894,62
75004,0.29,3030,55
75053,0.41,3120,46
75102,0.26,3035,43
75151,0.24,2960,39
75200,0.23,2941,28
75249,0.24,2958,13
75298,0.21,2960,0
75347,0.20,3200,-4
75396,0.21,3345,15
75445,0.31,3108,49
75494,0.20,2899,70
75543,0.20,2903,61
75592,0.12,3043,37
75641,0.12,3114,18
75690,0.21,3024,10
75739,0.16,2928,2
75788,0.14,2928,-10
75837,0.05,2946,-26
75886,0.14,3150,-33
75935,0.10,3371,-16
75984,0.06,3175,20
76033,0.15,2948,49
76082,0.00,2911,51
76131,0.15,3040,32
76180,0.05,3115,14
76229,0.11,3033,4
76278,0.07,2965,-3
76327,0.01,2946,-16
76376,0.14,2954,-31
76425,0.01,3135,-39
76474,0.03,3406,-25
76523,0.01,3231,12
76572,0.06,2962,45
76621,0.06,2913,49
76670,0.04,3043,29
76719,0.06,3135,10
76768,0.03,3066,0
76817,-0.02,2989,-7
76866,0.09,2963,-19
76915,0.02,2960,-33
76964,-0.01,3085,-44
77013,0.04,3386,-35
77062,-0.01,3238,-2
77111,0.02,2959,28
77160,-0.07,2849,31
77209,0.01,2981,9
77258,0.05,3120,-13
77307,-0.00,3058,-23
77356,0.00,2986,-25
77405,-0.05,2931,-30
77454,-0.06,2882,-41
77503,-0.10,2978,-52
77552,-0.03,3270,-50
77601,0.03,3224,-22
77650,0.05,2991,12
77699,0.03,2890,27
77748,-0.11,2993,22
77797,-0.04,3106,13
77846,-0.00,3054,11
77895,0.02,2965,10
77944,-0.06,2943,4
77993,-0.05,2956,-6
78042,-0.04,3088,-14
78091,0.04,3321,-5
78140,-0.03,3168,22
78189,-0.00,2956,47
78238,-0.00,2902,47
78287,-0.07,3013,29
78336,-0.03,3071,10
78385,-0.05,3031,0
78434,-0.05,2955,-7
78483,-0.04,2960,-17
78532,-0.06,2975,-27
78581,-0.04,3175,-29
78630,-0.10,3314,-10
78679,-0.04,3131,22
78728,-0.05,2925,43
78777,-0.12,2896,39
78826,-0.12,3029,17
78875,-0.14,3123,0
78924,-0.09,3067,-4
78973,-0.06,3004,-5
79022,-0.07,2955,-10
79071,-0.11,2942,-20
79120,-0.07,3152,-27
79169,-0.10,3357,-14
79218,-0.15,3136,15
79267,-0.14,2905,37
79316,0.05,2893,30
79365,-0.09,3055,8
79414,-0.05,3131,-7
79463,-0.12,2991,-12
79512,-0.46,2832,-20
79561,-0.09,2855,-40
79610,-0.20,2935,-62
79659,-0.02,3196,-67
79708,0.16,3408,-40
79757,-0.04,3203,11
79806,-0.14,2960,53
79855,-0.05,2939,64
79904,-0.09,3041,52
79953,-0.09,3094,35
80002,-0.09,3091,23
80051,-0.15,3067,16
80100,-0.19,3044,10
80149,-0.10,3030,3
80198,-0.08,3178,0
80247,-0.12,3373,9
80296,-0.07,3157,33
80345,-0.13,2948,45
80394,-0.13,2863,30
80443,-0.17,3002,-2
80492,-0.11,3099,-31
80541,-0.10,3071,-44
80590,-0.10,2975,-48
80639,-0.09,3006,-50
80688,-0.21,3038,-51
80737,-0.14,3254,-41
80786,-0.11,3486,-8
80835,-0.07,3212,40
80884,-0.19,2913,71
80933,-0.12,2878,62
80982,-0.15,3007,27
81031,-0.05,3091,-6
81080,-0.13,3071,-26
81129,-0.09,2982,-37
81178,-0.16,2961,-46
81227,-0.15,2979,-55
81276,-0.18,3216,-54
81325,-0.18,3473,-27
81374,-0.20,3131,18
81423,-0.19,2889,47
81472,-0.26,2889,40
81521,-0.16,3031,14
81570,-0.18,3099,-8
81619,-0.21,3011,-19
81668,-0.22,2909,-28
81717,-0.19,2915,-41
81766,-0.13,2993,-53
81815,-0.20,3299,-48
81864,-0.24,3502,-11
81913,-0.19,3248,47
81962,-0.16,3027,91
82011,-0.20,3055,100
82060,-0.19,3221,88
82109,-0.16,3217,76
82158,-0.12,3098,63
82207,-0.18,2944,41
82256,-0.09,2850,3
82305,-0.12,2959,-43
82354,-0.14,3568,-65
82403,-0.07,4021,-23
82452,-0.11,3328,63
82501,-0.21,2807,116
82550,-0.16,2854,95
82599,-0.15,3039,32
82648,-0.24,3056,-28
82697,-0.18,2985,-75
82746,-0.23,2941,-109
82795,-0.24,2960,-132
82844,-0.20,3205,-138
82893,-0.21,3367,-112
82942,-0.17,3083,-65
82991,-0.15,2849,-32
83040,-0.19,2793,-31
83089,-0.21,2987,-48
83138,-0.26,3063,-59
83187,-0.22,2966,-56
83236,-0.28,2882,-50
83285,-0.12,2841,-49
83334,-0.12,2993,-50
83383,-0.19,3305,-33
83432,-0.22,3226,8
83481,-0.21,2980,53
83530,-0.27,2919,75
83579,-0.29,3057,75
83628,-0.30,3155,71
83677,-0.29,3184,74
83726,-0.23,3098,81
83775,-0.30,2995,80
83824,-0.24,3567,81
83873,-0.24,4095,122
83922,-0.31,3874,208
83971,-0.21,2910,272
84020,-0.28,2799,247
84069,-0.26,3164,153
84118,-0.29,3309,58
84167,-0.27,3088,-12
84216,-0.23,2943,-72
84265,-0.28,2958,-130
84314,-0.33,4095,-147
84363,-0.25,4095,-80
84412,-0.31,3525,31
84461,-0.29,2786,93
84510,-0.22,2802,63
84559,-0.23,3120,-19
84608,-0.29,3151,-95
84657,-0.22,3009,-147
84706,-0.19,2906,-185
84755,-0.24,3124,-210
84804,-0.30,4095,-183
84853,-0.27,4095,-76
84902,-0.29,3039,50
84951,-0.98,2544,94
85000,-0.22,2736,39
85049,-0.30,3057,-49
85098,-0.31,2993,-116
85147,-0.27,2874,-156
85196,-0.28,2820,-181
85245,-0.26,3132,-187
85294,-0.24,4095,-136
85343,-0.24,4095,-3
85392,-0.51,3248,148
85441,-0.25,2541,218
85490,-0.27,2483,169
85539,-0.27,2832,56
85588,-0.53,3007,-46
85637,-0.31,2825,-112
85686,-0.21,2709,-152
85735,-0.26,2769,-177
85784,-0.25,2847,-183
85833,-0.23,2845,-167
85882,-0.26,3779,-111
85931,-0.17,4095,16
85980,-0.23,4095,199
86029,-0.29,3231,357
86078,-0.25,2735,410
86127,-0.26,2762,344
86176,-0.19,2930,216
86225,-0.28,2855,83
86274,-0.30,2750,-33
86323,-0.20,2738,-130
86372,-0.45,2711,-201
86421,-0.17,2739,-244
86470,-0.21,2789,-257
86519,-0.27,2745,-244
86568,-0.79,2672,-217
86617,-0.20,2622,-187
86666,-0.20,2559,-161
86715,-0.19,3111,-125
86764,-0.25,4095,-32
86813,-0.27,3795,133
86862,-0.19,2770,286
86911,-0.32,2608,334
86960,-0.26,2935,289
87009,-0.24,3337,225
87058,-0.25,3201,182
87107,-0.20,2833,147
87156,-0.36,2670,91
87205,-0.30,2720,14
87254,-0.25,2801,-59
87303,-0.22,2826,-111
87352,-0.19,2805,-138
87401,-0.12,2776,-146
87450,-0.16,2783,-142
87499,-0.23,3282,-116
87548,-0.26,4095,-33
87597,-0.28,3440,103
87646,-0.26,2673,205
87695,-0.27,2534,206
87744,-0.25,2798,132
87793,-0.32,2941,46
87842,-0.31,2854,-20
87891,-0.23,2745,-69
87940,-0.22,2745,-107
87989,-0.22,2799,-133
88038,-0.19,2835,-141
88087,-0.15,2864,-132
88136,-0.23,2870,-108
88185,-0.28,2880,-78
88234,-0.23,3251,-37
88283,-0.22,4095,46
88332,-0.23,3278,167
88381,-0.23,2758,246
88430,-0.16,2707,235
88479,-0.26,2893,165
88528,-0.21,2927,83
88577,-0.25,2891,14
88626,-0.30,2858,-40
88675,-0.22,2877,-80
88724,-0.24,2885,-104
88773,-0.20,2869,-113
88822,-0.23,2896,-112
88871,-0.22,3117,-95
88920,-0.25,3983,-36
88969,-0.24,3439,69
89018,-0.21,2850,156
89067,-0.18,2731,167
89116,-0.28,2887,115
89165,-0.22,3009,49
89214,-0.19,2979,-5
89263,-0.27,2896,-46
89312,-0.27,2895,-77
89361,-0.25,2914,-98
89410,-0.24,2918,-108
89459,-0.18,3010,-105
89508,-0.22,4095,-61
89557,-0.23,4065,56
89606,-0.30,3027,185
89655,-0.21,2722,229
89704,-0.25,2809,177
89753,-0.19,3007,83
89802,-0.20,3023,-2
89851,-0.24,2935,-68
89900,-0.22,2878,-116
89949,-0.22,2875,-152
89998,-0.27,2922,-172
90047,-0.12,3055,-171
90096,-0.26,4095,-121
90145,-0.17,4095,6
90194,-0.21,3091,148
90243,-0.17,2653,204
90292,-0.22,2767,157
90341,-0.22,2992,64
90390,-0.19,3021,-20
90439,-0.12,2913,-82
90488,-0.23,2876,-126
90537,-0.20,2879,-156
90586,-0.19,2910,-170
90635,-0.24,2947,-166
90684,-0.21,3822,-125
90733,-0.15,4095,-14
90782,-0.22,3314,127
90831,-0.12,2673,206
90880,-0.26,2671,180
90929,-0.16,2915,94
90978,0.07,3019,7
91027,-0.14,2931,-55
91076,-0.24,2864,-98
91125,-0.15,2861,-127
91174,-0.20,2903,-142
91223,-0.22,2933,-140
