Time,Pressure,PPGSignal,rawPPGSignal
8278,-4.54,2849,184,1
8306,-4.55,2848,746,1
8334,-4.32,2838,1446,1
8361,-4.38,2831,1950,1
8388,-4.27,2870,2178,1
8415,-4.35,2907,2182,1
8442,-4.19,2953,2048,1
8469,-4.12,2960,1851,1
8496,-3.99,2929,1634,1
8523,-4.00,2874,1414,1
8550,-3.97,2815,1195,1
8577,-3.80,2773,982,1
8604,-3.75,2752,782,1
8631,-3.74,2735,602,1
8658,-3.71,2751,448,1
8685,-3.71,2779,320,1
8712,-3.52,2789,217,1
8739,-3.58,2799,133,1
8766,-3.39,2787,59,1
8793,-3.41,2788,-11,1
8820,-3.31,2898,-74,1
8847,-3.31,3233,-96,1
8874,-3.26,3727,-33,1
8901,-3.32,3902,119,1
8928,-3.23,3607,269,1
8955,-3.18,3188,292,1
8982,-3.04,2913,143,1
9009,-3.05,2827,-119,1
9036,-2.90,2801,-393,1
9063,-3.01,2815,-611,1
9090,-2.84,2800,-748,1
9117,-2.96,2837,-815,1
9144,-2.78,2881,-826,1
9171,-2.86,2944,-800,1
9198,-2.74,2913,-757,1
9225,-2.72,2864,-721,1
9252,-2.43,2805,-708,1
9279,-2.53,2771,-717,1
9306,-2.45,2795,-736,1
9333,-2.49,2783,-749,1
9360,-2.45,2763,-751,1
9387,-2.52,2755,-745,1
9414,-2.22,2757,-733,1
9441,-2.31,2750,-717,1
9468,-2.09,2753,-698,1
9495,-2.06,2753,-675,1
9522,-1.99,2768,-647,1
9549,-2.12,2781,-615,1
9576,-1.96,2965,-568,1
9603,-1.98,3387,-471,1
9630,-1.89,3858,-281,1
9657,-1.83,3975,-16,1
9684,-1.68,3573,211,1
9711,-1.72,3177,277,1
9738,-1.70,2923,157,1
9765,-1.68,2835,-71,1
9792,-1.56,2855,-303,1
9819,-1.58,2865,-467,1
9846,-1.41,2851,-551,1
9873,-1.48,2834,-572,1
9900,-1.34,2819,-558,1
9927,-1.30,2857,-525,1
9954,-1.17,2873,-481,1
9981,-1.31,2863,-433,1
10008,-1.19,2849,-390,1
10035,-1.07,2799,-361,1
10062,-0.90,2740,-348,1
10089,-1.00,2737,-349,1
10116,-0.98,2717,-352,1
10143,-0.98,2733,-349,1
10170,-0.78,2741,-334,1
10197,-0.76,2757,-309,1
10224,-0.69,2768,-275,1
10251,-0.70,2770,-238,1
10278,-0.52,2768,-203,1
10305,-0.61,2771,-172,1
10332,-0.53,2779,-146,1
10359,-0.53,2874,-117,1
10386,-0.35,3197,-57,1
10413,-0.33,3666,78,1
10440,-0.04,3786,290,1
10467,-0.07,3487,488,1
10494,-0.04,3135,558,1
10521,-0.16,2902,467,1
10548,-0.09,2835,274,1
10575,0.03,2848,71,1
10602,0.17,2861,-79,1
10629,0.14,2833,-162,1
10656,0.31,2843,-194,1
10683,0.30,2870,-191,1
10710,0.38,2898,-165,1
10737,0.26,2910,-126,1
10764,0.40,2897,-88,1
10791,0.41,2867,-62,1
10818,0.62,2822,-53,1
10845,0.62,2770,-62,1
10872,0.68,2756,-82,1
10899,0.65,2742,-104,1
10926,0.75,2756,-118,1
10953,0.79,2783,-120,1
10980,1.00,2802,-106,1
11007,0.98,2800,-82,1
11034,1.07,2801,-57,1
11061,1.04,2783,-36,1
11088,1.18,2839,-20,1
11115,1.03,3103,13,1
11142,1.29,3489,107,1
11169,1.34,3783,281,1
11196,1.51,3611,479,1
11223,1.42,3251,591,1
11250,1.55,2975,548,1
11277,1.53,2851,379,1
11304,1.65,2850,168,1
11331,1.67,2837,-9,1
11358,1.90,2822,-125,1
11385,1.80,2839,-181,1
11412,1.96,2857,-193,1
11439,1.88,2896,-173,1
11466,2.04,2896,-139,1
11493,2.02,2866,-106,1
11520,2.20,2841,-84,1
11547,2.20,2800,-79,1
11574,2.31,2785,-87,1
11601,2.17,2786,-100,1
11628,2.37,2761,-111,1
11655,2.30,2739,-120,1
11682,2.45,2721,-127,1
11709,2.49,2750,-130,1
11736,2.66,2797,-120,1
11763,2.64,2793,-97,1
11790,2.83,2790,-70,1
11817,2.72,2775,-48,1
11844,2.78,2780,-34,1
11871,2.75,2959,-15,1
11898,2.85,3313,46,1
11925,2.92,3713,191,1
11952,3.15,3787,401,1
11979,3.11,3472,579,1
12006,3.24,3147,620,1
12033,3.20,2954,506,1
12060,3.34,2912,306,1
12087,3.34,2928,107,1
12114,3.45,2926,-38,1
12141,3.49,2873,-123,1
12168,3.61,2831,-167,1
12195,3.64,2832,-187,1
12222,3.73,2871,-189,1
12249,3.70,2895,-174,1
12276,3.85,2883,-148,1
12303,3.76,2878,-121,1
12330,3.92,2850,-104,1
12357,3.99,2807,-100,1
12384,4.17,2791,-110,1
12411,4.19,2783,-123,1
12438,4.30,2785,-132,1
12465,4.23,2782,-134,1
12492,4.32,2783,-130,1
12519,4.31,2790,-120,1
12546,4.49,2789,-108,1
12573,4.48,2784,-94,1
12600,4.65,2775,-82,1
12627,4.65,2769,-74,1
12654,4.82,2778,-67,1
12681,4.79,2922,-50,1
12708,4.90,3293,11,1
12735,4.84,3806,162,1
12762,5.01,4016,402,1
12789,5.14,3702,635,1
12816,5.31,3287,726,1
12843,5.32,3024,626,1
12870,5.47,2960,402,1
12897,5.37,2971,164,1
12924,5.50,2964,-17,1
12951,5.43,2944,-127,1
12978,5.56,2910,-180,1
13005,5.58,2903,-201,1
13032,5.75,2927,-202,1
13059,5.80,2946,-187,1
13086,5.94,2928,-165,1
13113,5.95,2896,-146,1
13140,6.08,2851,-140,1
13167,5.97,2807,-148,1
13194,6.14,2793,-166,1
13221,6.12,2781,-183,1
13248,6.37,2797,-193,1
13275,6.35,2802,-191,1
13302,6.64,2819,-177,1
13329,6.43,2819,-155,1
13356,6.58,2826,-132,1
13383,6.64,2815,-110,1
13410,6.79,2806,-94,1
13437,6.85,2781,-86,1
13464,6.97,2820,-81,1
13491,7.04,3011,-59,1
13518,7.08,3523,25,1
13545,7.10,4095,223,1
13572,7.21,4095,507,1
13599,7.26,3742,740,1
13626,7.44,3319,794,1
13653,7.50,3099,652,1
13680,7.54,3026,401,1
13707,7.59,3054,150,1
13734,7.71,3025,-35,1
13761,7.64,2943,-150,1
13788,7.89,2905,-218,1
13815,7.94,2913,-254,1
13842,8.07,2949,-263,1
13869,8.03,2963,-248,1
13896,8.13,2943,-222,1
13923,8.08,2906,-197,1
13950,8.35,2855,-183,1
13977,8.36,2834,-186,1
14004,8.56,2832,-196,1
14031,8.52,2819,-204,1
14058,8.73,2806,-206,1
14085,8.55,2821,-202,1
14112,8.78,2815,-191,1
14139,8.70,2802,-177,1
14166,8.96,2794,-162,1
14193,8.90,2801,-149,1
14220,9.22,2814,-133,1
14247,9.14,2800,-117,1
14274,9.24,2841,-100,1
14301,9.16,3120,-62,1
14328,9.37,3731,53,1
14355,9.42,4095,286,1
14382,9.65,4095,574,1
14409,9.63,3615,775,1
14436,9.83,3202,775,1
14463,9.68,3035,585,1
14490,9.80,3022,316,1
14517,9.89,3042,76,1
14544,10.04,2997,-85,1
14571,10.05,2933,-180,1
14598,10.17,2928,-228,1
14625,10.14,2944,-243,1
14652,10.38,2960,-235,1
14679,10.34,2959,-212,1
14706,10.73,2922,-187,1
14733,10.50,2875,-174,1
14760,10.69,2850,-174,1
14787,10.71,2823,-183,1
14814,10.90,2801,-196,1
14841,10.97,2790,-208,1
14868,11.03,2814,-211,1
14895,10.97,2814,-202,1
14922,11.28,2832,-183,1
