Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.14,119,7,1
8465,-0.07,484,54,1
8492,-0.14,943,185,1
8519,-0.14,1277,408,1
8546,-0.10,1428,671,1
8573,-0.06,1421,894,1
8600,-0.12,1311,1013,1
8627,-0.15,1153,1005,1
8654,-0.13,986,884,1
8681,-0.16,834,689,1
8708,-0.18,706,462,1
8735,-0.14,597,241,1
8762,-0.17,509,47,1
8789,-0.16,455,-108,1
8816,-0.13,455,-219,1
8843,-0.12,506,-282,1
8870,-0.11,559,-296,1
8897,-0.11,549,-278,1
8924,-0.06,442,-256,1
8951,-0.06,251,-265,1
8978,-0.08,26,-327,1
9005,-0.13,-181,-443,1
9032,-0.14,-335,-589,1
9059,-0.13,-418,-730,1
9086,-0.11,-434,-835,1
9113,-0.08,-404,-882,1
9140,-0.12,-358,-867,1
9167,-0.10,-326,-802,1
9194,-0.06,-321,-711,1
9221,-0.18,-348,-617,1
9248,-0.11,-398,-540,1
9275,-0.06,-454,-488,1
9302,-0.07,-497,-460,1
9329,-0.07,-516,-445,1
9356,-0.16,-510,-429,1
9383,-0.13,-487,-402,1
9410,-0.07,-456,-359,1
9437,-0.15,-426,-302,1
9464,0.00,-402,-236,1
9491,-0.11,-388,-169,1
9518,-0.13,-385,-108,1
9545,-0.14,-392,-58,1
9572,-0.12,-403,-21,1
9599,-0.13,-411,3,1
9626,-0.05,-407,21,1
9653,-0.13,-373,38,1
9680,-0.11,-286,66,1
9707,-0.16,-148,115,1
9734,-0.11,0,195,1
9761,-0.10,95,296,1
9788,-0.10,95,396,1
9815,-0.18,2,461,1
9842,-0.08,-145,465,1
9869,-0.13,-298,403,1
9896,-0.03,-417,292,1
9923,-0.13,-474,162,1
9950,-0.05,-460,49,1
9977,-0.09,-390,-18,1
10004,-0.11,-299,-30,1
10031,-0.10,-224,7,1
10058,-0.07,-187,73,1
10085,-0.15,-187,141,1
10112,-0.06,-213,190,1
10139,-0.15,-246,209,1
10166,-0.07,-265,202,1
10193,-0.09,-263,180,1
10220,-0.02,-238,157,1
10247,-0.08,-202,145,1
10274,0.03,-165,147,1
10301,-0.10,-138,161,1
10328,-0.10,-122,179,1
10355,-0.11,-116,195,1
10382,-0.09,-118,203,1
10409,-0.12,-120,202,1
10436,-0.04,-101,195,1
10463,-0.12,-30,189,1
10490,-0.09,100,201,1
10517,-0.04,254,242,1
10544,-0.08,365,311,1
10571,-0.05,382,388,1
10598,-0.04,299,438,1
10625,-0.09,152,432,1
10652,-0.07,-8,360,1
10679,-0.14,-142,235,1
10706,-0.05,-222,86,1
10733,-0.08,-236,-50,1
10760,-0.10,-193,-148,1
10787,-0.16,-121,-191,1
10814,-0.10,-56,-182,1
10841,-0.13,-26,-138,1
10868,-0.06,-35,-85,1
10895,-0.11,-69,-46,1
10922,-0.15,-108,-31,1
10949,-0.17,-137,-40,1
10976,-0.16,-146,-63,1
11003,-0.14,-133,-86,1
11030,-0.12,-106,-99,1
11057,-0.11,-74,-97,1
11084,-0.13,-44,-81,1
11111,-0.18,-22,-56,1
11138,-0.06,-11,-29,1
11165,-0.17,-8,-7,1
11192,-0.13,-10,6,1
11219,-0.09,-14,11,1
11246,-0.04,-16,9,1
11273,-0.17,-7,4,1
11300,-0.09,39,2,1
11327,-0.12,151,14,1
11354,-0.13,311,55,1
11381,-0.11,454,129,1
11408,0.00,515,221,1
11435,-0.13,467,300,1
11462,-0.05,333,331,1
11489,-0.08,162,293,1
11516,-0.06,2,189,1
11543,-0.08,-118,45,1
11570,-0.07,-186,-104,1
11597,-0.08,-198,-229,1
11624,-0.10,-167,-308,1
11651,-0.13,-119,-334,1
11678,-0.07,-81,-316,1
11705,-0.14,-69,-271,1
11732,-0.12,-83,-221,1
11759,-0.17,-110,-182,1
11786,-0.07,-137,-161,1
11813,-0.10,-150,-156,1
11840,-0.08,-147,-159,1
11867,-0.11,-131,-159,1
11894,-0.12,-107,-150,1
11921,-0.12,-82,-131,1
11948,-0.08,-63,-105,1
11975,-0.17,-50,-76,1
12002,-0.12,-44,-49,1
12029,-0.09,-45,-27,1
12056,-0.04,-51,-13,1
12083,-0.11,-58,-6,1
12110,-0.14,-61,-5,1
12137,-0.11,-58,-6,1
12164,-0.17,-51,-7,1
12191,-0.22,-43,-4,1
12218,-0.16,-35,0,1
12245,-0.13,-26,8,1
