Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8452,-0.22,116,7,1
8479,-0.19,472,53,1
8506,-0.12,915,180,1
8533,-0.10,1232,396,1
8560,-0.19,1372,650,1
8587,-0.16,1365,863,1
8614,-0.15,1266,975,1
8641,-0.11,1121,968,1
8668,-0.07,967,854,1
8695,-0.13,830,670,1
8722,-0.07,730,459,1
8749,-0.15,683,258,1
8776,-0.09,682,96,1
8803,-0.11,697,-13,1
8830,-0.03,689,-76,1
8857,-0.11,630,-110,1
8884,-0.11,514,-143,1
8911,-0.14,358,-197,1
8938,-0.16,193,-282,1
8965,-0.20,42,-394,1
8992,-0.11,-84,-517,1
9019,-0.13,-183,-631,1
9046,-0.09,-252,-723,1
9073,-0.10,-296,-783,1
9100,-0.08,-323,-808,1
9127,-0.19,-343,-803,1
9154,-0.14,-364,-775,1
9181,-0.12,-388,-734,1
9208,-0.14,-414,-688,1
9235,-0.14,-439,-642,1
9262,-0.01,-461,-599,1
9289,-0.14,-481,-559,1
9316,-0.12,-497,-520,1
9343,-0.18,-505,-481,1
9370,-0.13,-504,-440,1
9397,-0.07,-495,-394,1
9424,-0.18,-476,-344,1
9451,-0.18,-438,-288,1
9478,-0.06,-367,-223,1
9505,-0.15,-264,-145,1
9532,-0.02,-156,-50,1
9559,-0.13,-78,54,1
9586,-0.17,-54,155,1
9613,-0.19,-87,233,1
9640,-0.14,-163,271,1
9667,-0.14,-251,263,1
9694,-0.08,-332,218,1
9721,-0.15,-393,152,1
9748,-0.17,-427,83,1
9775,-0.13,-434,28,1
9802,-0.09,-419,-3,1
9829,-0.09,-393,-9,1
9856,-0.08,-370,6,1
9883,-0.16,-354,36,1
9910,-0.16,-347,70,1
9937,-0.10,-346,100,1
9964,-0.16,-346,122,1
9991,-0.15,-345,136,1
10018,-0.07,-338,144,1
10045,-0.13,-323,150,1
10072,-0.13,-304,157,1
10099,-0.17,-282,167,1
10126,-0.08,-253,181,1
10153,-0.17,-201,199,1
10180,-0.07,-111,226,1
10207,-0.15,10,269,1
10234,-0.11,134,330,1
10261,-0.21,222,404,1
10288,-0.15,246,473,1
10315,-0.16,203,516,1
10342,-0.09,113,515,1
10369,-0.18,4,464,1
10396,-0.14,-100,371,1
10423,-0.08,-179,255,1
10450,-0.22,-220,138,1
10477,-0.21,-223,42,1
10504,-0.04,-201,-22,1
10531,-0.14,-169,-50,1
10558,-0.06,-142,-49,1
10585,-0.14,-127,-30,1
10612,-0.05,-122,-7,1
10639,-0.10,-125,12,1
10666,-0.13,-130,22,1
10693,-0.13,-135,23,1
10720,-0.07,-136,18,1
10747,-0.10,-130,11,1
10774,-0.08,-119,5,1
10801,-0.14,-95,4,1
10828,-0.15,-43,11,1
10855,-0.13,49,32,1
10882,-0.12,175,73,1
10909,-0.11,303,138,1
10936,-0.04,392,218,1
10963,-0.16,415,294,1
10990,-0.08,367,343,1
11017,-0.10,267,346,1
11044,-0.07,143,295,1
11071,-0.17,21,199,1
11098,-0.15,-78,77,1
11125,-0.12,-144,-47,1
11152,-0.08,-173,-155,1
11179,-0.18,-173,-231,1
11206,-0.19,-156,-270,1
11233,-0.18,-134,-276,1
11260,-0.13,-116,-258,1
11287,-0.08,-108,-227,1
11314,-0.15,-111,-195,1
11341,-0.19,-124,-169,1
11368,-0.13,-137,-153,1
11395,-0.10,-142,-146,1
11422,-0.11,-138,-142,1
11449,-0.16,-127,-138,1
11476,-0.04,-110,-129,1
11503,-0.11,-77,-113,1
11530,-0.06,-9,-87,1
11557,-0.10,104,-45,1
11584,-0.15,256,19,1
11611,-0.14,406,110,1
11638,-0.19,505,216,1
11665,-0.13,522,313,1
11692,-0.17,455,374,1
11719,-0.19,327,378,1
11746,-0.09,170,316,1
11773,-0.12,16,201,1
11800,-0.12,-107,54,1
11827,-0.15,-189,-94,1
11854,-0.14,-226,-220,1
11881,-0.05,-228,-307,1
11908,-0.09,-210,-348,1
11935,-0.18,-185,-349,1
11962,-0.13,-164,-322,1
11989,-0.13,-159,-279,1
12016,-0.06,-166,-236,1
12043,-0.25,-175,-201,1
12070,-0.13,-182,-176,1
12097,-0.16,-182,-159,1
12124,-0.12,-177,-147,1
12151,-0.14,-165,-133,1
12178,-0.20,-147,-117,1
12205,-0.11,-118,-95,1
12232,-0.18,-67,-67,1
12259,-0.15,22,-27,1
12286,-0.11,162,30,1
12313,-0.17,329,112,1
12340,-0.11,477,217,1
12367,-0.13,556,330,1
12394,-0.14,540,424,1
12421,-0.17,438,468,1
12448,-0.13,282,445,1
