Time,Pressure,rawPPGSignal,PPGSignal
157092,25.53,3853,248
157141,23.83,2894,946
157190,22.28,2647,1689
157239,20.93,2743,2097
157288,19.62,2935,2210
157337,18.43,2871,2143
157386,17.44,2699,1961
157435,16.49,2651,1701
157484,15.62,2703,1421
157533,14.83,2763,1175
157582,14.11,2814,986
157631,13.53,2778,842
157680,12.86,3119,740
157729,12.05,4095,754
157778,11.48,4095,917
157827,10.85,4095,1108
157876,10.14,2234,1085
157924,9.37,637,596
157973,8.59,1971,-200
158022,7.68,3105,-751
158071,6.63,3123,-815
158120,5.84,2735,-627
158169,5.32,2544,-467
158218,4.81,2595,-420
158267,4.57,2689,-440
158316,4.23,2713,-470
158365,3.95,2694,-495
158414,3.75,2733,-515
158463,3.40,3612,-472
158512,2.53,4095,-277
158561,1.73,4095,25
158610,1.78,3330,243
158659,1.75,2058,160
158708,1.69,2299,-231
158757,1.65,2791,-653
158806,1.67,2963,-871
158855,1.71,2810,-898
158904,1.60,2559,-862
158953,1.56,2541,-850
159002,1.53,2682,-852
159051,1.51,2715,-831
159100,1.51,2741,-784
159149,1.45,2783,-725
159198,1.46,2795,-663
159247,1.43,3148,-584
159296,1.39,4095,-410
159345,1.40,4095,-104
159394,1.36,3546,179
159443,1.35,2845,242
159492,1.34,2707,53
159541,1.34,2734,-244
159590,1.25,2832,-496
159639,1.24,2816,-638
159688,1.21,2690,-691
159737,1.18,2643,-705
159786,1.14,2695,-699
159835,1.26,2752,-668
159884,1.16,2800,-612
159933,1.12,2727,-545
159982,1.09,2740,-491
160031,1.18,3327,-413
160080,1.10,4095,-215
160129,1.14,4095,108
160178,1.01,3071,362
160227,1.06,2704,347
160276,1.00,2659,108
160325,1.01,2783,-171
160374,0.95,2865,-363
160423,0.99,2789,-444
160472,1.02,2675,-462
160521,0.94,2633,-463
160570,0.90,2735,-454
160619,0.84,2821,-416
160668,0.88,2841,-351
160717,0.86,2844,-277
160766,0.87,2831,-213
160815,0.84,3580,-120
160864,0.85,4095,89
160913,0.83,3998,387
160962,0.82,2902,571
161011,0.70,2725,484
161060,0.82,2736,215
161109,0.74,2865,-48
161158,0.74,2938,-210
161207,0.76,2827,-269
161256,0.74,2752,-281
161305,0.73,2773,-279
161354,0.66,2825,-265
161403,0.67,2855,-233
161452,0.66,2884,-188
161501,0.61,2869,-142
161550,0.64,3101,-89
161599,0.58,4095,46
161648,0.57,4095,316
161697,0.69,3202,556
161746,0.60,2725,554
161795,0.56,2754,330
161844,0.60,2921,64
161893,0.56,3003,-110
161942,0.48,2890,-183
161991,0.50,2762,-209
162040,0.57,2768,-228
162089,0.63,2814,-238
162138,0.56,2858,-225
162187,0.49,2883,-192
162236,0.49,2864,-151
162285,0.59,3419,-79
162334,0.45,4095,98
162383,0.53,4095,386
162432,0.41,3071,597
162481,0.51,2801,553
162530,0.42,2814,311
162579,0.54,2937,50
162628,0.51,2954,-123
162677,0.44,2865,-206
162726,0.44,2758,-243
162775,0.41,2734,-267
162824,0.35,2794,-279
162873,0.37,2839,-267
162922,0.42,2838,-233
162971,0.45,3066,-177
163020,0.37,4095,-29
163069,0.35,4095,259
163118,0.34,3307,523
163167,0.30,2758,551
163216,0.33,2729,343
163265,0.30,2861,68
163314,0.39,2992,-128
163363,0.34,2902,-215
163412,0.26,2757,-242
163461,0.33,2704,-261
163510,0.25,2743,-279
163559,0.23,2843,-275
163608,0.19,2882,-240
163657,0.25,2933,-182
163706,0.20,4095,-43
163755,0.19,4095,239
163804,0.30,3600,530
163853,0.22,2751,606
163902,0.24,2654,415
163951,0.24,2863,116
164000,0.23,3033,-106
164049,0.26,2945,-202
164098,0.16,2779,-229
164147,0.13,2711,-248
164196,0.14,2748,-269
164245,0.15,2828,-273
164294,0.24,2869,-247
164343,0.21,2944,-195
164392,0.13,4095,-57
164441,0.14,4095,227
164490,0.13,3623,522
164539,0.17,2768,603
164588,0.21,2685,419
164637,0.21,2864,124
164686,0.15,3024,-100
164735,0.13,2960,-202
164784,0.11,2768,-233
164833,0.06,2703,-256
164882,0.14,2769,-280
164931,0.16,2826,-282
164980,0.05,2928,-250
165029,0.05,4095,-115
165078,0.15,4095,177
165127,0.05,3980,507
165176,0.11,2832,651
165225,0.05,2667,500
165274,0.13,2784,181
165323,0.13,2990,-93
165372,0.11,2942,-238
165421,0.06,2788,-288
165470,0.08,2709,-309
165519,0.14,2721,-325
165568,0.10,2818,-325
165617,0.08,2974,-286
165666,0.03,4095,-138
165715,0.20,4095,164
165764,0.10,3725,481
165813,0.10,2752,586
165862,0.07,2615,407
165911,0.11,2772,93
165960,0.04,2933,-159
166009,0.01,2873,-284
166058,0.03,2733,-322
166107,0.01,2678,-335
166156,0.11,2734,-339
166205,-0.04,2837,-319
166254,0.07,2881,-268
166303,0.07,3611,-154
166352,-0.00,4095,83
166401,0.05,4095,404
166450,0.07,2954,610
166499,0.05,2615,527
166548,-0.04,2757,239
166597,0.01,3009,-35
166646,0.01,2990,-181
166695,-0.00,2813,-229
166744,0.04,2705,-251
166793,0.08,2731,-275
166842,-0.05,2819,-283
166891,-0.05,2854,-260
166940,-0.02,2878,-214
166989,0.03,4095,-82
167038,-0.03,4095,203
167087,-0.05,4095,537
167136,-0.02,2754,690
167185,-0.02,2513,523
167234,-0.07,2768,171
167283,-0.11,3015,-117
167332,-0.14,2943,-251
167381,-0.09,2736,-287
167430,0.00,2615,-308
167479,-0.03,2636,-338
167528,-0.09,2740,-352
167577,-0.02,2807,-327
167626,-0.09,2831,-270
167675,0.00,3780,-140
167724,-0.05,4095,125
167773,-0.14,4095,465
167822,-0.12,2850,660
167871,-0.09,2512,544
167920,-0.01,2683,218
167969,-0.02,2927,-78
168018,-0.05,2942,-231
168067,-0.01,2747,-274
168116,-0.06,2605,-289
168165,-0.02,2651,-310
168214,-0.13,2727,-317
168263,-0.12,2767,-293
168312,-0.04,2801,-244
168361,-0.07,2795,-186
168410,-0.05,2762,-137
168459,-0.13,3407,-63
168508,-0.09,4095,125
168557,-0.05,4095,431
168606,-0.05,3063,658
168655,0.00,1514,539
168704,0.02,2192,89
168753,0.03,2990,-313
168802,-0.09,3117,-417
168851,0.03,2818,-316
168900,-0.06,2659,-201
168949,-0.03,2691,-146
168998,-0.10,2717,-130
169047,-0.01,2768,-120
169096,0.01,2849,-97
169145,-0.02,2831,-60
169194,-0.00,2786,-25
169243,-0.07,4095,78
169292,-0.06,4095,342
169341,-0.02,4066,664
169390,-0.01,2746,807
169439,0.01,2646,642
169488,-0.11,2834,307
169537,-0.02,2999,28
169586,-0.11,2903,-120
169635,0.01,2733,-186
169684,-0.13,2609,-234
169733,-0.05,2695,-277
169782,-0.01,2848,-286
169831,-0.02,2880,-245
169880,-0.04,2816,-182
169929,-0.02,2889,-125
169978,-0.15,4095,-2
170027,-0.08,4095,270
170076,-0.05,3768,569
170125,-0.01,2719,664
170174,-0.07,2659,477
170223,-0.09,2819,160
170272,-0.11,2930,-91
170321,-0.04,2881,-222
170370,-0.16,2704,-274
170419,-0.09,2639,-305
170468,-0.12,2721,-328
170517,-0.05,2770,-323
170566,-0.06,2826,-286
170615,-0.05,2870,-228
170664,-0.07,3071,-151
170713,-0.08,4095,9
170762,-0.06,4095,298
170811,-0.04,3338,560
170860,-0.11,2672,580
170909,-0.03,2618,348
170958,-0.12,2850,47
171007,-0.09,2938,-161
171056,-0.03,2765,-254
171105,-0.05,2652,-294
171154,-0.09,2672,-321
171203,-0.04,2757,-325
171252,-0.07,2817,-297
171301,-0.04,2842,-241
171350,-0.02,2832,-179
171399,-0.06,3135,-108
171448,-0.09,4095,48
171497,-0.08,4095,334
171546,-0.05,3119,575
171595,-0.08,2609,554
171644,-0.04,2651,300
171693,-0.04,2958,19
171742,-0.12,3053,-141
171791,-0.13,2863,-186
171840,-0.10,2693,-199
171889,-0.02,2690,-227
171938,-0.16,2767,-252
171987,-0.11,2863,-247
172036,-0.07,2883,-207
172085,-0.13,2845,-154
172134,-0.07,3369,-77
172183,-0.14,4095,100
172232,-0.19,4095,389
172281,-0.09,2992,599
172330,-0.11,2666,540
172379,-0.20,2731,273
172428,-0.19,2950,1
172477,-0.12,2975,-157
172526,-0.05,2834,-216
172575,-0.08,2739,-237
172624,-0.13,2743,-253
172673,-0.10,2822,-258
172722,-0.16,2858,-237
172771,-0.01,2848,-199
172820,-0.17,3109,-141
172869,-0.11,4095,6
172918,-0.13,4095,288
172967,-0.09,3223,538
173016,-0.11,2666,539
173065,-0.15,2674,305
173114,-0.10,2855,20
173163,-0.09,3022,-166
173212,-0.10,2896,-231
