Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.25,2807,181
14863,-0.28,2825,735
14899,-0.14,2868,1432
14935,-0.21,2879,1946
14971,-0.23,2506,2166
15007,-0.18,2321,2091
15043,-0.11,2523,1833
15079,-0.21,2829,1562
15115,-0.19,3071,1385
15151,-0.21,3130,1304
15187,-0.25,3046,1255
15223,-0.22,2894,1169
15259,-0.24,2786,1017
15295,-0.24,2797,820
15331,-0.14,2860,624
15367,-0.18,2965,467
15403,-0.24,3044,363
15439,-0.19,3039,297
15475,-0.25,2895,232
15511,-0.27,2768,133
15547,-0.22,2690,-4
15583,-0.15,2712,-153
15619,-0.12,2864,-273
15655,-0.20,3044,-327
15691,-0.14,2798,-336
15727,-0.20,2416,-382
15763,-0.19,2362,-507
15799,-0.21,2587,-650
15835,-0.18,2866,-716
15871,-0.22,3107,-668
15907,-0.19,3184,-538
15943,-0.21,3111,-399
15979,-0.19,2951,-320
16015,-0.27,2787,-331
16051,-0.14,2691,-418
16087,-0.16,2765,-532
16123,-0.12,2903,-611
16159,-0.08,3001,-624
16195,-0.18,3024,-583
16231,-0.17,2942,-530
16267,-0.17,2819,-503
16303,-0.11,2777,-519
16339,-0.12,2839,-554
16375,-0.17,2707,-586
16411,-0.15,2468,-632
16447,-0.23,2514,-700
16483,-0.12,2683,-747
16519,-0.23,2800,-729
16555,-0.18,2864,-652
16591,-0.16,2903,-548
16627,-0.16,2896,-449
16663,-0.20,2864,-376
16699,-0.13,2862,-336
16735,-0.18,2867,-319
16771,-0.18,2875,-312
16807,-0.19,2905,-304
16843,-0.13,2904,-290
16879,-0.18,2896,-273
16915,-0.15,2878,-260
16951,-0.22,2864,-252
16987,-0.23,2953,-242
17023,-0.20,2798,-231
17059,-0.19,2365,-262
17095,-0.19,2342,-362
17131,-0.19,2634,-464
17167,-0.14,2931,-470
17203,-0.16,3038,-364
17239,-0.09,3049,-205
17275,-0.17,3026,-62
17311,-0.10,2971,27
17347,-0.18,2930,59
17383,-0.13,2933,48
17419,-0.09,2936,21
17455,-0.15,2948,-2
17491,-0.14,2955,-16
17527,-0.21,2945,-21
17563,-0.21,2907,-24
17599,-0.19,2891,-31
17635,-0.20,2911,-41
17671,-0.19,2915,-46
17707,-0.29,2989,-40
17743,-0.26,2619,-45
17779,-0.22,2128,-126
17815,-0.19,2194,-291
17851,-0.16,2559,-431
17887,-0.12,2893,-435
17923,-0.17,3141,-293
17959,-0.26,3247,-68
17995,-0.20,3143,146
18031,-0.16,3039,278
18067,-0.22,2993,310
18103,-0.21,2975,275
18139,-0.21,2944,212
18175,-0.12,2950,147
18211,-0.15,2997,100
18247,-0.17,3034,80
18283,-0.18,3057,84
18319,-0.20,3002,95
18355,-0.16,2961,95
18391,-0.23,2944,79
18427,-0.24,2923,53
18463,-0.17,2928,26
