Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.27,3043,196
14863,-0.19,3093,799
14899,-0.22,3062,1556
14935,-0.20,3024,2102
14971,-0.21,3006,2342
15007,-0.16,3001,2325
15043,-0.19,3001,2150
15079,-0.15,2998,1903
15115,-0.19,2998,1642
15151,-0.17,3002,1399
15187,-0.20,2990,1185
15223,-0.16,2982,996
15259,-0.10,2985,830
15295,-0.23,3024,683
15331,-0.19,3163,566
15367,-0.19,3258,486
15403,-0.19,3234,430
15439,-0.19,3138,365
15475,-0.18,3067,266
15511,-0.20,3053,138
15547,-0.16,3053,5
15583,-0.13,3035,-114
15619,-0.08,3045,-216
15655,-0.23,3054,-296
15691,-0.17,3046,-358
15727,-0.18,3024,-410
15763,-0.04,3009,-458
15799,-0.14,2997,-505
15835,-0.18,3007,-547
15871,-0.24,3007,-581
15907,-0.20,3005,-606
15943,-0.18,3003,-625
15979,-0.25,2989,-640
16015,-0.10,2992,-653
16051,-0.22,3001,-662
16087,-0.19,3088,-660
16123,-0.20,3228,-632
16159,-0.17,3273,-577
16195,-0.21,3200,-517
16231,-0.22,3111,-487
16267,-0.19,3069,-497
16303,-0.17,3061,-532
16339,-0.21,3049,-569
16375,-0.19,3046,-596
16411,-0.15,3046,-609
16447,-0.17,3029,-609
16483,-0.23,3024,-602
16519,-0.20,3010,-591
16555,-0.24,3000,-579
16591,-0.14,3006,-566
16627,-0.22,2992,-550
16663,-0.19,2991,-533
16699,-0.26,3001,-515
16735,-0.25,3006,-492
16771,-0.16,2991,-468
16807,-0.16,2992,-445
16843,-0.11,3047,-421
16879,-0.20,3199,-379
16915,-0.19,3291,-309
16951,-0.16,3239,-225
16987,-0.22,3145,-166
17023,-0.21,3098,-151
17059,-0.16,3070,-170
17095,-0.16,3048,-202
17131,-0.16,3030,-233
17167,-0.18,3041,-253
17203,-0.19,3046,-258
17239,-0.14,3042,-250
17275,-0.21,3021,-235
17311,-0.21,3007,-222
17347,-0.21,3002,-212
17383,-0.17,2992,-203
17419,-0.24,2999,-194
17455,-0.20,3005,-183
17491,-0.18,2997,-168
17527,-0.15,2995,-153
17563,-0.14,3000,-138
17599,-0.13,3001,-123
17635,-0.13,3038,-107
17671,-0.22,3204,-75
17707,-0.22,3310,-13
17743,-0.19,3265,63
17779,-0.21,3164,117
17815,-0.15,3094,123
17851,-0.16,3071,91
17887,-0.17,3042,42
17923,-0.21,3026,-3
17959,-0.17,3026,-39
17995,-0.20,3054,-57
18031,-0.15,3047,-58
18067,-0.24,3026,-51
18103,-0.25,3008,-45
18139,-0.16,2994,-44
18175,-0.22,2976,-47
18211,-0.15,2991,-51
18247,-0.14,2987,-52
18283,-0.18,2996,-47
18319,-0.12,2996,-39
18355,-0.22,2987,-30
18391,-0.12,2977,-23
18427,-0.20,2999,-18
18463,-0.22,3134,-2
18499,-0.14,3298,42
18535,-0.08,3327,117
18571,-0.18,3216,187
18607,-0.17,3116,210
18643,-0.88,3071,183
18679,-0.24,3049,126
18715,-0.17,3031,65
18751,-0.29,3024,16
18787,-0.21,3033,-15
18823,-0.18,3044,-29
18859,-0.17,3035,-29
18895,-0.27,3013,-26
18931,-0.21,2990,-25
18967,-0.30,2995,-29
19003,-0.17,3003,-33
19039,-0.18,2998,-33
19075,-0.22,2994,-31
19111,-0.22,2993,-29
19147,-0.18,2983,-26
19183,-0.13,2993,-24
19219,-0.16,2991,-22
19255,-0.19,2995,-17
19291,-0.12,3098,-6
19327,-0.20,3248,28
19363,-0.26,3282,89
19399,-0.25,3184,148
19435,-0.17,3087,169
19471,-0.21,3039,143
19507,-0.14,3025,91
19543,-0.16,3024,37
19579,-0.21,3024,-3
19615,-0.15,3030,-26
19651,-0.26,3021,-35
19687,-0.91,3001,-37
19723,-0.20,2997,-38
19759,-0.17,2991,-40
19795,-0.20,2983,-42
