Time,Pressure,rawPPGSignal,PPGSignal
383279,26.89,2422,156
383320,25.76,2471,636
383361,24.51,2432,1240
383402,23.69,2333,1669
383443,22.88,2315,1844
383484,22.09,2851,1847
383525,21.21,4095,1880
383566,20.50,4095,2054
383607,19.81,4095,2250
383648,19.08,4095,2326
383689,18.44,4095,2263
383730,17.77,4095,2092
383771,17.14,2055,1729
383812,16.56,1325,1027
383853,15.95,2202,189
383894,15.53,2863,-369
383935,14.83,2827,-530
383976,14.29,2499,-486
384017,13.91,2256,-449
384058,13.27,2226,-491
384099,12.80,2333,-572
384140,12.35,2390,-635
384181,12.01,2417,-661
384222,11.50,2391,-664
384263,11.10,2311,-666
384304,10.68,2295,-682
384345,10.46,2339,-704
384386,9.94,2374,-715
384427,9.65,2402,-707
384468,9.32,2377,-689
384509,9.07,2352,-672
384550,8.90,2388,-662
384591,8.55,3111,-604
384632,8.32,4095,-385
384673,8.03,4095,0
384714,7.71,4095,385
384755,7.55,4095,633
384796,7.21,4095,727
384837,6.97,2796,620
384878,6.75,1292,174
384919,6.58,1729,-534
384960,6.35,2633,-1115
385001,6.11,2927,-1296
385042,5.95,2704,-1170
385083,5.81,2352,-981
385124,5.69,2172,-882
385165,5.42,2160,-880
385206,5.19,2239,-910
385247,5.16,2330,-913
385288,4.98,2370,-868
385329,4.76,2356,-794
385370,4.57,2327,-716
385411,4.54,2331,-650
385452,4.40,2383,-594
385493,4.22,2413,-537
385534,4.16,2405,-479
385575,4.04,2396,-426
385616,4.00,2369,-386
385657,3.86,2582,-343
385698,3.80,4095,-180
385739,3.77,4095,192
385780,3.68,4095,626
385821,3.64,4095,938
385862,3.50,4095,1087
385903,3.43,4095,1100
385944,3.36,1936,889
385985,3.31,1398,317
386026,3.13,2160,-392
386067,3.09,2850,-830
386108,2.89,2891,-876
386149,2.85,2541,-716
386190,2.77,2240,-572
386231,2.77,2115,-534
386272,2.66,2198,-566
386313,2.59,2349,-590
386354,2.47,2418,-559
386395,2.49,2407,-484
386436,2.46,2531,-392
386477,2.35,2510,-295
386518,2.24,2480,-213
386559,2.31,2446,-161
386600,2.26,2418,-138
386641,2.25,2416,-133
386682,2.24,2375,-135
386723,2.20,2439,-134
386764,2.22,3245,-69
386805,2.20,4095,168
386846,2.16,4095,560
386887,2.23,4095,938
386928,2.14,4095,1175
386969,2.00,2962,1188
387010,1.92,1461,839
387051,1.89,1821,191
387092,1.81,2714,-374
387133,1.69,3170,-566
387174,1.57,2945,-445
387215,1.53,2509,-259
387256,1.47,2276,-184
387297,1.45,2303,-227
387338,1.41,2386,-301
387379,1.42,2476,-340
387420,1.29,2523,-324
387461,1.26,2506,-274
387502,1.24,2480,-218
387543,1.22,2457,-176
387584,1.09,2403,-155
387625,1.14,2385,-151
387666,1.10,2457,-151
387707,1.19,2930,-108
387748,1.13,4095,83
387789,1.10,4095,455
387830,1.09,4095,850
387871,1.05,4095,1115
387912,0.98,4095,1226
387953,1.02,2739,1126
387994,0.97,1373,683
388035,0.96,1777,-14
388076,0.85,2597,-586
388117,0.80,2960,-773
388158,0.79,2800,-653
388199,0.81,2451,-459
388240,0.75,2235,-353
388281,0.74,2225,-356
388322,0.68,2308,-400
388363,0.76,2398,-421
388404,0.62,2416,-398
