Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
14828,-0.17,2421,156,0
14863,-0.24,4095,741,0
14899,-0.19,4095,1667,0
14935,-0.11,4095,2510,0
14971,-0.15,4095,3005,0
15007,-0.18,4095,3140,0
15043,-0.13,2623,2916,0
15079,-0.23,640,2221,0
15115,-0.16,547,1128,0
15151,-0.17,1531,90,0
15187,-0.16,2624,-446,0
15223,-0.14,3191,-399,0
15259,-0.17,3042,-18,0
15295,-0.20,2605,346,0
15331,-0.06,2226,480,0
15367,-0.20,2064,371,0
15403,-0.14,1983,123,0
15439,-0.20,1907,-148,0
15475,-0.22,1927,-377,0
15511,-0.15,1951,-531,0
15547,-0.11,2293,-589,0
15583,-0.16,4095,-433,0
15619,-0.20,4095,4,0
15655,-0.19,4095,518,0
15691,-0.12,4095,878,0
15727,-0.13,4095,1034,0
15763,-0.20,1926,882,0
15799,-0.13,630,255,0
15835,-0.14,967,-675,0
15871,-0.16,2106,-1412,0
15907,-0.14,3139,-1605,0
15943,-0.14,3485,-1283,0
15979,-0.26,3031,-764,0
16015,-0.19,2508,-392,0
16051,-0.14,2140,-310,0
16087,-0.13,1968,-461,0
16123,-0.19,1952,-703,0
16159,-0.18,1936,-917,0
16195,-0.16,2001,-1045,0
16231,-0.16,2519,-1045,0
16267,-0.08,4095,-809,0
16303,-0.12,4095,-306,0
16339,-0.14,4095,248,0
16375,-0.19,4095,643,0
16411,-0.19,4095,835,0
16447,-0.09,2613,768,0
16483,-0.10,740,282,0
16519,-0.14,677,-576,0
16555,-0.15,1704,-1378,0
16591,-0.15,2739,-1699,0
16627,-0.19,3203,-1480,0
16663,-0.17,2980,-979,0
16699,-0.11,2493,-532,0
16735,-0.25,2201,-327,0
16771,-0.19,2192,-339,0
16807,-0.16,2276,-440,0
16843,-0.18,2461,-514,0
16879,-0.16,2699,-501,0
16915,-0.15,3901,-328,0
16951,-0.24,4095,41,0
16987,-0.06,4095,476,0
17023,-0.16,4095,804,0
17059,-0.22,4095,972,0
17095,-0.12,4095,1002,0
17131,-0.19,3703,917,0
17167,-0.19,895,553,0
17203,-0.15,689,-226,0
17239,-0.19,2005,-1055,0
17275,-0.22,3447,-1385,0
17311,-0.19,4022,-1090,0
17347,-0.04,3194,-509,0
17383,-0.18,2537,-96,0
17419,-0.15,2123,-33,0
17455,-0.22,1856,-236,0
17491,-0.19,1782,-541,0
17527,-0.21,1797,-807,0
17563,-0.11,1935,-953,0
17599,-0.22,4095,-829,0
17635,-0.17,4095,-331,0
17671,-0.22,4095,309,0
17707,-0.10,4095,806,0
17743,-0.15,4095,1082,0
17779,-0.14,4095,1165,0
17815,-0.16,3040,1053,0
17851,-0.13,474,572,0
17887,-0.11,286,-334,0
17923,-0.18,1424,-1241,0
17959,-0.15,2511,-1645,0
17995,-0.13,2919,-1458,0
18031,-0.20,2707,-958,0
18067,-0.20,2279,-492,0
18103,-0.12,1744,-266,0
18139,-0.09,1335,-312,0
18175,-0.12,1147,-535,0
18211,-0.11,1424,-774,0
18247,-0.14,3607,-759,0
18283,-0.22,4095,-298,0
18319,-0.15,4095,410,0
18355,-0.08,4095,1028,0
18391,-0.22,4095,1408,0
18427,-0.13,4095,1553,0
18463,-0.23,960,1328,0
18499,-0.18,0,532,0
18535,-0.15,789,-529,0
18571,-0.13,2193,-1232,0
18607,-0.09,3020,-1273,0
18643,-0.16,3169,-810,0
18679,-0.21,2864,-220,0
18715,-0.12,2448,194,0
18751,-0.12,2117,323,0
18787,-0.16,2007,225,0
18823,-0.16,2116,39,0
18859,-0.18,3867,-2,0
18895,-0.16,4095,273,0
18931,-0.13,4095,726,0
18967,-0.18,4095,1109,0
19003,-0.18,4095,1326,0
19039,-0.17,4095,1382,0
19075,-0.17,3248,1272,0
19111,-0.18,671,821,0
19147,-0.12,629,-35,0
19183,-0.13,1904,-884,0
19219,-0.10,2963,-1227,0
19255,-0.12,3234,-1013,0
19291,-0.13,2795,-554,0
19327,-0.18,2203,-203,0
19363,-0.10,1740,-128,0
19399,-0.22,1515,-288,0
19435,-0.21,1792,-523,0
19471,-0.12,4095,-533,0
19507,-0.11,4095,-126,0
19543,-0.19,4095,470,0
19579,-0.09,4095,950,0
19615,-0.13,4095,1220,0
19651,-0.15,4095,1300,0
19687,-0.18,4095,1250,0
19723,-0.10,1010,933,0
19759,-0.17,709,165,0
19795,-0.19,1798,-720,0
19831,-0.19,2449,-1209,0
19867,-0.13,2069,-1247,0
19903,-0.16,1316,-1129,0
19939,-0.14,879,-1112,0
19975,-0.20,870,-1215,0
20011,-0.14,1237,-1307,0
20047,-0.19,2359,-1214,0
20083,-0.12,4095,-764,0
20119,-0.19,4095,5,0
20155,-0.20,4095,784,0
20191,-0.15,4095,1319,0
20227,-0.08,4095,1574,0
20263,-0.22,4095,1611,0
20299,-0.12,3141,1453,0
20335,-0.13,966,969,0
20371,-0.15,1214,154,0
20407,-0.15,2301,-586,0
20443,-0.20,2970,-867,0
20479,-0.17,2885,-720,0
20515,-0.17,2445,-434,0
20551,-0.21,2039,-259,0
20587,-0.16,1787,-269,0
20623,-0.14,1673,-404,0
20659,-0.17,1759,-562,0
20695,-0.16,3469,-552,0
20731,-0.21,4095,-199,0
20767,-0.11,4095,375,0
20803,-0.18,4095,895,0
20839,-0.21,4095,1219,0
20875,-0.11,4095,1343,0
20911,-0.13,4095,1319,0
20947,-0.15,1037,1015,0
20983,-0.18,28,208,0
21019,-0.16,912,-828,0
21055,-0.25,2020,-1505,0
21091,-0.19,2364,-1587,0
21127,-0.23,1995,-1290,0
21163,-0.17,1340,-974,0
21199,-0.18,807,-862,0
21235,-0.15,755,-952,0
21271,-0.15,1070,-1084,0
21307,-0.17,1493,-1098,0
21343,-0.23,2042,-919,0
21379,-0.19,4095,-462,0
21415,-0.21,4095,283,0
21451,-0.20,4095,1047,0
21487,-0.23,4095,1572,0
21523,-0.18,4095,1816,0
21559,-0.17,4095,1840,0
21595,-0.12,4095,1730,0
21631,-0.19,1680,1404,0
21667,-0.21,511,670,0
21703,-0.15,1482,-261,0
21739,-0.23,2601,-864,0
21775,-0.16,2780,-926,0
21811,-0.18,2293,-679,0
21847,-0.16,1737,-461,0
21883,-0.18,1451,-428,0
21919,-0.16,1485,-535,0
21955,-0.09,1729,-647,0
21991,-0.14,2039,-657,0
22027,-0.20,2640,-512,0
22063,-0.18,4095,-145,0
22099,-0.11,4095,429,0
22135,-0.19,4095,997,0
22171,-0.19,4095,1370,0
22207,-0.20,4095,1526,0
22243,-0.24,4095,1515,0
22279,-0.16,2318,1291,0
22315,-0.24,553,674,0
22351,-0.20,1072,-236,0
22387,-0.20,2349,-949,0
22423,-0.23,2960,-1118,0
22459,-0.21,2730,-860,0
22495,-0.17,2180,-524,0
22531,-0.16,1775,-360,0
22567,-0.30,1675,-395,0
22603,-0.16,1901,-510,0
22639,-0.17,2192,-567,0
22675,-0.21,2374,-507,0
22711,-0.19,2377,-364,0
22747,-0.22,2320,-214,0
22783,-0.12,2711,-80,0
22819,-0.18,4095,146,0
22855,-0.18,4095,544,0
22891,-0.19,4095,964,0
22927,-0.16,4095,1245,0
22963,-0.17,4095,1358,0
22999,-0.21,4095,1339,0
23035,-0.20,1407,1067,0
23071,-0.21,592,350,0
23107,-0.19,1394,-561,0
23143,-0.19,2499,-1142,0
23179,-0.17,3055,-1172,0
23215,-0.28,2876,-826,0
23251,-0.18,2410,-440,0
23287,-0.12,2019,-242,0
23323,-0.19,1885,-257,0
23359,-0.17,1898,-384,0
23395,-0.19,2098,-501,0
23431,-0.14,2291,-527,0
23467,-0.17,2332,-456,0
23503,-0.21,2304,-342,0
23539,-0.18,2267,-239,0
23575,-0.09,2775,-136,0
23611,-0.17,4095,89,0
23647,-0.20,4095,497,0
23683,-0.19,4095,927,0
23719,-0.22,4095,1215,0
23755,-0.22,4095,1334,0
23791,-0.21,1827,1173,0
23827,-0.20,742,560,0
23863,-0.15,1138,-317,0
23899,-0.23,2226,-978,0
23935,-0.22,3089,-1117,0
23971,-0.21,3350,-793,0
24007,-0.23,2933,-310,0
24043,-0.19,2425,26,0
24079,-0.17,2009,88,0
24115,-0.24,1861,-71,0
24151,-0.17,1916,-307,0
24187,-0.23,2078,-486,0
24223,-0.16,2246,-542,0
24259,-0.20,2347,-482,0
24295,-0.26,2335,-360,0
24331,-0.25,2846,-201,0
24367,-0.19,4095,75,0
24403,-0.17,4095,510,0
24439,-0.16,4095,944,0
24475,-0.18,4095,1226,0
24511,-0.21,3571,1303,0
24547,-0.15,1360,1036,0
24583,-0.10,832,337,0
24619,-0.14,1502,-494,0
24655,-0.24,2608,-995,0
24691,-0.22,3424,-961,0
24727,-0.17,3430,-535,0
24763,-0.19,2849,-59,0
24799,-0.21,2319,184,0
24835,-0.21,2038,140,0
24871,-0.17,1932,-80,0
24907,-0.16,1904,-334,0
24943,-0.18,1988,-522,0
24979,-0.23,2114,-598,0
25015,-0.22,2730,-532,0
25051,-0.15,4095,-243,0
25087,-0.28,4095,268,0
25123,-0.23,4095,794,0
25159,-0.20,4095,1150,0
25195,-0.26,4095,1308,0
25231,-0.20,2315,1196,0
25267,-0.12,737,651,0
25303,-0.17,846,-223,0
25339,-0.15,1930,-979,0
25375,-0.16,2945,-1229,0
25411,-0.17,3327,-961,0
25447,-0.18,3024,-457,0
25483,-0.22,2542,-50,0
25519,-0.21,2192,96,0
25555,-0.21,1977,9,0
25591,-0.19,1935,-193,0
25627,-0.18,1981,-390,0
25663,-0.22,2176,-500,0
25699,-0.18,3425,-422,0
25735,-0.23,4095,-67,0
25771,-0.15,4095,456,0
25807,-0.20,4095,921,0
25843,-0.20,4095,1204,0
25879,-0.21,4095,1303,0
25915,-0.14,2305,1155,0
25951,-0.24,506,579,0
25987,-0.16,716,-338,0
26023,-0.25,1917,-1117,0
26059,-0.15,2922,-1354,0
26095,-0.22,3200,-1058,0
26131,-0.23,2862,-545,0
26167,-0.21,2371,-146,0
26203,-0.23,1984,-15,0
26239,-0.23,1798,-117,0
26275,-0.17,1801,-321,0
26311,-0.20,1919,-498,0
26347,-0.23,2142,-569,0
26383,-0.20,3152,-460,0
26419,-0.20,4095,-96,0
26455,-0.23,4095,446,0
26491,-0.11,4095,948,0
26527,-0.21,4095,1263,0
26563,-0.23,4095,1383,0
26599,-0.20,2022,1226,0
26635,-0.19,466,610,0
26671,-0.18,743,-328,0
26707,-0.17,1920,-1093,0
26743,-0.22,2919,-1304,0
26779,-0.18,3233,-987,0
26815,-0.13,2906,-457,0
26851,-0.16,2427,-45,0
26887,-0.18,2075,95,0
26923,1.25,1905,4,0
26959,3.33,1921,-190,0
26995,2.52,1999,-364,0
27031,2.93,2153,-446,0
27067,3.02,3088,-371,0
27103,9.38,4095,-52,0
27139,9.38,4095,458,0
27175,9.57,4095,944,0
27211,8.85,4095,1254,0
27247,7.22,4095,1376,0
27283,10.02,1333,1176,0
27319,11.72,391,467,0
27355,9.53,1043,-495,0
27391,7.58,2314,-1151,0
27427,12.88,3205,-1206,0
27463,11.64,3327,-784,0
27499,9.06,2897,-242,0
27535,12.83,2422,110,0
27571,12.71,2128,177,0
27607,9.70,1994,35,0
27643,12.99,1999,-179,0
27679,13.05,2123,-353,0
27715,10.19,3009,-376,0
27751,14.20,4095,-132,0
27787,13.97,4095,340,0
27823,11.17,4095,823,0
27859,14.77,4095,1145,0
27895,14.89,4095,1282,0
27931,12.04,1739,1123,0
27967,14.69,458,482,0
28003,15.58,971,-447,0
28039,13.04,2258,-1136,0
28075,14.96,3189,-1243,0
28111,16.91,3347,-856,0
28147,14.16,2923,-325,0
28183,14.47,2449,35,0
28219,17.92,2107,113,0
28255,15.42,1977,-24,0
28291,13.42,2003,-239,0
28327,18.70,2369,-394,0
28363,16.98,4095,-310,0
28399,14.52,4095,94,0
28435,18.39,4095,609,0
28471,18.70,4095,998,0
28507,16.31,4095,1198,0
28543,17.12,3194,1179,0
28579,20.50,837,782,0
28615,18.08,561,-40,0
28651,15.75,1636,-900,0
28687,20.69,2864,-1299,0
28723,19.91,3547,-1102,0
28759,17.33,3341,-559,0
28795,19.60,2774,-52,0
28831,21.15,2349,176,0
28867,18.30,2127,122,0
28903,18.42,2045,-87,0
28939,21.94,2118,-310,0
28975,19.79,2768,-418,0
29011,17.67,4095,-266,0
29047,22.82,4095,159,0
29083,21.47,4095,645,0
29119,19.06,4095,992,0
29155,21.77,4095,1158,0
29191,23.34,4095,1177,0
29227,21.00,1361,927,0
29263,20.06,595,220,0
29299,25.04,1505,-673,0
29335,22.94,2691,-1214,0
29371,20.71,3321,-1181,0
29407,23.84,3149,-767,0
29443,25.14,2669,-327,0
29479,22.72,2254,-101,0
29515,20.93,2014,-120,0
29551,26.24,2023,-280,0
29587,25.22,2124,-447,0
29623,22.94,2245,-533,0
29659,24.06,3065,-474,0
29695,27.25,4095,-184,0
29731,25.36,4095,298,0
29767,23.14,4095,771,0
29803,26.29,4095,1081,0
29839,27.86,4095,1211,0
29875,25.87,2559,1104,0
29911,23.99,703,593,0
29947,28.26,779,-269,0
29983,28.82,1875,-1042,0
30019,26.77,2896,-1316,0
30055,25.00,3205,-1065,0
30091,29.64,2880,-580,0
30127,29.90,2432,-187,0
30163,27.93,2128,-38,0
30199,26.17,1989,-100,0
30235,30.53,1987,-258,0
30271,31.26,2082,-399,0
30307,29.50,2193,-461,0
30343,27.55,2469,-422,0
30379,30.78,4095,-196,0
30415,32.74,4095,268,0
30451,31.22,4095,787,0
30487,29.44,4095,1154,0
30523,30.56,4095,1327,0
30559,34.44,2846,1263,0
30595,33.34,864,807,0
30631,31.23,687,-29,0
30667,31.20,1719,-847,0
30703,35.79,2863,-1198,0
30739,34.63,3455,-988,0
30775,32.58,3199,-469,0
30811,32.27,2694,-4,0
30847,37.08,2266,193,0
30883,36.54,2027,125,0
30919,34.64,1968,-88,0
30955,33.02,2053,-306,0
30991,37.90,2240,-434,0
31027,38.95,2877,-406,0
31063,37.11,4095,-143,0
31099,35.57,4095,334,0
31135,37.23,4095,823,0
31171,41.21,4095,1151,0
31207,39.93,4095,1293,0
31243,38.13,1936,1150,0
31279,36.65,603,548,0
31315,40.07,937,-354,0
31351,42.81,2096,-1063,0
31387,41.05,3005,-1233,0
31423,39.36,3269,-911,0
31459,38.09,2934,-405,0
31495,41.75,2528,-22,0
31531,44.24,2212,106,0
31567,43.12,2047,22,0
31603,41.67,2027,-160,0
31639,40.54,2118,-328,0
31675,43.93,2351,-405,0
31711,47.38,4095,-265,0
31747,46.19,4095,163,0
31783,44.56,4095,684,0
31819,43.21,4095,1068,0
31855,43.99,4095,1261,0
31891,48.10,3071,1226,0
31927,48.51,1053,821,0
31963,47.34,692,24,0
31999,45.98,1415,-816,0
32035,45.26,2416,-1271,0
32071,50.29,3005,-1201,0
32107,51.72,3015,-783,0
32143,50.09,2680,-322,0
32179,48.73,2320,-38,0
32215,47.84,2080,12,0
32251,51.77,2045,-95,0
32287,54.57,2058,-247,0
32323,53.24,2142,-357,0
32359,52.24,2214,-392,0
32395,51.30,2478,-344,0
32431,50.97,4095,-126,0
32467,55.65,4095,323,0
32503,58.08,4095,824,0
32539,56.79,4095,1177,0
32575,55.47,4095,1341,0
32611,54.64,3177,1292,0
32647,53.99,1137,894,0
