Time,Pressure,rawPPGSignal,PPGSignal
157092,25.53,3853,79
157141,23.83,2894,334
157190,22.28,2647,686
157239,20.93,2743,1014
157288,19.62,2935,1280
157337,18.43,2871,1472
157386,17.44,2699,1578
157435,16.49,2651,1593
157484,15.62,2703,1529
157533,14.83,2763,1410
157582,14.11,2814,1258
157631,13.53,2778,1088
157680,12.86,3119,917
157729,12.05,4095,782
157778,11.48,4095,716
157827,10.85,4095,700
157876,10.14,2234,660
157924,9.37,637,485
157973,8.59,1971,165
158022,7.68,3105,-164
158071,6.63,3123,-390
158120,5.84,2735,-519
158169,5.32,2544,-600
158218,4.81,2595,-662
158267,4.57,2689,-705
158316,4.23,2713,-727
158365,3.95,2694,-732
158414,3.75,2733,-724
158463,3.40,3612,-690
158512,2.53,4095,-595
158561,1.73,4095,-440
158610,1.78,3330,-276
158659,1.75,2058,-187
158708,1.69,2299,-218
158757,1.65,2791,-322
158806,1.67,2963,-427
158855,1.71,2810,-505
158904,1.60,2559,-566
158953,1.56,2541,-622
159002,1.53,2682,-668
159051,1.51,2715,-694
159100,1.51,2741,-696
159149,1.45,2783,-677
159198,1.46,2795,-641
159247,1.43,3148,-586
159296,1.39,4095,-489
159345,1.40,4095,-329
159394,1.36,3546,-143
159443,1.35,2845,-2
159492,1.34,2707,51
159541,1.34,2734,27
159590,1.25,2832,-37
159639,1.24,2816,-115
159688,1.21,2690,-191
159737,1.18,2643,-263
159786,1.14,2695,-326
159835,1.26,2752,-371
159884,1.16,2800,-393
159933,1.12,2727,-394
159982,1.09,2740,-381
160031,1.18,3327,-346
160080,1.10,4095,-259
160129,1.14,4095,-107
160178,1.01,3071,59
160227,1.06,2704,163
160276,1.00,2659,181
160325,1.01,2783,138
160374,0.95,2865,72
160423,0.99,2789,3
160472,1.02,2675,-61
160521,0.94,2633,-124
160570,0.90,2735,-177
160619,0.84,2821,-212
160668,0.88,2841,-224
160717,0.86,2844,-216
160766,0.87,2831,-195
160815,0.84,3580,-151
160864,0.85,4095,-57
160913,0.83,3998,90
160962,0.82,2902,234
161011,0.70,2725,304
161060,0.82,2736,292
161109,0.74,2865,231
161158,0.74,2938,155
161207,0.76,2827,81
161256,0.74,2752,12
161305,0.73,2773,-50
161354,0.66,2825,-102
161403,0.67,2855,-136
161452,0.66,2884,-152
161501,0.61,2869,-153
161550,0.64,3101,-139
161599,0.58,4095,-85
161648,0.57,4095,29
161697,0.69,3202,168
161746,0.60,2725,255
161795,0.56,2754,261
161844,0.60,2921,213
161893,0.56,3003,147
161942,0.48,2890,82
161991,0.50,2762,19
162040,0.57,2768,-44
162089,0.63,2814,-100
162138,0.56,2858,-142
162187,0.49,2883,-166
162236,0.49,2864,-174
162285,0.59,3419,-159
162334,0.45,4095,-94
162383,0.53,4095,31
162432,0.41,3071,168
162481,0.51,2801,245
162530,0.42,2814,244
162579,0.54,2937,194
162628,0.51,2954,126
162677,0.44,2865,56
162726,0.44,2758,-13
162775,0.41,2734,-81
162824,0.35,2794,-141
162873,0.37,2839,-185
162922,0.42,2838,-210
162971,0.45,3066,-214
163020,0.37,4095,-171
163069,0.35,4095,-59
163118,0.34,3307,84
163167,0.30,2758,183
163216,0.33,2729,203
163265,0.30,2861,164
163314,0.39,2992,103
163363,0.34,2902,41
163412,0.26,2757,-17
163461,0.33,2704,-76
163510,0.25,2743,-133
163559,0.23,2843,-176
163608,0.19,2882,-200
163657,0.25,2933,-203
163706,0.20,4095,-164
163755,0.19,4095,-55
163804,0.30,3600,94
163853,0.22,2751,209
163902,0.24,2654,242
163951,0.24,2863,204
164000,0.23,3033,139
164049,0.26,2945,75
164098,0.16,2779,14
164147,0.13,2711,-47
164196,0.14,2748,-108
164245,0.15,2828,-157
164294,0.24,2869,-187
164343,0.21,2944,-196
164392,0.13,4095,-162
164441,0.14,4095,-57
164490,0.13,3623,89
164539,0.17,2768,205
164588,0.21,2685,239
164637,0.21,2864,203
164686,0.15,3024,139
164735,0.13,2960,75
164784,0.11,2768,13
164833,0.06,2703,-49
164882,0.14,2769,-111
164931,0.16,2826,-161
164980,0.05,2928,-190
165029,0.05,4095,-173
165078,0.15,4095,-79
165127,0.05,3980,68
165176,0.11,2832,200
165225,0.05,2667,251
165274,0.13,2784,219
165323,0.13,2990,148
165372,0.11,2942,71
165421,0.06,2788,-1
165470,0.08,2709,-71
165519,0.14,2721,-138
165568,0.10,2818,-193
165617,0.08,2974,-224
165666,0.03,4095,-205
165715,0.20,4095,-107
165764,0.10,3725,39
165813,0.10,2752,159
165862,0.07,2615,198
165911,0.11,2772,161
165960,0.04,2933,92
166009,0.01,2873,20
166058,0.03,2733,-47
166107,0.01,2678,-111
166156,0.11,2734,-168
166205,-0.04,2837,-210
166254,0.07,2881,-230
166303,0.07,3611,-212
166352,-0.00,4095,-132
166401,0.05,4095,9
166450,0.07,2954,156
166499,0.05,2615,232
166548,-0.04,2757,221
166597,0.01,3009,165
166646,0.01,2990,101
166695,-0.00,2813,41
166744,0.04,2705,-20
166793,0.08,2731,-83
166842,-0.05,2819,-137
166891,-0.05,2854,-173
166940,-0.02,2878,-189
166989,0.03,4095,-163
167038,-0.03,4095,-63
167087,-0.05,4095,92
167136,-0.02,2754,231
167185,-0.02,2513,281
167234,-0.07,2768,240
167283,-0.11,3015,160
167332,-0.14,2943,81
167381,-0.09,2736,7
167430,0.00,2615,-65
167479,-0.03,2636,-138
167528,-0.09,2740,-201
167577,-0.02,2807,-241
167626,-0.09,2831,-256
167675,0.00,3780,-230
167724,-0.05,4095,-135
167773,-0.14,4095,22
167822,-0.12,2850,176
167871,-0.09,2512,248
167920,-0.01,2683,228
167969,-0.02,2927,161
168018,-0.05,2942,88
168067,-0.01,2747,20
168116,-0.06,2605,-45
168165,-0.02,2651,-112
168214,-0.13,2727,-169
168263,-0.12,2767,-207
168312,-0.04,2801,-223
168361,-0.07,2795,-220
168410,-0.05,2762,-204
168459,-0.13,3407,-168
168508,-0.09,4095,-83
168557,-0.05,4095,63
168606,-0.05,3063,219
168655,0.00,1514,284
168704,0.02,2192,216
168753,0.03,2990,92
168802,-0.09,3117,1
168851,0.03,2818,-44
168900,-0.06,2659,-72
168949,-0.03,2691,-97
168998,-0.10,2717,-117
169047,-0.01,2768,-128
169096,0.01,2849,-126
169145,-0.02,2831,-111
169194,-0.00,2786,-89
169243,-0.07,4095,-40
169292,-0.06,4095,73
169341,-0.02,4066,236
169390,-0.01,2746,375
169439,0.01,2646,423
169488,-0.11,2834,382
169537,-0.02,2999,301
169586,-0.11,2903,212
169635,0.01,2733,123
169684,-0.13,2609,31
169733,-0.05,2695,-58
169782,-0.01,2848,-132
169831,-0.02,2880,-177
169880,-0.04,2816,-197
169929,-0.02,2889,-198
169978,-0.15,4095,-160
170027,-0.08,4095,-51
170076,-0.05,3768,102
170125,-0.01,2719,227
170174,-0.07,2659,265
170223,-0.09,2819,227
170272,-0.11,2930,154
170321,-0.04,2881,77
170370,-0.16,2704,1
170419,-0.09,2639,-74
170468,-0.12,2721,-146
170517,-0.05,2770,-202
170566,-0.06,2826,-235
170615,-0.05,2870,-245
170664,-0.07,3071,-231
170713,-0.08,4095,-172
170762,-0.06,4095,-47
170811,-0.04,3338,106
170860,-0.11,2672,211
170909,-0.03,2618,229
170958,-0.12,2850,182
171007,-0.09,2938,113
171056,-0.03,2765,43
171105,-0.05,2652,-27
171154,-0.09,2672,-97
171203,-0.04,2757,-157
171252,-0.07,2817,-198
171301,-0.04,2842,-216
171350,-0.02,2832,-214
171399,-0.06,3135,-193
171448,-0.09,4095,-128
171497,-0.08,4095,0
171546,-0.05,3119,149
171595,-0.08,2609,239
171644,-0.04,2651,242
171693,-0.04,2958,191
171742,-0.12,3053,129
171791,-0.13,2863,73
171840,-0.10,2693,17
171889,-0.02,2690,-43
171938,-0.16,2767,-100
171987,-0.11,2863,-143
172036,-0.07,2883,-165
172085,-0.13,2845,-169
172134,-0.07,3369,-150
172183,-0.14,4095,-83
172232,-0.19,4095,44
172281,-0.09,2992,183
172330,-0.11,2666,257
172379,-0.20,2731,247
172428,-0.19,2950,189
172477,-0.12,2975,120
172526,-0.05,2834,54
172575,-0.08,2739,-9
172624,-0.13,2743,-72
172673,-0.10,2822,-126
172722,-0.16,2858,-162
172771,-0.01,2848,-181
172820,-0.17,3109,-179
172869,-0.11,4095,-133
172918,-0.13,4095,-20
172967,-0.09,3223,119
173016,-0.11,2666,209
173065,-0.15,2674,215
173114,-0.10,2855,164
173163,-0.09,3022,97
173212,-0.10,2896,34
173261,-0.01,2750,-21
173310,-0.10,2711,-78
173359,-0.09,2769,-130
173408,-0.05,2896,-169
173457,0.01,2926,-185
173506,-0.05,2871,-183
173555,0.00,3043,-167
173604,-0.08,4095,-114
173653,-0.10,4095,0
173702,-0.12,3119,137
173751,-0.04,2641,220
173800,-0.11,2721,220
173849,-0.12,2938,170
173898,-0.06,3008,108
173947,-0.07,2845,49
173996,-0.08,2768,-8
174045,-0.02,2751,-64
174094,-0.17,2805,-115
174143,0.02,2900,-150
174192,-0.09,2907,-166
174241,-0.13,2892,-165
174290,-0.12,3763,-136
174339,-0.03,4095,-49
174388,-0.07,4095,90
174437,-0.08,2883,225
174486,-0.12,2704,284
174535,-0.03,2781,259
174584,0.03,2945,190
174633,-0.09,2941,110
174682,-0.00,2817,33
174731,0.01,2719,-40
174780,-0.15,2774,-108
174829,-0.05,2842,-163
174878,-0.04,2849,-198
174927,-0.02,2914,-212
174976,-0.09,4095,-184
175025,-0.04,4095,-82
175074,-0.06,3684,64
175123,-0.05,2797,183
175172,-0.12,2685,222
175221,-0.03,2829,189
175270,-0.01,2979,124
175319,-0.06,2894,55
175368,-0.09,2753,-12
175417,-0.07,2763,-78
175466,-0.05,2828,-136
175515,-0.05,2876,-176
175564,-0.12,2871,-198
175613,-0.15,2947,-201
175662,-0.10,4095,-165
175711,-0.01,4095,-59
175760,-0.16,3557,85
175809,-0.05,2831,196
175858,-0.10,2736,230
175907,-0.05,2845,197
175956,-0.09,3034,134
176005,-0.10,2967,70
176054,-0.11,2744,8
176103,-0.05,2704,-56
176152,-0.12,2825,-119
176201,-0.12,2947,-164
176250,-0.03,2928,-186
176299,-0.14,2914,-187
176348,0.75,4095,-152
176397,2.86,4095,-50
176446,2.17,3923,98
176495,3.68,2832,224
176544,8.94,2676,268
176593,6.94,2819,232
176642,5.23,2991,158
176691,6.61,2955,80
176740,9.71,2799,6
176790,10.81,2714,-65
176838,9.08,2768,-132
176887,7.35,2853,-185
176937,10.68,2886,-217
176986,11.68,2911,-226
177034,9.66,4095,-193
177083,9.24,4095,-88
177133,13.21,4095,68
177182,11.96,2899,212
177230,9.86,2736,274
177280,12.20,2817,251
177329,14.19,3006,184
177378,12.74,2951,105
177427,10.70,2769,27
177476,13.74,2679,-52
177525,16.03,2747,-129
177574,13.85,2811,-192
177623,11.80,2807,-233
177672,16.98,3042,-248
177721,16.84,4095,-213
177770,14.39,4095,-103
177819,14.42,3456,45
177868,19.41,2726,157
177917,17.85,2642,186
177966,16.10,2807,149
178015,16.48,2930,84
178064,20.39,2817,18
178113,19.82,2690,-45
178162,18.16,2657,-109
178211,16.51,2697,-166
178260,21.19,2770,-208
178309,22.32,2800,-230
178358,20.86,2853,-231
178407,19.70,4095,-189
178456,19.82,4095,-72
178505,23.99,4095,98
178554,24.73,2757,252
178603,23.32,2514,313
178652,22.41,2679,278
178701,21.35,2931,197
178750,25.41,2911,111
178799,27.62,2727,33
178848,27.34,2626,-42
178897,26.05,2683,-113
178946,25.18,2785,-169
178995,24.64,2849,-202
179044,27.97,2827,-211
179093,31.25,2956,-199
179142,29.71,4095,-147
179191,28.84,4095,-25
179240,27.68,3373,128
179289,27.72,2581,235
179338,31.80,2559,252
179387,33.51,2863,203
179436,33.71,3024,136
179485,32.65,2886,75
179534,32.15,2711,19
179583,31.40,2666,-38
179632,32.12,2751,-94
179681,34.63,2800,-137
179730,38.00,2849,-161
179779,38.48,2887,-166
179828,38.92,3669,-138
179877,38.58,4095,-52
179926,38.38,4095,90
179975,38.35,2891,232
180024,38.20,2592,296
180073,38.18,2721,272
180122,39.10,2935,202
180171,42.60,2959,123
180220,44.72,2809,50
180269,47.05,2706,-18
180318,46.91,2705,-84
180367,47.76,2805,-140
180416,47.86,2839,-178
180465,48.05,2867,-194
180514,48.67,3825,-173
180563,48.78,4095,-86
180612,49.53,4095,60
180661,50.10,2837,201
180710,50.52,2595,262
180759,51.51,2689,234
180808,52.09,2906,159
180857,52.87,2934,78
180906,53.82,2771,3
180955,54.81,2700,-66
181004,55.72,2759,-130
181053,56.45,2832,-178
181102,57.24,2866,-205
181151,58.71,2863,-213
181200,59.71,3524,-191
181249,60.77,4095,-114
181298,62.06,4095,22
181347,63.44,2954,164
181396,64.89,2556,235
181445,66.30,2638,216
181494,68.20,2931,148
181543,70.03,2961,73
181592,71.73,2831,7
181641,73.47,2721,-52
181690,76.02,2736,-109
181739,76.44,2813,-155
181788,75.33,2864,-184
181837,73.32,2893,-194
181886,74.75,2871,-187
181935,77.16,3104,-165
181984,79.49,4095,-106
182033,82.10,4095,14
182082,84.71,3419,162
182131,86.78,2677,261
182180,84.90,2534,271
182229,83.05,2800,211
182278,85.58,2992,128
182327,88.46,2951,54
182376,92.00,2871,-5
182425,92.93,2819,-57
182474,89.25,2830,-99
182523,90.55,2844,-131
182572,93.27,2854,-151
182621,97.71,2896,-159
182670,100.57,2922,-154
182720,100.81,3632,-124
182770,100.72,4095,-43
182820,99.32,4095,91
182869,101.31,3362,233
182919,103.15,2793,318
182969,105.67,2704,316
183019,108.13,2827,248
183069,110.29,2922,155
183119,109.46,2977,63
183169,107.75,2995,-11
183219,107.76,3011,-67
183269,110.28,3025,-103
183319,113.33,3059,-122
183369,117.37,3056,-125
183419,121.38,3059,-118
183469,120.64,3408,-98
183519,117.36,3745,-50
183569,119.12,3555,24
183619,122.12,3340,100
183669,126.31,3227,151
183719,126.87,3237,170
183769,122.88,3248,165
183819,125.65,3238,146
183869,129.34,3165,118
183919,133.35,3099,81
183969,131.84,3083,37
184019,130.41,3071,-7
184069,133.65,3002,-50
184119,138.85,2925,-92
184169,138.27,2843,-133
184219,136.31,2827,-174
184269,140.17,2817,-211
184319,145.20,2797,-240
184369,139.77,2787,-260
184419,142.98,2800,-270
184469,147.95,2807,-270
184519,148.77,2828,-260
184569,145.91,2834,-241
184619,150.06,2839,-216
184669,155.53,2855,-186
184719,149.81,2861,-154
184769,153.81,2862,-122
184819,159.82,2864,-90
184869,154.14,2863,-62
184919,158.22,2869,-36
184969,160.36,2876,-13
185019,158.61,2885,5
185069,157.98,2896,23
185119,157.54,2893,38
185169,157.19,2880,50
185219,156.75,2879,60
185269,156.46,2898,66
185319,156.11,2929,72
185369,155.94,2935,79
185419,155.68,2910,85
185469,155.38,2927,90
185519,155.14,2947,93
185569,154.96,2933,96
185619,154.80,2909,97
185669,154.87,2953,96
185719,154.80,2943,95
185769,154.36,2926,93
185819,154.25,2943,89
185869,154.03,2960,86
185919,153.85,2958,83
185969,153.75,2960,80
186019,153.64,2971,78
186069,153.35,2967,76
186119,153.16,2964,73
186169,153.14,2973,70
186219,152.95,2973,66
186269,152.87,2961,62
186319,152.80,2980,57
186369,152.70,2981,52
186419,153.00,2976,48
186469,152.90,2975,44
186519,152.60,2967,39
186569,152.48,2985,34
186619,152.43,2991,29
186669,152.33,2991,26
186719,152.25,2983,23
186769,152.02,2977,20
186819,152.01,2994,17
186869,151.78,2998,14
186919,151.72,2993,11
186969,151.56,2990,9
187019,151.54,2994,7
187069,151.33,3007,5
187119,151.23,3005,4
187169,151.56,2990,2
187219,151.50,2985,0
187269,151.21,2997,-2
187319,151.07,3011,-4
187369,151.05,3005,-5
187419,151.08,2992,-6
187469,150.92,2993,-8
187519,150.80,3013,-10
187569,150.71,3015,-10
187619,150.61,3015,-10
187669,150.45,3008,-9
187719,150.43,3024,-8
187769,150.27,3020,-7
187819,150.22,3009,-7
187869,150.16,3002,-7
187919,150.45,3005,-8
187969,150.40,3003,-10
188019,150.00,3010,-12
188069,149.95,3039,-13
188119,149.87,3041,-12
188169,149.87,3026,-9
188219,149.85,3023,-7
188269,149.56,3009,-6
188319,149.49,3016,-6
188369,149.41,3008,-8
188419,149.26,2999,-10
188469,149.21,3023,-12
188519,149.03,3033,-14
188569,149.08,3039,-13
188619,149.00,3029,-11
188669,149.17,3030,-9
188719,149.33,3014,-7
188769,148.91,3018,-7
188819,148.83,3023,-8
188869,148.81,3030,-8
188919,148.65,3031,-8
188969,148.51,3025,-7
189019,148.47,3024,-7
189069,148.23,3027,-7
189119,148.18,3027,-7
189169,148.07,3026,-7
189219,147.93,3027,-6
189269,147.79,3033,-6
189319,147.61,3040,-6
189369,147.47,3023,-5
189419,147.72,3027,-4
189469,147.69,3030,-4
189519,147.19,3028,-4
189569,147.04,3024,-4
189619,146.79,3031,-5
189669,146.46,3030,-5
189719,146.14,3023,-5
189769,145.90,3023,-5
189819,145.53,3037,-5
189869,145.32,3040,-5
189919,144.97,3024,-4
189969,144.63,3024,-3
190019,144.32,3022,-4
190069,144.03,3038,-4
190119,143.72,3038,-3
190169,143.96,3027,-3
190219,143.67,3031,-2
190269,143.05,3024,-2
190319,142.70,3022,-2
190369,142.31,3022,-3
190419,142.20,3023,-4
190469,141.85,3030,-4
190519,141.44,3018,-5
190569,141.13,3039,-5
190619,140.70,3024,-5
190669,140.52,3030,-4
190719,140.17,3023,-3
190769,139.75,3027,-3
190819,139.62,3050,-2
190869,139.27,3028,-1
190919,139.53,3026,0
190969,139.23,3030,0
191019,138.54,3038,0
191069,138.25,3046,1
191119,137.92,3025,2
191169,137.65,3031,3
191219,137.29,3027,2
191269,136.89,3026,2
191319,136.62,3056,1
191369,136.38,3041,2
191419,135.88,3033,3
191469,135.53,3034,3
191519,135.13,3041,3
191569,134.79,3024,3
191619,134.63,3031,2
191669,134.84,3039,1
191719,134.50,3039,1
191769,133.98,3035,1
191819,133.58,3022,0
191869,133.31,3021,0
191919,133.02,3047,-1
191969,132.76,3051,-1
192019,132.34,3035,0
192069,132.18,3031,0
192119,131.92,3028,0
192169,131.75,3030,0
192219,131.45,3034,0
192269,131.20,3035,-1
192319,131.00,3028,-1
192369,131.10,3039,-1
192419,131.27,3038,-1
192469,130.97,3031,-1
192519,130.26,3019,-1
192569,129.95,3021,-2
192619,129.56,3012,-4
192669,129.37,3026,-5
192719,129.14,3054,-6
192769,128.85,3058,-5
192819,128.51,3056,-2
192869,128.25,3046,1
192919,127.97,3025,4
192969,127.92,3012,4
193019,127.60,3024,3
193069,127.44,3051,1
193119,127.64,3053,1
193169,128.05,3046,2
193219,127.57,3035,3
193269,127.12,3034,3
193319,126.50,3031,3
193369,126.18,3053,2
193419,126.00,3056,2
193469,125.64,3050,4
193519,125.42,3051,5
193569,125.12,3045,6
193619,124.88,3033,6
193669,124.63,3037,5
193719,124.35,3043,4
193769,124.13,3043,2
193819,123.85,3042,1
193869,123.76,3047,0
193919,124.40,3047,0
193969,124.41,3035,0
194019,123.91,3041,0
194069,123.33,3036,-1
194119,122.61,3039,-2
194169,122.44,3043,-2
194219,122.17,3036,-3
194269,121.88,3055,-3
194319,121.57,3071,-2
194369,121.31,3053,0
194419,121.08,3042,2
194469,120.84,3035,2
194519,120.63,3050,2
194569,120.39,3056,1
194619,120.28,3042,1
194669,120.42,3040,0
194719,120.96,3028,0
194769,120.84,3035,-2
194819,120.24,3035,-4
194869,119.60,3047,-6
194919,119.16,3052,-6
194969,118.96,3050,-6
195019,118.57,3044,-4
195069,118.27,3051,-3
195119,118.04,3056,-1
195169,117.79,3050,0
195219,117.59,3042,0
195269,117.39,3043,1
195319,117.11,3045,0
195369,116.92,3053,0
195419,116.88,3056,0
195469,117.45,3042,0
195519,117.80,3027,0
195569,117.48,3029,-1
195619,116.95,3056,-3
195669,116.37,3054,-4
195719,115.85,3037,-3
195769,115.58,3035,-3
195819,115.22,3040,-4
195869,114.97,3056,-4
195919,114.59,3043,-3
195969,114.38,3031,-2
196019,114.11,3030,-3
196069,113.98,3044,-3
196119,113.78,3051,-4
196169,113.54,3037,-3
196219,113.48,3038,-2
196269,114.30,3040,-2
196319,114.54,3055,-2
196369,114.04,3051,0
196419,113.52,3054,0
196469,112.81,3055,2
196519,112.52,3054,4
196569,112.24,3047,5
196619,111.94,3043,6
196669,111.58,3056,5
196719,111.40,3051,5
196769,111.12,3039,5
196819,111.00,3047,3
196869,110.63,3045,2
196919,110.34,3047,1
196969,110.08,3040,0
197019,110.06,3040,0
197069,110.78,3035,-2
197119,110.84,3049,-3
197169,110.34,3056,-3
197219,109.83,3043,-2
197269,109.18,3031,-2
197319,108.90,3047,-2
197369,108.62,3056,-2
197419,108.43,3051,-1
197469,108.07,3057,0
197519,107.79,3056,1
197569,107.61,3040,2
197619,107.40,3045,3
197669,107.29,3051,2
197719,106.98,3039,2
197769,106.92,3043,1
197819,107.49,3055,0
197869,108.01,3051,0
197919,107.71,3043,0
197969,107.19,3040,0
198019,106.69,3040,0
198069,106.16,3057,-1
198119,105.89,3056,-1
198169,105.61,3041,0
198219,105.18,3040,0
198269,104.95,3054,0
198319,104.64,3049,0
198369,104.51,3040,0
198419,104.24,3051,0
198469,104.09,3051,0
198519,104.49,3053,0
198569,105.23,3038,0
198619,105.27,3038,0
198669,104.86,3047,0
198719,104.48,3090,0
198769,103.92,3127,3
198819,103.54,3153,11
198869,103.22,3120,21
198919,102.67,3055,29
198969,102.25,3035,31
199019,101.95,3024,26
199069,101.77,3024,17
199119,101.50,3025,6
