Time,Pressure,PPGSignal,rawPPGSignal,BaselineBeat,Osc_Amp,Osc_SBP,MAP,Osc_DBP,Est_DBP,EnsembleSystolic,BL_W25_T2.0_D10,BL_W25_T2.2_D10,BL_W25_T2.4_D10,BL_W25_T2.6_D10,BL_W25_T3.0_D10,BL_W30_T2.0_D10,BL_W30_T2.2_D10,BL_W30_T2.4_D10,BL_W30_T2.6_D10,BL_W30_T3.0_D10,BL_W35_T2.0_D10,BL_W35_T2.2_D10,BL_W35_T2.4_D10,BL_W35_T2.6_D10,BL_W35_T3.0_D10,BL_W40_T2.0_D10,BL_W40_T2.2_D10,BL_W40_T2.4_D10,BL_W40_T2.6_D10,BL_W40_T3.0_D10
14828,-0.24,192,2979,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14863,-0.20,781,3014,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14899,-0.23,1521,3015,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14935,-0.21,2061,3007,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14971,-0.22,2306,2991,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,-0.14,2301,2963,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15043,-0.14,2134,2976,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15079,-0.18,1893,2990,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15115,-0.21,1641,3009,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15151,-0.15,1408,3002,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15187,-0.18,1201,2999,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15223,-0.16,1019,2999,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15259,-0.13,864,3121,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15295,-0.21,756,3356,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15331,-0.15,700,3401,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15367,-0.18,652,3219,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15403,-0.19,552,3047,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15439,-0.17,386,2954,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15475,-0.22,189,2937,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15511,-0.13,3,2943,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15547,-0.20,-142,2991,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15583,-0.21,-241,3025,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15619,-0.29,-299,3051,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15655,-0.23,-336,3031,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15691,-0.19,-371,2992,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15727,-0.11,-415,2965,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15763,-0.13,-467,2967,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15799,-0.18,-516,2987,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15835,-0.22,-553,3009,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15871,-0.28,-574,3031,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15907,-0.22,-584,3043,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15943,-0.14,-590,3011,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15979,-0.20,-602,2963,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16015,-0.20,-624,2974,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16051,-0.23,-631,3205,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16087,-0.15,-587,3414,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16123,-0.28,-500,3355,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16159,-0.22,-432,3151,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16195,-0.21,-436,3002,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16231,-0.15,-504,2957,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16267,-0.17,-593,2966,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16303,-0.17,-661,2986,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16339,-0.18,-693,3011,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16375,-0.13,-688,3069,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16411,-0.24,-655,3088,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16447,-0.22,-610,3056,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16483,-0.17,-576,3011,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16519,-0.20,-560,2970,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16555,-0.27,-562,2940,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16591,-0.24,-569,2959,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16627,-0.19,-566,3001,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16663,-0.27,-544,3035,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16699,-0.20,-507,3042,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16735,-0.15,-466,3021,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16771,-0.13,-434,3010,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16807,-0.15,-400,3163,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16843,-0.09,-337,3394,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16879,-0.16,-238,3389,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16915,-0.23,-151,3197,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16951,-0.12,-130,3033,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,-0.17,-178,2966,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17023,-0.20,-256,2962,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17059,-0.19,-321,2991,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,-0.16,-353,3012,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17131,-0.12,-348,3050,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,-0.19,-318,3060,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17203,-0.18,-279,3039,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17239,-0.18,-246,3002,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17275,-0.13,-230,2965,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17311,-0.17,-226,2967,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17347,-0.17,-226,2960,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17383,-0.19,-223,2971,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17419,-0.19,-210,3006,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17455,-0.29,-186,3021,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17491,-0.12,-155,3030,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17527,-0.18,-125,3023,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17563,-0.20,-100,3042,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17599,0.04,-63,3280,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17635,3.21,14,3489,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17671,2.80,118,3351,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17707,4.13,180,3136,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17743,4.26,161,3022,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17779,10.12,84,3018,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17815,10.79,0,3024,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17851,9.90,-63,3014,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17887,10.04,-96,3026,0,0.00,98,102,74,101.98,102.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
