Time,Pressure,rawPPGSignal,PPGSignal
52471,25.03,3095,63
52520,23.45,3351,287
52569,21.96,3305,644
52618,20.67,3086,1026
52667,19.46,3006,1353
52716,18.56,3011,1585
52765,17.48,3039,1718
52814,16.53,3061,1757
52863,15.83,3059,1719
52912,15.02,3023,1619
52961,14.30,3003,1470
53010,13.62,3001,1288
53059,13.03,3015,1089
53108,12.50,3026,886
53157,11.94,3047,688
53206,11.58,3024,502
53255,11.07,3141,334
53304,10.68,3403,192
53353,10.18,3283,83
53401,9.74,3088,-8
53450,9.27,3031,-99
53499,8.86,3013,-193
53548,8.52,3040,-285
53597,8.05,3068,-371
53646,7.69,3038,-445
53695,7.24,3019,-508
53744,6.83,3014,-562
53793,6.41,2992,-607
53842,6.03,2992,-644
53891,5.72,3005,-672
53940,5.24,3014,-691
53989,4.94,3024,-700
54038,4.52,3019,-701
54087,4.19,3046,-696
54136,4.05,3348,-678
54185,3.85,3418,-638
54234,3.59,3193,-585
54283,3.40,3071,-539
54332,3.36,3041,-512
54381,2.95,3003,-501
54430,2.89,3027,-501
54479,2.48,3066,-505
54528,2.28,3056,-505
54577,2.01,2992,-503
54626,1.56,2969,-501
54675,0.74,2975,-497
54724,0.71,2995,-491
54773,0.67,3003,-479
54822,0.79,3017,-461
54871,0.68,3015,-438
54920,0.74,3004,-412
54969,0.68,2995,-385
55018,0.68,3024,-357
55067,0.68,3354,-321
55116,0.65,3427,-267
55165,0.59,3179,-201
55214,0.61,3030,-148
55263,0.55,2995,-118
55312,0.49,2992,-109
55361,0.43,3047,-111
55410,0.47,3082,-115
55459,0.46,3056,-117
55508,0.37,2996,-118
55557,0.47,2981,-121
55606,0.40,2978,-124
55655,0.39,2995,-126
55704,0.41,3006,-125
55753,0.33,3019,-119
55802,0.39,3021,-110
55851,0.29,2998,-97
55900,0.34,3108,-82
55949,0.30,3383,-57
55998,0.30,3281,-15
56047,0.31,3071,27
56096,0.29,2978,53
56145,0.23,2977,58
56194,0.14,3013,50
56243,0.26,3062,37
56292,0.10,3051,26
56341,0.15,3003,16
56390,0.15,2984,6
56439,0.12,2969,-3
56488,0.14,3005,-13
56537,0.07,3002,-19
56586,0.10,2990,-22
56635,0.17,2999,-22
56684,0.11,3205,-16
56733,0.09,3395,5
56782,0.06,3231,43
56831,0.10,3022,78
56880,0.05,2986,93
56929,0.04,2989,90
56978,0.10,3038,76
57027,0.07,3066,59
57076,0.04,3043,45
57125,0.10,3007,32
57174,0.13,2970,18
57223,0.13,3002,4
57272,0.10,3027,-7
57321,-0.00,2992,-14
57370,0.03,2992,-19
57419,0.02,3030,-21
57468,0.08,3327,-14
57517,0.10,3376,11
57566,-0.02,3167,49
57615,0.05,3031,77
57664,-0.06,3024,87
57713,-0.00,3009,80
57762,-0.01,3012,64
