Time,Pressure,rawPPGSignal,PPGSignal
83009,26.17,3103,60
83058,24.73,2300,254
83107,23.72,2352,532
83156,22.72,2797,820
83205,21.71,3033,1096
83254,20.72,2871,1341
83303,19.86,2643,1522
83352,19.04,2559,1617
83401,18.25,2593,1629
83450,17.54,2655,1576
83499,16.72,2734,1478
83548,16.10,2688,1352
83597,15.41,2766,1208
83646,14.95,2720,1056
83695,14.61,3092,909
83744,14.19,4095,801
83793,13.71,4095,761
83842,13.17,4095,772
83891,12.72,2378,765
83940,12.28,336,628
83989,11.88,1920,337
84038,11.52,3453,30
84087,11.32,3663,-164
84136,10.79,3056,-253
84185,10.57,2697,-301
84234,10.16,2722,-349
84282,9.87,2861,-399
84331,9.53,2915,-442
84380,9.33,2838,-474
84429,9.06,3232,-493
84478,8.82,4095,-473
84527,8.52,4095,-394
84576,8.37,3663,-283
84625,8.14,2055,-216
84674,8.36,2191,-255
84723,8.87,3042,-364
84772,9.21,3521,-459
84821,9.53,3259,-506
84870,9.58,2958,-528
84919,9.48,2808,-553
84968,9.51,2746,-589
85017,9.30,2745,-634
85066,9.03,2907,-675
85115,9.05,2889,-702
85164,8.80,3057,-710
85213,8.31,4095,-677
85262,7.71,4095,-577
85311,6.75,4095,-428
85360,5.88,2669,-293
85409,5.15,351,-283
85458,4.63,1696,-438
85507,4.18,3061,-638
85556,3.69,3346,-754
85605,3.03,2894,-775
85654,2.32,2654,-751
85703,1.30,2608,-717
85752,1.27,2613,-684
85801,1.29,2559,-651
85850,1.17,2672,-617
85899,0.93,3011,-572
85948,0.95,4095,-485
85997,0.82,4095,-329
86046,0.70,4095,-128
86095,0.68,2725,52
86144,0.44,409,101
86193,0.47,1584,-25
86242,0.47,2815,-217
86291,0.39,2989,-350
86340,0.42,2640,-406
86389,0.34,2457,-422
86438,0.26,2474,-423
86487,0.20,2559,-412
86536,0.21,2678,-386
86585,0.16,2725,-342
86634,0.21,2714,-286
86683,0.21,3501,-208
86732,0.19,4095,-83
86781,0.06,4095,96
86830,0.14,3031,279
86879,0.18,2399,388
86928,0.23,2559,398
86977,0.25,3030,350
87026,0.26,3114,293
87075,0.06,2775,241
87124,0.11,2499,179
87173,0.01,2553,101
87222,0.19,2742,21
87271,0.07,2819,-40
87320,0.17,2894,-77
87369,0.11,4095,-65
87418,-0.06,4095,21
87467,-0.02,4095,166
