Time,Pressure,PPGSignal,rawPPGSignal,BaselineBeat,Osc_Amp,Osc_SBP,MAP,Osc_DBP,Est_DBP,EnsembleSystolic,BL_W25_T2.0_D10,BL_W25_T2.2_D10,BL_W25_T2.4_D10,BL_W25_T2.6_D10,BL_W25_T3.0_D10,BL_W30_T2.0_D10,BL_W30_T2.2_D10,BL_W30_T2.4_D10,BL_W30_T2.6_D10,BL_W30_T3.0_D10,BL_W35_T2.0_D10,BL_W35_T2.2_D10,BL_W35_T2.4_D10,BL_W35_T2.6_D10,BL_W35_T3.0_D10,BL_W40_T2.0_D10,BL_W40_T2.2_D10,BL_W40_T2.4_D10,BL_W40_T2.6_D10,BL_W40_T3.0_D10
14828,-0.30,194,3020,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14863,-0.26,800,3184,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14899,-0.21,1559,2916,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14935,-0.22,2065,2614,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14971,-0.30,2202,2428,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,-0.14,2054,2409,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15043,-0.19,1778,2543,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15079,-0.15,1508,2691,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15115,-0.19,1301,2717,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15151,-0.18,1146,2691,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15187,-0.19,1010,2657,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15223,-0.18,874,2623,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15259,-0.19,731,2591,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15295,-0.23,589,2624,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15331,-0.15,461,2650,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15367,-0.19,352,2631,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15403,-0.17,274,2962,0,0.00,109,105,84,101.55,111.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
