Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.23,2798,180
14863,-0.13,2901,738
14899,-0.20,2884,1446
14935,-0.09,2820,1963
14971,-0.09,2814,2191
15007,-0.08,2947,2187
15043,-0.12,3841,2109
15079,-0.17,4095,2104
15115,-0.19,4095,2155
15151,-0.13,3438,2119
15187,-0.14,2804,1866
15223,-0.18,2608,1405
15259,-0.09,2709,889
15295,-0.09,3001,482
15331,-0.08,3152,257
15367,-0.11,3094,175
15403,-0.17,2944,136
15439,-0.19,2828,69
15475,-0.21,2790,-40
15511,-0.20,2800,-167
15547,-0.21,2863,-278
15583,-0.19,2867,-357
15619,-0.13,2844,-410
15655,-0.11,2903,-448
15691,-0.15,3491,-436
15727,-0.18,4095,-300
15763,-0.23,4095,-54
15799,-0.22,4095,178
15835,-0.22,3006,241
15871,-0.17,2678,34
15907,-0.16,2693,-346
15943,-0.31,2925,-696
15979,-0.20,3135,-888
16015,-0.29,3165,-916
16051,-0.21,3031,-861
16087,-0.28,2895,-812
16123,-0.27,2827,-807
16159,-0.26,2815,-834
16195,-0.28,2853,-863
16231,-0.34,2893,-870
16267,-0.17,2883,-852
16303,-0.25,2863,-821
16339,-0.16,3043,-777
16375,-0.25,4095,-643
16411,-0.29,4095,-362
16447,-0.25,4095,-41
16483,-0.25,3515,151
16519,-0.20,2821,107
16555,-0.28,2635,-164
16591,-0.32,2825,-503
16627,-0.26,3169,-728
16663,-0.28,3280,-769
16699,-0.23,3169,-688
16735,-0.22,2975,-595
16771,-0.32,2831,-558
16807,-0.21,2786,-579
16843,-0.30,2832,-619
16879,-0.32,2891,-636
16915,-0.28,2875,-618
16951,-0.27,2882,-579
16987,-0.16,2992,-524
17023,-0.25,3888,-396
17059,-0.28,4095,-135
17095,-0.19,4095,185
17131,-0.25,4087,439
17167,-0.20,2997,508
17203,-0.26,2669,310
17239,-0.25,2786,-44
17275,-0.20,3117,-339
17311,-0.25,3344,-453
17347,-0.28,3283,-408
17383,-0.24,3041,-317
17419,-0.19,2860,-276
17455,-0.22,2752,-306
17491,-0.22,2769,-372
17527,-0.23,2851,-422
17563,-0.22,2893,-427
17599,-0.18,2871,-392
17635,-0.14,2854,-344
17671,-0.15,2999,-289
17707,-0.12,4095,-151
17743,-0.19,4095,132
