Time,Pressure,rawPPGSignal,PPGSignal
94722,25.55,4095,79
94771,23.95,4095,354
94820,22.58,3722,782
94869,21.29,3325,1225
94918,20.16,3061,1591
94967,18.81,2977,1838
95016,17.76,2992,1964
95065,16.72,2944,1986
95114,15.78,2821,1920
95163,14.87,2703,1784
95212,14.04,2731,1595
95261,13.06,2820,1379
95310,12.11,2765,1157
95359,11.01,2667,938
95408,10.05,2671,725
95456,8.90,2907,530
95505,7.83,3995,386
95554,7.39,4095,327
95603,6.78,3947,335
95652,5.62,3646,364
95701,4.27,3472,374
95750,4.05,3221,344
95799,3.81,3143,270
95848,3.63,3101,160
95897,3.31,3015,27
95946,3.04,2901,-117
95995,2.80,2819,-268
96044,2.51,2815,-416
96093,2.19,2830,-552
96142,1.86,2775,-668
96191,1.61,2749,-764
96240,1.41,2683,-842
96289,1.32,2721,-901
96338,1.20,3425,-928
96387,1.18,4095,-891
96436,1.05,4095,-778
96485,0.95,3771,-624
96534,0.97,3439,-483
96583,0.87,3211,-388
96632,0.86,3183,-347
96681,0.71,3219,-348
96730,0.62,3088,-378
96779,0.69,2982,-427
96828,0.59,2902,-492
96877,0.55,2832,-565
96926,0.51,2832,-639
96975,0.45,2834,-704
97024,0.40,2841,-754
97073,0.39,2755,-789
97122,0.43,2867,-807
97171,0.39,3981,-787
97220,0.29,4095,-693
97269,0.36,4095,-538
97318,0.22,3774,-364
97367,0.30,3517,-215
97416,0.24,3362,-115
97465,0.22,3267,-68
97514,0.29,3185,-66
97563,0.23,3058,-99
97612,0.16,2894,-160
97661,0.19,2753,-241
97710,0.19,2702,-336
97759,0.21,2626,-432
97808,0.07,2629,-520
97857,0.12,2669,-591
97906,0.13,2704,-639
97955,0.19,2787,-659
98004,0.17,3711,-634
98053,0.18,4095,-535
98102,0.17,4095,-367
98151,0.08,4095,-166
98200,0.11,3792,27
98249,0.14,3450,178
98298,0.11,3309,265
98347,0.13,3255,289
98396,0.18,3133,264
98445,0.10,2930,202
98494,0.12,2852,111
98543,0.11,2835,5
98592,0.05,2836,-101
98641,0.04,2802,-196
98690,0.04,2743,-276
98739,0.16,2717,-339
98788,0.07,2658,-385
98837,0.07,3181,-407
98886,0.06,4095,-371
98935,0.12,4095,-257
98984,0.05,4095,-89
99033,0.00,3850,89
99082,0.11,3535,238
99131,0.02,3405,333
99180,-0.00,3493,374
99229,0.04,3383,376
99278,-0.05,3087,343
99327,0.01,2929,273
99376,0.06,2925,176
99425,0.01,2974,69
99474,-0.03,2910,-31
99523,0.11,2863,-120
99572,0.04,2857,-195
99621,-0.02,2960,-251
99670,-0.01,4023,-264
99719,-0.02,4095,-203
99768,0.02,4095,-80
99817,0.07,4095,66
99866,0.03,4095,212
99915,-0.03,4095,340
99964,0.03,3810,435
100013,-0.02,3662,483
100062,-0.03,3481,479
100111,-0.01,3311,428
100160,0.01,3071,337
100209,-0.03,2960,212
100258,-0.07,2911,71
100307,-0.07,2906,-71
100356,-0.10,2887,-200
100405,-0.02,2822,-309
100454,-0.10,2760,-396
100503,-0.01,3376,-450
100552,-0.04,4095,-439
100601,-0.06,4095,-348
100650,-0.01,4095,-204
100699,-0.04,4095,-42
100748,-0.03,4095,112
100797,0.00,4095,246
100846,-0.15,3873,345
100895,-0.02,3566,397
100944,-0.02,3338,391
100993,-0.01,3120,330
101042,0.05,2910,222
101091,-0.01,2806,82
101140,-0.04,2763,-71
101189,-0.02,2822,-219
101238,-0.04,2794,-346
101287,-0.00,2752,-444
101336,0.03,2705,-516
101385,-0.05,3357,-550
101434,-0.01,4095,-516
101483,-0.07,4095,-399
101532,-0.08,4095,-229
101581,-0.02,3663,-53
101630,-0.04,3289,85
101679,-0.13,3216,161
101728,-0.09,3241,182
101777,-0.04,3117,165
101826,-0.03,2970,119
101875,-0.04,2795,49
101924,-0.09,2637,-40
101973,-0.06,2619,-141
102022,0.00,2624,-239
102071,-0.01,2602,-325
102120,-0.02,2559,-391
102169,-0.02,2518,-439
102218,-0.02,2499,-470
102267,-0.06,3131,-471
102316,-0.09,4095,-408
102365,-0.01,4095,-259
102414,-0.10,3638,-65
102463,-0.02,3198,111
102512,-0.08,3037,229
102561,-0.04,3109,287
102610,0.01,3152,301
102659,0.01,3031,288
102708,-0.06,2834,252
102757,-0.07,2691,191
102806,0.03,2658,112
102855,-0.04,2640,26
102904,-0.04,2649,-55
102953,-0.11,2645,-124
103002,-0.10,2608,-177
103051,-0.05,3015,-207
103100,-0.15,4095,-182
103149,-0.07,4095,-75
103198,-0.14,4095,90
103247,-0.10,3431,259
103296,-0.06,3156,380
103345,-0.11,3044,431
103394,-0.07,3058,424
103443,-0.13,2995,377
103492,-0.12,2846,305
103541,-0.16,2714,213
103590,-0.14,2655,109
103639,-0.12,2602,3
103688,-0.09,2611,-95
103737,-0.08,2613,-180
103786,-0.04,2543,-246
103835,-0.11,2813,-289
103884,-0.08,4095,-278
103933,-0.10,4095,-179
103982,-0.06,4095,-12
104031,-0.07,3535,165
104080,-0.10,3339,304
104129,-0.08,3184,381
104178,-0.13,3159,401
104227,-0.07,3095,377
104276,-0.15,2869,319
104325,-0.10,2627,231
104374,-0.10,2526,116
104423,-0.12,2538,-11
104472,-0.06,2649,-131
104521,-0.18,2735,-228
104570,-0.03,2610,-295
104619,-0.12,2486,-342
104668,-0.15,3323,-359
104717,-0.14,4095,-309
104766,-0.16,4095,-177
104815,-0.11,4062,5
104864,-0.11,3462,184
104913,-0.10,3195,312
104962,-0.16,3319,374
105011,-0.10,3321,388
105060,-0.18,3099,367
105109,-0.12,2885,312
105158,-0.13,2812,226
105207,-0.07,2821,122
105256,-0.14,2786,16
105305,-0.11,2752,-81
105354,-0.16,2707,-167
105403,-0.10,2658,-239
105452,-0.07,3162,-286
105501,-0.11,4095,-274
105550,-0.08,4095,-182
105599,-0.18,4095,-33
105648,-0.08,3823,127
105697,-0.11,3445,259
105746,-0.10,3312,335
105795,-0.12,3242,353
105844,-0.15,3127,325
105893,-0.16,2960,260
105942,-0.12,2850,168
105991,-0.10,2719,57
106040,-0.17,2705,-60
106089,-0.19,2735,-172
106138,-0.19,2679,-267
106187,-0.18,2640,-344
106236,-0.15,2605,-402
106285,-0.08,3275,-429
106334,-0.16,4095,-391
106383,-0.12,4095,-270
106432,-0.14,3888,-100
106481,-0.15,3370,62
106530,-0.14,3122,175
106579,-0.17,3091,224
106628,-0.13,3105,223
106677,-0.15,2992,189
106726,-0.12,2793,130
106775,-0.13,2650,48
106824,-0.06,2613,-47
106873,-0.14,2637,-145
106922,-0.10,2646,-233
106971,-0.14,2610,-302
107020,-0.17,2590,-353
107069,-0.16,2523,-387
107118,-0.17,3120,-396
107167,-0.11,4095,-344
107216,-0.17,4095,-210
107265,-0.20,3515,-33
107314,-0.09,3070,120
107363,-0.17,2907,211
107412,-0.09,3027,242
107461,-0.16,3001,234
107510,-0.14,2848,200
107559,-0.18,2668,145
107608,-0.22,2677,71
107657,-0.12,2725,-6
107706,-0.22,2783,-76
107755,-0.17,2769,-129
107804,-0.19,2645,-167
107853,-0.17,2655,-196
107902,-0.18,4089,-188
107951,-0.24,4095,-102
108000,-0.15,4095,49
108049,-0.21,3738,216
108098,-0.20,3221,349
108147,-0.17,3053,415
108196,-0.16,3152,417
108245,-0.16,3071,377
108294,-0.11,2837,307
108343,-0.17,2720,213
108392,-0.13,2629,101
108441,-0.11,2559,-16
108490,-0.17,2515,-131
108539,-0.12,2453,-234
108588,-0.13,2380,-323
108637,-0.05,2750,-388
108686,-0.20,4095,-390
108735,-0.15,4095,-292
108784,-0.13,4095,-118
108833,-0.10,3649,73
108882,-0.14,3313,232
108931,-0.18,3157,327
108980,-0.17,3184,361
109029,-0.16,3071,347
109078,-0.14,2909,298
109127,-0.10,2782,220
109176,-0.14,2703,121
109225,-0.19,2624,13
109274,-0.14,2608,-94
109323,-0.13,2553,-192
109372,-0.16,2555,-275
109421,-0.14,2623,-339
109470,-0.19,3747,-356
109519,-0.17,4095,-290
109568,-0.10,4095,-145
109617,-0.17,4095,38
109666,-0.13,3728,217
109715,-0.19,3406,353
109764,-0.21,3313,424
109813,-0.21,3299,436
109862,-0.20,3157,403
109911,-0.23,2928,334
109960,-0.08,2758,233
110009,-0.16,2675,109
110058,-0.21,2672,-22
110107,-0.20,2719,-146
110156,-0.15,2667,-250
110205,-0.16,2653,-331
110254,-0.15,3730,-369
110303,-0.18,4095,-325
110352,-0.23,4095,-202
110401,-0.23,4095,-36
110450,-0.23,4002,133
110499,-0.12,3626,277
110548,-0.21,3503,367
110597,-0.18,3440,401
110646,-0.22,3208,385
110695,-0.17,2914,321
