Time,Pressure,rawPPGSignal,PPGSignal
176258,26.78,2003,47
176307,25.31,2091,207
176356,24.16,2137,450
176405,22.91,2126,696
176454,21.46,2089,892
176503,20.45,1991,1011
176552,19.32,2001,1047
176601,18.20,2069,1010
176650,17.48,2033,921
176699,16.65,2139,798
176748,15.90,2407,664
176797,15.12,2672,547
176846,14.47,2628,455
176895,13.80,2345,370
176944,12.98,2263,269
176993,12.31,2333,151
177042,11.59,2413,33
177091,10.77,2353,-74
177139,9.77,2335,-171
177188,8.90,2311,-257
177237,3.29,2320,-332
177286,2.60,2349,-392
177335,2.48,2397,-436
177384,2.50,2403,-462
177433,2.35,2451,-472
177482,2.31,2867,-460
177531,2.23,3124,-411
177580,2.20,2976,-330
177629,2.10,2702,-253
177678,2.02,2512,-211
177727,1.99,2544,-211
177776,1.96,2625,-236
177825,1.79,2685,-264
177874,1.74,2626,-288
177923,1.73,2559,-307
177972,1.67,2597,-325
178021,1.54,2608,-337
178070,1.51,2595,-340
178119,1.47,2766,-332
178168,1.28,3210,-299
178217,1.35,3362,-226
178266,1.22,3082,-131
178315,1.15,2795,-54
178364,1.09,2725,-22
178413,1.05,2823,-27
178462,0.92,2939,-46
178511,0.91,2899,-64
178560,0.95,2789,-82
178609,0.79,2711,-104
178658,0.78,2723,-133
178707,0.77,2691,-160
178756,0.60,2910,-179
178805,0.54,3391,-167
178854,0.51,3329,-112
178903,0.49,2913,-45
178952,0.59,2668,-7
179001,0.45,2623,-13
179050,0.41,2742,-48
179099,0.33,2686,-88
179148,0.34,2610,-126
179197,0.31,2448,-164
179246,0.29,2551,-202
179295,0.25,2494,-230
179344,0.26,2559,-244
179393,0.26,3107,-229
179442,0.26,3477,-161
179491,0.39,3195,-48
179540,0.48,2930,61
179589,0.48,2683,128
179638,0.46,2789,145
179687,0.49,2928,135
179736,0.30,2907,118
179785,0.11,2781,98
179834,0.03,2695,70
179883,0.04,2646,31
179932,0.06,2659,-10
179981,0.16,3666,-25
180030,0.06,4095,34
180079,0.19,3893,162
180128,0.11,3095,286
180177,0.09,2775,333
180226,0.04,2883,296
180275,0.13,3090,216
180324,0.08,3050,133
180373,0.07,2868,55
180422,0.00,2737,-23
180471,-0.03,2725,-102
180520,0.04,2831,-171
180569,0.09,3520,-201
180618,-0.00,4095,-156
180667,0.00,4095,-34
180716,0.02,3325,105
180765,-0.03,2902,183
180814,0.04,2863,175
180863,-0.02,3012,110
180912,-0.08,3031,29
180961,-0.04,2942,-47
181010,-0.01,2789,-119
181059,0.00,2759,-186
181108,-0.06,2765,-244
181157,-0.05,3157,-277
181206,-0.08,4095,-246
181255,-0.06,4095,-130
181304,-0.01,3440,21
181353,0.05,2926,126
181402,-0.05,2816,145
181451,-0.12,3031,102
181500,-0.03,3152,41
181549,-0.19,3008,-13
181598,-0.18,2879,-64
181647,-0.09,2711,-118
181696,0.00,2756,-175
181745,-0.05,2832,-221
181794,-0.09,3479,-231
181843,-0.11,4095,-170
181892,-0.05,4095,-34
181941,-0.05,3369,118
181990,-0.07,2903,211
182039,-0.10,2959,217
182088,-0.10,3190,171
182137,-0.10,3171,112
182186,-0.20,2973,54
182235,-0.25,2783,-11
182284,-0.12,2800,-84
182333,-0.11,2781,-152
182382,-0.06,2765,-207
182431,-0.10,3089,-237
182480,-0.10,4095,-206
182529,-0.15,4095,-89
182578,-0.06,3879,74
