Time,Pressure,PPGSignal,rawPPGSignal,BaselineBeat,Osc_Amp,Osc_SBP,MAP,Osc_DBP,Est_DBP,EnsembleSystolic,BL_W25_T2.0_D10,BL_W25_T2.2_D10,BL_W25_T2.4_D10,BL_W25_T2.6_D10,BL_W25_T3.0_D10,BL_W30_T2.0_D10,BL_W30_T2.2_D10,BL_W30_T2.4_D10,BL_W30_T2.6_D10,BL_W30_T3.0_D10,BL_W35_T2.0_D10,BL_W35_T2.2_D10,BL_W35_T2.4_D10,BL_W35_T2.6_D10,BL_W35_T3.0_D10,BL_W40_T2.0_D10,BL_W40_T2.2_D10,BL_W40_T2.4_D10,BL_W40_T2.6_D10,BL_W40_T3.0_D10
14828,-0.26,171,2659,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14863,-0.18,695,2659,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14899,-0.20,1348,2635,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14935,-0.18,1823,2726,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14971,-0.15,2119,3781,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,-0.14,2364,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15043,-0.19,2560,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15079,-0.19,2625,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15115,-0.14,2545,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15151,-0.21,2355,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15187,-0.21,2031,2953,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15223,-0.24,1363,276,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15259,-0.14,310,585,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15295,-0.19,-643,2037,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15331,-0.19,-1000,3177,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15367,-0.17,-761,3507,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15403,-0.27,-279,3102,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15439,-0.22,78,2674,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15475,-0.23,163,2437,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15511,-0.18,35,2403,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15547,-0.26,-168,2495,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15583,-0.19,-340,2609,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15619,-0.16,-435,2682,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15655,-0.15,-463,2688,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15691,-0.09,-462,2667,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15727,-0.18,-460,2662,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15763,-0.17,-465,2682,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15799,-0.20,-476,2688,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15835,-0.10,-491,2645,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15871,-0.14,-515,2622,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15907,-0.22,-544,2615,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15943,-0.20,-565,2730,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15979,-0.18,-485,3920,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16015,-0.16,-222,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16051,-0.23,121,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16087,-0.16,388,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16123,-0.33,522,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16159,-0.26,538,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16195,-0.18,401,2938,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16231,-0.16,-102,225,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16267,-0.19,-1007,614,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16303,-0.14,-1809,2163,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16339,-0.30,-2002,3344,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16375,-0.24,-1599,3622,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16411,-0.14,-985,3081,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16447,-0.17,-540,2619,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16483,-0.12,-398,2384,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16519,-0.11,-469,2385,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16555,-0.13,-604,2493,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16591,-0.10,-692,2611,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16627,-0.12,-700,2667,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16663,-0.28,-649,2658,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16699,-0.22,-580,2615,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16735,-0.20,-520,2623,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16771,-0.26,-471,2659,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16807,-0.21,-428,2649,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16843,-0.10,-394,2608,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16879,-0.15,-374,2559,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16915,-0.15,-367,2559,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16951,-0.25,-347,2800,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,-0.17,-206,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17023,-0.15,125,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17059,-0.22,510,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17095,-0.21,787,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17131,-0.24,919,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,-0.20,932,4095,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17203,-0.18,787,2815,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17239,-0.22,270,231,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17275,-0.21,-636,598,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17311,-0.17,-1432,2081,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17347,-0.19,-1634,3140,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17383,-0.14,-1267,3346,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17419,-0.24,-694,2972,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17455,-0.18,-255,2589,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17491,-0.28,-78,2383,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17527,-0.14,-100,2400,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17563,-0.18,-192,2489,0,0.00,133,107,105,98.39,124.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
