Time,Pressure,rawPPGSignal,PPGSignal
383279,26.89,2422,41
383320,25.76,2471,188
383361,24.51,2432,430
383402,23.69,2333,707
383443,22.88,2315,973
383484,22.09,2851,1212
383525,21.21,4095,1446
383566,20.50,4095,1703
383607,19.81,4095,1964
383648,19.08,4095,2196
383689,18.44,4095,2378
383730,17.77,4095,2501
383771,17.14,2055,2530
383812,16.56,1325,2401
383853,15.95,2202,2127
383894,15.53,2863,1803
383935,14.83,2827,1503
383976,14.29,2499,1238
384017,13.91,2256,993
384058,13.27,2226,760
384099,12.80,2333,544
384140,12.35,2390,357
384181,12.01,2417,202
384222,11.50,2391,79
384263,11.10,2311,-19
384304,10.68,2295,-101
384345,10.46,2339,-170
384386,9.94,2374,-225
384427,9.65,2402,-267
384468,9.32,2377,-298
384509,9.07,2352,-323
384550,8.90,2388,-343
384591,8.55,3111,-349
384632,8.32,4095,-303
384673,8.03,4095,-186
384714,7.71,4095,-20
384755,7.55,4095,159
384796,7.21,4095,327
384837,6.97,2796,447
384878,6.75,1292,451
384919,6.58,1729,310
384960,6.35,2633,91
385001,6.11,2927,-117
385042,5.95,2704,-282
385083,5.81,2352,-417
385124,5.69,2172,-542
385165,5.42,2160,-663
385206,5.19,2239,-773
385247,5.16,2330,-862
385288,4.98,2370,-925
385329,4.76,2356,-962
385370,4.57,2327,-978
385411,4.54,2331,-980
385452,4.40,2383,-970
385493,4.22,2413,-949
385534,4.16,2405,-920
385575,4.04,2396,-886
385616,4.00,2369,-851
385657,3.86,2582,-814
385698,3.80,4095,-745
385739,3.77,4095,-605
385780,3.68,4095,-406
385821,3.64,4095,-187
385862,3.50,4095,24
385903,3.43,4095,210
385944,3.36,1936,326
385985,3.31,1398,300
386026,3.13,2160,144
386067,3.09,2850,-54
386108,2.89,2891,-226
386149,2.85,2541,-359
386190,2.77,2240,-474
386231,2.77,2115,-585
386272,2.66,2198,-692
386313,2.59,2349,-781
386354,2.47,2418,-842
386395,2.49,2407,-873
386436,2.46,2531,-877
386477,2.35,2510,-858
386518,2.24,2480,-822
386559,2.31,2446,-777
386600,2.26,2418,-732
386641,2.25,2416,-688
386682,2.24,2375,-648
386723,2.20,2439,-612
386764,2.22,3245,-565
386805,2.20,4095,-469
386846,2.16,4095,-306
386887,2.23,4095,-101
386928,2.14,4095,113
386969,2.00,2962,294
387010,1.92,1461,373
387051,1.89,1821,314
387092,1.81,2714,174
387133,1.69,3170,39
387174,1.57,2945,-53
387215,1.53,2509,-121
387256,1.47,2276,-189
387297,1.45,2303,-266
387338,1.41,2386,-343
387379,1.42,2476,-408
387420,1.29,2523,-452
387461,1.26,2506,-475
387502,1.24,2480,-482
387543,1.22,2457,-477
387584,1.09,2403,-465
387625,1.14,2385,-452
387666,1.10,2457,-436
387707,1.19,2930,-408
387748,1.13,4095,-336
387789,1.10,4095,-193
387830,1.09,4095,2
387871,1.05,4095,214
387912,0.98,4095,417
387953,1.02,2739,571
387994,0.97,1373,610
388035,0.96,1777,507
388076,0.85,2597,327
388117,0.80,2960,153
388158,0.79,2800,22
388199,0.81,2451,-76
388240,0.75,2235,-164
388281,0.74,2225,-252
388322,0.68,2308,-333
388363,0.76,2398,-397
388404,0.62,2416,-438
388445,0.65,2432,-458
388486,0.67,2448,-459
388527,0.69,2394,-446
388568,0.66,2334,-427
388609,0.65,2330,-405
388650,0.54,2519,-381
388691,0.58,4095,-321
388732,0.64,4095,-185
388773,0.61,4095,13
388814,0.59,4095,235
388855,0.61,4095,451
388896,0.49,4095,643
388937,0.61,1713,760
388978,0.43,1279,728
389019,0.54,2164,562
389060,0.52,2947,360
389101,0.53,3011,195
389142,0.44,2703,76
389183,0.45,2401,-17
389224,0.38,2295,-106
389265,0.45,2313,-191
389306,0.47,2385,-266
389347,0.46,2480,-323
389388,0.43,2529,-357
389429,0.37,2554,-368
389470,0.43,2468,-362
389511,0.36,2386,-348
389552,0.40,2339,-334
389593,0.38,2402,-321
389634,0.35,3280,-292
389675,0.41,4095,-209
389716,0.37,4095,-55
389757,0.43,4095,143
389798,0.41,4095,353
389839,0.32,4095,550
389880,0.33,1555,676
389921,0.34,1391,654
389962,0.31,2352,506
390003,0.29,3061,333
390044,0.32,3089,198
390085,0.26,2700,104
390126,0.19,2397,26
390167,0.15,2294,-55
390208,0.13,2337,-138
390249,0.22,2442,-214
390290,0.20,2470,-273
390331,0.17,2439,-313
390372,0.17,2421,-337
390413,0.17,2419,-349
390454,0.06,2416,-351
390495,0.13,2444,-344
390536,0.17,2542,-329
390577,0.15,3718,-283
390618,0.11,4095,-174
390659,0.17,4095,0
390700,0.14,4095,207
390741,0.15,4095,415
390782,0.22,4095,604
390823,0.18,1480,717
390864,0.11,1399,680
390905,0.19,2289,516
390946,0.13,2917,325
390987,0.10,2889,168
391028,0.02,2544,49
391069,0.05,2285,-52
391110,0.18,2224,-150
391151,0.02,2302,-243
391192,-0.03,2357,-320
391233,0.10,2414,-375
391274,0.01,2432,-407
391315,0.08,2504,-418
391356,-0.02,2533,-408
391397,0.07,2458,-385
391438,-0.05,2373,-356
391479,0.06,2378,-329
391520,0.01,2771,-298
391561,0.09,4095,-229
391602,0.00,4095,-90
391643,0.11,4095,103
391684,0.07,4095,315
391725,0.07,4095,519
391766,-0.27,2748,674
391807,-0.01,1217,711
391848,0.03,1631,599
391889,0.02,2559,405
391930,-0.02,2992,221
391971,0.06,2819,85
392012,-0.01,2466,-12
392053,0.12,2266,-97
392094,0.02,2272,-179
392135,0.04,2359,-253
392176,-0.01,2464,-309
392217,0.02,2517,-343
392258,0.02,2533,-354
392299,0.04,2528,-347
392340,-0.04,2535,-327
392381,-0.01,2513,-300
392422,-0.00,2437,-271
392463,0.01,2448,-245
392504,0.06,2551,-221
392545,0.02,3419,-180
392586,-0.02,4095,-88
392627,0.02,4095,65
392668,-0.06,4095,256
392709,0.05,4095,453
392750,-0.01,1930,598
392791,-0.04,1366,611
392832,-0.05,2110,495
392873,0.01,2891,335
392914,-0.08,3093,202
392955,-0.00,2834,114
392996,0.01,2479,48
393037,-0.01,2327,-16
393078,-0.10,2351,-86
393119,0.02,2429,-153
393160,0.03,2496,-208
393201,-0.01,2559,-244
393242,-0.01,2628,-261
393283,0.03,2611,-260
393324,-0.01,2559,-246
393365,0.03,2495,-228
393406,0.03,2499,-210
393447,0.02,2859,-189
393488,-0.01,4095,-132
393529,0.07,4095,-8
393570,-0.09,4095,166
393611,0.01,4095,358
393652,-0.01,2624,517
393693,-0.06,1473,570
393734,-0.13,1845,491
393775,0.02,2701,341
393816,-0.05,3184,204
393857,-0.03,3035,113
393898,-0.11,2614,54
393939,-0.14,2345,0
393980,-0.06,2288,-66
394021,-0.04,2392,-138
394062,-0.04,2494,-202
394103,-0.02,2543,-249
394144,-0.08,2559,-276
394185,-0.08,2559,-287
394226,-0.14,2512,-285
394267,-0.17,2460,-277
394308,-0.25,2397,-268
394349,-0.03,2556,-258
394390,-0.11,3949,-220
394431,-0.13,4095,-112
394472,-0.16,4095,57
394513,-0.07,4095,255
394554,-0.15,4095,451
394595,-0.17,2291,597
394636,-0.05,1515,620
394677,-0.16,1969,513
394718,-0.14,2732,347
394759,-0.06,3071,196
394800,-0.09,2934,89
394841,-0.05,2608,13
394882,-0.02,2341,-53
394923,-0.14,2291,-126
