Time,Pressure,PPGSignal,BaselineBeat,Osc_Amp,Osc_SBP,MAP,Osc_DBP,Est_DBP,EnsembleSystolic,BL_W25_T2.0_D10,BL_W25_T2.2_D10,BL_W25_T2.4_D10,BL_W25_T2.6_D10,BL_W25_T3.0_D10,BL_W30_T2.0_D10,BL_W30_T2.2_D10,BL_W30_T2.4_D10,BL_W30_T2.6_D10,BL_W30_T3.0_D10,BL_W35_T2.0_D10,BL_W35_T2.2_D10,BL_W35_T2.4_D10,BL_W35_T2.6_D10,BL_W35_T3.0_D10,BL_W40_T2.0_D10,BL_W40_T2.2_D10,BL_W40_T2.4_D10,BL_W40_T2.6_D10,BL_W40_T3.0_D10
14828,-0.25,72,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14863,-0.21,370,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14899,-0.17,929,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14935,-0.20,1592,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14971,-0.23,2120,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,-0.11,2338,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15043,-0.21,2229,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15079,-0.22,1913,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15115,-0.18,1556,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15151,-0.20,1288,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15187,-0.22,1196,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15223,-0.11,1359,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15259,-0.13,1747,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15295,-0.18,2156,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15331,-0.22,2419,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15367,-0.14,2357,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15403,-0.23,1787,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15439,-0.12,935,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15475,-0.16,294,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15511,-0.12,123,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15547,-0.19,325,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15583,-0.08,622,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15619,-0.23,784,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15655,-0.20,745,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15691,-0.22,570,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15727,-0.14,373,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15763,-0.11,249,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15799,-0.18,285,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15835,-0.16,549,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15871,-0.19,970,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15907,-0.16,1361,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15943,-0.17,1581,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15979,-0.14,1458,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16015,-0.11,889,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16051,-0.17,156,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16087,-0.08,-321,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16123,-0.14,-392,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16159,-0.17,-186,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16195,-0.17,66,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16231,-0.19,202,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16267,-0.16,181,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16303,-0.20,62,0,0.00,99,83,78,78.79,91.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
