Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8925,-0.10,112,7,0
8952,-0.23,456,51,0
8979,0.12,888,174,0
9006,0.09,1206,385,0
9033,0.17,1368,634,0
9060,0.01,1421,853,0
9087,0.28,1430,990,0
9114,0.02,1421,1031,0
9141,0.39,1377,992,0
9168,0.22,1270,892,0
9195,0.14,1092,743,0
9222,0.35,863,550,0
9249,0.13,618,321,0
9276,0.12,391,70,0
9303,0.41,204,-181,0
9330,0.13,68,-408,0
9357,0.16,-14,-590,0
9384,0.51,-53,-716,0
9411,0.30,-67,-782,0
9438,0.22,-83,-798,0
9465,0.57,-113,-780,0
9492,0.41,-160,-747,0
9519,0.33,-218,-715,0
9546,0.65,-278,-692,0
9573,0.43,-334,-678,0
9600,0.44,-378,-671,0
9627,0.79,-406,-663,0
9654,0.55,-421,-648,0
9681,0.61,-425,-621,0
9708,0.89,-422,-583,0
9735,0.59,-419,-534,0
9762,0.55,-417,-479,0
9789,0.91,-412,-423,0
9816,0.77,-392,-366,0
9843,0.70,-329,-305,0
9870,1.02,-210,-232,0
9897,0.87,-62,-137,0
9924,0.81,55,-19,0
9951,1.09,93,105,0
9978,0.92,38,206,0
10005,0.95,-87,255,0
10032,1.18,-243,239,0
10059,1.12,-388,163,0
10086,1.04,-494,53,0
10113,1.37,-548,-60,0
10140,1.24,-551,-151,0
10167,1.24,-517,-198,0
10194,1.47,-466,-199,0
10221,1.41,-420,-160,0
10248,1.17,-391,-98,0
10275,1.54,-381,-31,0
10302,1.53,-385,25,0
10329,1.36,-394,66,0
10356,1.61,-401,90,0
10383,1.74,-403,101,0
10410,1.53,-395,107,0
10437,1.78,-378,112,0
10464,1.78,-353,122,0
10491,1.66,-322,139,0
10518,1.89,-289,162,0
10545,1.97,-260,188,0
10572,1.81,-235,215,0
10599,2.07,-207,240,0
10626,2.23,-146,263,0
10653,1.97,-27,292,0
10680,2.22,140,342,0
10707,2.32,306,418,0
10734,2.14,407,512,0
10761,2.36,406,598,0
10788,2.40,312,642,0
10815,2.38,161,620,0
10842,2.36,0,528,0
10869,2.64,-136,385,0
10896,2.46,-229,220,0
10923,2.69,-271,66,0
10950,2.80,-267,-51,0
10977,2.73,-232,-121,0
11004,2.79,-189,-142,0
11031,2.96,-154,-127,0
11058,2.79,-136,-91,0
11085,2.90,-138,-53,0
11112,3.17,-155,-26,0
11139,3.02,-177,-14,0
11166,3.11,-196,-18,0
11193,3.38,-206,-31,0
11220,3.22,-201,-46,0
11247,3.29,-178,-56,0
11274,3.44,-144,-54,0
11301,3.37,-109,-40,0
11328,3.35,-82,-17,0
11355,3.68,-65,8,0
11382,3.61,-49,32,0
11409,3.65,-6,53,0
11436,3.95,94,77,0
11463,3.89,254,118,0
11490,3.83,425,188,0
11517,4.16,541,282,0
11544,4.03,560,377,0
11571,3.99,481,437,0
11598,4.32,336,435,0
11625,4.24,168,362,0
11652,4.15,14,232,0
11679,4.63,-102,71,0
11706,4.47,-171,-86,0
11733,4.49,-193,-215,0
11760,4.74,-178,-299,0
11787,4.70,-143,-334,0
11814,4.53,-111,-326,0
11841,4.97,-94,-291,0
11868,4.81,-95,-247,0
11895,4.89,-110,-209,0
11922,5.09,-133,-183,0
11949,5.14,-155,-172,0
11976,5.00,-169,-172,0
12003,5.41,-171,-176,0
12030,5.25,-161,-177,0
12057,5.26,-143,-171,0
12084,5.54,-123,-155,0
12111,5.48,-97,-132,0
12138,5.44,-45,-101,0
12165,5.85,64,-59,0
12192,5.67,237,5,0
12219,5.84,429,100,0
12246,6.08,566,221,0
12273,6.01,597,342,0
12300,6.00,516,426,0
12327,6.44,357,441,0
12354,6.25,170,376,0
12381,6.38,-1,243,0
12408,6.70,-130,75,0
12435,6.45,-204,-92,0
12462,6.61,-225,-229,0
12489,6.94,-208,-316,0
12516,6.67,-174,-349,0
12543,6.84,-142,-336,0
12570,7.17,-126,-296,0
12597,6.95,-130,-246,0
12624,7.14,-148,-203,0
12651,7.35,-171,-173,0
12678,7.08,-189,-159,0
12705,7.50,-196,-155,0
12732,7.57,-194,-154,0
12759,7.52,-185,-149,0
12786,7.76,-172,-137,0
12813,7.95,-151,-119,0
12840,7.80,-104,-93,0
12867,8.18,-2,-54,0
12894,8.16,172,7,0
12921,8.01,385,103,0
12948,8.50,565,232,0
12975,8.42,646,373,0
13002,8.38,603,487,0
13029,8.78,459,536,0
13056,8.69,261,497,0
13083,8.74,55,376,0
13110,9.20,-115,200,0
13137,8.97,-225,6,0
13164,9.02,-266,-165,0
13191,9.40,-255,-287,0
13218,9.16,-218,-346,0
13245,9.54,-182,-349,0
13272,9.77,-165,-313,0
13299,9.59,-171,-262,0
13326,9.97,-192,-215,0
13353,10.03,-216,-182,0
13380,9.83,-229,-165,0
13407,10.15,-227,-158,0
13434,10.23,-219,-151,0
13461,10.17,-208,-140,0
13488,10.69,-198,-124,0
13515,10.54,-187,-104,0
13542,10.66,-166,-80,0
13569,11.02,-107,-52,0
13596,10.84,21,-10,0
