Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8427,-0.24,110,7,0
8454,-0.14,454,50,0
8481,-0.14,895,174,0
8508,-0.21,1237,387,0
8535,-0.16,1416,645,0
8562,-0.23,1435,872,0
8589,-0.10,1321,1003,0
8616,-0.17,1125,1006,0
8643,-0.12,905,883,0
8670,-0.23,706,670,0
8697,-0.08,551,414,0
8724,-0.15,439,162,0
8751,-0.07,354,-53,0
8778,-0.28,282,-218,0
8805,-0.10,221,-335,0
8832,-0.15,167,-412,0
8859,-0.13,120,-460,0
8886,-0.15,87,-489,0
8913,-0.15,100,-501,0
8940,-0.12,201,-488,0
8967,-0.16,390,-436,0
8994,-0.14,600,-332,0
9021,-0.12,734,-186,0
9048,-0.18,726,-36,0
9075,-0.11,572,67,0
9102,-0.17,319,81,0
9129,-0.18,28,-8,0
9156,-0.17,-247,-184,0
9183,-0.15,-469,-407,0
9210,-0.16,-615,-628,0
9237,-0.17,-678,-807,0
9264,-0.15,-679,-914,0
9291,-0.21,-654,-943,0
9318,-0.18,-635,-905,0
9345,-0.15,-635,-824,0
9372,-0.15,-651,-728,0
9399,-0.09,-671,-637,0
9426,-0.16,-685,-560,0
9453,-0.15,-692,-495,0
9480,-0.16,-689,-439,0
9507,-0.06,-677,-385,0
9534,-0.16,-654,-329,0
9561,-0.13,-613,-268,0
9588,-0.20,-555,-199,0
9615,-0.04,-493,-121,0
9642,-0.13,-446,-38,0
9669,-0.07,-415,42,0
9696,-0.12,-361,114,0
9723,0.01,-224,185,0
9750,-0.16,21,273,0
9777,-0.10,310,401,0
9804,-0.19,522,569,0
9831,-0.18,563,743,0
9858,-0.13,433,865,0
9885,-0.08,205,886,0
9912,-0.17,-35,791,0
9939,-0.12,-236,605,0
9966,-0.13,-385,376,0
9993,-0.18,-483,154,0
10020,-0.21,-531,-26,0
10047,-0.18,-534,-149,0
10074,-0.18,-510,-209,0
10101,-0.11,-479,-217,0
10128,-0.24,-459,-188,0
10155,-0.13,-456,-142,0
10182,-0.02,-457,-96,0
10209,-0.11,-448,-59,0
10236,-0.16,-422,-29,0
10263,-0.11,-386,-2,0
10290,-0.13,-351,27,0
10317,-0.11,-321,59,0
10344,-0.12,-288,92,0
10371,-0.08,-242,124,0
10398,-0.16,-186,158,0
10425,-0.05,-129,194,0
10452,-0.13,-85,231,0
10479,-0.09,-59,265,0
10506,-0.20,-26,290,0
10533,-0.14,72,311,0
10560,-0.14,281,346,0
10587,-0.06,564,419,0
10614,-0.15,811,540,0
10641,-0.18,910,687,0
10668,-0.07,818,804,0
10695,-0.06,580,832,0
10722,-0.13,286,740,0
10749,-0.09,17,538,0
10776,-0.14,-181,270,0
10803,-0.18,-296,-2,0
10830,-0.18,-332,-231,0
10857,-0.05,-309,-384,0
10884,-0.19,-251,-453,0
10911,-0.12,-187,-449,0
10938,-0.21,-143,-396,0
10965,-0.06,-130,-322,0
10992,-0.08,-141,-254,0
11019,-0.10,-166,-206,0
11046,0.01,-187,-182,0
11073,-0.07,-195,-176,0
11100,-0.05,-184,-178,0
11127,-0.10,-150,-176,0
11154,-0.11,-98,-162,0
11181,-0.13,-42,-131,0
11208,-0.19,-1,-88,0
11235,-0.13,14,-42,0
11262,-0.17,0,-4,0
11289,-0.09,-38,14,0
11316,-0.12,-80,11,0
11343,-0.12,-87,-7,0
11370,-0.14,0,-26,0
11397,-0.14,204,-15,0
11424,-0.16,477,53,0
11451,-0.18,700,183,0
11478,-0.19,769,344,0
11505,-0.13,655,474,0
11532,-0.20,407,515,0
11559,-0.14,120,437,0
11586,-0.08,-121,256,0
11613,-0.16,-279,21,0
11640,-0.27,-349,-207,0
11667,-0.22,-348,-383,0
11694,-0.19,-296,-480,0
11721,-0.18,-217,-497,0
11748,-0.19,-145,-449,0
11775,-0.18,-112,-365,0
11802,-0.22,-126,-276,0
11829,-0.11,-171,-208,0
11856,-0.14,-220,-173,0
11883,-0.09,-253,-168,0
11910,-0.12,-262,-179,0
11937,-0.11,-249,-191,0
11964,-0.04,-223,-191,0
11991,-0.16,-194,-175,0
12018,-0.15,-167,-146,0
12045,-0.13,-137,-108,0
12072,-0.14,-104,-66,0
12099,-0.17,-76,-25,0
12126,-0.27,-63,12,0
12153,-0.10,-60,42,0
12180,-0.24,-36,63,0
12207,-0.09,59,84,0
12234,-0.26,248,123,0
12261,-0.17,479,202,0
12288,-0.15,650,320,0
12315,-0.10,680,451,0
12342,-0.15,557,543,0
12369,-0.13,336,551,0
12396,-0.13,95,459,0
12423,-0.11,-103,286,0
12450,-0.18,-222,76,0
12477,-0.15,-251,-118,0
12504,-0.18,-205,-256,0
12531,-0.15,-116,-317,0
12558,-0.15,-22,-304,0
12585,-0.13,40,-238,0
12612,-0.16,54,-152,0
12639,-0.07,19,-77,0
12666,-0.19,-45,-35,0
12693,-0.07,-117,-32,0
12720,-0.12,-182,-62,0
12747,-0.11,-230,-111,0
12774,-0.22,-256,-161,0
12801,-0.19,-257,-200,0
12828,-0.23,-233,-218,0
12855,-0.14,-192,-211,0
12882,-0.23,-147,-181,0
12909,-0.05,-108,-136,0
12936,-0.14,-78,-83,0
12963,-0.15,-54,-33,0
12990,-0.08,-15,10,0
13017,-0.06,75,52,0
13044,0.01,251,105,0
13071,-0.06,490,190,0
13098,0.08,708,313,0
13125,0.07,810,458,0
13152,0.08,743,579,0
13179,-0.02,524,624,0
13206,0.03,227,559,0
13233,0.03,-59,386,0
13260,-0.02,-267,142,0
13287,-0.02,-365,-112,0
13314,-0.15,-359,-320,0
13341,0.11,-281,-443,0
13368,-0.02,-175,-471,0
13395,0.06,-82,-419,0
13422,-0.05,-30,-321,0
13449,0.03,-29,-215,0
13476,-0.09,-70,-131,0
13503,0.01,-132,-86,0
13530,0.00,-188,-82,0
13557,0.02,-223,-105,0
13584,-0.03,-234,-138,0
13611,-0.03,-224,-163,0
13638,-0.05,-200,-172,0
13665,0.02,-167,-160,0
13692,-0.10,-131,-132,0
13719,0.13,-97,-92,0
13746,-0.05,-73,-48,0
13773,0.08,-56,-6,0
13800,-0.05,-36,27,0
13827,0.07,17,57,0
13854,-0.01,145,92,0
13881,-0.04,351,150,0
13908,0.05,579,248,0
13935,0.01,731,378,0
13962,0.02,735,507,0
13989,0.04,583,586,0
14016,-0.10,326,571,0
14043,0.05,47,449,0
14070,-0.14,-180,244,0
14097,-0.11,-310,4,0
14124,-0.11,-331,-211,0
14151,-0.07,-263,-357,0
14178,-0.19,-154,-411,0
14205,-0.08,-56,-381,0
14232,-0.10,-3,-296,0
14259,-0.06,-8,-197,0
14286,-0.13,-58,-117,0
14313,-0.18,-134,-77,0
14340,-0.14,-215,-81,0
14367,-0.17,-279,-117,0
14394,-0.21,-306,-167,0
14421,-0.15,-291,-210,0
14448,-0.17,-242,-227,0
14475,-0.11,-177,-213,0
14502,-0.15,-113,-168,0
14529,-0.07,-55,-104,0
14556,-0.14,23,-31,0
14583,-0.11,149,46,0
14610,-0.15,313,135,0
14637,-0.14,463,239,0
14664,-0.21,536,347,0
14691,-0.13,496,433,0
14718,-0.25,347,465,0
14745,-0.15,134,420,0
14772,-0.14,-84,297,0
14799,-0.04,-258,120,0
14826,-0.16,-352,-70,0
14853,-0.11,-356,-233,0
14880,-0.12,-288,-333,0
14907,-0.07,-187,-358,0
14934,-0.14,-95,-314,0
14961,-0.18,-42,-229,0
14988,-0.02,-33,-133,0
15015,-0.14,-55,-56,0
15042,-0.15,-87,-11,0
15069,-0.10,-114,2,0
15096,-0.20,-128,-6,0
15123,-0.09,-127,-23,0
15150,-0.11,-115,-37,0
15177,-0.01,-85,-41,0
15204,-0.15,-10,-28,0
15231,-0.04,139,9,0
15258,-0.20,351,83,0
15285,-0.10,557,198,0
15312,-0.17,668,337,0
15339,-0.10,634,461,0
15366,-0.13,466,523,0
15393,-0.14,217,489,0
15420,-0.14,-38,357,0
15447,0.00,-243,154,0
15474,-0.02,-365,-70,0
15501,-0.04,-399,-268,0
15528,-0.04,-360,-401,0
15555,0.05,-276,-453,0
15582,-0.04,-186,-430,0
15609,-0.02,-124,-354,0
15636,-0.13,-109,-257,0
15663,-0.13,-134,-171,0
15690,-0.21,-180,-114,0
15717,-0.15,-222,-93,0
15744,-0.10,-242,-98,0
15771,-0.10,-227,-112,0
15798,-0.08,-161,-117,0
15825,-0.17,-23,-95,0
15852,-0.21,195,-30,0
15879,-0.08,453,87,0
15906,-0.07,667,250,0
15933,-0.10,751,426,0
15960,-0.09,678,564,0
15987,-0.12,481,616,0
16014,-0.08,225,558,0
16041,-0.04,-24,399,0
16068,-0.11,-220,177,0
16095,-0.05,-337,-57,0
16122,-0.16,-367,-257,0
16149,-0.12,-328,-388,0
16176,-0.10,-255,-438,0
16203,-0.10,-184,-417,0
16230,-0.15,-141,-348,0
16257,-0.16,-135,-263,0
16284,-0.09,-160,-188,0
16311,-0.11,-197,-140,0
16338,-0.10,-229,-121,0
16365,0.06,-240,-122,0
16392,-0.18,-213,-128,0
16419,-0.13,-115,-121,0
16446,-0.15,83,-80,0
16473,-0.10,357,13,0
16500,-0.13,616,165,0
16527,-0.07,751,351,0
16554,-0.07,711,517,0
16581,-0.13,522,606,0
16608,-0.18,256,579,0
16635,-0.02,-8,439,0
16662,-0.12,-217,220,0
16689,-0.03,-343,-21,0
16716,-0.15,-386,-233,0
16743,-0.15,-359,-379,0
16770,-0.20,-289,-443,0
16797,-0.10,-212,-430,0
16824,-0.08,-161,-365,0
16851,-0.02,-155,-279,0
16878,-0.13,-190,-201,0
16905,-0.17,-242,-151,0
16932,-0.02,-285,-135,0
16959,-0.10,-302,-141,0
16986,-0.15,-291,-154,0
17013,-0.08,-258,-158,0
17040,-0.12,-200,-144,0
17067,-0.18,-87,-105,0
17094,-0.17,117,-32,0
17121,-0.13,403,85,0
17148,-0.12,684,252,0
17175,-0.14,849,450,0
17202,-0.17,831,627,0
17229,-0.13,646,726,0
17256,-0.18,368,705,0
17283,-0.09,79,560,0
17310,-0.15,-162,325,0
17337,-0.14,-327,56,0
17364,-0.14,-404,-189,0
17391,-0.10,-404,-372,0
17418,-0.16,-353,-471,0
17445,-0.07,-285,-487,0
17472,-0.19,-231,-440,0
17499,-0.12,-209,-360,0
17526,-0.17,-222,-277,0
17553,-0.12,-259,-214,0
17580,-0.20,-301,-178,0
17607,-0.19,-329,-169,0
17634,-0.20,-333,-173,0
17661,-0.11,-313,-177,0
17688,-0.15,-272,-169,0
17715,-0.11,-217,-143,0
17742,-0.20,-155,-99,0
17769,-0.16,-90,-42,0
17796,-0.13,-18,23,0
17823,-0.12,88,94,0
17850,-0.18,268,175,0
17877,-0.20,523,279,0
17904,-0.24,782,417,0
17931,-0.23,938,577,0
17958,-0.21,917,720,0
17985,-0.19,731,791,0
18012,-0.21,449,750,0
18039,-0.21,165,592,0
18066,-0.25,-45,351,0
18093,-0.18,-152,88,0
18120,-0.13,-176,-139,0
18147,-0.11,-152,-293,0
18174,-0.12,-110,-365,0
18201,-0.10,-83,-369,0
18228,-0.22,-94,-333,0
18255,-0.15,-142,-290,0
18282,-0.12,-212,-262,0
18309,-0.14,-287,-260,0
18336,-0.15,-352,-281,0
18363,-0.17,-394,-314,0
18390,-0.11,-402,-345,0
18417,-0.17,-372,-358,0
18444,-0.20,-316,-345,0
18471,-0.07,-252,-303,0
18498,-0.16,-194,-239,0
18525,-0.10,-149,-163,0
18552,-0.16,-117,-88,0
18579,-0.16,-94,-24,0
18606,-0.16,-74,25,0
18633,-0.15,-45,62,0
18660,-0.13,35,93,0
18687,-0.11,218,136,0
18714,-0.13,499,216,0
18741,-0.08,792,349,0
18768,-0.18,967,522,0
18795,-0.17,943,686,0
18822,-0.19,733,776,0
18849,-0.14,425,742,0
18876,-0.17,113,579,0
18903,-0.14,-138,322,0
18930,-0.18,-306,33,0
18957,-0.17,-397,-228,0
18984,-0.15,-425,-424,0
19011,-0.19,-406,-536,0
19038,-0.12,-358,-568,0
19065,-0.12,-304,-537,0
19092,-0.14,-264,-466,0
19119,-0.16,-248,-380,0
19146,-0.18,-254,-300,0
19173,-0.17,-269,-240,0
19200,-0.22,-282,-200,0
19227,-0.17,-282,-178,0
19254,-0.20,-265,-162,0
19281,-0.17,-234,-145,0
19308,-0.18,-200,-119,0
19335,-0.15,-168,-85,0
19362,-0.20,-137,-45,0
19389,-0.12,-107,-5,0
19416,-0.17,-77,33,0
19443,-0.15,-53,68,0
19470,-0.16,-25,98,0
19497,-0.08,44,126,0
19524,-0.18,209,165,0
19551,-0.08,472,236,0
19578,-0.22,748,357,0
19605,-0.12,911,515,0
19632,-0.21,884,665,0
19659,-0.13,680,745,0
19686,-0.21,375,707,0
19713,-0.16,63,545,0
19740,-0.19,-187,292,0
19767,-0.10,-337,9,0
19794,-0.19,-378,-242,0
19821,-0.14,-329,-415,0
19848,-0.20,-232,-488,0
19875,-0.14,-144,-471,0
19902,-0.20,-103,-394,0
19929,-0.03,-119,-299,0
19956,-0.12,-173,-221,0
19983,-0.10,-233,-180,0
20010,-0.18,-273,-174,0
20037,-0.20,-280,-189,0
20064,-0.16,-258,-204,0
20091,-0.10,-221,-204,0
20118,-0.19,-179,-184,0
20145,-0.04,-142,-147,0
20172,-0.15,-112,-100,0
20199,-0.01,-93,-53,0
20226,-0.19,-84,-11,0
20253,-0.15,-81,18,0
20280,-0.13,-76,38,0
20307,-0.11,-42,51,0
20334,-0.08,70,69,0
20361,-0.11,288,115,0
20388,-0.10,570,208,0
20415,-0.08,811,354,0
20442,-0.15,904,523,0
20469,-0.14,805,659,0
20496,-0.09,551,702,0
20523,-0.01,233,619,0
20550,-0.09,-60,419,0
20577,-0.08,-267,151,0
20604,-0.11,-364,-120,0
20631,-0.04,-360,-338,0
20658,-0.13,-289,-466,0
20685,-0.11,-192,-496,0
20712,-0.08,-110,-447,0
20739,-0.14,-71,-354,0
20766,-0.10,-81,-254,0
20793,-0.17,-121,-177,0
20820,-0.18,-169,-135,0
20847,-0.11,-209,-128,0
20874,-0.15,-233,-142,0
20901,-0.11,-238,-163,0
20928,-0.17,-221,-176,0
20955,-0.03,-186,-173,0
20982,-0.09,-144,-152,0
21009,-0.04,-104,-115,0
21036,-0.12,-74,-69,0
21063,-0.04,-59,-23,0
21090,-0.18,-54,14,0
21117,-0.09,-48,41,0
21144,-0.12,-5,59,0
21171,-0.04,128,84,0
21198,-0.11,367,137,0
21225,-0.09,646,241,0
21252,-0.08,850,392,0
21279,-0.08,877,553,0
21306,-0.17,707,662,0
21333,-0.10,400,661,0
21360,-0.13,57,529,0
21387,-0.10,-231,290,0
21414,-0.18,-406,1,0
21441,-0.05,-450,-266,0
21468,-0.14,-387,-455,0
21495,-0.09,-265,-535,0
21522,-0.06,-144,-510,0
21549,-0.00,-66,-414,0
21576,-0.17,-48,-290,0
21603,-0.02,-81,-180,0
21630,-0.09,-141,-111,0
21657,-0.02,-199,-88,0
21684,-0.11,-239,-101,0
21711,-0.15,-252,-130,0
21738,-0.17,-240,-157,0
21765,-0.04,-211,-167,0
21792,-0.20,-173,-156,0
21819,-0.16,-134,-126,0
21846,-0.24,-103,-84,0
21873,-0.15,-84,-38,0
21900,-0.16,-74,1,0
21927,-0.18,-62,32,0
21954,-0.18,-14,57,0
21981,-0.14,114,86,0
22008,-0.20,336,142,0
22035,-0.11,590,242,0
22062,-0.16,771,383,0
22089,-0.17,797,530,0
22116,-0.16,656,628,0
22143,-0.18,399,630,0
22170,-0.16,109,517,0
22197,-0.15,-137,310,0
22224,-0.17,-296,60,0
22251,-0.13,-352,-176,0
22278,-0.12,-320,-349,0
22305,-0.18,-236,-435,0
22332,-0.22,-143,-433,0
22359,-0.19,-77,-368,0
22386,-0.22,-59,-274,0
22413,-0.05,-85,-186,0
22440,-0.23,-137,-127,0
22467,-0.18,-196,-106,0
22494,-0.16,-238,-117,0
22521,-0.11,-254,-143,0
22548,-0.21,-245,-167,0
22575,-0.19,-220,-177,0
22602,-0.21,-189,-168,0
22629,-0.12,-159,-141,0
22656,-0.21,-134,-104,0
22683,-0.18,-114,-64,0
22710,-0.17,-80,-25,0
22737,-0.08,7,14,0
22764,-0.19,188,69,0
22791,-0.16,445,158,0
22818,-0.12,688,291,0
22845,-0.10,809,451,0
22872,-0.08,749,590,0
22899,-0.06,533,651,0
22926,-0.15,239,598,0
22953,-0.15,-45,431,0
22980,-0.14,-257,189,0
23007,-0.11,-367,-68,0
