Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8907,-0.13,120,7,0
8934,-0.22,489,55,0
8961,-0.15,949,187,0
8988,-0.16,1279,411,0
9015,-0.11,1424,674,0
9042,-0.23,1415,895,0
9069,-0.10,1311,1012,0
9096,-0.20,1163,1003,0
9123,-0.08,1007,885,0
9150,-0.19,865,696,0
9177,-0.13,742,477,0
9204,-0.16,636,262,0
9231,-0.12,540,72,0
9258,-0.13,455,-84,0
9285,-0.07,380,-208,0
9312,-0.15,309,-304,0
9339,-0.11,235,-379,0
9366,-0.18,164,-438,0
9393,-0.04,109,-486,0
9420,-0.08,65,-523,0
9447,-0.10,21,-549,0
9474,-0.20,-29,-565,0
9501,-0.08,-92,-575,0
9528,-0.15,-159,-585,0
9555,-0.08,-220,-596,0
9582,-0.11,-271,-606,0
9609,-0.11,-312,-613,0
9636,-0.16,-339,-611,0
9663,-0.08,-353,-599,0
9690,-0.17,-359,-575,0
9717,-0.11,-366,-540,0
9744,-0.18,-374,-498,0
9771,-0.12,-384,-453,0
9798,-0.16,-392,-409,0
9825,-0.08,-398,-366,0
9852,-0.16,-402,-326,0
9879,-0.10,-405,-287,0
9906,-0.14,-409,-250,0
9933,-0.08,-411,-215,0
9960,-0.17,-405,-180,0
9987,-0.13,-394,-145,0
10014,-0.09,-385,-109,0
10041,-0.04,-379,-73,0
10068,-0.17,-372,-39,0
10095,-0.08,-356,-6,0
10122,-0.11,-328,25,0
10149,-0.08,-296,60,0
10176,-0.07,-270,96,0
10203,-0.01,-256,132,0
10230,-0.15,-256,163,0
10257,-0.07,-264,184,0
10284,-0.13,-272,194,0
10311,-0.15,-278,195,0
10338,-0.16,-280,191,0
10365,-0.14,-281,186,0
10392,-0.15,-277,181,0
10419,-0.09,-266,178,0
10446,-0.22,-250,180,0
10473,-0.08,-234,185,0
10500,-0.12,-220,194,0
10527,-0.16,-208,203,0
10554,-0.18,-198,211,0
10581,-0.12,-190,217,0
10608,-0.15,-180,219,0
10635,-0.11,-165,220,0
10662,-0.19,-148,220,0
10689,-0.17,-134,221,0
10716,-0.22,-121,222,0
10743,-0.17,-108,222,0
10770,-0.15,-98,221,0
10797,-0.14,-92,218,0
10824,-0.12,-86,212,0
10851,-0.09,-71,205,0
10878,-0.18,-43,199,0
10905,-0.11,-9,197,0
10932,-0.17,16,201,0
10959,-0.06,26,206,0
10986,-0.15,20,208,0
11013,0.01,3,201,0
11040,-0.13,-18,183,0
11067,-0.12,-40,155,0
11094,-0.17,-56,122,0
11121,-0.11,-61,89,0
11148,-0.20,-59,61,0
11175,-0.13,-51,40,0
11202,-0.18,-43,27,0
11229,-0.09,-34,22,0
11256,-0.20,-27,20,0
11283,-0.13,-22,21,0
11310,-0.12,-19,21,0
11337,-0.15,-19,19,0
11364,-0.17,-20,16,0
11391,-0.14,-19,10,0
11418,-0.13,-16,4,0
11445,-0.15,-12,0,0
11472,-0.16,-6,-5,0
11499,-0.12,0,-7,0
11526,-0.18,6,-9,0
11553,-0.03,11,-9,0
11580,-0.12,11,-9,0
11607,-0.09,10,-10,0
11634,-0.18,7,-13,0
11661,-0.12,8,-17,0
11688,-0.19,23,-21,0
11715,-0.10,49,-21,0
11742,-0.11,76,-15,0
11769,-0.07,88,-3,0
11796,-0.21,82,8,0
11823,0.00,61,13,0
11850,-0.28,36,8,0
11877,-0.17,14,-7,0
11904,-0.11,0,-28,0
11931,-0.15,-6,-50,0
11958,-0.22,-3,-67,0
11985,-0.10,2,-77,0
12012,-0.20,3,-79,0
12039,-0.05,-6,-78,0
12066,-0.21,-20,-77,0
12093,-0.15,-33,-78,0
12120,-0.17,-40,-83,0
12147,-0.12,-35,-87,0
12174,-0.17,-21,-88,0
12201,-0.11,-6,-82,0
12228,-0.19,2,-72,0
12255,-0.16,5,-59,0
12282,-0.28,5,-47,0
12309,-0.07,5,-38,0
12336,-0.12,4,-33,0
12363,-0.17,0,-30,0
12390,-0.14,-5,-30,0
12417,-0.13,-9,-32,0
12444,-0.20,-9,-34,0
12471,-0.14,-1,-35,0
12498,-0.11,21,-32,0
12525,-0.09,53,-22,0
12552,-0.16,79,-5,0
12579,-0.06,86,14,0
12606,-0.16,70,31,0
12633,-0.07,40,36,0
12660,-0.14,15,29,0
12687,-0.19,3,11,0
12714,-0.15,-1,-8,0
12741,-0.04,-4,-24,0
12768,-0.13,-5,-35,0
12795,-0.10,-6,-40,0
12822,-0.14,-6,-41,0
12849,-0.10,-7,-39,0
12876,-0.09,-7,-36,0
12903,-0.05,-6,-33,0
12930,-0.19,-3,-29,0
12957,-0.14,-1,-25,0
12984,-0.15,0,-21,0
13011,-0.13,-2,-18,0
13038,-0.14,-4,-15,0
13065,-0.12,-4,-14,0
13092,-0.08,0,-12,0
13119,-0.10,4,-10,0
13146,-0.10,6,-8,0
13173,-0.05,6,-4,0
13200,-0.08,4,-2,0
13227,-0.17,0,0,0
13254,-0.12,2,0,0
13281,-0.19,13,0,0
13308,-0.21,30,2,0
13335,-0.10,46,10,0
13362,-0.14,55,20,0
13389,-0.12,52,30,0
13416,-0.14,38,36,0
13443,-0.16,17,34,0
13470,-0.24,-2,24,0
13497,-0.13,-17,8,0
13524,-0.18,-27,-8,0
13551,-0.08,-31,-22,0
13578,-0.21,-30,-32,0
13605,-0.09,-25,-37,0
13632,-0.11,-17,-35,0
13659,-0.04,-10,-29,0
13686,-0.21,-6,-21,0
13713,-0.12,-5,-13,0
13740,-0.15,-7,-6,0
13767,-0.05,-8,-2,0
13794,-0.15,-9,0,0
13821,-0.14,-7,0,0
13848,-0.16,-4,0,0
13875,-0.11,-4,1,0
13902,-0.17,-5,2,0
13929,-0.07,-3,3,0
13956,-0.18,4,5,0
13983,-0.10,17,8,0
14010,-0.19,29,13,0
14037,-0.10,32,21,0
14064,-0.11,23,27,0
14091,-0.12,6,28,0
14118,-0.19,-13,22,0
14145,-0.14,-26,10,0
14172,-0.15,-30,-2,0
14199,-0.15,-27,-14,0
14226,-0.14,-23,-20,0
14253,-0.11,-20,-21,0
14280,-0.15,-19,-19,0
14307,-0.10,-16,-14,0
14334,-0.11,-12,-10,0
14361,-0.13,-9,-5,0
14388,-0.16,-10,0,0
14415,-0.20,-12,2,0
14442,-0.05,-13,3,0
14469,-0.11,-11,3,0
14496,-0.23,-8,3,0
14523,-0.10,-7,4,0
14550,-0.18,-6,5,0
14577,-0.15,-5,6,0
14604,-0.19,-1,7,0
14631,-0.22,8,9,0
14658,-0.18,24,13,0
14685,-0.14,41,20,0
14712,-0.17,53,30,0
14739,-0.13,55,40,0
14766,-0.29,47,46,0
14793,-0.19,31,47,0
14820,-0.18,11,39,0
14847,-0.14,-5,25,0
14874,-0.17,-19,8,0
14901,-0.18,-27,-8,0
14928,-0.18,-28,-22,0
14955,-0.11,-25,-30,0
14982,-0.16,-21,-33,0
15009,-0.11,-17,-31,0
15036,-0.17,-14,-27,0
15063,-0.16,-14,-21,0
15090,-0.22,-13,-16,0
15117,-0.16,-10,-12,0
15144,-0.21,-6,-8,0
15171,-0.14,-2,-5,0
15198,-0.19,-1,-1,0
15225,-0.11,-5,0,0
15252,-0.14,-11,1,0
15279,-0.08,-6,0,0
15306,-0.14,10,0,0
15333,-0.12,33,4,0
15360,-0.11,51,14,0
15387,-0.07,57,27,0
15414,-0.15,50,38,0
15441,-0.14,35,42,0
15468,-0.11,19,38,0
15495,-0.09,4,27,0
15522,-0.17,-9,13,0
15549,-0.13,-21,-2,0
15576,-0.16,-30,-17,0
15603,-0.15,-33,-29,0
15630,-0.20,-31,-36,0
15657,-0.11,-27,-38,0
15684,-0.13,-25,-36,0
15711,-0.15,-24,-32,0
15738,-0.14,-26,-27,0
15765,-0.04,-28,-23,0
15792,-0.12,-28,-20,0
15819,-0.14,-24,-18,0
15846,-0.16,-16,-15,0
15873,-0.13,-4,-10,0
15900,-0.17,4,-3,0
15927,-0.12,6,4,0
15954,-0.22,3,11,0
15981,-0.14,0,14,0
16008,-0.17,0,15,0
16035,-0.14,8,14,0
16062,-0.17,25,15,0
16089,-0.17,43,19,0
16116,-0.15,56,28,0
16143,-0.08,61,38,0
16170,-0.18,58,46,0
16197,-0.08,49,49,0
16224,-0.17,35,46,0
16251,-0.10,15,36,0
16278,-0.10,-5,21,0
16305,-0.10,-24,2,0
16332,-0.15,-36,-16,0
16359,-0.09,-39,-32,0
16386,-0.13,-33,-43,0
16413,-0.06,-26,-46,0
16440,-0.18,-21,-43,0
16467,-0.05,-19,-36,0
16494,-0.24,-18,-28,0
16521,-0.12,-16,-22,0
16548,-0.16,-14,-16,0
16575,-0.18,-11,-12,0
16602,-0.16,-6,-8,0
16629,-0.18,-3,-4,0
16656,-0.13,-5,0,0
16683,-0.10,-11,1,0
16710,-0.15,-17,0,0
16737,-0.15,-18,-1,0
16764,-0.15,-15,-4,0
16791,-0.09,-9,-5,0
16818,-0.15,0,-3,0
16845,-0.22,16,1,0
16872,-0.17,39,10,0
16899,-0.11,58,23,0
16926,-0.23,65,37,0
16953,-0.09,59,49,0
16980,-0.20,44,53,0
17007,-0.13,28,49,0
17034,-0.16,15,37,0
17061,-0.14,5,22,0
17088,-0.18,-1,7,0
17115,-0.16,-6,-5,0
17142,-0.23,-10,-14,0
17169,-0.20,-12,-21,0
17196,-0.27,-13,-24,0
17223,-0.19,-18,-25,0
17250,-0.17,-24,-26,0
17277,-0.11,-30,-27,0
17304,-0.23,-32,-29,0
17331,-0.17,-30,-30,0
17358,-0.21,-23,-29,0
17385,-0.18,-17,-26,0
17412,-0.23,-14,-21,0
17439,-0.13,-13,-14,0
17466,-0.27,-13,-9,0
17493,-0.16,-12,-5,0
17520,-0.19,-9,-2,0
17547,-0.22,-5,0,0
17574,-0.24,-4,2,0
17601,-0.08,-5,4,0
17628,-0.15,-3,5,0
17655,-0.23,6,7,0
17682,-0.19,20,10,0
17709,-0.15,32,16,0
17736,-0.23,38,24,0
17763,-0.07,35,31,0
17790,-0.15,25,34,0
17817,-0.14,11,31,0
17844,-0.14,-1,23,0
17871,-0.11,-10,12,0
17898,-0.13,-13,1,0
17925,-0.12,-10,-8,0
17952,-0.18,-6,-13,0
17979,-0.16,-3,-13,0
18006,-0.25,-4,-11,0
18033,-0.06,-11,-9,0
18060,-0.17,-15,-8,0
18087,-0.21,-14,-9,0
18114,-0.19,-14,-10,0
18141,-0.12,-17,-11,0
18168,-0.23,-20,-12,0
18195,-0.19,-13,-12,0
18222,-0.20,2,-10,0
18249,-0.16,17,-4,0
18276,-0.19,23,4,0
18303,-0.10,17,13,0
18330,-0.19,3,18,0
18357,-0.12,-13,16,0
18384,-0.19,-26,7,0
18411,-0.12,-29,-3,0
18438,-0.20,-23,-12,0
18465,-0.18,-13,-17,0
18492,-0.23,-4,-16,0
18519,-0.11,2,-10,0
18546,-0.10,13,-2,0
18573,-0.19,30,7,0
18600,-0.16,50,18,0
18627,-0.17,58,31,0
18654,-0.22,48,41,0
18681,-0.15,29,44,0
18708,-0.20,7,38,0
18735,-0.16,-6,24,0
18762,-0.15,-8,8,0
18789,-0.08,0,-5,0
18816,-0.28,16,-11,0
18843,-0.17,33,-9,0
18870,-0.16,44,-1,0
18897,-0.20,40,9,0
18924,-0.24,26,16,0
18951,-0.21,13,16,0
18978,-0.23,4,10,0
19005,-0.20,0,1,0
19032,-0.29,-4,-8,0
19059,-0.16,-8,-15,0
19086,-0.16,-12,-21,0
19113,-0.04,-17,-24,0
19140,-0.23,-19,-27,0
19167,-0.08,-12,-28,0
19194,-0.16,8,-25,0
19221,-0.16,40,-16,0
19248,-0.10,69,0,0
19275,-0.14,81,20,0
19302,-0.19,68,38,0
19329,-0.15,37,46,0
19356,-0.15,0,40,0
19383,-0.11,-33,19,0
19410,-0.22,-57,-8,0
19437,-0.20,-73,-37,0
19464,-0.18,-82,-61,0
19491,-0.23,-84,-77,0
19518,-0.31,-78,-84,0
19545,-0.15,-68,-82,0
19572,-0.16,-57,-72,0
19599,-0.22,-49,-58,0
19626,-0.29,-44,-43,0
19653,-0.15,-39,-29,0
19680,-0.26,-32,-17,0
19707,-0.08,-22,-6,0
19734,-0.28,-11,2,0
19761,-0.14,-3,12,0
19788,-0.23,0,20,0
19815,-0.18,-2,26,0
19842,-0.22,-1,30,0
19869,-0.16,8,31,0
19896,-0.25,28,33,0
19923,-0.16,54,40,0
19950,-0.21,70,50,0
19977,-0.23,71,62,0
20004,-0.17,55,70,0
20031,-0.20,30,68,0
20058,-0.24,5,56,0
20085,-0.23,-10,36,0
20112,-0.24,-18,14,0
20139,-0.17,-22,-4,0
20166,-0.30,-20,-17,0
20193,-0.14,-14,-23,0
20220,-0.19,-6,-23,0
20247,-0.20,0,-18,0
20274,-0.26,4,-11,0
20301,-0.23,3,-5,0
20328,-0.28,-2,0,0
20355,-0.21,-9,0,0
20382,-0.27,-14,-1,0
20409,-0.19,-14,-5,0
20436,-0.12,-11,-8,0
20463,-0.21,-5,-9,0
20490,-0.27,4,-8,0
20517,-0.18,20,-3,0
20544,-0.17,38,5,0
20571,-0.25,55,17,0
20598,-0.19,65,30,0
20625,-0.22,61,41,0
20652,-0.27,42,45,0
20679,-0.22,16,41,0
20706,-0.25,-11,26,0
20733,-0.18,-36,5,0
20760,-0.24,-52,-18,0
20787,-0.16,-58,-40,0
20814,-0.34,-56,-55,0
20841,-0.16,-51,-62,0
20868,-0.24,-49,-61,0
20895,-0.16,-47,-56,0
20922,-0.23,-44,-48,0
20949,-0.21,-36,-39,0
