Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.12,89,5,0
8465,-0.18,363,40,0
8492,-0.22,709,139,0
8519,-0.16,981,308,0
8546,-0.14,1158,514,0
8573,-0.16,1274,707,0
8600,-0.15,1351,850,0
8627,-0.23,1382,928,0
8654,-0.14,1352,939,0
8681,-0.15,1255,886,0
8708,-0.19,1103,774,0
8735,-0.15,923,610,0
8762,-0.12,739,410,0
8789,-0.12,565,191,0
8816,-0.10,407,-25,0
8843,-0.11,273,-223,0
8870,-0.19,162,-392,0
8897,-0.21,73,-525,0
8924,-0.20,-1,-622,0
8951,-0.14,-68,-687,0
8978,-0.11,-134,-726,0
9005,-0.19,-200,-748,0
9032,-0.11,-264,-758,0
9059,-0.19,-324,-763,0
9086,-0.16,-377,-762,0
9113,-0.22,-419,-755,0
9140,-0.13,-450,-742,0
9167,-0.15,-469,-719,0
9194,-0.15,-475,-686,0
9221,-0.17,-471,-642,0
9248,-0.19,-462,-589,0
9275,-0.07,-453,-528,0
9302,-0.07,-447,-464,0
9329,-0.11,-446,-402,0
9356,-0.12,-449,-343,0
9383,-0.10,-452,-292,0
9410,-0.07,-451,-246,0
9437,-0.13,-448,-205,0
9464,-0.12,-442,-166,0
9491,-0.03,-436,-129,0
9518,-0.00,-430,-92,0
9545,-0.16,-422,-57,0
9572,-0.06,-411,-23,0
9599,-0.13,-398,8,0
9626,-0.06,-385,40,0
9653,-0.09,-371,70,0
9680,-0.10,-350,99,0
9707,-0.11,-309,129,0
9734,-0.11,-226,165,0
9761,-0.15,-94,216,0
9788,-0.11,67,290,0
9815,-0.10,216,388,0
9842,-0.16,310,497,0
9869,-0.12,331,592,0
9896,-0.05,284,649,0
9923,-0.16,199,652,0
9950,-0.12,104,600,0
9977,-0.18,21,506,0
10004,-0.06,-40,393,0
10031,-0.13,-82,282,0
10058,-0.12,-104,187,0
10085,-0.12,-113,117,0
10112,-0.13,-119,71,0
10139,-0.20,-131,44,0
10166,-0.13,-154,28,0
10193,-0.06,-188,14,0
10220,-0.01,-228,-3,0
10247,-0.19,-271,-27,0
10274,-0.15,-309,-56,0
10301,-0.16,-335,-86,0
10328,-0.07,-346,-112,0
10355,-0.14,-342,-129,0
10382,-0.11,-327,-132,0
10409,-0.09,-308,-123,0
10436,-0.05,-291,-103,0
10463,-0.12,-275,-78,0
10490,-0.07,-259,-51,0
10517,-0.13,-242,-25,0
10544,-0.07,-223,-1,0
10571,-0.14,-203,19,0
10598,-0.08,-184,39,0
10625,-0.18,-168,57,0
10652,-0.12,-156,72,0
10679,-0.11,-148,84,0
10706,-0.10,-142,92,0
10733,-0.13,-132,96,0
10760,-0.17,-118,98,0
10787,-0.04,-107,100,0
10814,-0.11,-101,102,0
10841,-0.07,-98,103,0
10868,-0.12,-94,101,0
10895,-0.10,-86,98,0
10922,-0.13,-66,95,0
10949,-0.07,-13,97,0
10976,-0.12,89,113,0
11003,-0.12,235,151,0
11030,-0.15,392,218,0
11057,-0.14,513,307,0
11084,-0.12,569,399,0
11111,-0.12,554,467,0
11138,-0.06,487,490,0
11165,-0.08,392,459,0
11192,-0.13,289,379,0
11219,-0.16,193,267,0
11246,-0.13,117,142,0
11273,-0.09,67,22,0
11300,-0.10,40,-76,0
11327,-0.17,26,-147,0
11354,-0.13,12,-191,0
11381,-0.18,-5,-214,0
11408,-0.12,-30,-225,0
11435,-0.15,-59,-233,0
11462,-0.17,-87,-240,0
11489,-0.18,-110,-249,0
11516,-0.12,-124,-258,0
11543,-0.06,-128,-264,0
11570,-0.11,-126,-263,0
11597,-0.15,-119,-255,0
11624,-0.12,-111,-239,0
11651,-0.12,-106,-219,0
11678,-0.07,-106,-198,0
11705,-0.17,-110,-178,0
11732,-0.09,-118,-161,0
11759,-0.20,-129,-150,0
11786,-0.12,-142,-142,0
11813,-0.10,-155,-138,0
11840,-0.05,-168,-136,0
11867,-0.18,-176,-135,0
