Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.16,264,17,0
8465,-0.17,1071,121,0
8492,-0.16,2079,410,0
8519,-0.18,2809,901,0
8546,-0.11,3141,1480,0
8573,-0.19,3139,1970,0
8600,-0.14,2830,2229,0
8627,-0.19,2125,2177,0
8654,-0.08,1069,1782,0
8681,-0.16,-44,1067,0
8708,-0.11,-870,142,0
8735,-0.07,-1219,-803,0
8762,-0.12,-1133,-1560,0
8789,-0.12,-822,-1983,0
8816,-0.08,-526,-2049,0
8843,-0.19,-396,-1851,0
8870,-0.04,-459,-1539,0
8897,-0.15,-650,-1255,0
8924,-0.07,-870,-1081,0
8951,-0.16,-1037,-1025,0
8978,-0.20,-1100,-1045,0
9005,-0.13,-985,-1071,0
9032,-0.07,-532,-1024,0
9059,-0.08,256,-817,0
9086,-0.18,1057,-405,0
9113,-0.15,1589,165,0
9140,-0.11,1811,761,0
9167,-0.11,1793,1237,0
9194,-0.10,1632,1500,0
9221,-0.17,1313,1527,0
9248,-0.07,698,1329,0
9275,-0.08,-197,914,0
9302,-0.13,-1101,302,0
9329,-0.15,-1716,-423,0
9356,-0.11,-1920,-1120,0
9383,-0.16,-1796,-1629,0
9410,-0.12,-1540,-1856,0
9437,-0.10,-1328,-1807,0
9464,-0.08,-1237,-1570,0
9491,-0.11,-1245,-1264,0
9518,-0.12,-1277,-983,0
9545,-0.09,-1267,-767,0
9572,-0.11,-1189,-608,0
9599,-0.16,-1039,-474,0
9626,-0.07,-732,-323,0
9653,-0.03,-151,-105,0
9680,-0.05,594,227,0
9707,-0.16,1232,685,0
9734,-0.10,1607,1201,0
9761,-0.16,1728,1661,0
9788,-0.05,1670,1966,0
9815,-0.12,1514,2069,0
9842,-0.08,1322,1981,0
9869,-0.14,1022,1746,0
9896,-0.09,456,1395,0
9923,-0.13,-307,926,0
9950,-0.14,-1002,348,0
9977,-0.13,-1440,-278,0
10004,-0.08,-1603,-845,0
10031,-0.07,-1594,-1251,0
10058,-0.04,-1531,-1452,0
10085,-0.03,-1489,-1469,0
10112,-0.15,-1472,-1364,0
10139,-0.13,-1450,-1201,0
10166,-0.11,-1387,-1025,0
10193,-0.18,-1274,-849,0
10220,-0.08,-1123,-671,0
10247,-0.18,-918,-482,0
10274,-0.07,-517,-264,0
10301,-0.08,174,21,0
10328,-0.11,956,421,0
10355,-0.08,1550,925,0
10382,-0.11,1862,1449,0
10409,-0.24,1930,1877,0
10436,-0.10,1838,2121,0
10463,-0.05,1611,2150,0
10490,-0.12,1140,1970,0
10517,-0.10,358,1588,0
10544,-0.10,-541,1010,0
10571,-0.14,-1243,289,0
10598,-0.21,-1554,-453,0
10625,-0.20,-1499,-1059,0
10652,-0.09,-1251,-1410,0
10679,-0.14,-1009,-1477,0
10706,-0.09,-891,-1329,0
