Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8439,-0.17,110,7,0
8466,-0.18,447,50,0
8493,-0.13,867,171,0
8520,-0.23,1166,375,0
8547,-0.21,1295,615,0
8574,-0.21,1281,815,0
8601,-0.21,1177,919,0
8628,-0.21,1035,907,0
8655,-0.18,902,794,0
8682,-0.14,822,623,0
8709,-0.08,819,440,0
8736,-0.15,879,290,0
8763,-0.17,945,195,0
8790,-0.11,958,152,0
8817,-0.08,886,133,0
8844,-0.21,736,100,0
8871,-0.12,544,26,0
8898,-0.13,347,-95,0
8925,-0.02,172,-252,0
8952,-0.15,33,-420,0
8979,-0.19,-67,-573,0
9006,-0.27,-137,-693,0
9033,-0.10,-192,-772,0
9060,-0.15,-243,-812,0
9087,-0.18,-295,-822,0
9114,-0.14,-350,-814,0
9141,-0.18,-407,-797,0
9168,-0.13,-464,-778,0
9195,-0.14,-519,-759,0
9222,-0.15,-567,-741,0
9249,-0.14,-602,-720,0
9276,-0.27,-621,-694,0
9303,-0.18,-622,-658,0
9330,-0.15,-607,-610,0
9357,-0.18,-582,-549,0
9384,-0.15,-555,-477,0
9411,-0.15,-534,-399,0
9438,-0.23,-523,-321,0
9465,-0.24,-504,-248,0
9492,-0.17,-447,-180,0
9519,-0.12,-333,-107,0
9546,-0.22,-180,-16,0
9573,-0.18,-40,97,0
9600,-0.15,40,223,0
9627,-0.15,44,337,0
9654,-0.15,-14,412,0
9681,-0.17,-108,432,0
9708,-0.11,-210,399,0
9735,-0.16,-298,325,0
9762,-0.18,-352,233,0
9789,-0.12,-366,147,0
9816,-0.13,-352,85,0
9843,-0.20,-328,55,0
9870,-0.19,-312,54,0
9897,-0.14,-314,70,0
9924,-0.10,-335,90,0
9951,-0.15,-364,102,0
9978,-0.19,-389,102,0
10005,-0.05,-401,92,0
10032,-0.26,-397,81,0
10059,-0.09,-382,74,0
10086,-0.14,-362,76,0
10113,-0.19,-342,87,0
10140,-0.18,-320,104,0
10167,-0.18,-288,126,0
10194,-0.17,-227,152,0
10221,-0.18,-119,188,0
10248,-0.18,35,242,0
10275,-0.02,202,322,0
10302,-0.13,328,421,0
10329,-0.22,375,520,0
10356,-0.19,340,589,0
10383,-0.13,247,605,0
10410,-0.20,128,560,0
10437,-0.09,11,462,0
10464,-0.12,-83,332,0
10491,-0.13,-146,195,0
10518,-0.17,-174,74,0
10545,-0.17,-174,-15,0
10572,-0.14,-158,-69,0
10599,-0.19,-141,-90,0
10626,-0.21,-136,-88,0
10653,-0.10,-148,-76,0
10680,-0.19,-174,-67,0
10707,-0.10,-205,-68,0
10734,-0.09,-232,-79,0
10761,-0.13,-248,-96,0
10788,-0.19,-246,-114,0
10815,-0.13,-230,-124,0
10842,-0.22,-205,-122,0
10869,-0.09,-177,-108,0
10896,-0.22,-153,-85,0
10923,-0.11,-139,-58,0
10950,-0.16,-135,-34,0
10977,-0.13,-134,-15,0
11004,-0.13,-125,-4,0
11031,-0.17,-86,4,0
11058,-0.21,8,20,0
11085,-0.11,167,58,0
11112,-0.22,359,130,0
11139,-0.15,525,236,0
11166,-0.14,611,355,0
11193,-0.15,595,454,0
11220,-0.12,496,501,0
11247,-0.07,359,477,0
11274,-0.17,219,386,0
11301,-0.07,103,250,0
11328,-0.19,21,99,0
11355,-0.19,-27,-39,0
11382,-0.19,-54,-147,0
11409,-0.17,-70,-219,0
11436,-0.21,-82,-259,0
11463,-0.10,-98,-274,0
11490,-0.12,-121,-276,0
11517,-0.03,-147,-273,0
11544,-0.18,-172,-272,0
11571,-0.15,-190,-272,0
11598,-0.20,-201,-273,0
11625,-0.08,-202,-271,0
11652,-0.19,-195,-263,0
11679,-0.15,-182,-247,0
11706,-0.16,-170,-225,0
11733,-0.10,-163,-199,0
11760,-0.09,-159,-173,0
11787,-0.11,-152,-148,0
11814,-0.11,-138,-125,0
11841,-0.05,-119,-103,0
11868,-0.08,-99,-80,0
11895,-0.13,-86,-56,0
11922,-0.16,-81,-33,0
11949,-0.14,-80,-15,0
11976,-0.15,-78,-2,0
12003,-0.16,-71,6,0
12030,-0.20,-59,13,0
12057,-0.18,-43,21,0
12084,-0.17,-29,31,0
12111,-0.11,-19,42,0
12138,-0.08,-12,53,0
12165,-0.10,-7,61,0
12192,-0.10,7,67,0
12219,-0.08,58,75,0
12246,-0.14,165,94,0
12273,-0.13,315,137,0
12300,-0.22,463,208,0
12327,-0.11,556,299,0
12354,-0.15,565,384,0
12381,-0.12,494,435,0
12408,-0.15,375,430,0
12435,-0.07,248,364,0
12462,-0.11,139,254,0
12489,-0.05,59,124,0
12516,-0.15,14,0,0
12543,-0.17,-4,-99,0
12570,-0.13,-6,-165,0
12597,-0.13,-3,-197,0
12624,-0.18,-5,-205,0
12651,-0.08,-18,-198,0
12678,-0.19,-42,-188,0
