Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.19,136,8,0
8465,-0.20,549,62,0
8492,-0.14,1055,209,0
8519,-0.21,1403,457,0
8546,-0.13,1538,744,0
8573,-0.15,1506,978,0
8600,-0.10,1379,1092,0
8627,-0.17,1217,1069,0
8654,-0.11,1054,930,0
8681,-0.17,903,719,0
8708,-0.11,766,482,0
8735,-0.16,639,251,0
8762,-0.17,516,46,0
8789,-0.09,398,-128,0
8816,-0.14,288,-274,0
8843,-0.18,189,-393,0
8870,-0.07,102,-489,0
8897,-0.10,30,-564,0
8924,-0.13,-31,-619,0
8951,-0.13,-85,-656,0
8978,-0.09,-135,-677,0
9005,-0.14,-180,-686,0
9032,-0.09,-221,-686,0
9059,-0.15,-255,-677,0
9086,-0.12,-282,-662,0
9113,-0.13,-296,-640,0
9140,-0.16,-284,-609,0
9167,-0.12,-239,-565,0
9194,-0.13,-172,-503,0
9221,-0.15,-112,-424,0
9248,-0.07,-86,-335,0
9275,-0.13,-103,-253,0
9302,-0.11,-158,-192,0
9329,-0.16,-235,-164,0
9356,-0.09,-314,-167,0
9383,-0.13,-377,-193,0
9410,-0.10,-416,-228,0
9437,-0.11,-433,-256,0
9464,-0.11,-436,-268,0
9491,-0.17,-433,-261,0
9518,-0.12,-431,-237,0
9545,-0.20,-433,-204,0
9572,-0.05,-436,-167,0
9599,-0.10,-437,-131,0
9626,-0.07,-438,-98,0
9653,-0.18,-441,-68,0
9680,-0.13,-444,-42,0
9707,-0.12,-445,-19,0
9734,0.01,-440,1,0
9761,-0.10,-427,22,0
9788,-0.12,-407,45,0
9815,-0.13,-378,71,0
9842,-0.04,-331,103,0
9869,-0.12,-256,143,0
9896,-0.07,-156,195,0
9923,-0.10,-57,261,0
9950,-0.16,13,334,0
9977,-0.09,38,402,0
10004,-0.12,22,448,0
10031,-0.12,-22,462,0
10058,-0.15,-77,441,0
10085,-0.17,-128,392,0
10112,-0.12,-166,327,0
10139,-0.19,-188,260,0
10166,-0.14,-195,202,0
10193,-0.22,-193,158,0
10220,-0.11,-191,131,0
10247,-0.18,-190,116,0
10274,-0.11,-191,109,0
10301,-0.12,-194,105,0
10328,-0.15,-198,100,0
10355,-0.14,-200,95,0
10382,-0.09,-199,88,0
10409,-0.19,-199,81,0
10436,-0.15,-198,75,0
10463,-0.17,-197,70,0
10490,-0.14,-192,65,0
10517,-0.13,-181,63,0
10544,-0.05,-164,63,0
10571,-0.18,-141,67,0
10598,-0.12,-105,76,0
10625,-0.07,-43,93,0
10652,-0.13,46,121,0
10679,-0.22,151,164,0
10706,-0.07,244,220,0
10733,-0.19,298,281,0
10760,-0.21,300,331,0
10787,-0.16,261,354,0
10814,-0.09,201,341,0
10841,-0.12,140,293,0
10868,-0.16,86,222,0
10895,-0.16,41,142,0
10922,-0.13,6,64,0
10949,-0.16,-18,-1,0
10976,-0.11,-35,-53,0
11003,-0.24,-47,-90,0
11030,-0.09,-57,-114,0
11057,-0.20,-71,-128,0
11084,-0.16,-89,-138,0
11111,-0.19,-110,-146,0
11138,-0.14,-129,-155,0
11165,-0.18,-141,-164,0
11192,-0.14,-145,-172,0
11219,-0.24,-142,-175,0
11246,-0.11,-134,-172,0
11273,-0.13,-123,-163,0
11300,-0.05,-110,-148,0
11327,-0.08,-97,-130,0
11354,-0.13,-90,-111,0
11381,-0.13,-88,-93,0
11408,-0.17,-88,-78,0
11435,-0.23,-88,-68,0
11462,-0.16,-86,-61,0
11489,-0.21,-81,-55,0
11516,-0.15,-75,-50,0
11543,-0.20,-67,-44,0
11570,-0.15,-60,-36,0
11597,-0.11,-51,-28,0
11624,-0.18,-41,-18,0
11651,-0.17,-29,-9,0
11678,-0.05,-16,0,0
11705,-0.11,4,11,0
11732,-0.07,47,25,0
11759,-0.17,120,46,0
11786,-0.12,216,81,0
11813,-0.13,310,132,0
11840,-0.19,372,192,0
11867,-0.17,386,248,0
11894,-0.15,356,282,0
11921,-0.17,299,283,0
11948,-0.11,234,250,0
11975,-0.20,174,190,0
12002,-0.07,124,116,0
12029,-0.08,86,41,0
12056,-0.11,57,-23,0
12083,-0.16,33,-75,0
12110,-0.07,13,-113,0
12137,-0.13,-4,-138,0
12164,-0.11,-21,-154,0
12191,-0.16,-40,-164,0
12218,-0.25,-62,-172,0
12245,-0.11,-84,-178,0
12272,-0.19,-102,-184,0
12299,-0.15,-113,-190,0
12326,-0.18,-117,-192,0
12353,-0.19,-115,-189,0
12380,-0.13,-108,-180,0
12407,-0.19,-100,-166,0
12434,-0.08,-95,-148,0
12461,-0.13,-94,-129,0
12488,-0.16,-97,-112,0
12515,-0.21,-100,-97,0
12542,-0.06,-103,-86,0
12569,-0.14,-105,-77,0
12596,-0.13,-105,-70,0
12623,-0.23,-101,-62,0
12650,-0.15,-94,-54,0
12677,-0.07,-84,-43,0
12704,-0.13,-64,-30,0
12731,-0.13,-23,-12,0
12758,-0.10,43,14,0
12785,-0.22,131,53,0
12812,-0.16,216,106,0
12839,-0.13,268,167,0
12866,-0.15,274,222,0
12893,-0.17,241,256,0
12920,-0.12,185,257,0
12947,-0.20,124,227,0
12974,-0.16,69,173,0
13001,-0.14,26,108,0
13028,-0.10,1,44,0
13055,-0.10,-10,-8,0
13082,-0.15,-15,-45,0
13109,-0.13,-18,-65,0
13136,-0.15,-23,-73,0
13163,-0.08,-34,-75,0
13190,-0.06,-52,-74,0
13217,-0.12,-76,-77,0
13244,-0.15,-98,-83,0
13271,-0.09,-114,-93,0
13298,-0.11,-121,-103,0
13325,-0.21,-120,-109,0
13352,-0.10,-112,-108,0
13379,-0.10,-100,-101,0
13406,-0.11,-89,-88,0
13433,-0.10,-81,-70,0
13460,-0.06,-69,-52,0
13487,-0.16,-41,-33,0
13514,-0.05,12,-10,0
13541,-0.17,88,21,0
13568,-0.11,167,65,0
13595,-0.15,221,119,0
13622,-0.17,235,170,0
13649,-0.07,211,206,0
13676,-0.09,160,214,0
13703,-0.14,100,192,0
13730,-0.16,44,146,0
13757,-0.11,-2,86,0
13784,-0.10,-33,25,0
13811,-0.15,-48,-26,0
13838,-0.15,-51,-64,0
13865,-0.12,-51,-85,0
13892,-0.10,-49,-92,0
13919,-0.12,-50,-90,0
13946,-0.10,-57,-83,0
13973,-0.20,-74,-76,0
14000,-0.13,-94,-74,0
14027,-0.13,-113,-77,0
14054,-0.09,-126,-84,0
14081,-0.15,-132,-91,0
14108,-0.06,-130,-96,0
14135,-0.17,-119,-94,0
14162,-0.10,-94,-85,0
14189,-0.11,-45,-66,0
14216,-0.08,34,-34,0
14243,-0.15,135,15,0
14270,-0.04,228,80,0
14297,-0.14,285,152,0
14324,-0.18,292,217,0
14351,-0.19,258,256,0
14378,-0.12,200,260,0
14405,-0.10,137,230,0
14432,-0.06,76,173,0
14459,-0.13,22,103,0
14486,-0.17,-19,32,0
14513,-0.17,-49,-29,0
14540,-0.11,-69,-78,0
14567,-0.08,-79,-111,0
14594,-0.12,-85,-129,0
14621,-0.15,-91,-135,0
14648,-0.18,-102,-134,0
14675,-0.21,-119,-131,0
14702,-0.09,-138,-128,0
14729,-0.20,-153,-128,0
14756,-0.04,-158,-130,0
14783,-0.18,-152,-129,0
14810,-0.09,-140,-123,0
14837,-0.23,-130,-110,0
14864,-0.17,-125,-93,0
14891,-0.07,-122,-75,0
14918,-0.11,-115,-59,0
14945,-0.18,-86,-42,0
14972,-0.14,-20,-20,0
14999,-0.16,81,15,0
15026,-0.10,195,71,0
15053,-0.10,286,143,0
15080,-0.14,328,220,0
15107,-0.22,318,281,0
15134,-0.12,271,309,0
15161,-0.18,207,299,0
15188,-0.12,141,254,0
15215,-0.18,81,185,0
15242,-0.07,29,108,0
15269,-0.12,-11,34,0
15296,-0.06,-41,-29,0
15323,-0.18,-62,-77,0
15350,-0.12,-75,-110,0
15377,-0.16,-84,-129,0
15404,-0.15,-94,-137,0
15431,-0.13,-107,-139,0
15458,-0.04,-124,-138,0
15485,-0.16,-144,-137,0
15512,-0.10,-161,-139,0
15539,-0.14,-173,-141,0
15566,-0.08,-175,-143,0
15593,-0.17,-168,-140,0
15620,-0.20,-157,-131,0
15647,-0.17,-149,-117,0
15674,-0.09,-146,-99,0
15701,-0.10,-146,-81,0
15728,-0.07,-144,-65,0
15755,-0.19,-139,-51,0
15782,-0.03,-130,-39,0
15809,-0.05,-119,-27,0
15836,-0.15,-106,-14,0
15863,-0.10,-90,0,0
15890,-0.12,-73,16,0
15917,-0.14,-62,32,0
15944,-0.10,-56,47,0
15971,-0.18,-53,58,0
15998,-0.10,-47,65,0
16025,-0.17,-40,70,0
16052,-0.12,-30,73,0
16079,-0.21,-18,76,0
16106,-0.20,-1,80,0
16133,-0.20,30,87,0
16160,-0.07,90,101,0
16187,-0.12,179,126,0
16214,-0.12,280,167,0
16241,-0.16,362,222,0
16268,-0.15,398,280,0
16295,-0.19,383,323,0
16322,-0.15,331,337,0
16349,-0.18,262,314,0
16376,-0.11,194,258,0
16403,-0.23,141,182,0
16430,-0.13,105,101,0
16457,-0.14,80,28,0
16484,-0.07,57,-28,0
16511,-0.22,36,-70,0
16538,-0.07,16,-99,0
16565,-0.11,-2,-119,0
16592,-0.12,-21,-134,0
16619,-0.18,-43,-145,0
16646,-0.09,-64,-155,0
16673,-0.19,-80,-164,0
16700,-0.16,-91,-171,0
16727,-0.20,-98,-175,0
16754,-0.09,-104,-176,0
16781,-0.19,-107,-172,0
16808,-0.15,-108,-165,0
16835,-0.15,-108,-155,0
16862,-0.13,-105,-143,0
16889,-0.13,-99,-130,0
16916,-0.09,-89,-115,0
16943,-0.13,-79,-99,0
16970,-0.06,-72,-81,0
16997,-0.16,-70,-64,0
17024,-0.10,-75,-50,0
17051,-0.11,-85,-40,0
17078,-0.11,-87,-35,0
17105,-0.12,-69,-32,0
17132,-0.10,-18,-23,0
17159,-0.15,64,0,0
17186,-0.09,160,41,0
17213,-0.18,241,101,0
17240,-0.12,283,167,0
17267,-0.17,278,222,0
17294,-0.11,236,251,0
17321,-0.18,176,246,0
17348,-0.12,114,209,0
17375,-0.11,60,150,0
17402,-0.10,19,82,0
17429,-0.14,-4,19,0
17456,-0.09,-16,-31,0
17483,-0.13,-20,-65,0
17510,-0.05,-23,-83,0
17537,-0.07,-27,-89,0
17564,-0.07,-36,-88,0
17591,-0.13,-51,-86,0
17618,-0.12,-73,-85,0
17645,-0.06,-97,-89,0
17672,-0.07,-119,-98,0
17699,-0.13,-135,-108,0
17726,-0.14,-140,-117,0
17753,-0.18,-134,-122,0
17780,-0.08,-121,-118,0
17807,-0.16,-107,-106,0
17834,-0.09,-95,-88,0
17861,-0.18,-87,-68,0
17888,-0.14,-84,-48,0
17915,-0.13,-84,-31,0
17942,-0.00,-74,-18,0
17969,-0.13,-39,-6,0
17996,-0.13,31,13,0
18023,-0.12,126,47,0
18050,-0.05,216,98,0
18077,-0.09,270,161,0
18104,-0.03,276,219,0
18131,-0.13,241,255,0
18158,-0.08,185,257,0
18185,-0.04,127,227,0
18212,-0.06,77,174,0
18239,-0.08,39,110,0
18266,-0.18,9,47,0
18293,-0.11,-17,-5,0
18320,-0.10,-39,-46,0
18347,-0.12,-53,-75,0
18374,-0.11,-58,-94,0
18401,-0.19,-60,-102,0
18428,-0.08,-66,-104,0
18455,-0.13,-83,-102,0
18482,-0.16,-105,-101,0
18509,-0.13,-124,-104,0
18536,-0.09,-134,-109,0
18563,-0.16,-136,-113,0
18590,-0.17,-134,-114,0
18617,-0.17,-129,-110,0
18644,-0.09,-123,-100,0
18671,-0.14,-117,-87,0
18698,-0.11,-109,-73,0
18725,-0.12,-91,-57,0
18752,-0.05,-52,-37,0
18779,-0.20,17,-10,0
18806,-0.16,113,30,0
18833,-0.19,209,86,0
18860,-0.14,276,154,0
18887,-0.24,299,218,0
18914,-0.09,277,263,0
18941,-0.18,224,276,0
18968,-0.07,157,254,0
18995,-0.16,89,202,0
19022,-0.16,33,132,0
19049,-0.14,-9,57,0
19076,-0.06,-38,-9,0
19103,-0.09,-57,-61,0
19130,-0.07,-69,-97,0
19157,-0.21,-76,-118,0
19184,-0.07,-81,-126,0
19211,-0.19,-89,-126,0
19238,-0.10,-102,-123,0
19265,-0.14,-119,-120,0
19292,-0.14,-137,-119,0
19319,-0.19,-150,-121,0
19346,-0.06,-158,-123,0
19373,-0.11,-160,-124,0
19400,-0.13,-155,-121,0
19427,-0.20,-145,-112,0
19454,-0.18,-131,-99,0
19481,-0.20,-118,-81,0
