Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.21,122,7,0
8465,-0.14,498,56,0
8492,-0.13,970,190,0
8519,-0.19,1313,420,0
8546,-0.10,1471,691,0
8573,-0.19,1471,921,0
8600,-0.10,1364,1046,0
8627,-0.17,1203,1041,0
8654,-0.03,1026,919,0
8681,-0.19,858,719,0
8708,-0.16,712,482,0
8735,-0.22,589,246,0
8762,-0.06,488,37,0
8789,-0.18,404,-134,0
8816,-0.12,332,-265,0
8843,-0.13,268,-361,0
8870,-0.18,206,-429,0
8897,-0.14,144,-478,0
8924,-0.11,83,-515,0
8951,-0.23,24,-544,0
8978,-0.11,-27,-567,0
9005,-0.16,-59,-584,0
9032,-0.16,-62,-589,0
9059,-0.10,-42,-578,0
9086,-0.07,-25,-548,0
9113,-0.22,-37,-506,0
9140,-0.16,-90,-463,0
9167,-0.19,-175,-436,0
9194,-0.12,-265,-431,0
9221,-0.21,-340,-448,0
9248,-0.17,-391,-474,0
9275,-0.15,-420,-497,0
9302,-0.11,-434,-505,0
9329,-0.11,-440,-494,0
9356,-0.14,-441,-466,0
9383,-0.21,-440,-426,0
9410,-0.10,-438,-378,0
9437,-0.22,-435,-328,0
9464,-0.12,-434,-279,0
9491,-0.18,-438,-232,0
9518,-0.18,-443,-191,0
9545,-0.18,-445,-154,0
9572,-0.20,-443,-122,0
9599,-0.15,-435,-91,0
9626,-0.10,-419,-60,0
9653,-0.13,-400,-27,0
9680,-0.11,-381,7,0
9707,-0.14,-367,43,0
9734,-0.06,-357,77,0
9761,-0.16,-348,107,0
9788,-0.11,-335,132,0
9815,-0.19,-319,154,0
9842,-0.07,-294,174,0
9869,-0.18,-249,195,0
9896,-0.06,-179,223,0
9923,-0.12,-100,262,0
9950,-0.19,-41,310,0
9977,-0.15,-26,357,0
10004,-0.08,-55,389,0
10031,-0.21,-109,394,0
10058,-0.02,-162,368,0
10085,-0.12,-202,319,0
10112,-0.01,-224,261,0
10139,-0.13,-231,207,0
10166,-0.13,-225,165,0
10193,-0.11,-209,139,0
10220,-0.12,-186,129,0
10247,-0.16,-164,132,0
10274,-0.09,-147,143,0
10301,-0.13,-137,155,0
10328,-0.12,-136,164,0
10355,-0.17,-138,166,0
10382,-0.11,-139,162,0
10409,-0.10,-136,153,0
10436,-0.14,-129,142,0
10463,-0.12,-119,132,0
10490,-0.21,-108,125,0
10517,-0.11,-100,121,0
10544,-0.15,-91,118,0
10571,-0.16,-81,115,0
10598,-0.12,-71,113,0
10625,-0.09,-60,111,0
10652,-0.16,-51,109,0
10679,-0.18,-44,106,0
10706,-0.13,-36,103,0
10733,-0.13,-24,99,0
10760,-0.12,8,97,0
10787,-0.12,71,101,0
10814,-0.14,149,118,0
10841,-0.13,212,149,0
10868,-0.09,228,185,0
10895,-0.12,191,209,0
10922,-0.17,118,207,0
10949,-0.15,39,171,0
10976,-0.14,-17,108,0
11003,-0.09,-45,34,0
11030,-0.11,-53,-32,0
11057,-0.18,-47,-80,0
11084,-0.02,-34,-106,0
11111,-0.12,-20,-113,0
11138,-0.11,-11,-107,0
11165,-0.16,-12,-95,0
11192,-0.07,-20,-84,0
11219,-0.12,-31,-79,0
11246,-0.11,-40,-79,0
11273,-0.15,-45,-84,0
11300,-0.06,-45,-89,0
11327,-0.10,-41,-93,0
11354,-0.10,-34,-93,0
11381,-0.14,-25,-89,0
11408,-0.07,-17,-82,0
11435,-0.11,-12,-73,0
11462,-0.11,-13,-64,0
11489,-0.18,-19,-57,0
11516,-0.10,-26,-54,0
11543,-0.16,-31,-55,0
11570,-0.08,-27,-57,0
11597,-0.17,-8,-57,0
11624,-0.12,32,-50,0
11651,-0.10,97,-32,0
11678,-0.07,169,0,0
11705,-0.14,220,45,0
11732,-0.12,226,91,0
11759,-0.11,184,122,0
11786,-0.15,112,124,0
11813,-0.14,38,94,0
11840,-0.12,-20,40,0
11867,-0.15,-55,-23,0
11894,-0.15,-63,-82,0
11921,-0.11,-49,-121,0
11948,-0.16,-29,-138,0
11975,-0.15,-12,-134,0
12002,-0.16,-4,-116,0
12029,-0.18,-7,-95,0
12056,-0.14,-19,-77,0
12083,-0.15,-33,-67,0
12110,-0.22,-45,-65,0
12137,-0.19,-53,-68,0
12164,-0.14,-59,-73,0
12191,-0.16,-62,-77,0
12218,-0.18,-58,-78,0
12245,-0.11,-49,-75,0
12272,-0.02,-37,-67,0
12299,-0.15,-28,-55,0
12326,-0.21,-24,-41,0
12353,-0.16,-19,-28,0
12380,-0.11,0,-16,0
12407,-0.09,48,-1,0
12434,-0.07,115,21,0
12461,-0.14,174,56,0
12488,-0.10,198,98,0
12515,-0.15,178,133,0
12542,-0.14,123,147,0
12569,-0.17,55,133,0
12596,-0.13,-5,92,0
12623,-0.07,-47,37,0
12650,-0.16,-68,-19,0
12677,-0.18,-70,-65,0
