Time,Pressure,rawPPGSignal,PPGSignal,AUS_PULSE_HEARD
8438,-0.07,83,5,1
8465,-0.12,343,38,1
8492,-0.12,684,132,1
8519,-0.13,952,295,1
8546,-0.14,1124,496,1
8573,-0.15,1311,690,1
8600,-0.20,1652,862,1
8627,-0.13,2111,1037,1
8654,-0.04,2485,1237,1
8681,-0.16,2645,1441,1
8708,-0.11,2599,1586,1
8735,-0.13,2409,1611,1
8762,-0.16,2057,1485,1
8789,-0.12,1435,1194,1
8816,-0.10,577,729,1
8843,-0.10,-295,98,1
8870,-0.09,-955,-631,1
8897,-0.09,-1285,-1342,1
8924,-0.05,-1307,-1898,1
8951,-0.19,-1144,-2207,1
8978,-0.10,-943,-2252,1
9005,-0.15,-813,-2089,1
9032,-0.07,-799,-1818,1
9059,-0.16,-882,-1538,1
9086,-0.12,-1011,-1319,1
9113,-0.14,-1131,-1184,1
9140,-0.16,-1206,-1118,1
9167,-0.15,-1223,-1084,1
9194,-0.06,-1186,-1046,1
9221,-0.09,-1114,-976,1
9248,-0.15,-1028,-868,1
9275,-0.16,-915,-724,1
9302,-0.16,-690,-549,1
9329,-0.19,-218,-323,1
9356,-0.08,476,-8,1
9383,-0.16,1135,418,1
9410,-0.12,1549,918,1
9437,-0.22,1671,1385,1
9464,-0.06,1445,1703,1
9491,-0.15,842,1774,1
9518,-0.09,2,1545,1
9545,-0.25,-824,1036,1
9572,-0.14,-1417,350,1
9599,-0.20,-1647,-350,1
9626,-0.13,-1497,-895,1
9653,-0.19,-1079,-1164,1
9680,-0.13,-592,-1121,1
9707,-0.14,-225,-829,1
9734,-0.12,-85,-416,1
9761,-0.09,-168,-29,1
9788,-0.14,-390,223,1
9815,-0.14,-646,299,1
9842,-0.14,-848,223,1
9869,-0.25,-949,64,1
9896,-0.17,-939,-101,1
9923,-0.19,-840,-211,1
9950,-0.16,-694,-234,1
9977,-0.20,-526,-170,1
10004,-0.22,-286,-35,1
10031,-0.17,145,161,1
10058,-0.20,762,435,1
10085,-0.21,1340,796,1
10112,-0.18,1698,1205,1
10139,-0.20,1795,1574,1
10166,-0.08,1561,1801,1
10193,-0.16,934,1799,1
10220,-0.18,48,1513,1
10247,-0.18,-821,953,1
10274,-0.16,-1442,220,1
10301,-0.16,-1698,-522,1
10328,-0.10,-1595,-1105,1
10355,-0.15,-1237,-1410,1
10382,-0.15,-780,-1405,1
10409,-0.12,-377,-1143,1
10436,-0.10,-128,-735,1
10463,-0.18,-52,-312,1
10490,-0.13,-104,21,1
10517,-0.23,-213,215,1
10544,-0.23,-320,270,1
10571,-0.12,-393,225,1
10598,-0.15,-422,134,1
10625,-0.19,-411,42,1
10652,-0.11,-332,-17,1
10679,-0.11,-99,-20,1
10706,-0.14,377,66,1
10733,-0.21,1013,278,1
10760,-0.17,1571,616,1
10787,-0.29,1896,1021,1
10814,-0.16,1962,1386,1
10841,-0.18,1711,1605,1
10868,-0.20,1090,1592,1
10895,-0.16,224,1299,1
10922,-0.15,-627,743,1
10949,-0.19,-1230,22,1
10976,-0.16,-1463,-700,1
11003,-0.16,-1348,-1261,1
11030,-0.25,-1020,-1547,1
11057,-0.18,-652,-1537,1
11084,-0.17,-381,-1298,1
11111,-0.16,-265,-948,1
11138,-0.12,-286,-606,1
11165,-0.11,-386,-357,1
11192,-0.12,-501,-229,1
11219,-0.18,-584,-205,1
11246,-0.22,-613,-242,1
11273,-0.20,-571,-290,1
11300,-0.21,-394,-305,1
11327,-0.12,54,-238,1
11354,-0.14,763,-38,1
11381,-0.16,1456,320,1
11408,-0.10,1904,790,1
11435,-0.19,2080,1258,1
11462,-0.09,2050,1604,1
11489,-0.14,1851,1755,1
11516,-0.15,1414,1686,1
11543,-0.19,689,1391,1
11570,-0.16,-187,881,1
11597,-0.21,-966,203,1
11624,-0.20,-1453,-537,1
11651,-0.24,-1581,-1196,1
11678,-0.17,-1415,-1642,1
11705,-0.26,-1102,-1806,1
11732,-0.10,-793,-1703,1
11759,-0.11,-585,-1415,1
11786,-0.20,-506,-1058,1
11813,-0.22,-529,-731,1
11840,-0.13,-601,-496,1
11867,-0.22,-669,-365,1
11894,-0.12,-696,-317,1
11921,-0.19,-628,-306,1
11948,-0.21,-347,-276,1
11975,-0.01,226,-159,1
12002,-0.08,956,102,1
12029,-0.13,1570,513,1
12056,-0.10,1920,998,1
12083,-0.19,2021,1436,1
12110,-0.09,1946,1723,1
12137,-0.10,1677,1805,1
12164,-0.05,1094,1662,1
12191,-0.22,236,1284,1
12218,-0.15,-653,688,1
12245,-0.14,-1320,-47,1
12272,-0.12,-1624,-784,1
12299,-0.18,-1575,-1368,1
12326,-0.16,-1299,-1685,1
12353,-0.24,-962,-1708,1
12380,-0.11,-696,-1494,1
12407,-0.24,-561,-1152,1
12434,-0.17,-548,-798,1
12461,-0.21,-603,-516,1
12488,-0.11,-670,-340,1
12515,-0.17,-708,-259,1
12542,-0.07,-690,-235,1
12569,-0.18,-549,-221,1
12596,-0.16,-126,-158,1
12623,-0.16,600,23,1
12650,-0.27,1349,369,1
12677,-0.14,1857,846,1
12704,-0.18,2079,1341,1
12731,-0.16,2076,1727,1
12758,-0.18,1935,1920,1
12785,-0.17,1605,1895,1
12812,-0.15,937,1651,1
12839,-0.21,10,1185,1
12866,-0.09,-874,519,1
12893,-0.14,-1461,-253,1
12920,-0.06,-1647,-981,1
12947,-0.19,-1494,-1510,1
12974,-0.09,-1165,-1743,1
13001,-0.19,-836,-1682,1
13028,-0.13,-621,-1410,1
13055,-0.20,-543,-1051,1
13082,-0.19,-568,-717,1
13109,-0.15,-637,-473,1
13136,-0.14,-697,-337,1
13163,-0.16,-715,-284,1
13190,-0.07,-653,-269,1
13217,-0.14,-413,-240,1
13244,-0.13,117,-135,1
13271,-0.16,857,105,1
13298,-0.15,1526,501,1
13325,-0.11,1935,990,1
13352,-0.18,2078,1451,1
13379,-0.19,2027,1773,1
13406,-0.15,1804,1891,1
13433,-0.10,1312,1785,1
13460,-0.17,508,1449,1
13487,-0.19,-427,890,1
13514,-0.23,-1200,163,1
13541,-0.20,-1600,-606,1
13568,-0.24,-1597,-1255,1
13595,-0.19,-1321,-1647,1
13622,-0.19,-967,-1730,1
13649,-0.12,-691,-1549,1
13676,-0.12,-565,-1219,1
13703,-0.22,-569,-866,1
13730,-0.15,-640,-583,1
13757,-0.13,-715,-409,1
13784,-0.15,-751,-331,1
13811,-0.11,-735,-309,1
13838,-0.18,-650,-298,1
13865,-0.15,-407,-256,1
13892,-0.07,123,-132,1
13919,-0.12,879,125,1
13946,-0.20,1572,535,1
13973,-0.18,2001,1037,1
14000,-0.21,2155,1512,1
14027,-0.19,2107,1844,1
14054,-0.14,1943,1972,1
14081,-0.06,1664,1892,1
14108,-0.15,1146,1627,1
14135,-0.12,347,1189,1
14162,-0.13,-545,587,1
14189,-0.19,-1257,-131,1
14216,-0.14,-1615,-857,1
14243,-0.07,-1619,-1447,1
14270,-0.04,-1398,-1790,1
14297,-0.19,-1116,-1851,1
14324,-0.17,-895,-1680,1
14351,-0.14,-786,-1377,1
14378,-0.14,-774,-1051,1
14405,-0.23,-807,-780,1
14432,-0.20,-832,-592,1
14459,-0.20,-817,-479,1
14486,-0.08,-756,-407,1
